Type: dichroic
Name: FF410/504/582/669-Di01
## Typical Measured Spectrum of Semrock FF410/504/582/669-Di01 Optical Filter
## For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
## For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited.
wavelength,transmission
300.0,0.00126
300.2,0.00133
300.4,0.00141
300.6,0.0015
300.8,0.00159
301.0,0.00168
301.2,0.00178
301.4,0.00189
301.6,0.002
301.8,0.00212
302.0,0.00225
302.2,0.00238
302.4,0.00253
302.6,0.00268
302.8,0.00284
303.0,0.00301
303.2,0.00319
303.4,0.00338
303.6,0.00358
303.8,0.00379
304.0,0.0041
304.2,0.00444
304.4,0.0048
304.6,0.0052
304.8,0.00563
305.0,0.00609
305.2,0.01007
305.4,0.0094
305.6,0.00782
305.8,0.00607
306.0,0.00446
306.2,0.0031
306.4,0.00178
306.6,0.00105
306.8,8.0598e-04
307.0,7.2278e-04
307.2,7.3574e-04
307.4,8.7171e-04
307.6,0.00107
307.8,0.00148
308.0,0.00188
308.2,0.00223
308.4,0.0025
308.6,0.00253
308.8,0.00248
309.0,0.00264
309.2,0.00325
309.4,0.004
309.6,0.00454
309.8,0.00486
310.0,0.00457
310.2,0.00397
310.4,0.00332
310.6,0.00286
310.8,0.00261
311.0,0.00259
311.2,0.00227
311.4,0.00193
311.6,0.00162
311.8,0.00138
312.0,0.0011
312.2,9.8061e-04
312.4,9.6419e-04
312.6,0.001
312.8,0.00102
313.0,9.6449e-04
313.2,0.00109
313.4,0.00115
313.6,0.00125
313.8,0.0014
314.0,0.00145
314.2,0.00162
314.4,0.00182
314.6,0.00209
314.8,0.00249
315.0,0.0033
315.2,0.00498
315.4,0.00775
315.6,0.01108
315.8,0.0147
316.0,0.01924
316.2,0.02654
316.4,0.03537
316.6,0.0418
316.8,0.04494
317.0,0.04578
317.2,0.04533
317.4,0.04342
317.6,0.04205
317.8,0.04151
318.0,0.04034
318.2,0.03892
318.4,0.03581
318.6,0.03164
318.8,0.02849
319.0,0.02719
319.2,0.02724
319.4,0.02674
319.6,0.02535
319.8,0.02301
320.0,0.01949
320.2,0.01549
320.4,0.01268
320.6,0.01118
320.8,0.01019
321.0,0.00884
321.2,0.00633
321.4,0.00395
321.6,0.00275
321.8,0.00254
322.0,0.0025
322.2,0.00273
322.4,0.0031
322.6,0.00348
322.8,0.00377
323.0,0.00389
323.2,0.00381
323.4,0.00383
323.6,0.00351
323.8,0.0031
324.0,0.00277
324.2,0.00249
324.4,0.00244
324.6,0.00238
324.8,0.00246
325.0,0.00268
325.2,0.0031
325.4,0.00356
325.6,0.00413
325.8,0.00419
326.0,0.00431
326.2,0.00412
326.4,0.00374
326.6,0.00323
326.8,0.00287
327.0,0.00258
327.2,0.0026
327.4,0.00257
327.6,0.00254
327.8,0.00248
328.0,0.00247
328.2,0.00249
328.4,0.0025
328.6,0.0025
328.8,0.00253
329.0,0.00269
329.2,0.00346
329.4,0.00554
329.6,0.00836
329.8,0.01057
330.0,0.01178
330.2,0.0128
330.4,0.01403
330.6,0.01616
330.8,0.01899
331.0,0.02104
331.2,0.02253
331.4,0.02351
331.6,0.02381
331.8,0.0233
332.0,0.02134
332.2,0.02003
332.4,0.02397
332.6,0.04052
332.8,0.0699
333.0,0.10485
333.2,0.13502
333.4,0.15299
333.6,0.1596
333.8,0.1519
334.0,0.13092
334.2,0.09831
334.4,0.06219
334.6,0.03277
334.8,0.01534
335.0,0.00782
335.2,0.00521
335.4,0.00428
335.6,0.00408
335.8,0.00409
336.0,0.00442
336.2,0.00506
336.4,0.00606
336.6,0.00765
336.8,0.00946
337.0,0.01127
337.2,0.01278
337.4,0.01374
337.6,0.01424
337.8,0.01406
338.0,0.01333
338.2,0.01234
338.4,0.01151
338.6,0.01164
338.8,0.01356
339.0,0.01776
339.2,0.02394
339.4,0.02913
339.6,0.03203
339.8,0.03324
340.0,0.03255
340.2,0.03001
340.4,0.02525
340.6,0.01896
340.8,0.01333
341.0,0.01015
341.2,0.00973
341.4,0.01287
341.6,0.02309
341.8,0.0424
342.0,0.06583
342.2,0.08532
342.4,0.0985
342.6,0.10548
342.8,0.10678
343.0,0.10256
343.2,0.0917
343.4,0.07588
343.6,0.06091
343.8,0.05199
344.0,0.04771
344.2,0.04419
344.4,0.04024
344.6,0.03513
344.8,0.02892
345.0,0.0221
345.2,0.01616
345.4,0.01148
345.6,0.00839
345.8,0.00661
346.0,0.00553
346.2,0.00495
346.4,0.00462
346.6,0.00456
346.8,0.00467
347.0,0.00484
347.2,0.00522
347.4,0.00566
347.6,0.0062
347.8,0.00698
348.0,0.00809
348.2,0.0098
348.4,0.01313
348.6,0.0198
348.8,0.03345
349.0,0.05584
349.2,0.0838
349.4,0.10903
349.6,0.12949
349.8,0.14733
350.0,0.16295
350.2,0.1741
350.4,0.17986
350.6,0.18027
350.8,0.18175
351.0,0.18477
351.2,0.18449
351.4,0.1759
351.6,0.16002
351.8,0.13822
352.0,0.11269
352.2,0.08342
352.4,0.05335
352.6,0.02864
352.8,0.01296
353.0,0.00599
353.2,0.00326
353.4,0.00229
353.6,0.00183
353.8,0.0016
354.0,0.00151
354.2,0.0014
354.4,0.00133
354.6,0.00128
354.8,0.00121
355.0,0.00119
355.2,0.00118
355.4,0.00115
355.6,0.00113
355.8,0.00106
356.0,0.00102
356.2,0.001
356.4,9.7344e-04
356.6,9.808e-04
356.8,9.8314e-04
357.0,9.6838e-04
357.2,9.7536e-04
357.4,0.001
357.6,0.00101
357.8,0.00104
358.0,0.00106
358.2,0.0011
358.4,0.00115
358.6,0.00124
358.8,0.00139
359.0,0.00182
359.2,0.0029
359.4,0.00538
359.6,0.0092
359.8,0.01316
360.0,0.0163
360.2,0.01846
360.4,0.02015
360.6,0.02172
360.8,0.02311
361.0,0.02389
361.2,0.02344
361.4,0.02168
361.6,0.01951
361.8,0.01757
362.0,0.01575
362.2,0.01363
362.4,0.01096
362.6,0.00812
362.8,0.0054
363.0,0.00345
363.2,0.00242
363.4,0.00194
363.6,0.00188
363.8,0.0021
364.0,0.00275
364.2,0.00456
364.4,0.00935
364.6,0.01877
364.8,0.03141
365.0,0.04396
