#Typical Measured Spectrum of Semrock Di01-R405/488/532/635 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: dichroic,
#Name: Semrock Di01-R405/488/532/635
wavelength,transmission
345.0,7.5785e-04
345.2,8.0731e-04
345.4,7.6462e-04
345.6,7.7919e-04
345.8,6.9352e-04
346.0,7.1065e-04
346.2,6.5494e-04
346.4,7.4381e-04
346.6,7.2422e-04
346.8,6.6469e-04
347.0,7.4987e-04
347.2,8.0676e-04
347.4,7.2902e-04
347.6,7.3018e-04
347.8,7.6253e-04
348.0,6.9146e-04
348.2,7.3185e-04
348.4,7.8284e-04
348.6,7.2764e-04
348.8,6.8698e-04
349.0,7.4921e-04
349.2,7.3626e-04
349.4,6.8683e-04
349.6,8.1346e-04
349.8,7.7571e-04
350.0,7.8305e-04
350.2,7.3189e-04
350.4,6.4266e-04
350.6,6.6438e-04
350.8,6.8819e-04
351.0,7.7708e-04
351.2,6.8043e-04
351.4,6.9813e-04
351.6,6.6026e-04
351.8,6.8469e-04
352.0,6.9305e-04
352.2,7.4441e-04
352.4,6.9693e-04
352.6,7.5343e-04
352.8,7.1424e-04
353.0,6.7361e-04
353.2,7.523e-04
353.4,6.7827e-04
353.6,7.3157e-04
353.8,7.3931e-04
354.0,7.0001e-04
354.2,5.7216e-04
354.4,6.2806e-04
354.6,6.5373e-04
354.8,5.714e-04
355.0,5.4684e-04
355.2,5.8408e-04
355.4,6.5383e-04
355.6,5.4039e-04
355.8,5.1115e-04
356.0,5.771e-04
356.2,5.6704e-04
356.4,5.7898e-04
356.6,5.1978e-04
356.8,6.2426e-04
357.0,5.3242e-04
357.2,5.7423e-04
357.4,6.1042e-04
357.6,5.5378e-04
357.8,5.8691e-04
358.0,6.077e-04
358.2,5.408e-04
358.4,5.9126e-04
358.6,5.8262e-04
358.8,6.3431e-04
359.0,6.4642e-04
359.2,6.1741e-04
359.4,6.4087e-04
359.6,6.3883e-04
359.8,6.3898e-04
360.0,5.7861e-04
360.2,5.4385e-04
360.4,5.592e-04
360.6,5.8319e-04
360.8,6.3082e-04
361.0,5.4693e-04
361.2,6.4357e-04
361.4,5.8727e-04
361.6,6.5264e-04
361.8,6.1643e-04
362.0,5.9765e-04
362.2,6.9006e-04
362.4,7.9354e-04
362.6,7.435e-04
362.8,8.2105e-04
363.0,8.2086e-04
363.2,8.2959e-04
363.4,8.9869e-04
363.6,8.9158e-04
363.8,9.2419e-04
364.0,9.0575e-04
364.2,9.1425e-04
364.4,8.6536e-04
364.6,8.1518e-04
364.8,7.8339e-04
365.0,6.2231e-04
365.2,4.0719e-04
365.4,4.2851e-04
365.6,4.5433e-04
365.8,4.5178e-04
366.0,4.5693e-04
366.2,3.837e-04
366.4,4.7186e-04
366.6,3.7053e-04
366.8,4.5305e-04
367.0,4.6975e-04
367.2,4.3814e-04
367.4,4.0319e-04
367.6,4.1306e-04
367.8,4.2427e-04
368.0,4.3837e-04
368.2,3.8907e-04
368.4,3.8801e-04
368.6,4.7139e-04
368.8,4.6219e-04
369.0,4.3667e-04
369.2,4.6727e-04
369.4,4.1327e-04
369.6,4.1276e-04
369.8,3.5027e-04
370.0,4.2764e-04
370.2,3.8043e-04
370.4,4.3573e-04
370.6,4.0942e-04
370.8,4.3305e-04
371.0,3.7894e-04
371.2,3.6787e-04
