## Type: filter
## PE-Barr dichroic 405/488/561/640
## Name: Semrock Di01-T405/488/568/647
#Typical Measured Spectrum of Semrock Di01-T405/488/568/647 Optical Filter       
#Values near or below 1e-6 are measurement noise limited.
wavelength,transmission
400, 0.93435
400.2, 0.93298
400.4, 0.9293
400.6, 0.92731
400.8, 0.92621
401, 0.92657
401.2, 0.92663
401.4, 0.92645
401.6, 0.92717
401.8, 0.92795
402, 0.93056
402.2, 0.92872
402.4, 0.9308
402.6, 0.92721
402.8, 0.92251
403, 0.92056
403.2, 0.91433
403.4, 0.90907
403.6, 0.90407
403.8, 0.89839
404, 0.89367
404.2, 0.89016
404.4, 0.88548
404.6, 0.88191
404.8, 0.88359
405, 0.88467
405.2, 0.88775
405.4, 0.89112
405.6, 0.89419
405.8, 0.89877
406, 0.90085
406.2, 0.90248
406.4, 0.90306
406.6, 0.90105
406.8, 0.89857
407, 0.89765
407.2, 0.89095
407.4, 0.88623
407.6, 0.87876
407.8, 0.87078
408, 0.86498
408.2, 0.85783
408.4, 0.85287
408.6, 0.84946
408.8, 0.84545
409, 0.84589
409.2, 0.84508
409.4, 0.84625
409.6, 0.85073
409.8, 0.85493
410, 0.85726
410.2, 0.86262
410.4, 0.86589
410.6, 0.8706
410.8, 0.87488
411, 0.87813
411.2, 0.88254
411.4, 0.88599
411.6, 0.88982
411.8, 0.89183
412, 0.89574
412.2, 0.90027
412.4, 0.9047
412.6, 0.90727
412.8, 0.90805
413, 0.90609
413.2, 0.90344
413.4, 0.89815
413.6, 0.88813
413.8, 0.87444
414, 0.85383
414.2, 0.82984
414.4, 0.80262
414.6, 0.7718
414.8, 0.73839
415, 0.70422
415.2, 0.66923
415.4, 0.637
415.6, 0.60472
415.8, 0.57756
416, 0.55045
416.2, 0.52687
416.4, 0.50747
416.6, 0.48946
416.8, 0.47245
417, 0.45623
417.2, 0.44116
417.4, 0.42367
417.6, 0.40564
417.8, 0.38455
418, 0.36197
418.2, 0.3362
418.4, 0.30746
418.6, 0.2777
418.8, 0.24724
419, 0.21628
419.2, 0.18584
419.4, 0.15698
419.6, 0.13096
419.8, 0.10764
420, 0.08771
420.2, 0.07082
420.4, 0.05715
420.6, 0.04599
420.8, 0.0371
421, 0.03027
421.2, 0.0246
421.4, 0.02039
421.6, 0.01704
421.8, 0.01449
422, 0.0124
422.2, 0.0108
422.4, 0.00951
422.6, 0.00844
422.8, 0.00756
423, 0.00695
423.2, 0.00642
423.4, 0.00597
423.6, 0.00561
423.8, 0.0054
424, 0.00507
424.2, 0.00491
424.4, 0.00479
424.6, 0.00472
424.8, 0.00469
425, 0.00466
425.2, 0.00468
425.4, 0.00472
425.6, 0.00482
425.8, 0.00495
426, 0.00512
426.2, 0.00533
426.4, 0.00561
426.6, 0.006
426.8, 0.00643
427, 0.00686
427.2, 0.00758
427.4, 0.00817
427.6, 0.00887
427.8, 0.00985
428, 0.01074
428.2, 0.01184
428.4, 0.0131
428.6, 0.01431
428.8, 0.01586
429, 0.01759
429.2, 0.01928
429.4, 0.02125
429.6, 0.02344
429.8, 0.02582
430, 0.02834
