## Type: filter
## PE-Barr dichroic 405/640
## Name: Semrock Di01-T442/514/647
#Typical Measured Spectrum of Semrock Di01-T442/514/647 Optical Filter at 45 degrees     
#Values near or below 1e-6 are measurement noise limited.        
wavelength,transmission
300, 0.02642478
300.2, 0.027622723
300.4, 0.028874974
300.6, 0.029186791
300.8, 0.028527305
301, 0.02788272
301.2, 0.02619783
301.4, 0.024614755
301.6, 0.022606293
301.8, 0.02029396
302, 0.01821815
302.2, 0.016441928
302.4, 0.014838884
302.6, 0.013597835
302.8, 0.012651976
303, 0.01177191
303.2, 0.011658549
303.4, 0.011546279
303.6, 0.011667831
303.8, 0.01203064
304, 0.01240473
304.2, 0.013236838
304.4, 0.014124765
304.6, 0.01500455
304.8, 0.015867538
305, 0.01678016
305.2, 0.017191869
305.4, 0.017613679
305.6, 0.018222535
305.8, 0.01903703
306, 0.01988793
306.2, 0.022875464
306.4, 0.02631178
306.6, 0.031098992
306.8, 0.037770972
307, 0.04587436
307.2, 0.05399569
307.4, 0.063554773
307.6, 0.073302975
307.8, 0.082847493
308, 0.09363477
308.2, 0.101566559
308.4, 0.110170249
308.6, 0.116079102
308.8, 0.118800935
309, 0.12158659
309.2, 0.118786128
309.4, 0.116050167
309.6, 0.112430198
309.8, 0.108013324
310, 0.10376997
310.2, 0.101171614
310.4, 0.09863832
310.6, 0.09817302
310.8, 0.099746609
311, 0.10134542
311.2, 0.104440175
311.4, 0.107629433
311.6, 0.10779694
311.8, 0.104928562
312, 0.10213651
312.2, 0.09195554
312.4, 0.082789409
312.6, 0.071623681
312.8, 0.059542006
313, 0.0494983
313.2, 0.037318734
313.4, 0.028136075
313.6, 0.019516535
313.8, 0.012455022
314, 0.00794852
314.2, 0.004005882
314.4, 0.002018877
314.6, 0.001139019
314.8, 0.000719384
315, 0.00045435
315.2, 0.000645541
315.4, 0.000917185
315.6, 0.00129722
315.8, 0.001826393
316, 0.00257143
316.2, 0.002959225
316.4, 0.003405503
316.6, 0.003669767
316.8, 0.003702963
317, 0.00373646
317.2, 0.00348878
317.4, 0.003257517
317.6, 0.002947113
317.8, 0.002583472
318, 0.0022647
318.2, 0.00181266
318.4, 0.001450848
318.6, 0.00097042
318.8, 0.000542413
319, 0.00030318
319.2, 1.23E-05
319.4, 4.97E-07
319.6, 4.81E-07
319.8, 1.11E-05
320, 0.00025675
320.2, 0.000404544
320.4, 0.000637414
320.6, 0.000981319
320.8, 0.001476153
321, 0.00222051
321.2, 0.003005561
321.4, 0.004068162
321.6, 0.005157698
321.8, 0.006124893
322, 0.00727346
322.2, 0.007843939
322.4, 0.008459163
322.6, 0.009198773
322.8, 0.010086529
323, 0.01105996
323.2, 0.014092156
323.4, 0.017955658
323.6, 0.022888041
323.8, 0.029187667
324, 0.03722118
324.2, 0.041481131
324.4, 0.046228632
324.6, 0.048841348
324.8, 0.048919317
325, 0.04899741
325.2, 0.046514555
325.4, 0.044157515
325.6, 0.042389688
325.8, 0.041148658
326, 0.03994396
326.2, 0.040329686
326.4, 0.040719137
326.6, 0.040387113
326.8, 0.039351165
327, 0.03834179
327.2, 0.035890216
327.4, 0.033595395
327.6, 0.031053439
327.8, 0.028344311
328, 0.02587153
328.2, 0.022570367
328.4, 0.019690426
328.6, 0.016589286
