## Type: filter
## PE-Barr dichroic 405/561
## Name: Semrock Di01-T488
#Typical Measured Spectrum of Semrock Di01-T488 Optical Filter at 45 degrees
#Values near or below 1e-6 are measurement noise limited.
wavelength,transmission
300, 0.00023406
300.2, 0.000300349
300.4, 0.000385411
300.6, 0.000532374
300.8, 0.000791593
301, 0.00117703
301.2, 0.001369833
301.4, 0.001594219
301.6, 0.00178867
301.8, 0.001934704
302, 0.00209266
302.2, 0.002215532
302.4, 0.00234562
302.6, 0.002573587
302.8, 0.002926321
303, 0.0033274
303.2, 0.004213804
303.4, 0.005336341
303.6, 0.006647886
303.8, 0.008146936
304, 0.00998401
304.2, 0.011260459
304.4, 0.012700102
304.6, 0.013802537
304.8, 0.014454773
305, 0.01513783
305.2, 0.015028248
305.4, 0.014919459
305.6, 0.014473222
305.8, 0.013719706
306, 0.01300542
306.2, 0.012514595
306.4, 0.012042294
306.6, 0.012014259
306.8, 0.012427396
307, 0.01285474
307.2, 0.015254959
307.4, 0.018103344
307.6, 0.022467672
307.8, 0.029161434
308, 0.03784946
308.2, 0.047276843
308.4, 0.059052358
308.6, 0.06974378
308.8, 0.077884884
309, 0.08697629
309.2, 0.087164951
309.4, 0.087354021
309.6, 0.084277856
309.8, 0.078276901
310, 0.07270324
310.2, 0.066361144
310.4, 0.060572285
310.6, 0.058119937
310.8, 0.058622912
311, 0.05913024
311.2, 0.065991643
311.4, 0.073649236
311.6, 0.080264939
311.8, 0.085420447
312, 0.0909071
312.2, 0.089064991
312.4, 0.08726021
312.6, 0.08253057
312.8, 0.075353393
313, 0.06880037
313.2, 0.059726879
313.4, 0.051850012
313.6, 0.045951663
313.8, 0.041574491
314, 0.03761427
314.2, 0.042180988
314.4, 0.047302147
314.6, 0.05462869
314.8, 0.06497354
315, 0.07727736
315.2, 0.083526355
315.4, 0.090280672
315.6, 0.092965159
315.8, 0.091201046
316, 0.08947041
316.2, 0.081250258
316.4, 0.073785338
316.6, 0.064867536
316.8, 0.055207329
317, 0.04698574
317.2, 0.039130331
317.4, 0.032588244
317.6, 0.029770583
317.8, 0.029832707
318, 0.02989496
318.2, 0.038599761
318.4, 0.049839223
318.6, 0.064208771
318.8, 0.082537994
319, 0.10609953
319.2, 0.124113966
319.4, 0.145187038
319.6, 0.163869311
319.8, 0.178455527
320, 0.19434008
320.2, 0.204422122
320.4, 0.215027204
320.6, 0.224552331
320.8, 0.232809327
321, 0.24136994
321.2, 0.244096312
321.4, 0.246853479
321.6, 0.24542211
321.8, 0.239874741
322, 0.23445276
322.2, 0.221665627
322.4, 0.209575908
322.6, 0.198363788
322.8, 0.18795828
323, 0.17809861
323.2, 0.178534928
323.4, 0.178972315
323.6, 0.183330159
323.8, 0.191896641
324, 0.20086341
324.2, 0.202860214
324.4, 0.204876868
324.6, 0.200591145
324.8, 0.190394052
325, 0.18071533
325.2, 0.162746998
325.4, 0.146565238
325.6, 0.12876275
325.8, 0.110354687
326, 0.09457826
326.2, 0.07941738
326.4, 0.066686786
326.6, 0.059031575
326.8, 0.055087023
327, 0.05140605
327.2, 0.055660366
327.4, 0.060266765
327.6, 0.065651863
327.8, 0.071953772
328, 0.0788606
328.2, 0.083319288
328.4, 0.088030065
328.6, 0.091944583
328.8, 0.094935999
329, 0.09802474
329.2, 0.102181253
329.4, 0.106514014
329.6, 0.113060745
329.8, 0.122204304
330, 0.13208733
330.2, 0.145036489
330.4, 0.159255117
330.6, 0.172820588
330.8, 0.185346131
331, 0.19877949
331.2, 0.206132772
331.4, 0.213758067
331.6, 0.22038793
331.8, 0.225913882
332, 0.23157839
332.2, 0.240747712
332.4, 0.250280093
332.6, 0.258936563
332.8, 0.26660199
333, 0.27449434
333.2, 0.272110735
333.4, 0.269747828
333.6, 0.262568635
333.8, 0.250957597
334, 0.23986001
334.2, 0.22190515
334.4, 0.205294312
334.6, 0.18824354
334.8, 0.171079067
335, 0.15547969
335.2, 0.142521046
335.4, 0.130642456
335.6, 0.124831337
335.8, 0.124335991
336, 0.12384261
336.2, 0.135323674
336.4, 0.147869113
336.6, 0.161103277
336.8, 0.175006633
337, 0.19010986
337.2, 0.197142586
337.4, 0.204435472
337.6, 0.207680693
337.8, 0.206680764
338, 0.20568565
338.2, 0.200279097
338.4, 0.195014658
338.6, 0.188554426
338.8, 0.181027291
339, 0.17380064
339.2, 0.162991976
339.4, 0.152855502
339.6, 0.141864299
339.8, 0.130299377
340, 0.11967724
340.2, 0.108755229
340.4, 0.098829985
340.6, 0.089323558
340.8, 0.080293798
341, 0.07217686
341.2, 0.063760417
341.4, 0.056325404
341.6, 0.049287222
341.8, 0.04272098
342, 0.03702952
342.2, 0.032593034
342.4, 0.028688082
342.6, 0.026251195
342.8, 0.024972815
343, 0.02375669
343.2, 0.025649236
343.4, 0.027692549
343.6, 0.03185798
343.8, 0.039051735
344, 0.04786989
344.2, 0.062649941
344.4, 0.081993402
344.6, 0.106056088
344.8, 0.135578481
345, 0.1733189
345.2, 0.206623804
345.4, 0.246328568
345.6, 0.282775135
345.8, 0.312578902
346, 0.34552391
346.2, 0.359933115
346.4, 0.37494322
346.6, 0.382275536
346.8, 0.381465099
347, 0.38065638
347.2, 0.368232801
347.4, 0.356214694
347.6, 0.340828646
347.8, 0.322548664
