## Type: filter
## Name: Chroma Et442/46m
wavelength,transmission
300.0000,-0.00004
301.0000,-0.00001
302.0000,0.00002
303.0000,0.00002
304.0000,0.00002
305.0000,0.00000
306.0000,0.00011
307.0000,0.00004
308.0000,0.00003
309.0000,0.00010
310.0000,0.00004
311.0000,-0.00001
312.0000,-0.00001
313.0000,-0.00002
314.0000,-0.00007
315.0000,-0.00003
316.0000,0.00002
317.0000,-0.00005
318.0000,-0.00001
319.0000,0.00000
320.0000,0.00003
321.0000,0.00005
322.0000,0.00006
323.0000,0.00001
324.0000,0.00004
325.0000,0.00003
326.0000,0.00002
327.0000,0.00010
328.0000,0.00008
329.0000,0.00003
330.0000,-0.00001
331.0000,-0.00004
332.0000,0.00007
333.0000,0.00004
334.0000,0.00009
335.0000,0.00001
336.0000,0.00000
337.0000,0.00005
338.0000,0.00006
339.0000,-0.00004
340.0000,0.00005
341.0000,0.00007
342.0000,-0.00003
343.0000,-0.00005
344.0000,-0.00002
345.0000,-0.00004
346.0000,0.00001
347.0000,0.00002
348.0000,-0.00001
349.0000,0.00005
350.0000,0.00001
351.0000,0.00002
352.0000,0.00000
353.0000,0.00004
354.0000,0.00001
355.0000,-0.00001
356.0000,0.00001
357.0000,-0.00001
358.0000,0.00003
359.0000,0.00003
360.0000,0.00002
361.0000,0.00005
362.0000,0.00002
363.0000,0.00001
364.0000,0.00002
365.0000,0.00003
366.0000,0.00002
367.0000,0.00005
368.0000,0.00007
369.0000,0.00004
370.0000,0.00006
371.0000,0.00003
372.0000,0.00007
373.0000,0.00003
374.0000,0.00004
375.0000,0.00004
376.0000,0.00004
377.0000,0.00003
378.0000,0.00003
379.0000,0.00004
380.0000,0.00003
381.0000,0.00003
382.0000,0.00004
383.0000,0.00001
384.0000,0.00002
385.0000,0.00002
386.0000,0.00000
387.0000,0.00001
388.0000,0.00003
389.0000,0.00003
390.0000,0.00003
391.0000,0.00003
392.0000,0.00001
393.0000,0.00002
394.0000,0.00004
395.0000,0.00006
396.0000,0.00006
397.0000,0.00007
398.0000,0.00009
399.0000,0.00007
400.0000,0.00003
401.0000,0.00007
402.0000,0.00007
403.0000,0.00009
404.0000,0.00010
405.0000,0.00010
406.0000,0.00014
407.0000,0.00016
408.0000,0.00006
409.0000,0.00006
410.0000,0.00004
411.0000,0.00003
412.0000,0.00004
413.0000,0.00005
414.0000,0.00008
415.0000,0.00014
416.0000,0.00126
417.0000,0.02009
418.0000,0.82836
419.0000,38.72360
420.0000,90.63660
421.0000,95.08840
422.0000,96.01830
423.0000,96.58160
424.0000,96.81080
425.0000,97.10790
426.0000,97.27610
427.0000,97.20050
428.0000,97.27350
429.0000,97.00830
430.0000,97.31960
431.0000,97.62990
432.0000,97.66760
433.0000,97.22960
434.0000,97.18940
435.0000,97.40670
436.0000,97.31480
437.0000,97.76950
438.0000,97.61840
439.0000,97.71410
440.0000,98.00720
441.0000,97.82370
442.0000,97.37000
443.0000,97.44180
444.0000,97.75370
445.0000,97.48400
446.0000,97.82140
447.0000,98.27400
448.0000,98.06530
449.0000,97.89590
450.0000,97.75340
451.0000,98.06470
