## Type: filter
## Name: Chroma ET450/50m
wavelength,transmission
300.00,9.5000001465451E-7
301.00,9.5000001465451E-7
302.00,9.5000001465451E-7
303.00,9.5000001465451E-7
304.00,9.5000001465451E-7
305.00,9.5000001465451E-7
306.00,9.5000001465451E-7
307.00,9.5000001465451E-7
308.00,9.5000001465451E-7
309.00,1.0009999868998E-6
310.00,9.5000001465451E-7
311.00,9.5000001465451E-7
312.00,9.5000001465451E-7
313.00,9.5000001465451E-7
314.00,9.5000001465451E-7
315.00,1.0811199899763E-6
316.00,9.5000001465451E-7
317.00,9.6960195605789E-7
318.00,9.5000001465451E-7
319.00,9.5000001465451E-7
320.00,9.5000001465451E-7
321.00,9.5000001465451E-7
322.00,9.5000001465451E-7
323.00,9.5000001465451E-7
324.00,1.6625300531814E-6
325.00,9.5000001465451E-7
326.00,9.5000001465451E-7
327.00,9.5000001465451E-7
328.00,9.5000001465451E-7
329.00,9.5000001465451E-7
330.00,9.5000001465451E-7
331.00,9.5000001465451E-7
332.00,9.5000001465451E-7
333.00,9.5000001465451E-7
334.00,9.5000001465451E-7
335.00,9.5000001465451E-7
336.00,9.5000001465451E-7
337.00,9.5000001465451E-7
338.00,9.5000001465451E-7
339.00,9.5000001465451E-7
340.00,9.5000001465451E-7
341.00,1.2934300457346E-6
342.00,9.5000001465451E-7
343.00,9.5000001465451E-7
344.00,9.5000001465451E-7
345.00,9.5000001465451E-7
346.00,9.5000001465451E-7
347.00,1.2766299732903E-6
348.00,9.5000001465451E-7
349.00,1.0156400094274E-6
350.00,9.5000001465451E-7
351.00,9.5000001465451E-7
352.00,9.5000001465451E-7
353.00,9.5000001465451E-7
354.00,1.0143500048798E-6
355.00,9.5000001465451E-7
356.00,9.5000001465451E-7
357.00,9.5000001465451E-7
358.00,9.5000001465451E-7
359.00,9.5000001465451E-7
360.00,9.5000001465451E-7
361.00,9.5000001465451E-7
362.00,9.5000001465451E-7
363.00,9.6559699613863E-7
364.00,9.5000001465451E-7
365.00,9.5000001465451E-7
366.00,9.5000001465451E-7
367.00,9.5000001465451E-7
368.00,9.5000001465451E-7
369.00,9.5000001465451E-7
370.00,9.5000001465451E-7
371.00,9.5000001465451E-7
372.00,9.5000001465451E-7
373.00,9.5000001465451E-7
374.00,9.5000001465451E-7
375.00,9.5000001465451E-7
376.00,1.0096599680764E-6
377.00,9.5000001465451E-7
378.00,9.5000001465451E-7
379.00,9.5000001465451E-7
380.00,9.5000001465451E-7
381.00,9.5000001465451E-7
382.00,9.5000001465451E-7
383.00,9.5000001465451E-7
384.00,9.5000001465451E-7
385.00,9.5000001465451E-7
386.00,9.5000001465451E-7
387.00,9.5000001465451E-7
388.00,9.5000001465451E-7
389.00,9.5000001465451E-7
390.00,9.5000001465451E-7
391.00,9.5000001465451E-7
392.00,9.5000001465451E-7
393.00,9.5000001465451E-7
394.00,9.5000001465451E-7
395.00,9.5000001465451E-7
396.00,9.5000001465451E-7
397.00,9.5000001465451E-7
398.00,9.5000001465451E-7
399.00,9.5000001465451E-7
400.00,9.5000001465451E-7
401.00,9.5000001465451E-7
402.00,9.5000001465451E-7
403.00,9.5000001465451E-7
404.00,9.5000001465451E-7
405.00,9.5000001465451E-7
406.00,9.5000001465451E-7
407.00,9.5000001465451E-7
408.00,9.5000001465451E-7
409.00,9.5000001465451E-7
410.00,9.5000001465451E-7
411.00,9.5000001465451E-7
412.00,9.5000001465451E-7
413.00,9.5000001465451E-7
414.00,9.5000001465451E-7
415.00,9.5000001465451E-7
416.00,9.5000001465451E-7
417.00,9.5000001465451E-7
418.00,9.5000001465451E-7
419.00,9.5000001465451E-7
420.00,9.5000001465451E-7
421.00,1.4878099818816E-6
422.00,4.4490998334368E-6
423.00,3.624730015872E-5
424.00,0.00048449001042172
425.00,0.013618799857795
426.00,0.3046590089798
427.00,0.86270701885223
428.00,0.96265697479248
429.00,0.96223098039627
430.00,0.96181797981262
431.00,0.97002899646759
432.00,0.97405999898911
433.00,0.96854001283646
434.00,0.9692599773407
435.00,0.97478801012039
436.00,0.97846299409866
437.00,0.98155200481415
438.00,0.98150300979614
439.00,0.98045802116394
440.00,0.98274302482605
441.00,0.98328298330307
442.00,0.98045998811722
443.00,0.97762602567673
444.00,0.97996699810028
445.00,0.98259401321411
446.00,0.98008698225021
447.00,0.97997200489044
448.00,0.9801669716835
449.00,0.9794750213623
450.00,0.97724902629852
451.00,0.97332698106766
452.00,0.97480601072311
453.00,0.98099702596664
454.00,0.98104000091553
455.00,0.98077601194382
456.00,0.97834300994873
457.00,0.97735297679901
458.00,0.97865498065948
459.00,0.98037701845169
460.00,0.97901898622513
461.00,0.97506999969482
462.00,0.97305101156235
463.00,0.97105801105499
464.00,0.97179800271988
465.00,0.97375100851059
466.00,0.97514301538467
467.00,0.97119897603989
468.00,0.96762102842331
469.00,0.9615730047226
470.00,0.95475101470947
471.00,0.94909399747849
472.00,0.947350025177
473.00,0.93762302398682
474.00,0.92922002077103
475.00,0.95053601264954
476.00,0.80484300851822
477.00,0.061998400837183
478.00,0.024403300136328
479.00,0.0016182899707928
480.00,0.00018350899335928
481.00,3.0595998396166E-5
482.00,6.7735800257651E-6
483.00,1.8894500044553E-6
484.00,9.5000001465451E-7
485.00,9.5000001465451E-7
486.00,9.5000001465451E-7
487.00,9.5000001465451E-7
488.00,9.5000001465451E-7
489.00,9.5000001465451E-7
490.00,9.5000001465451E-7
491.00,9.5000001465451E-7
492.00,9.5000001465451E-7
493.00,9.5000001465451E-7
494.00,9.5000001465451E-7
495.00,9.5000001465451E-7
496.00,9.5000001465451E-7
497.00,9.5000001465451E-7
498.00,9.5000001465451E-7
499.00,9.5000001465451E-7
500.00,9.5000001465451E-7
501.00,9.5000001465451E-7
502.00,9.5000001465451E-7
503.00,9.5000001465451E-7
504.00,9.5000001465451E-7
505.00,9.5000001465451E-7
506.00,9.5000001465451E-7
507.00,9.5000001465451E-7
508.00,9.5000001465451E-7
509.00,9.5000001465451E-7
510.00,9.5000001465451E-7
511.00,9.5000001465451E-7
512.00,9.5000001465451E-7
513.00,9.5000001465451E-7
514.00,9.5000001465451E-7
515.00,9.5000001465451E-7
516.00,9.5000001465451E-7
517.00,9.5000001465451E-7
518.00,9.5000001465451E-7
519.00,9.5000001465451E-7
520.00,9.5000001465451E-7
521.00,9.5000001465451E-7
522.00,9.5000001465451E-7
523.00,9.5000001465451E-7
524.00,9.5000001465451E-7
525.00,9.5000001465451E-7
526.00,9.5000001465451E-7
527.00,9.5000001465451E-7
528.00,9.5000001465451E-7
529.00,9.5000001465451E-7
530.00,9.5000001465451E-7
531.00,9.5000001465451E-7
532.00,1.6985700312944E-6
533.00,2.9020999136264E-5
534.00,8.2478300100775E-6
535.00,1.23611005165E-6
536.00,2.4637599835842E-6
537.00,2.269270044053E-5
538.00,0.00011009300214937
539.00,2.9237100534374E-5
540.00,6.5582999013714E-6
541.00,5.1166698540328E-6
542.00,6.0570800997084E-6
543.00,1.2167400200269E-5
544.00,4.7919300413923E-5
545.00,8.454589988105E-5
546.00,3.3842901757453E-5
547.00,1.3997299902258E-5
548.00,9.7898901003646E-6
549.00,1.038590016833E-5
550.00,1.5132999578782E-5
551.00,3.0481600333587E-5
552.00,6.4342399127781E-5
553.00,6.7367000156082E-5
554.00,3.9964401366888E-5
555.00,2.436519935145E-5
556.00,1.9386599888094E-5
557.00,1.9337499907124E-5
558.00,2.5276100132032E-5
559.00,2.9628199627041E-5
560.00,2.5869099772535E-5
561.00,1.9085800886387E-5
562.00,1.3539700375986E-5
563.00,1.2560900358949E-5
564.00,1.4867399841023E-5
565.00,1.6957899788395E-5
566.00,1.5851699572522E-5
567.00,1.0513699635339E-5
568.00,6.5078302213806E-6
569.00,4.4718599383486E-6
570.00,3.88747002944E-6
571.00,3.5980299344374E-6
572.00,3.6878300306853E-6
573.00,4.3283998820698E-6
574.00,5.4116799219628E-6
575.00,8.0871295722318E-6
576.00,1.3708399819734E-5
577.00,2.838970067387E-5
578.00,5.3859199397266E-5
579.00,8.1241698353551E-5
580.00,8.0003097536974E-5
581.00,5.3473901061807E-5
582.00,3.3567699574633E-5
583.00,2.2326999896904E-5
584.00,1.6599600712652E-5
585.00,1.5012299627415E-5
586.00,1.4738599929842E-5
587.00,1.525599964225E-5
588.00,1.4592899788113E-5
589.00,1.3169299563742E-5
590.00,1.0739499884949E-5
591.00,8.4781404439127E-6
592.00,6.6423799580662E-6
593.00,4.8810798034538E-6
594.00,4.0806799006532E-6
595.00,3.1459799174627E-6
596.00,3.1457600471185E-6
597.00,3.6523199469229E-6
598.00,4.5552001211036E-6
599.00,5.345139925339E-6
600.00,6.0712800404872E-6
601.00,6.3995998971222E-6
602.00,5.6986600611708E-6
603.00,4.816240107175E-6
604.00,3.773410071517E-6
605.00,3.30751004185E-6
606.00,2.6584400529828E-6
607.00,2.7129499358125E-6
608.00,2.6396201064927E-6
609.00,2.9037898912065E-6
610.00,3.0344799597515E-6
611.00,3.7868499020988E-6
612.00,4.1647899706732E-6
613.00,4.7307999011537E-6
614.00,5.5815999076003E-6
615.00,5.5105001592892E-6
616.00,5.2980799409852E-6
617.00,4.9375798880646E-6
618.00,4.2530000428087E-6
619.00,3.9577998904861E-6
620.00,3.5067200769845E-6
621.00,3.451119937381E-6
622.00,3.7322299704101E-6
623.00,3.7891800275247E-6
624.00,4.0603599700262E-6
625.00,4.0529498619435E-6
626.00,3.1290899187297E-6
627.00,2.3772799977451E-6
628.00,1.49144000261E-6
629.00,1.2547300229926E-6
630.00,1.3618399634652E-6
631.00,1.6177300494746E-6
632.00,2.6708100904216E-6
633.00,3.4779000088747E-6
634.00,2.2502099454869E-6
635.00,9.5000001465451E-7
636.00,9.5000001465451E-7
637.00,9.5000001465451E-7
638.00,9.5000001465451E-7
639.00,9.5000001465451E-7
640.00,9.5000001465451E-7
641.00,9.5000001465451E-7
642.00,9.5000001465451E-7
643.00,9.5000001465451E-7
644.00,9.5000001465451E-7
645.00,9.5000001465451E-7
646.00,9.5000001465451E-7
647.00,9.5000001465451E-7
648.00,9.5000001465451E-7
649.00,9.5000001465451E-7
650.00,9.5000001465451E-7
651.00,9.5000001465451E-7
652.00,9.5000001465451E-7
653.00,9.5000001465451E-7
654.00,9.5000001465451E-7
655.00,9.5000001465451E-7
656.00,9.5000001465451E-7
657.00,9.5000001465451E-7
658.00,9.5000001465451E-7
659.00,9.5000001465451E-7
660.00,9.5000001465451E-7
661.00,9.5000001465451E-7
662.00,9.5000001465451E-7
663.00,9.5000001465451E-7
664.00,9.5000001465451E-7
665.00,9.5000001465451E-7
666.00,9.5000001465451E-7
667.00,9.5000001465451E-7
668.00,9.5000001465451E-7
669.00,9.5000001465451E-7
670.00,9.5000001465451E-7
671.00,9.5000001465451E-7
672.00,9.5000001465451E-7
673.00,9.5000001465451E-7
674.00,9.5000001465451E-7
675.00,9.5000001465451E-7
676.00,9.5000001465451E-7
677.00,9.5000001465451E-7
678.00,9.5000001465451E-7
679.00,9.5000001465451E-7
680.00,9.5000001465451E-7
681.00,9.5000001465451E-7
682.00,9.5000001465451E-7
683.00,9.5000001465451E-7
684.00,9.5000001465451E-7
685.00,9.5000001465451E-7
686.00,9.5000001465451E-7
687.00,9.5000001465451E-7
688.00,9.5000001465451E-7
689.00,9.5000001465451E-7
690.00,9.5000001465451E-7
691.00,9.5000001465451E-7
692.00,9.5000001465451E-7
693.00,9.5000001465451E-7
694.00,9.5000001465451E-7
695.00,9.5000001465451E-7
696.00,9.5000001465451E-7
697.00,9.5000001465451E-7
698.00,9.5000001465451E-7
699.00,9.5000001465451E-7
700.00,1.1157400194861E-6
701.00,1.5321099908761E-6
702.00,1.7889300352181E-6
703.00,2.1582400222542E-6
704.00,3.3973999506998E-6
705.00,4.1489502109471E-6
706.00,5.7383399507671E-6
707.00,8.5205201685312E-6
708.00,1.4013099644217E-5
709.00,2.1514899344766E-5
710.00,3.7308200262487E-5
711.00,6.421739817597E-5
712.00,9.4431801699102E-5
713.00,0.00010806300269905
714.00,0.00010312799713574
715.00,9.3143702542875E-5
716.00,7.5392897997517E-5
717.00,5.8508499932941E-5
718.00,4.5175700506661E-5
719.00,3.2295098208124E-5
720.00,2.5177399948006E-5
721.00,2.1449199266499E-5
722.00,1.8178599930252E-5
723.00,1.4865800039843E-5
724.00,1.2678900020546E-5
725.00,1.0855999789783E-5
726.00,9.6249495982192E-6
727.00,8.0787103797775E-6
728.00,6.9835900831094E-6
729.00,6.4160699366766E-6
730.00,5.7513097999617E-6
731.00,5.3382500482257E-6
732.00,4.7054400056368E-6
733.00,4.545529918687E-6
734.00,4.173360139248E-6
735.00,5.0708899834717E-6
736.00,5.2651298574347E-6
737.00,5.664770014846E-6
738.00,5.7120300880342E-6
739.00,6.957429832255E-6
740.00,7.6991600508336E-6
741.00,8.588839591539E-6
742.00,9.7230204119114E-6
743.00,1.1979200280621E-5
744.00,1.4339700101118E-5
745.00,1.6257699826383E-5
746.00,1.987409996218E-5
747.00,2.3215299734147E-5
748.00,3.0746799893677E-5
749.00,3.9241098420462E-5
750.00,5.1235998398624E-5
751.00,7.2479400841985E-5
752.00,0.00011056299990742
753.00,0.00016018400492612
