Type: filter
Name: Semrock FF01-452/45 Diamond CryoSIM
wavelength,transmission
200.0,3.0746e-06
200.2,7.9384e-06
200.4,4.6182e-07
200.6,1.5628e-05
200.8,1.0e-07
201.0,1.0e-07
201.2,1.0716e-05
201.4,4.5584e-06
201.6,1.8236e-07
201.8,1.0e-07
202.0,1.9592e-06
202.2,1.2565e-06
202.4,1.0e-07
202.6,3.6533e-06
202.8,1.1717e-06
203.0,6.5565e-06
203.2,2.4136e-06
203.4,4.0076e-07
203.6,1.0e-07
203.8,1.0e-07
204.0,1.0e-07
204.2,1.0e-07
204.4,2.2541e-06
204.6,3.2877e-07
204.8,6.8371e-06
205.0,1.2088e-06
205.2,1.0e-07
205.4,4.1444e-06
205.6,1.2921e-05
205.8,1.5519e-05
206.0,1.0e-07
206.2,1.0e-07
206.4,1.3364e-06
206.6,3.9869e-06
206.8,8.1164e-07
207.0,1.9812e-06
207.2,5.7513e-06
207.4,8.8608e-07
207.6,1.0e-07
207.8,3.77e-06
208.0,1.1277e-06
208.2,8.5913e-07
208.4,1.0837e-05
208.6,1.0e-07
208.8,1.0e-07
209.0,1.0e-07
209.2,4.1686e-07
209.4,4.9551e-06
209.6,8.8552e-08
209.8,3.5927e-07
210.0,5.0617e-06
210.2,7.8126e-06
210.4,1.5617e-06
210.6,1.0291e-06
210.8,1.1207e-06
211.0,1.6535e-06
211.2,4.4673e-07
211.4,1.0e-07
211.6,1.3208e-06
211.8,1.0e-07
212.0,1.0e-07
212.2,3.8124e-06
212.4,3.0274e-06
212.6,3.3959e-06
212.8,6.3502e-07
213.0,1.0e-07
213.2,1.0e-07
213.4,1.5448e-07
213.6,1.5448e-07
213.8,1.0e-07
214.0,1.0e-07
214.2,1.0e-07
214.4,3.4674e-06
214.6,6.6599e-07
214.8,2.2708e-07
215.0,3.0292e-07
215.2,1.5927e-07
215.4,1.9301e-06
215.6,1.3794e-06
215.8,3.1119e-06
216.0,4.7179e-07
216.2,2.8202e-06
216.4,1.2158e-06
216.6,2.3796e-07
216.8,8.4816e-07
217.0,1.0e-07
217.2,8.5078e-07
217.4,6.7491e-07
217.6,1.6561e-06
217.8,2.6397e-07
218.0,2.3757e-07
218.2,9.0023e-07
218.4,1.7327e-07
218.6,1.3443e-06
218.8,8.0946e-07
219.0,1.5838e-07
219.2,1.0e-07
219.4,1.4659e-06
219.6,1.5214e-06
219.8,2.2773e-08
220.0,1.0e-07
220.2,1.0e-07
220.4,1.0249e-06
220.6,8.9134e-07
220.8,1.6702e-07
221.0,4.569e-08
221.2,1.6371e-06
221.4,1.6531e-06
221.6,5.0221e-06
221.8,2.5867e-06
222.0,1.9897e-07
222.2,9.2956e-07
222.4,1.0e-07
222.6,4.8392e-07
222.8,1.768e-06
223.0,1.0e-07
223.2,8.6448e-08
223.4,1.0e-07
223.6,1.1054e-06
223.8,1.8431e-06
224.0,1.9561e-07
224.2,1.6144e-06
224.4,2.3674e-07
224.6,1.0e-07
224.8,2.6742e-07
225.0,1.7981e-07
225.2,1.0e-07
225.4,1.0e-07
225.6,9.7124e-07
225.8,1.0365e-07
226.0,2.2973e-07
226.2,8.9726e-07
226.4,3.4709e-08
226.6,1.0e-07
226.8,4.9331e-08
227.0,1.1637e-06
227.2,3.5964e-07
227.4,5.5855e-07
227.6,3.7648e-06
227.8,3.4711e-07
228.0,3.9142e-07
228.2,2.2268e-06
228.4,6.7556e-07
228.6,1.2856e-06
228.8,3.8139e-07
229.0,1.0e-07
229.2,2.4979e-07
229.4,1.0e-07
229.6,1.0e-07
229.8,1.0e-07
230.0,1.2539e-06
230.2,1.8929e-07
230.4,7.0397e-08
230.6,1.0e-07
230.8,8.5427e-08
231.0,3.4884e-07
231.2,1.0e-07
231.4,1.2553e-07
231.6,1.2553e-07
231.8,1.0e-07
232.0,1.7993e-07
232.2,1.7993e-07
232.4,1.0e-07
232.6,1.3894e-07
232.8,5.141e-07
233.0,5.82e-08
233.2,5.2466e-07
233.4,8.877e-08
233.6,1.0e-07
233.8,1.2757e-06
234.0,2.3286e-07
234.2,6.6418e-07
234.4,2.5573e-07
234.6,3.0674e-07
234.8,1.0e-07
235.0,1.0226e-06
235.2,2.5431e-07
235.4,1.0e-07
235.6,1.0e-07
235.8,1.0e-07
236.0,1.0e-07
236.2,1.0e-07
236.4,3.2492e-07
236.6,1.0e-07
236.8,6.8539e-07
237.0,8.7341e-08
237.2,1.0e-07
237.4,3.2087e-07
237.6,1.0e-07
237.8,1.0e-07
238.0,3.31e-07
238.2,1.4846e-07
238.4,4.69e-07
238.6,8.229e-07
238.8,6.6023e-07
239.0,1.0e-07
239.2,1.0e-07
239.4,1.0e-07
239.6,8.905e-07
239.8,1.1477e-06
240.0,1.3287e-06
240.2,5.3886e-07
240.4,1.9672e-07
240.6,3.3411e-07
240.8,1.7377e-06
241.0,1.7723e-06
241.2,1.2843e-06
241.4,6.4765e-07
241.6,1.5718e-07
241.8,5.1177e-07
242.0,1.0e-07
242.2,4.3278e-07
242.4,2.2293e-07
242.6,1.9774e-06
242.8,1.0e-07
243.0,1.0e-07
243.2,8.8411e-07
243.4,2.2804e-07
243.6,2.8753e-07
243.8,9.3853e-08
244.0,1.3811e-06
244.2,1.197e-06
244.4,6.8465e-07
244.6,1.1995e-06
244.8,6.128e-07
245.0,1.4269e-06
245.2,1.0e-07
245.4,2.9498e-07
245.6,1.1755e-07
245.8,6.1158e-07
246.0,1.0e-07
246.2,6.021e-07
246.4,1.0069e-06
246.6,8.5744e-07
246.8,1.9051e-06
247.0,1.8429e-06
247.2,1.0366e-06
247.4,3.7881e-07
247.6,1.0e-07
247.8,1.0e-07
248.0,1.0e-07
248.2,1.0e-07
248.4,1.0e-07
248.6,1.5322e-07
248.8,1.0e-07
249.0,1.0e-07
249.2,1.0e-07
249.4,1.705e-07
249.6,1.705e-07
249.8,1.0e-07
250.0,4.9301e-07
250.2,3.3085e-07
250.4,1.0e-07
250.6,1.9434e-07
250.8,1.9434e-07
251.0,9.4485e-07
251.2,1.7156e-06
251.4,8.8978e-07
251.6,1.9791e-06
251.8,4.9212e-07
252.0,3.8303e-08
252.2,2.0154e-07
252.4,4.6719e-07
252.6,3.8204e-07
252.8,5.0925e-07
253.0,1.0e-07
253.2,1.0e-07
253.4,1.0e-07
253.6,1.8904e-07
253.8,1.5028e-06
254.0,2.3722e-08
254.2,7.6089e-07
254.4,1.0109e-06
254.6,4.6346e-07
254.8,3.1224e-07
255.0,6.6745e-07
255.2,6.3084e-07
255.4,7.2296e-07
255.6,8.9459e-07
255.8,1.1541e-06
256.0,2.873e-07
256.2,1.0e-07
256.4,5.9448e-07
256.6,6.8831e-07
256.8,7.6691e-07
257.0,1.0e-07
257.2,1.0e-07
257.4,4.0355e-07
257.6,1.0e-07
257.8,3.372e-07
258.0,1.4758e-07
258.2,2.1434e-07
258.4,1.7623e-07
258.6,8.1786e-08
258.8,1.0e-07
259.0,1.322e-06
259.2,2.0555e-07
259.4,4.5218e-07
259.6,4.2282e-07
259.8,9.4136e-08
260.0,3.335e-07
260.2,5.2168e-07
260.4,1.0e-07
260.6,2.742e-07
260.8,1.7373e-07
261.0,2.3748e-07
261.2,1.0227e-06
261.4,3.3268e-07
261.6,5.039e-08
261.8,1.192e-08
262.0,1.0e-07
262.2,1.6619e-07
262.4,3.3328e-07
262.6,1.959e-07
262.8,1.959e-07
263.0,2.264e-07
263.2,7.8364e-07
263.4,2.1111e-07
263.6,1.0726e-07
263.8,1.5121e-07
264.0,5.8526e-07
264.2,5.9532e-08
264.4,1.3361e-07
264.6,5.6547e-07
264.8,1.0e-07
265.0,5.6411e-07
265.2,8.2197e-08
265.4,3.5838e-07
265.6,4.1119e-07
265.8,2.2318e-07
266.0,1.0e-07
266.2,1.1944e-08
266.4,1.6832e-07
266.6,9.882e-07
266.8,7.5597e-07
267.0,5.4461e-07
267.2,1.1909e-07
267.4,1.2998e-07
267.6,5.902e-08
267.8,2.0239e-07
268.0,1.0e-07
268.2,3.0677e-07
268.4,7.9817e-07
268.6,3.1911e-07
268.8,2.3868e-07
269.0,1.0e-07
269.2,6.6765e-07
269.4,6.2065e-07
269.6,1.0e-07
269.8,3.245e-07
270.0,1.0e-07
270.2,9.539e-08
270.4,3.6055e-07
270.6,1.0947e-07
270.8,4.7676e-08
271.0,1.4194e-07
271.2,1.4194e-07
271.4,1.0e-07
271.6,6.1698e-07
271.8,5.5856e-07
272.0,5.8543e-07
272.2,1.0e-07
272.4,1.0e-07
272.6,1.0e-07
272.8,2.8677e-07
273.0,1.1274e-07
273.2,2.0268e-07
273.4,2.4243e-08
273.6,3.7149e-07
273.8,1.0e-07
274.0,1.0e-07
274.2,1.0e-07
274.4,1.0e-07
274.6,2.8373e-07
274.8,1.0e-07
275.0,4.7823e-08
275.2,1.0e-07
