Type: filter
Name: Semrock FF01-475/23 Optical Filter
wavelength,transmission
260.0,1.0e-07
260.2,9.9537e-08
260.4,9.9077e-08
260.6,9.8618e-08
260.8,9.8162e-08
261.0,9.7708e-08
261.2,9.7256e-08
261.4,9.6806e-08
261.6,9.6358e-08
261.8,9.5912e-08
262.0,9.5469e-08
262.2,9.5912e-08
262.4,9.6358e-08
262.6,9.6806e-08
262.8,9.7256e-08
263.0,9.7708e-08
263.2,9.8162e-08
263.4,9.8618e-08
263.6,9.9077e-08
263.8,9.9537e-08
264.0,1.0e-07
264.2,1.0e-07
264.4,1.0e-07
264.6,1.0e-07
264.8,1.0e-07
265.0,1.0e-07
265.2,1.0e-07
265.4,1.0e-07
265.6,1.0e-07
265.8,1.0e-07
266.0,1.0e-07
266.2,8.6655e-08
266.4,7.5091e-08
266.6,6.5071e-08
266.8,5.6387e-08
267.0,4.8862e-08
267.2,4.2342e-08
267.4,3.6691e-08
267.6,3.1795e-08
267.8,2.7552e-08
268.0,2.3875e-08
268.2,2.7552e-08
268.4,3.1795e-08
268.6,3.6691e-08
268.8,4.2342e-08
269.0,4.8862e-08
269.2,5.6387e-08
269.4,6.5071e-08
269.6,7.5091e-08
269.8,8.6655e-08
270.0,1.0e-07
270.2,9.2877e-08
270.4,8.6262e-08
270.6,8.0118e-08
270.8,7.4411e-08
271.0,6.9111e-08
271.2,6.4189e-08
271.4,5.9617e-08
271.6,5.5371e-08
271.8,5.1427e-08
272.0,4.7764e-08
272.2,5.1427e-08
272.4,5.5371e-08
272.6,5.9617e-08
272.8,6.4189e-08
273.0,6.9111e-08
273.2,7.4411e-08
273.4,8.0118e-08
273.6,8.6262e-08
273.8,9.2877e-08
274.0,1.0e-07
274.2,1.0e-07
274.4,1.0e-07
274.6,1.0e-07
274.8,1.0e-07
275.0,1.0e-07
275.2,1.0e-07
275.4,1.0e-07
275.6,1.0e-07
275.8,1.0e-07
276.0,1.0e-07
276.2,9.6734e-08
276.4,9.3575e-08
276.6,9.0519e-08
276.8,8.7562e-08
277.0,8.4703e-08
277.2,8.1936e-08
277.4,7.926e-08
277.6,7.6672e-08
277.8,7.4168e-08
278.0,7.1746e-08
278.2,5.9976e-08
278.4,5.0137e-08
278.6,4.1912e-08
278.8,3.5036e-08
279.0,2.9289e-08
279.2,2.4484e-08
279.4,2.0467e-08
279.6,1.711e-08
279.8,1.4303e-08
280.0,1.1957e-08
280.2,1.4786e-08
280.4,1.8285e-08
280.6,2.2611e-08
280.8,2.7962e-08
281.0,3.4578e-08
281.2,4.2761e-08
281.4,5.2879e-08
281.6,6.5392e-08
281.8,8.0865e-08
282.0,1.0e-07
282.2,8.0869e-08
282.4,6.5399e-08
282.6,5.2887e-08
282.8,4.277e-08
283.0,3.4588e-08
283.2,2.7971e-08
283.4,2.262e-08
283.6,1.8292e-08
283.8,1.4793e-08
284.0,1.1963e-08
284.2,1.4793e-08
284.4,1.8292e-08
284.6,2.262e-08
284.8,2.7971e-08
285.0,3.4588e-08
285.2,4.277e-08
285.4,5.2887e-08
285.6,6.5399e-08
285.8,8.0869e-08
286.0,1.0e-07
286.2,1.1065e-07
286.4,1.2244e-07
286.6,1.3549e-07
286.8,1.4992e-07
287.0,1.6589e-07
287.2,1.8356e-07
287.4,2.0312e-07
287.6,2.2476e-07
287.8,2.487e-07
288.0,2.7519e-07
288.2,2.487e-07
288.4,2.2476e-07
288.6,2.0312e-07
288.8,1.8356e-07
289.0,1.6589e-07
289.2,1.4992e-07
289.4,1.3549e-07
289.6,1.2244e-07
289.8,1.1065e-07
290.0,1.0e-07
290.2,1.0e-07
290.4,1.0e-07
290.6,1.0e-07
290.8,1.0e-07
291.0,1.0e-07
291.2,1.0e-07
291.4,1.0e-07
291.6,1.0e-07
291.8,1.0e-07
292.0,1.0e-07
292.2,1.0e-07
292.4,1.0e-07
292.6,1.0e-07
292.8,1.0e-07
293.0,1.0e-07
293.2,1.0e-07
293.4,1.0e-07
293.6,1.0e-07
293.8,1.0e-07
294.0,1.0e-07
294.2,1.0e-07
294.4,1.0e-07
294.6,1.0e-07
294.8,1.0e-07
295.0,1.0e-07
295.2,1.0e-07
295.4,1.0e-07
295.6,1.0e-07
295.8,1.0e-07
296.0,1.0e-07
296.2,1.0e-07
296.4,1.0e-07
296.6,1.0e-07
296.8,1.0e-07
297.0,1.0e-07
297.2,1.0e-07
297.4,1.0e-07
297.6,1.0e-07
297.8,1.0e-07
298.0,1.0e-07
298.2,1.0e-07
298.4,1.0e-07
298.6,1.0e-07
298.8,1.0e-07
299.0,1.0e-07
299.2,1.0e-07
299.4,1.0e-07
299.6,1.0e-07
299.8,1.0e-07
300.0,1.0e-07
300.2,1.0e-07
300.4,1.0e-07
300.6,1.0e-07
300.8,1.0e-07
301.0,1.0e-07
301.2,1.0e-07
301.4,1.0e-07
301.6,1.0e-07
301.8,1.0e-07
302.0,1.0e-07
302.2,1.0e-07
302.4,1.0e-07
302.6,1.0e-07
302.8,1.0e-07
303.0,1.0e-07
303.2,1.0e-07
303.4,1.0e-07
303.6,1.0e-07
303.8,1.0e-07
304.0,1.0e-07
304.2,9.8259e-08
304.4,9.6549e-08
304.6,9.4868e-08
304.8,9.3217e-08
305.0,9.1594e-08
305.2,9.0e-08
305.4,8.8433e-08
305.6,8.6893e-08
305.8,8.5381e-08
306.0,8.3895e-08
306.2,8.5381e-08
306.4,8.6893e-08
306.6,8.8433e-08
306.8,9.0e-08
307.0,9.1594e-08
307.2,9.3217e-08
307.4,9.4868e-08
307.6,9.6549e-08
307.8,9.8259e-08
308.0,1.0e-07
308.2,1.0e-07
308.4,1.0e-07
308.6,1.0e-07
308.8,1.0e-07
309.0,1.0e-07
309.2,1.0e-07
309.4,1.0e-07
309.6,1.0e-07
309.8,1.0e-07
310.0,1.0e-07
310.2,1.0914e-07
310.4,1.1911e-07
310.6,1.3e-07
310.8,1.4188e-07
311.0,1.5485e-07
311.2,1.69e-07
311.4,1.8444e-07
311.6,2.013e-07
311.8,2.1969e-07
312.0,2.3977e-07
312.2,2.1969e-07
312.4,2.013e-07
312.6,1.8444e-07
312.8,1.69e-07
313.0,1.5485e-07
313.2,1.4188e-07
313.4,1.3e-07
313.6,1.1911e-07
313.8,1.0914e-07
314.0,1.0e-07
314.2,1.0e-07
314.4,1.0e-07
314.6,1.0e-07
314.8,1.0e-07
315.0,1.0e-07
315.2,1.0e-07
315.4,1.0e-07
315.6,1.0e-07
315.8,1.0e-07
316.0,1.0e-07
316.2,1.0e-07
316.4,1.0e-07
316.6,1.0e-07
316.8,1.0e-07
317.0,1.0e-07
317.2,1.0e-07
317.4,1.0e-07
317.6,1.0e-07
317.8,1.0e-07
318.0,1.0e-07
318.2,1.1699e-07
318.4,1.3686e-07
318.6,1.6012e-07
318.8,1.8732e-07
319.0,2.1914e-07
319.2,2.5637e-07
319.4,2.9992e-07
319.6,3.5088e-07
319.8,4.1049e-07
320.0,4.8022e-07
320.2,4.8022e-07
320.4,4.8023e-07
