## Type: filter
## Name: 510/10
wavelength,transmission
300,0
302,0
304,0
306,0
308,0
310,0
312,0
314,0
316,0
318,0
320,0
322,0
324,0
326,0
328,0
330,0
332,0
334,0
336,0
338,0
340,0
342,0
344,0
346,0
348,0
350,0
352,0
354,0
356,0
358,0
360,0
362,0
364,0
366,0
368,0
370,0
372,0
374,0
376,0
378,0
380,0
382,0
384,0
386,0
388,0
390,0
392,0
394,0
396,0
398,0
400,0
402,0
404,0
406,0
408,0
410,0
412,0
414,0
416,0
418,0
420,0
422,0
424,0
426,0
428,0
430,0
432,0
434,0
436,0
438,0
440,0
442,0
444,0
446,0
448,0
450,0
452,0
454,0
456,0
458,0
460,0
462,0
464,0
466,0
468,0
470,0
472,0
474,0
476,0
478,0
480,0
482,0
484,0
486,0
488,0
490,0
492,0
494,0
496,0
498,0
500,0.23
502,8.67
504,46.52
506,81.55
508,83.6
510,83.62
512,80.91
514,73.19
516,61.87
518,34.51
520,7.05
522,0.37
524,0
526,0
528,0
530,0
532,0
534,0
536,0
538,0
540,0
542,0
544,0
546,0
548,0
550,0
552,0
554,0
556,0
558,0
560,0
562,0
564,0
566,0
568,0
570,0
572,0
574,0
576,0
578,0
580,0
582,0
584,0
586,0
588,0
590,0
592,0
594,0
596,0
598,0
600,0
602,0
604,0
606,0
608,0
610,0
612,0
614,0
616,0
618,0
620,0
622,0
624,0
626,0
628,0
630,0
632,0
634,0
636,0
638,0
640,0
642,0
644,0
646,0
648,0
650,0
652,0
654,0
656,0
658,0
660,0
662,0
664,0
666,0
668,0
670,0
672,0
674,0
676,0
678,0
680,0
682,0
684,0
686,0
688,0
690,0
692,0
694,0
696,0
698,0
700,0
702,0
704,0
706,0
708,0
710,0
712,0
714,0
716,0
718,0
720,0
722,0
724,0
726,0
728,0
730,0
732,0
734,0
736,0
738,0
740,0
742,0
744,0
746,0
748,0
750,0
752,0
754,0
756,0
758,0
760,0
762,0
764,0
766,0
768,0
770,0
772,0
774,0
776,0
778,0
780,0
782,0
784,0
786,0
788,0
790,0
792,0
794,0
796,0
798,0
800,0
