## Type: filter
## Name: Semrock FF01-520/35 Diamond CryoSIM
wavelength,transmission
270.0,2.9833e-06
270.2,3.1675e-06
270.4,3.3631e-06
270.6,3.5708e-06
270.8,3.7912e-06
271.0,4.0253e-06
271.2,4.2739e-06
271.4,4.5377e-06
271.6,4.8179e-06
271.8,5.1154e-06
272.0,5.4313e-06
272.2,5.7666e-06
272.4,6.1227e-06
272.6,6.5007e-06
272.8,6.5004e-06
273.0,6.2557e-06
273.2,6.0202e-06
273.4,5.7935e-06
273.6,5.5754e-06
273.8,5.3655e-06
274.0,5.1635e-06
274.2,4.9691e-06
274.4,4.782e-06
274.6,4.602e-06
274.8,4.4287e-06
275.0,4.262e-06
275.2,4.6047e-06
275.4,4.975e-06
275.6,5.3751e-06
275.8,5.8074e-06
276.0,6.2744e-06
276.2,6.779e-06
276.4,7.3242e-06
276.6,7.9132e-06
276.8,8.5495e-06
277.0,9.2371e-06
277.2,9.98e-06
277.4,1.0783e-05
277.6,1.165e-05
277.8,1.0889e-05
278.0,9.5516e-06
278.2,8.3783e-06
278.4,7.3491e-06
278.6,6.4463e-06
278.8,5.6544e-06
279.0,4.9598e-06
279.2,4.3505e-06
279.4,3.8161e-06
279.6,3.3473e-06
279.8,2.9361e-06
280.0,2.5755e-06
280.2,2.2591e-06
280.4,1.9816e-06
280.6,1.7382e-06
280.8,1.5246e-06
281.0,1.3373e-06
281.2,1.1731e-06
281.4,1.029e-06
281.6,9.0256e-07
281.8,8.6817e-07
282.0,8.5336e-07
282.2,8.3879e-07
282.4,8.2447e-07
282.6,8.104e-07
282.8,7.9657e-07
283.0,7.8297e-07
283.2,7.6961e-07
283.4,7.5647e-07
283.6,7.4356e-07
283.8,7.3087e-07
284.0,7.184e-07
284.2,7.0613e-07
284.4,6.9408e-07
284.6,6.8224e-07
284.8,6.7059e-07
285.0,6.5915e-07
285.2,6.4789e-07
285.4,6.3684e-07
285.6,6.2597e-07
285.8,6.1535e-07
286.0,6.0492e-07
286.2,5.9467e-07
286.4,5.8459e-07
286.6,5.7468e-07
286.8,5.6494e-07
287.0,5.5537e-07
287.2,5.4595e-07
287.4,5.367e-07
287.6,5.276e-07
287.8,5.1866e-07
288.0,5.0987e-07
288.2,5.0123e-07
288.4,4.9273e-07
288.6,4.8438e-07
288.8,4.7617e-07
289.0,4.681e-07
289.2,4.6016e-07
289.4,4.5237e-07
289.6,4.462e-07
289.8,4.6204e-07
290.0,4.7845e-07
290.2,4.9543e-07
290.4,5.1302e-07
290.6,5.3124e-07
290.8,5.501e-07
291.0,5.6963e-07
291.2,5.8985e-07
291.4,6.1079e-07
291.6,6.3248e-07
291.8,6.5493e-07
292.0,6.7818e-07
292.2,7.0226e-07
292.4,7.2719e-07
292.6,7.5301e-07
292.8,7.7974e-07
293.0,8.0742e-07
293.2,8.3609e-07
293.4,8.6577e-07
293.6,8.6997e-07
293.8,7.7801e-07
294.0,6.9576e-07
294.2,6.2222e-07
294.4,5.5644e-07
294.6,4.9762e-07
294.8,4.4502e-07
295.0,3.9798e-07
295.2,2.513e-07
295.4,1.5868e-07
295.6,1.2101e-07
295.8,1.2639e-07
296.0,1.3201e-07
296.2,1.3788e-07
296.4,1.44e-07
296.6,1.5041e-07
296.8,1.5709e-07
297.0,1.6407e-07
297.2,1.7137e-07
297.4,1.7899e-07
297.6,1.8694e-07
297.8,1.9525e-07
298.0,2.0393e-07
298.2,2.13e-07
298.4,2.2246e-07
298.6,2.3235e-07
298.8,2.4268e-07
299.0,2.5347e-07
299.2,2.6474e-07
299.4,2.7651e-07
299.6,2.8734e-07
299.8,2.8376e-07
300.0,2.8022e-07
300.2,2.7673e-07
300.4,2.7328e-07
300.6,2.6987e-07
300.8,2.6651e-07
301.0,2.6318e-07
301.2,2.599e-07
301.4,2.5666e-07
301.6,2.5346e-07
301.8,2.503e-07
302.0,2.4718e-07
302.2,2.441e-07
302.4,2.4106e-07
302.6,2.3805e-07
302.8,2.3508e-07
303.0,2.3215e-07
303.2,2.2926e-07
303.4,2.264e-07
303.6,2.2358e-07
303.8,2.5643e-07
304.0,3.0461e-07
304.2,3.6185e-07
304.4,4.2985e-07
304.6,5.1062e-07
304.8,6.0657e-07
305.0,7.2055e-07
305.2,6.7058e-07
305.4,6.2408e-07
305.6,5.808e-07
305.8,5.4052e-07
306.0,5.0304e-07
306.2,4.6815e-07
306.4,4.3569e-07
306.6,4.0547e-07
306.8,3.7548e-07
307.0,3.4339e-07
307.2,3.1404e-07
307.4,2.872e-07
307.6,2.6265e-07
307.8,2.4021e-07
308.0,2.1968e-07
308.2,2.009e-07
308.4,1.8373e-07
308.6,1.6803e-07
308.8,1.5367e-07
309.0,1.4054e-07
309.2,1.2852e-07
309.4,1.1754e-07
309.6,1.0749e-07
309.8,9.8307e-08
310.0,8.9905e-08
310.2,8.2221e-08
310.4,7.5194e-08
310.6,6.8768e-08
310.8,6.289e-08
311.0,6.2228e-08
311.2,6.1883e-08
311.4,6.154e-08
311.6,6.1199e-08
311.8,6.086e-08
312.0,6.0523e-08
312.2,6.0187e-08
312.4,5.9853e-08
312.6,5.9522e-08
312.8,5.9192e-08
313.0,5.8864e-08
313.2,5.8537e-08
313.4,5.8213e-08
313.6,5.789e-08
313.8,5.7569e-08
314.0,5.725e-08
314.2,5.6933e-08
314.4,5.6617e-08
314.6,5.6304e-08
314.8,5.5992e-08
315.0,5.5706e-08
315.2,5.5439e-08
315.4,5.5173e-08
315.6,5.4908e-08
315.8,5.4644e-08
316.0,5.4382e-08
316.2,5.4121e-08
316.4,5.3861e-08
316.6,5.3603e-08
316.8,5.3345e-08
317.0,5.3089e-08
317.2,5.2835e-08
317.4,5.2581e-08
317.6,5.2329e-08
317.8,5.2077e-08
318.0,5.1827e-08
318.2,5.1579e-08
318.4,5.1331e-08
318.6,5.1085e-08
318.8,5.084e-08
319.0,5.0636e-08
319.2,5.0538e-08
319.4,5.044e-08
319.6,5.0343e-08
319.8,5.0245e-08
320.0,5.0148e-08
320.2,5.0052e-08
320.4,4.9955e-08
320.6,4.9858e-08
320.8,4.9762e-08
321.0,4.9666e-08
321.2,4.957e-08
321.4,4.9474e-08
321.6,4.9379e-08
321.8,4.9283e-08
322.0,4.9188e-08
322.2,4.9093e-08
322.4,4.8998e-08
322.6,4.8904e-08
322.8,4.8809e-08
323.0,4.8715e-08
323.2,4.8167e-08
323.4,4.7605e-08
323.6,4.705e-08
323.8,4.65e-08
324.0,4.5958e-08
324.2,4.5421e-08
324.4,4.4891e-08
324.6,4.4367e-08
324.8,4.3849e-08
325.0,4.3337e-08
325.2,4.2832e-08
325.4,4.2332e-08
325.6,4.1837e-08
325.8,4.1349e-08
326.0,4.0866e-08
326.2,4.0389e-08
326.4,3.9918e-08
326.6,3.9452e-08
326.8,3.8992e-08
327.0,3.8536e-08
327.2,4.1071e-08
327.4,4.5627e-08
327.6,5.0689e-08
327.8,5.6313e-08
328.0,6.256e-08
328.2,6.9501e-08
328.4,7.7211e-08
328.6,8.5777e-08
328.8,9.5294e-08
329.0,1.0587e-07
329.2,1.1761e-07
329.4,1.3066e-07
329.6,1.4515e-07
329.8,1.6126e-07
330.0,1.7915e-07
330.2,1.9902e-07
330.4,2.211e-07
330.6,2.4563e-07
330.8,2.7288e-07
331.0,3.0316e-07
331.2,3.1081e-07
331.4,2.7359e-07
331.6,2.4084e-07
331.8,2.12e-07
332.0,1.8662e-07
332.2,1.6428e-07
332.4,1.4461e-07
332.6,1.273e-07
332.8,1.1205e-07
333.0,9.8638e-08
333.2,8.6829e-08
333.4,7.6433e-08
333.6,6.7282e-08
333.8,5.9226e-08
334.0,5.2135e-08
334.2,4.5893e-08
334.4,4.0399e-08
334.6,3.5562e-08
334.8,3.1304e-08
335.0,2.7556e-08
335.2,2.446e-08
335.4,2.5056e-08
335.6,2.5666e-08
335.8,2.6291e-08
336.0,2.6932e-08
336.2,2.7588e-08
336.4,2.826e-08
336.6,2.8948e-08
336.8,2.9653e-08
337.0,3.0375e-08
337.2,3.1115e-08
337.4,3.1873e-08
337.6,3.265e-08
337.8,3.3445e-08
338.0,3.426e-08
338.2,3.5094e-08
338.4,3.5949e-08
338.6,3.6825e-08
338.8,3.7722e-08
339.0,3.864e-08
339.2,3.9582e-08
339.4,3.9531e-08
339.6,3.919e-08
339.8,3.8852e-08
340.0,3.8518e-08
340.2,3.8186e-08
340.4,3.7857e-08
340.6,3.7531e-08
340.8,3.7207e-08
341.0,3.6887e-08
341.2,3.6569e-08
341.4,3.6254e-08
341.6,3.5942e-08
341.8,3.5632e-08
342.0,3.5325e-08
342.2,3.5021e-08
342.4,3.4719e-08
342.6,3.442e-08
342.8,3.4123e-08
343.0,3.3829e-08
343.2,3.3538e-08
343.4,3.2763e-08
343.6,3.1539e-08
343.8,3.036e-08
344.0,2.9226e-08
344.2,2.8133e-08
344.4,2.7082e-08
344.6,2.607e-08
344.8,2.5096e-08
345.0,2.4158e-08
345.2,2.3255e-08
345.4,2.2386e-08
345.6,2.1549e-08
345.8,2.0744e-08
346.0,1.9969e-08
346.2,1.9222e-08
346.4,1.8504e-08
346.6,1.7813e-08
346.8,1.7147e-08
347.0,1.6506e-08
347.2,1.5889e-08
347.4,1.5438e-08
347.6,1.5445e-08
347.8,1.5452e-08
348.0,1.546e-08
348.2,1.5467e-08
348.4,1.5474e-08
348.6,1.5482e-08
348.8,1.5489e-08
349.0,1.5496e-08
349.2,1.5504e-08
349.4,1.5511e-08
349.6,1.5518e-08
349.8,1.5526e-08
350.0,1.5533e-08
350.2,1.5541e-08
350.4,1.5548e-08
350.6,1.5555e-08
350.8,1.5563e-08
351.0,1.557e-08
351.2,1.5578e-08
351.4,1.5585e-08
351.6,1.8021e-08
351.8,2.0883e-08
352.0,2.42e-08
352.2,2.8044e-08
352.4,3.2499e-08
352.6,3.7661e-08
352.8,4.3644e-08
353.0,5.0576e-08
353.2,5.861e-08
353.4,6.792e-08
353.6,7.8709e-08
353.8,9.1211e-08
354.0,1.057e-07
354.2,1.2249e-07
354.4,1.4195e-07
354.6,1.6449e-07
354.8,1.9062e-07
355.0,2.209e-07
355.2,2.5599e-07
355.4,2.9665e-07
355.6,2.9656e-07
355.8,2.8148e-07
356.0,2.6716e-07
356.2,2.5358e-07
356.4,2.4068e-07
356.6,2.2844e-07
356.8,2.1682e-07
357.0,2.0579e-07
357.2,1.9533e-07
357.4,1.8539e-07
357.6,1.7596e-07
357.8,1.6701e-07
358.0,1.5852e-07
358.2,1.5046e-07
358.4,1.428e-07
358.6,1.3554e-07
358.8,1.2865e-07
359.0,1.221e-07
359.2,1.1589e-07
359.4,1.1e-07
359.6,1.4085e-07
359.8,2.4187e-07
360.0,4.1533e-07
360.2,4.3443e-07
360.4,4.5441e-07
360.6,4.7531e-07
360.8,4.9717e-07
361.0,5.2004e-07
361.2,5.4395e-07
361.4,5.6897e-07
361.6,5.9514e-07
