## Type: filter,
## Name: Semrock FF01-520/44-25,
wavelength,transmission
341.2,8.62E-07
341.4,8.38E-07
341.6,8.15E-07
341.8,7.93E-07
342,7.70E-07
342.2,7.49E-07
342.4,7.28E-07
342.6,7.08E-07
342.8,6.88E-07
343,6.61E-07
343.2,6.19E-07
343.4,5.79E-07
343.6,5.43E-07
343.8,5.08E-07
344,4.76E-07
344.2,4.46E-07
344.4,4.18E-07
344.6,3.91E-07
344.8,3.66E-07
345,3.37E-07
345.2,2.97E-07
345.4,2.62E-07
345.6,2.31E-07
345.8,2.04E-07
346,1.80E-07
346.2,1.59E-07
346.4,1.40E-07
346.6,1.24E-07
346.8,1.09E-07
347,1.05E-07
347.2,1.26E-07
347.4,1.50E-07
347.6,1.78E-07
347.8,2.13E-07
348,2.53E-07
348.2,3.02E-07
348.4,3.60E-07
348.6,4.29E-07
348.8,5.11E-07
349,5.81E-07
349.2,5.81E-07
349.4,5.81E-07
349.6,5.81E-07
349.8,5.81E-07
350,5.81E-07
350.2,5.80E-07
350.4,5.80E-07
350.6,5.80E-07
350.8,5.80E-07
351,5.52E-07
351.2,4.48E-07
351.4,3.64E-07
351.6,2.96E-07
351.8,2.41E-07
352,1.96E-07
352.2,1.59E-07
352.4,1.29E-07
352.6,1.05E-07
352.8,8.53E-08
353,7.29E-08
353.2,7.53E-08
353.4,7.78E-08
353.6,8.03E-08
353.8,8.30E-08
354,8.57E-08
354.2,8.85E-08
354.4,9.14E-08
354.6,9.43E-08
354.8,9.74E-08
355,1.00E-07
355.2,1.00E-07
355.4,1.00E-07
355.6,1.00E-07
355.8,1.00E-07
356,1.00E-07
356.2,1.00E-07
356.4,1.00E-07
356.6,1.00E-07
356.8,1.00E-07
357,1.00E-07
357.2,1.00E-07
357.4,1.00E-07
357.6,1.00E-07
357.8,1.00E-07
358,1.00E-07
358.2,1.00E-07
358.4,1.00E-07
358.6,1.00E-07
358.8,1.00E-07
359,1.03E-07
359.2,1.29E-07
359.4,1.61E-07
359.6,2.01E-07
359.8,2.51E-07
360,3.13E-07
