Type: filter
Name: Chroma ET540/80x batch 283571
wavelength,transmission
265.0,3.5119e-05
265.2,3.7414e-05
265.4,3.9859e-05
265.6,4.2464e-05
265.8,4.5238e-05
266.0,4.8195e-05
266.2,5.1344e-05
266.4,5.4699e-05
266.6,5.8274e-05
266.8,6.2082e-05
267.0,6.6139e-05
267.2,6.1122e-05
267.4,5.2989e-05
267.6,4.5938e-05
267.8,3.9826e-05
268.0,3.4527e-05
268.2,2.9933e-05
268.4,2.595e-05
268.6,2.2497e-05
268.8,1.9504e-05
269.0,1.6909e-05
269.2,1.4659e-05
269.4,1.2708e-05
269.6,1.1017e-05
269.8,9.5515e-06
270.0,8.2806e-06
270.2,7.1788e-06
270.4,6.2236e-06
270.6,5.3955e-06
270.8,4.6776e-06
271.0,5.1784e-06
271.2,5.7615e-06
271.4,6.4102e-06
271.6,7.132e-06
271.8,7.9351e-06
272.0,8.8286e-06
272.2,9.8227e-06
272.4,1.0929e-05
272.6,1.2159e-05
272.8,1.3528e-05
273.0,1.5052e-05
273.2,1.6747e-05
273.4,1.8632e-05
273.6,2.073e-05
273.8,2.3065e-05
274.0,2.5662e-05
274.2,2.8551e-05
274.4,3.1766e-05
274.6,2.6726e-05
274.8,1.0959e-05
275.0,4.494e-06
275.2,2.8256e-06
275.4,1.7766e-06
275.6,1.2966e-06
275.8,1.4983e-06
276.0,1.7313e-06
276.2,2.0005e-06
276.4,2.3116e-06
276.6,2.671e-06
276.8,3.0864e-06
277.0,3.5663e-06
277.2,4.1209e-06
277.4,4.7618e-06
277.6,5.5022e-06
277.8,6.3579e-06
278.0,7.3466e-06
278.2,8.489e-06
278.4,9.8091e-06
278.6,1.1334e-05
278.8,1.3097e-05
279.0,1.5134e-05
279.2,1.7487e-05
279.4,1.7001e-05
279.6,1.435e-05
279.8,1.2112e-05
280.0,1.0223e-05
280.2,8.6289e-06
280.4,7.2832e-06
280.6,6.1475e-06
280.8,5.1888e-06
281.0,4.3796e-06
281.2,3.6967e-06
281.4,3.1202e-06
281.6,2.6336e-06
281.8,2.2229e-06
282.0,1.8763e-06
282.2,1.5837e-06
282.4,1.3367e-06
282.6,1.1283e-06
282.8,9.5231e-07
283.0,8.038e-07
283.2,7.7322e-07
283.4,7.6048e-07
283.6,7.4795e-07
283.8,7.3563e-07
284.0,7.2351e-07
284.2,7.1159e-07
284.4,6.9986e-07
284.6,6.8833e-07
284.8,6.7699e-07
285.0,6.6583e-07
