## Type: filter
## Name: Chroma ET605LP
wavelength,transmission
300,0.0000002
301,0.0000001
302,0.0000005
303,0.0000001
304,0.0000007
305,0.0000005
306,0.0000001
307,0
308,0.0000002
309,0.0000002
310,0.0000007
311,0.0000003
312,0.0000001
313,0.0000003
314,0.0000003
315,0
316,0.0000003
317,0.0000003
318,0.0000003
319,0.0000004
320,0.0000007
321,0.0000002
322,0.0000004
323,0.0000003
324,0.0000001
325,0.0000006
326,0.0000004
327,0.0000004
328,0.0000002
329,0.0000003
330,0.0000006
331,0.0000004
332,0.0000002
333,0.0000001
334,0.0000004
335,0.0000006
336,0.000001
337,0.0000008
338,0.0000005
339,0.0000005
340,0.0000006
341,0.0000004
342,0.0000003
343,0.000001
344,0.0000005
345,0.0000011
346,0.0000003
347,0.0000002
348,0.0000007
349,0.0000003
350,0.0000005
351,0.0000008
352,0.0000005
353,0.0000007
354,0.0000007
355,0.0000007
356,0.0000008
357,0.0000003
358,0.0000005
359,0.0000004
360,0.0000003
361,0.0000004
362,0.000001
363,0.000001
364,0.000001
365,0.0000004
366,0.0000004
367,0.0000005
368,0.0000003
369,0.0000005
370,0.000001
371,0.0000002
372,0.0000001
373,0.0000002
374,0.0000001
375,0.0000003
376,0
377,0.0000003
378,0.0000002
379,0.0000002
380,0.0000001
381,0.0000002
382,0.0000001
383,0.0000002
384,0.0000001
385,0.0000002
386,0.0000001
387,0.0000002
388,0.0000002
389,0.0000002
390,0.0000003
391,0.0000002
392,0.0000003
393,0
394,0
395,0
396,0
397,0.0000001
398,0.0000001
399,0.0000002
400,0.0000002
401,0
402,0.0000001
403,0.0000002
404,0.0000001
405,0.0000002
406,0
407,0
408,0.0000001
409,0.0000001
410,0.0000001
411,0.0000001
412,0.0000001
413,0.0000001
414,0
415,0.0000001
416,0.0000001
417,0.0000001
418,0.0000001
419,0.0000002
420,0
421,0.0000002
422,0
423,0.0000002
424,0.0000001
425,0.0000001
426,0
427,0.0000001
428,0.0000001
429,0.0000001
430,0.0000002
431,0.0000001
432,0.0000003
433,0.0000002
434,0.0000001
435,0.0000002
436,0.0000002
437,0.0000001
438,0.0000001
439,0.0000002
440,0.0000001
441,0.0000002
442,0.0000001
443,0.0000002
444,0.0000003
445,0.0000001
446,0.0000001
447,0.0000005
448,0.0000004
449,0.0000004
450,0.0000003
451,0.0000012
452,0.0000006
453,0.0000003
454,0.000001
455,0.0000003
456,0.0000003
457,0.0000001
458,0.0000001
459,0.0000001
460,0
461,0.0000001
462,0
463,0.0000001
464,0.0000001
465,0.0000001
466,0.0000001
467,0.0000002
468,0.0000001
469,0.0000001
470,0.0000001
471,0.0000001
472,0
473,0
474,0.0000001
475,0.0000001
476,0
477,0
478,0
479,0.0000001
480,0.0000001
481,0.0000002
482,0.0000001
483,0.0000001
484,0
485,0.0000001
486,0
487,0.0000001
488,0.0000001
489,0.0000001
490,0
491,0.0000001
492,0.0000001
493,0.0000002
494,0.0000001
495,0.0000001
496,0.0000001
497,0.0000001
498,0.0000001
499,0.0000001
500,0.0000001
501,0.0000001
502,0.0000001
503,0.0000001
504,0.0000001
505,0
506,0.0000001
507,0.0000001
508,0.0000001
509,0.0000001
510,0.0000001
511,0.0000001
512,0.0000001
513,0.0000001
514,0
515,0.0000001
516,0
517,0.0000002
518,0.0000001
519,0.0000001
520,0.0000002
521,0.0000001
522,0.0000001
523,0.0000001
524,0.0000001
525,0.0000001
526,0.0000001
527,0.0000001
528,0.0000001
529,0.0000001
530,0.0000001
531,0.0000001
532,0.0000001
533,0.0000001
534,0.0000001
535,0.0000001
536,0
537,0.0000001
538,0.0000001
539,0.0000001
540,0.0000001
541,0.0000001
542,0.0000002
543,0.0000001
544,0.0000001
545,0
546,0.0000001
547,0
548,0.0000001
549,0
550,0.0000001
551,0.0000001
552,0.0000002
553,0.0000001
554,0.0000001
555,0.0000001
556,0.0000001
557,0.0000002
558,0.0000001
559,0.0000002
560,0.0000001
561,0.0000001
562,0.0000001
563,0.0000001
564,0.0000001
565,0.0000001
566,0.0000001
567,0.0000001
568,0.0000001
569,0.0000002
570,0.0000002
571,0.0000001
572,0
573,0.0000001
574,0.0000002
575,0.0000001
576,0.0000001
577,0.0000001
578,0.0000002
579,0.0000001
580,0.0000001
581,0.0000001
582,0
583,0
584,0.0000001
585,0.0000001
586,0.0000001
587,0
588,0.0000001
589,0.0000002
590,0.0000001
