#Typical Measured Spectrum of Semrock FF01-609/54 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: Filter
#Name: Semrock FF01-609_54
wavelength,transmission
300.0, 1.6234e-06
300.2, 1.4965e-06
300.4, 1.3795e-06
300.6, 1.2716e-06
300.8, 1.1722e-06
301.0, 1.0806e-06
301.2, 9.9611e-07
301.4, 9.1824e-07
301.6, 8.4645e-07
301.8, 7.8028e-07
302.0, 6.713e-07
302.2, 5.7734e-07
302.4, 4.9653e-07
302.6, 4.2703e-07
302.8, 3.6725e-07
303.0, 3.1585e-07
303.2, 2.7164e-07
303.4, 2.3362e-07
303.6, 2.0092e-07
303.8, 1.728e-07
304.0, 1.8053e-07
304.2, 1.9893e-07
304.4, 2.1921e-07
304.6, 2.4156e-07
304.8, 2.6619e-07
305.0, 2.9332e-07
305.2, 3.2323e-07
305.4, 3.5618e-07
305.6, 3.9249e-07
305.8, 4.325e-07
306.0, 4.6214e-07
306.2, 4.8269e-07
306.4, 5.0416e-07
306.6, 5.2658e-07
306.8, 5.5e-07
307.0, 5.7446e-07
307.2, 6.0001e-07
307.4, 6.267e-07
307.6, 6.5457e-07
307.8, 6.8368e-07
308.0, 7.2708e-07
308.2, 7.9732e-07
308.4, 8.7436e-07
308.6, 9.5883e-07
308.8, 1.0515e-06
309.0, 1.1531e-06
309.2, 1.2645e-06
309.4, 1.3866e-06
309.6, 1.5206e-06
309.8, 1.6675e-06
310.0, 1.7926e-06
310.2, 1.5327e-06
310.4, 1.3104e-06
310.6, 1.1204e-06
310.8, 9.5797e-07
311.0, 8.1907e-07
311.2, 7.0031e-07
311.4, 5.9877e-07
311.6, 5.1196e-07
311.8, 4.3773e-07
312.0, 3.8841e-07
312.2, 3.4499e-07
312.4, 3.0642e-07
312.6, 2.7216e-07
312.8, 2.4173e-07
313.0, 2.147e-07
313.2, 1.9069e-07
313.4, 1.6937e-07
313.6, 1.5044e-07
313.8, 1.3362e-07
314.0, 1.5013e-07
314.2, 1.8132e-07
314.4, 2.19e-07
314.6, 2.6449e-07
314.8, 3.1945e-07
315.0, 3.8581e-07
315.2, 4.6597e-07
315.4, 5.6278e-07
315.6, 6.797e-07
315.8, 8.2092e-07
316.0, 9.158e-07
316.2, 9.6107e-07
316.4, 1.0086e-06
316.6, 1.0584e-06
316.8, 1.1108e-06
317.0, 1.1657e-06
317.2, 1.2233e-06
317.4, 1.2838e-06
317.6, 1.3472e-06
317.8, 1.4138e-06
318.0, 1.3758e-06
318.2, 1.1739e-06
318.4, 1.0016e-06
318.6, 8.5457e-07
318.8, 7.2914e-07
319.0, 6.2213e-07
319.2, 5.3082e-07
319.4, 4.5291e-07
319.6, 3.8644e-07
319.8, 3.2972e-07
320.0, 2.8271e-07
320.2, 2.5652e-07
320.4, 2.3275e-07
320.6, 2.1118e-07
320.8, 1.9162e-07
321.0, 1.7386e-07
321.2, 1.5775e-07
321.4, 1.4313e-07
321.6, 1.2987e-07
321.8, 1.1784e-07
322.0, 1.4906e-07
322.2, 1.8985e-07
322.4, 2.4179e-07
322.6, 3.0795e-07
322.8, 3.922e-07
323.0, 4.9951e-07
323.2, 6.3618e-07
323.4, 8.1024e-07
323.6, 1.0319e-06
323.8, 1.3143e-06
324.0, 1.1295e-06
324.2, 8.6868e-07
324.4, 6.6812e-07
324.6, 5.1387e-07
324.8, 3.9523e-07
325.0, 3.0398e-07
325.2, 2.338e-07
325.4, 1.7982e-07
325.6, 1.383e-07
325.8, 1.0637e-07
326.0, 1.1001e-07
326.2, 1.4098e-07
326.4, 1.8068e-07
326.6, 2.3155e-07
326.8, 2.9675e-07
327.0, 3.8031e-07
327.2, 4.8739e-07
327.4, 6.2462e-07
327.6, 8.0049e-07
327.8, 1.0259e-06
328.0, 1.0822e-06
328.2, 8.3651e-07
328.4, 6.4661e-07
328.6, 4.9982e-07
328.8, 3.8635e-07
329.0, 2.9864e-07
329.2, 2.3085e-07
329.4, 1.7844e-07
329.6, 1.3793e-07
329.8, 1.0662e-07
330.0, 8.5448e-08
330.2, 9.6621e-08
330.4, 1.0925e-07
330.6, 1.2354e-07
330.8, 1.3969e-07
331.0, 1.5796e-07
331.2, 1.7861e-07
331.4, 2.0197e-07
331.6, 2.2837e-07
331.8, 2.5823e-07
332.0, 2.8329e-07
332.2, 3.1029e-07
332.4, 3.3985e-07
332.6, 3.7224e-07
332.8, 4.077e-07
333.0, 4.4655e-07
333.2, 4.891e-07
333.4, 5.3571e-07
333.6, 5.8675e-07
333.8, 6.4266e-07
334.0, 5.4645e-07
334.2, 4.2798e-07
334.4, 3.352e-07
334.6, 2.6254e-07
334.8, 2.0562e-07
335.0, 1.6105e-07
335.2, 1.2613e-07
335.4, 9.8789e-08
335.6, 7.7373e-08
335.8, 6.0599e-08
336.0, 5.4154e-08
336.2, 5.3566e-08
336.4, 5.2985e-08
336.6, 5.241e-08
336.8, 5.1841e-08
337.0, 5.1279e-08
337.2, 5.0723e-08
337.4, 5.0172e-08
337.6, 4.9628e-08
337.8, 4.9089e-08
338.0, 4.8575e-08
338.2, 4.8096e-08
338.4, 4.7622e-08
338.6, 4.7152e-08
338.8, 4.6687e-08
339.0, 4.6227e-08
339.2, 4.5771e-08
339.4, 4.5319e-08
339.6, 4.4873e-08
339.8, 4.443e-08
340.0, 4.3991e-08
340.2, 4.3549e-08
340.4, 4.3111e-08
340.6, 4.2678e-08
340.8, 4.2249e-08
341.0, 4.1824e-08
341.2, 4.1404e-08
341.4, 4.0987e-08
