## Type: filter
## Name: EM610lp Chroma
wavelength,transmission
300.00,9.5000001465451E-7
301.00,9.5000001465451E-7
302.00,9.5000001465451E-7
303.00,9.5000001465451E-7
304.00,9.5000001465451E-7
305.00,9.5000001465451E-7
306.00,9.5000001465451E-7
307.00,9.5000001465451E-7
308.00,9.5000001465451E-7
309.00,9.5000001465451E-7
310.00,9.5000001465451E-7
311.00,9.5000001465451E-7
312.00,9.5000001465451E-7
313.00,9.5000001465451E-7
314.00,9.5000001465451E-7
315.00,9.5000001465451E-7
316.00,9.5000001465451E-7
317.00,9.5000001465451E-7
318.00,9.5000001465451E-7
319.00,9.5000001465451E-7
320.00,9.5000001465451E-7
321.00,9.5000001465451E-7
322.00,9.5000001465451E-7
323.00,9.5000001465451E-7
324.00,9.5000001465451E-7
325.00,9.5000001465451E-7
326.00,9.5324099902427E-7
327.00,9.5000001465451E-7
328.00,9.5000001465451E-7
329.00,1.11658005153E-6
330.00,9.5000001465451E-7
331.00,9.5000001465451E-7
332.00,9.5000001465451E-7
333.00,9.5000001465451E-7
334.00,9.5000001465451E-7
335.00,9.5000001465451E-7
336.00,9.5000001465451E-7
337.00,9.5000001465451E-7
338.00,9.5000001465451E-7
339.00,9.5000001465451E-7
340.00,9.5000001465451E-7
341.00,9.5000001465451E-7
342.00,1.3307500239534E-6
343.00,9.5000001465451E-7
344.00,1.9579499621614E-6
345.00,2.4565599687776E-6
346.00,2.8886800009786E-6
347.00,7.0637402131979E-6
348.00,8.2566702985787E-6
349.00,5.4232000366028E-6
350.00,3.2459699923493E-6
351.00,3.0999499358586E-6
352.00,2.3587799660163E-6
353.00,2.3135501123761E-6
354.00,1.8020899688054E-6
355.00,1.4169499991112E-6
356.00,9.5000001465451E-7
357.00,9.5000001465451E-7
358.00,9.5000001465451E-7
359.00,9.5161499302776E-7
360.00,1.5438399714185E-6
361.00,9.5000001465451E-7
362.00,1.2209800388518E-6
363.00,3.1936099276209E-6
364.00,2.1208800262684E-6
365.00,9.5000001465451E-7
366.00,9.5000001465451E-7
367.00,9.5000001465451E-7
368.00,9.5000001465451E-7
369.00,9.5000001465451E-7
370.00,9.5000001465451E-7
371.00,9.5000001465451E-7
372.00,9.5000001465451E-7
373.00,9.5000001465451E-7
374.00,9.5000001465451E-7
375.00,9.5000001465451E-7
376.00,1.8292799950359E-6
377.00,2.9570899187092E-6
378.00,9.5000001465451E-7
379.00,9.5000001465451E-7
380.00,9.5000001465451E-7
381.00,1.2179999657747E-6
382.00,3.5933198887506E-6
383.00,1.6559399682592E-6
384.00,9.5000001465451E-7
385.00,9.5000001465451E-7
386.00,9.5000001465451E-7
387.00,9.5000001465451E-7
388.00,9.5000001465451E-7
389.00,9.5000001465451E-7
390.00,9.5000001465451E-7
391.00,9.5000001465451E-7
392.00,9.5000001465451E-7
393.00,9.5000001465451E-7
394.00,9.5000001465451E-7
395.00,9.5000001465451E-7
396.00,9.5000001465451E-7
397.00,9.5000001465451E-7
398.00,9.5000001465451E-7
399.00,9.5000001465451E-7
400.00,9.5000001465451E-7
401.00,9.5000001465451E-7
402.00,9.5000001465451E-7
403.00,9.5000001465451E-7
404.00,9.5000001465451E-7
405.00,9.5000001465451E-7
406.00,9.5000001465451E-7
407.00,9.5000001465451E-7
408.00,9.5000001465451E-7
409.00,9.5000001465451E-7
410.00,9.5000001465451E-7
411.00,9.7737495252659E-7
412.00,3.4961699384439E-6
413.00,3.4910699469037E-6
414.00,3.4476699966035E-6
415.00,5.8360301409266E-6
416.00,6.2549602262152E-6
417.00,4.5134001993574E-6
418.00,2.6359200546722E-6
419.00,3.5739899431064E-6
420.00,4.2854799175984E-6
421.00,9.5000001465451E-7
422.00,9.5000001465451E-7
423.00,9.5000001465451E-7
424.00,9.5000001465451E-7
425.00,9.5000001465451E-7
426.00,9.5000001465451E-7
427.00,9.5000001465451E-7
428.00,9.5000001465451E-7
429.00,9.5000001465451E-7
430.00,9.5000001465451E-7
431.00,9.5000001465451E-7
432.00,9.5000001465451E-7
433.00,9.5000001465451E-7
434.00,9.5000001465451E-7
435.00,9.5000001465451E-7
436.00,9.5000001465451E-7
437.00,9.5000001465451E-7
438.00,9.5000001465451E-7
439.00,9.7196800652455E-7
440.00,2.9359600830503E-6
441.00,2.8023800950905E-6
442.00,3.1447900710191E-6
443.00,4.7291100599978E-6
444.00,4.6356099119294E-6
445.00,4.206779976812E-6
446.00,1.9007800347026E-6
447.00,9.5000001465451E-7
448.00,9.5000001465451E-7
449.00,9.5000001465451E-7
450.00,9.5000001465451E-7
451.00,9.5000001465451E-7
452.00,1.0051199978989E-6
453.00,4.6110599214444E-6
454.00,9.8784303190769E-6
455.00,5.968649929855E-6
456.00,1.86049999229E-6
457.00,9.5000001465451E-7
458.00,9.5000001465451E-7
459.00,1.8411200244373E-6
460.00,3.0445301035797E-6
461.00,1.6520499457329E-6
462.00,1.000229985948E-6
463.00,9.6931103144016E-7
464.00,1.1551900342965E-6
465.00,9.5000001465451E-7
466.00,9.5000001465451E-7
467.00,9.5000001465451E-7
468.00,9.5000001465451E-7
469.00,9.5000001465451E-7
470.00,9.5000001465451E-7
471.00,2.6392099243822E-6
472.00,5.3625499276677E-6
473.00,4.4044700189261E-6
474.00,2.7718299406843E-6
475.00,1.7467899624535E-6
476.00,1.2752600468957E-6
477.00,1.1022500530089E-6
478.00,1.2952300494362E-6
479.00,2.0416400730028E-6
480.00,2.5093099793594E-6
481.00,1.7365000530845E-6
482.00,1.4166299706631E-6
483.00,1.626289986234E-6
484.00,2.6668399186747E-6
485.00,4.4692001210933E-6
486.00,3.3394298952771E-6
487.00,2.4051998934738E-6
488.00,1.7494199937573E-6
489.00,2.3315299131355E-6
490.00,3.4503200367908E-6
491.00,4.4119001358922E-6
492.00,4.4878602238896E-6
493.00,3.5709799703909E-6
494.00,2.5925598947651E-6
495.00,1.6987800108836E-6
496.00,1.3210900533522E-6
497.00,1.1483100479381E-6
498.00,1.4075000080993E-6
499.00,1.5719899693067E-6
500.00,2.6413099476486E-6
501.00,3.2228699637926E-6
502.00,2.437139983158E-6
503.00,2.1823800580023E-6
504.00,2.2739700398233E-6
505.00,3.0127600894048E-6
506.00,3.8560101529583E-6
507.00,3.4202000733785E-6
508.00,3.1934000617184E-6
509.00,3.0773001071793E-6
510.00,3.3989799703704E-6
511.00,3.4837401017285E-6
512.00,3.867459781759E-6
513.00,4.7904700295476E-6
514.00,5.6163898989325E-6
515.00,3.7916199744359E-6
516.00,1.9378398974368E-6
517.00,1.2950199561601E-6
518.00,1.1234000112381E-6
519.00,2.0715399386972E-6
520.00,3.8021601085347E-6
521.00,4.2034598664031E-6
522.00,1.9992401121272E-6
523.00,1.4410400126508E-6
524.00,2.6685900138546E-6
525.00,2.1461501091835E-6
526.00,9.5000001465451E-7
527.00,9.5000001465451E-7
528.00,9.5000001465451E-7
529.00,9.5000001465451E-7
530.00,9.5000001465451E-7
531.00,9.5000001465451E-7
532.00,9.5000001465451E-7
533.00,9.5000001465451E-7
534.00,9.5000001465451E-7
535.00,9.5000001465451E-7
536.00,9.5000001465451E-7
537.00,9.5000001465451E-7
538.00,9.5000001465451E-7
539.00,9.5000001465451E-7
540.00,9.5000001465451E-7
541.00,9.5000001465451E-7
542.00,9.5000001465451E-7
543.00,9.5000001465451E-7
544.00,9.5000001465451E-7
545.00,9.5000001465451E-7
546.00,9.5000001465451E-7
547.00,9.5000001465451E-7
548.00,9.5000001465451E-7
549.00,9.5000001465451E-7
550.00,9.5000001465451E-7
551.00,9.5000001465451E-7
552.00,9.5000001465451E-7
553.00,9.5000001465451E-7
554.00,9.5000001465451E-7
555.00,9.5000001465451E-7
556.00,9.5000001465451E-7
557.00,9.5000001465451E-7
558.00,9.5000001465451E-7
559.00,9.5000001465451E-7
560.00,9.5000001465451E-7
561.00,9.5000001465451E-7
562.00,9.5000001465451E-7
563.00,9.5000001465451E-7
564.00,9.5000001465451E-7
565.00,9.5000001465451E-7
566.00,9.5000001465451E-7
567.00,9.5000001465451E-7
568.00,9.5000001465451E-7
569.00,9.5000001465451E-7
570.00,9.5000001465451E-7
571.00,9.5000001465451E-7
572.00,9.5000001465451E-7
573.00,9.5000001465451E-7
574.00,9.5000001465451E-7
575.00,9.5000001465451E-7
576.00,9.5000001465451E-7
577.00,9.5000001465451E-7
578.00,9.5000001465451E-7
579.00,9.5000001465451E-7
580.00,9.5000001465451E-7
581.00,9.5000001465451E-7
582.00,9.5000001465451E-7
583.00,9.5000001465451E-7
584.00,9.5000001465451E-7
585.00,9.5000001465451E-7
586.00,9.5000001465451E-7
587.00,9.5000001465451E-7
588.00,9.5000001465451E-7
589.00,9.5000001465451E-7
590.00,9.5000001465451E-7
591.00,9.5000001465451E-7
592.00,9.5000001465451E-7
593.00,9.5000001465451E-7
594.00,9.5000001465451E-7
595.00,9.5000001465451E-7
596.00,9.5000001465451E-7
597.00,9.5000001465451E-7
598.00,9.5000001465451E-7
599.00,9.5000001465451E-7
600.00,9.5000001465451E-7
601.00,9.5000001465451E-7
602.00,9.5000001465451E-7
603.00,2.5266599550378E-6
604.00,8.5833398770774E-6
605.00,3.5910299629904E-5
606.00,0.00018985799397342
607.00,0.0013051000423729
608.00,0.015577900223434
609.00,0.2374420017004
610.00,0.83053302764893
611.00,0.94832998514175
612.00,0.96926701068878
613.00,0.95030301809311
614.00,0.96161699295044
615.00,0.97785902023315
616.00,0.97301697731018
617.00,0.96809297800064
618.00,0.97381001710892
619.00,0.97642302513123
620.00,0.97018301486969
621.00,0.96520400047302
622.00,0.96886801719666
623.00,0.97604602575302
624.00,0.97651100158691
625.00,0.96798998117447
626.00,0.95922201871872
627.00,0.95962798595428
628.00,0.96944797039032
629.00,0.97987502813339
630.00,0.9814550280571
631.00,0.97240501642227
632.00,0.9604520201683
633.00,0.95576900243759
634.00,0.96091097593307
635.00,0.97234100103378
636.00,0.98145002126694
637.00,0.98078602552414
638.00,0.9711189866066
639.00,0.95918601751328
640.00,0.95239597558975
641.00,0.95537000894547
642.00,0.96580898761749
643.00,0.97734099626541
644.00,0.98302400112152
645.00,0.97973001003265
646.00,0.97027200460434
647.00,0.9612900018692
648.00,0.95805197954178
649.00,0.96190202236176
650.00,0.97079402208328
651.00,0.97975999116898
652.00,0.98314702510834
653.00,0.97971999645233
654.00,0.97156000137329
655.00,0.96325498819351
656.00,0.95915198326111
657.00,0.96179002523422
658.00,0.96962797641754
659.00,0.97809398174286
660.00,0.98357301950455
661.00,0.98290199041367
662.00,0.97663998603821
663.00,0.96798598766327
664.00,0.96127897500992
665.00,0.9593979716301
666.00,0.96326798200607
667.00,0.97096300125122
668.00,0.97924602031708
669.00,0.98394900560379
670.00,0.98313999176025
671.00,0.97767198085785
672.00,0.96936500072479
673.00,0.96308600902557
674.00,0.96090698242188
675.00,0.96400201320648
676.00,0.97095799446106
677.00,0.97875702381134
678.00,0.98458397388458
679.00,0.98535698652267
680.00,0.98170000314713
681.00,0.97483801841736
682.00,0.96728301048279
683.00,0.96182298660278
684.00,0.96189898252487
685.00,0.96602302789688
686.00,0.97336900234222
687.00,0.98115199804306
688.00,0.98614597320557
689.00,0.98675501346588
690.00,0.98309397697449
691.00,0.97630101442337
692.00,0.96973502635956
693.00,0.96489101648331
694.00,0.96418797969818
695.00,0.96745699644089
696.00,0.97409802675247
697.00,0.98089802265167
698.00,0.98666298389435
699.00,0.98884898424149
700.00,0.98684900999069
701.00,0.98226100206375
702.00,0.97568601369858
703.00,0.97085297107697
704.00,0.96758097410202
705.00,0.96834802627563
706.00,0.97191798686981
707.00,0.9777860045433
708.00,0.98343801498413
709.00,0.98694497346878
710.00,0.98764002323151
711.00,0.98534697294235
712.00,0.98091101646423
713.00,0.97574400901794
714.00,0.97238898277283
715.00,0.97015702724457
716.00,0.97105598449707
717.00,0.97392201423645
718.00,0.97777700424194
719.00,0.98036497831345
720.00,0.98084002733231
721.00,0.97918099164963
722.00,0.97501999139786
723.00,0.97019302845001
724.00,0.96491801738739
725.00,0.96180897951126
726.00,0.96104198694229
727.00,0.96347099542618
728.00,0.96946799755096
729.00,0.97562998533249
730.00,0.98191201686859
731.00,0.98682999610901
732.00,0.98757201433182
733.00,0.9852300286293
734.00,0.98034900426865
735.00,0.97490000724792
736.00,0.96950799226761
737.00,0.96563202142715
738.00,0.96395897865295
739.00,0.96749299764633
740.00,0.97246098518372
741.00,0.97850197553635
742.00,0.98452097177505
743.00,0.98909902572632
744.00,0.99028700590134
745.00,0.98842197656631
746.00,0.98372602462769
747.00,0.97629499435425
748.00,0.96933197975159
749.00,0.96392399072647
750.00,0.96148401498795
751.00,0.96185702085495
752.00,0.96531200408936
753.00,0.97128599882126
754.00,0.97824198007584
755.00,0.98541498184204
756.00,0.98878699541092
757.00,0.99121099710464
758.00,0.98893702030182
759.00,0.9845569729805
760.00,0.97847002744675
761.00,0.97197198867798
762.00,0.96692502498627
763.00,0.96354401111603
764.00,0.96316397190094
765.00,0.96405100822449
766.00,0.9689199924469
767.00,0.97360098361969
768.00,0.97819799184799
769.00,0.98041301965714
770.00,0.98134297132492
771.00,0.97959500551224
772.00,0.97570502758026
773.00,0.969742000103
774.00,0.96454900503159
