#Typical Measured Spectrum of Semrock FF01-680/42 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: dichroic,
#Name: Semrock FF01-680_42
wavelength,transmission
265.0, 6.4591e-05
265.2, 5.3984e-05
265.4, 4.5119e-05
265.6, 3.771e-05
265.8, 3.1517e-05
266.0, 2.6342e-05
266.2, 2.2016e-05
266.4, 1.84e-05
266.6, 1.5379e-05
266.8, 1.2853e-05
267.0, 1.0743e-05
267.2, 8.9784e-06
267.4, 7.504e-06
267.6, 6.2717e-06
267.8, 5.2418e-06
268.0, 4.381e-06
268.2, 3.6616e-06
268.4, 3.0603e-06
268.6, 2.5577e-06
268.8, 2.1377e-06
269.0, 1.7867e-06
269.2, 1.4933e-06
269.4, 1.248e-06
269.6, 1.2362e-06
269.8, 1.2245e-06
270.0, 1.2128e-06
270.2, 1.2013e-06
270.4, 1.1899e-06
270.6, 1.1786e-06
270.8, 1.1675e-06
271.0, 1.1564e-06
271.2, 1.1454e-06
271.4, 1.1345e-06
271.6, 1.1238e-06
271.8, 1.1131e-06
272.0, 1.1025e-06
272.2, 1.0921e-06
272.4, 1.0817e-06
272.6, 1.0715e-06
272.8, 1.0613e-06
273.0, 1.0512e-06
273.2, 1.0412e-06
273.4, 1.0314e-06
273.6, 1.0216e-06
273.8, 1.0119e-06
274.0, 1.0023e-06
274.2, 1.4655e-06
274.4, 2.7071e-06
274.6, 5.0004e-06
274.8, 9.2365e-06
275.0, 1.7061e-05
275.2, 1.3855e-05
275.4, 1.1252e-05
275.6, 9.1375e-06
275.8, 7.4205e-06
276.0, 6.0261e-06
276.2, 4.8937e-06
276.4, 3.9742e-06
276.6, 3.2274e-06
276.8, 2.6209e-06
277.0, 2.1284e-06
277.2, 1.7285e-06
277.4, 1.4037e-06
277.6, 1.1399e-06
277.8, 9.2572e-07
278.0, 8.3627e-07
278.2, 8.2425e-07
278.4, 8.124e-07
278.6, 8.0073e-07
278.8, 7.8922e-07
279.0, 7.7788e-07
279.2, 7.667e-07
279.4, 7.5568e-07
279.6, 7.4482e-07
279.8, 7.3411e-07
280.0, 7.2356e-07
280.2, 7.1316e-07
280.4, 7.0291e-07
280.6, 6.9281e-07
280.8, 6.8285e-07
281.0, 6.7304e-07
281.2, 6.6337e-07
281.4, 6.5383e-07
281.6, 6.4444e-07
281.8, 6.3517e-07
282.0, 6.2605e-07
282.2, 6.1705e-07
282.4, 6.0818e-07
282.6, 5.9917e-07
282.8, 5.8915e-07
283.0, 5.7929e-07
283.2, 5.6959e-07
283.4, 5.6006e-07
283.6, 5.5069e-07
283.8, 5.4147e-07
284.0, 5.3241e-07
284.2, 5.235e-07
284.4, 5.1474e-07
284.6, 5.0613e-07
284.8, 4.9766e-07
285.0, 4.8933e-07
285.2, 4.8134e-07
285.4, 4.7348e-07
285.6, 4.6575e-07
285.8, 4.5814e-07
286.0, 4.5066e-07
286.2, 4.433e-07
286.4, 4.3606e-07
286.6, 4.2894e-07
286.8, 4.2194e-07
287.0, 4.1505e-07
287.2, 4.0827e-07
287.4, 4.016e-07
287.6, 3.9505e-07
287.8, 3.886e-07
288.0, 3.8132e-07
288.2, 3.737e-07
288.4, 3.6624e-07
288.6, 3.5892e-07
288.8, 3.5175e-07
289.0, 3.4472e-07
289.2, 3.3784e-07
289.4, 3.3109e-07
289.6, 3.2447e-07
289.8, 3.1799e-07
290.0, 3.1164e-07
290.2, 3.0541e-07
290.4, 2.9931e-07
290.6, 2.9333e-07
290.8, 2.8747e-07
291.0, 2.8173e-07
291.2, 2.761e-07
291.4, 2.7058e-07
291.6, 2.6518e-07
291.8, 2.5988e-07
292.0, 2.5469e-07
292.2, 2.496e-07
292.4, 2.4461e-07
292.6, 2.4352e-07
292.8, 2.5149e-07
293.0, 2.5972e-07
293.2, 2.6822e-07
293.4, 2.7699e-07
293.6, 2.8606e-07
293.8, 2.9541e-07
294.0, 3.0508e-07
294.2, 3.1506e-07
294.4, 3.2537e-07
294.6, 3.3601e-07
294.8, 3.4701e-07
295.0, 3.5836e-07
295.2, 3.5469e-07
295.4, 3.5105e-07
295.6, 3.4745e-07
295.8, 3.6399e-07
296.0, 3.9543e-07
296.2, 4.2958e-07
296.4, 4.6668e-07
296.6, 5.0699e-07
296.8, 5.5078e-07
297.0, 5.9835e-07
297.2, 6.5003e-07
297.4, 7.0617e-07
297.6, 7.6716e-07
297.8, 8.3342e-07
298.0, 9.0541e-07
298.2, 9.8361e-07
298.4, 1.0686e-06
298.6, 1.1609e-06
298.8, 1.2611e-06
299.0, 1.37e-06
299.2, 1.4884e-06
299.4, 1.6169e-06
299.6, 1.7566e-06
299.8, 1.9083e-06
300.0, 2.0731e-06
300.2, 2.2522e-06
300.4, 2.3283e-06
300.6, 2.09e-06
300.8, 1.8762e-06
301.0, 1.6842e-06
301.2, 1.5119e-06
301.4, 1.3572e-06
301.6, 1.2183e-06
301.8, 1.0936e-06
302.0, 9.8173e-07
302.2, 8.8127e-07
302.4, 7.911e-07
302.6, 7.1015e-07
302.8, 6.3748e-07
303.0, 5.7225e-07
303.2, 5.137e-07
303.4, 4.6113e-07
303.6, 4.1395e-07
303.8, 3.7159e-07
304.0, 3.3357e-07
304.2, 2.9944e-07
304.4, 2.688e-07
304.6, 2.4129e-07
304.8, 2.166e-07
305.0, 1.9444e-07
305.2, 1.9185e-07
