#Type: filter
#Name: ET460/40
wavelength,transmission
301.00,1.4754599533262E-6
302.00,5.5213599807757E-6
303.00,9.5000001465451E-7
304.00,9.5000001465451E-7
305.00,3.8547900658159E-6
306.00,9.5000001465451E-7
307.00,9.5000001465451E-7
308.00,4.5526899157267E-6
309.00,9.5000001465451E-7
310.00,9.5000001465451E-7
311.00,9.5000001465451E-7
312.00,2.5611300316086E-6
313.00,3.0764299481234E-6
314.00,9.5000001465451E-7
315.00,1.544369979456E-6
316.00,9.5000001465451E-7
317.00,1.7276299786317E-6
318.00,1.1440299658716E-6
319.00,9.5000001465451E-7
320.00,3.8763600969105E-6
321.00,9.5000001465451E-7
322.00,9.5000001465451E-7
323.00,9.5000001465451E-7
324.00,1.0380499588791E-6
325.00,9.5000001465451E-7
326.00,9.5000001465451E-7
327.00,1.6048199995566E-6
328.00,2.1508399186132E-6
329.00,9.5000001465451E-7
330.00,9.5000001465451E-7
331.00,9.5000001465451E-7
332.00,2.319729901501E-6
333.00,1.4818200497757E-6
334.00,9.5000001465451E-7
335.00,1.6027199762902E-6
336.00,9.5000001465451E-7
337.00,9.5000001465451E-7
338.00,9.5000001465451E-7
339.00,2.5438500870223E-6
340.00,9.5000001465451E-7
341.00,9.5000001465451E-7
342.00,9.5000001465451E-7
343.00,1.7387900470567E-6
344.00,9.5000001465451E-7
345.00,3.3193500712514E-6
346.00,9.5000001465451E-7
347.00,9.5000001465451E-7
348.00,9.5000001465451E-7
349.00,9.5000001465451E-7
350.00,9.5000001465451E-7
351.00,9.5000001465451E-7
352.00,1.982180037885E-6
353.00,9.5000001465451E-7
354.00,9.5000001465451E-7
355.00,9.5000001465451E-7
356.00,9.5000001465451E-7
357.00,9.5000001465451E-7
358.00,1.0028400083684E-6
359.00,9.5000001465451E-7
360.00,9.5000001465451E-7
361.00,9.5000001465451E-7
362.00,9.5000001465451E-7
363.00,9.5000001465451E-7
364.00,2.4637899969093E-6
365.00,9.5000001465451E-7
366.00,9.5000001465451E-7
367.00,9.5000001465451E-7
368.00,9.5000001465451E-7
369.00,1.2768299484378E-6
370.00,1.9269300537417E-6
371.00,9.5000001465451E-7
372.00,9.5000001465451E-7
373.00,9.5000001465451E-7
374.00,9.5000001465451E-7
375.00,9.5000001465451E-7
376.00,9.5000001465451E-7
377.00,9.5000001465451E-7
378.00,9.5000001465451E-7
379.00,9.5000001465451E-7
380.00,9.5000001465451E-7
381.00,9.5000001465451E-7
382.00,9.5000001465451E-7
383.00,9.5000001465451E-7
384.00,9.5000001465451E-7
385.00,9.5000001465451E-7
386.00,9.5000001465451E-7
387.00,9.5000001465451E-7
388.00,9.5000001465451E-7
389.00,9.5000001465451E-7
390.00,9.5000001465451E-7
391.00,9.5000001465451E-7
392.00,9.5000001465451E-7
393.00,9.5000001465451E-7
394.00,9.9312399015616E-7
395.00,9.5000001465451E-7
396.00,9.5000001465451E-7
397.00,9.5000001465451E-7
398.00,9.5000001465451E-7
399.00,9.5000001465451E-7
400.00,9.5000001465451E-7
401.00,9.5000001465451E-7
402.00,9.5000001465451E-7
403.00,9.5000001465451E-7
404.00,9.5000001465451E-7
405.00,9.5000001465451E-7
406.00,9.5000001465451E-7
407.00,9.5000001465451E-7
408.00,9.5000001465451E-7
409.00,9.5000001465451E-7
410.00,9.5000001465451E-7
411.00,9.5000001465451E-7
412.00,9.5000001465451E-7
413.00,9.5000001465451E-7
414.00,9.5000001465451E-7
415.00,9.5000001465451E-7
416.00,9.5000001465451E-7
417.00,9.5000001465451E-7
418.00,9.5000001465451E-7
419.00,9.5000001465451E-7
420.00,9.5000001465451E-7
421.00,9.5000001465451E-7
422.00,9.5000001465451E-7
423.00,9.5000001465451E-7
424.00,9.5000001465451E-7
425.00,9.5000001465451E-7
426.00,9.5000001465451E-7
427.00,9.5000001465451E-7
428.00,9.5000001465451E-7
429.00,9.5000001465451E-7
430.00,9.5000001465451E-7
431.00,9.5000001465451E-7
432.00,9.5000001465451E-7
433.00,9.5000001465451E-7
434.00,9.5000001465451E-7
435.00,2.6955399334838E-6
436.00,1.3283600310388E-5
437.00,9.8595497547649E-5
438.00,0.00095605797832832
439.00,0.014332200400531
440.00,0.20015099644661
441.00,0.75486797094345
442.00,0.97613298892975
443.00,0.97859901189804
444.00,0.97845602035522
445.00,0.97858101129532
446.00,0.97251898050308
447.00,0.96657198667526
448.00,0.97936701774597
449.00,0.98839098215103
450.00,0.98909199237823
451.00,0.98820698261261
452.00,0.97690600156784
453.00,0.97536200284958
454.00,0.9738410115242
455.00,0.98566198348999
456.00,0.98399198055267
457.00,0.98612099885941
458.00,0.98412299156189
459.00,0.97789400815964
460.00,0.97734200954437
461.00,0.99020498991013
462.00,0.98904198408127
463.00,0.99193698167801
464.00,0.98963397741318
465.00,0.98979198932648
466.00,0.98555397987366
467.00,0.99307501316071
468.00,0.98936998844147
469.00,0.98020297288895
470.00,0.98355597257614
471.00,0.98584598302841
472.00,0.99226897954941
473.00,0.97994202375412
474.00,0.97152400016785
475.00,0.97979301214218
476.00,0.97331899404526
477.00,0.95974999666214
478.00,0.96592402458191
479.00,0.9612740278244
480.00,0.8918280005455
481.00,0.077523998916149
482.00,0.033247098326683
483.00,0.0029689399525523
484.00,0.00041037501068786
485.00,8.0682599218562E-5
486.00,1.9149800209561E-5
487.00,5.8421701396583E-6
488.00,2.5159899905702E-6
489.00,9.5000001465451E-7
490.00,9.5000001465451E-7
491.00,9.5000001465451E-7
492.00,9.5000001465451E-7
493.00,9.5000001465451E-7
494.00,9.5000001465451E-7
495.00,9.5000001465451E-7
496.00,9.5000001465451E-7
497.00,9.5000001465451E-7
498.00,9.5000001465451E-7
499.00,9.5000001465451E-7
500.00,9.5000001465451E-7
501.00,9.5000001465451E-7
502.00,9.5000001465451E-7
503.00,9.5000001465451E-7
504.00,9.5000001465451E-7
505.00,9.5000001465451E-7
506.00,9.5000001465451E-7
507.00,9.5000001465451E-7
508.00,9.5000001465451E-7
509.00,9.5000001465451E-7
510.00,9.5000001465451E-7
511.00,9.5000001465451E-7
512.00,9.5000001465451E-7
513.00,9.5000001465451E-7
514.00,9.5000001465451E-7
515.00,9.5000001465451E-7
516.00,9.5000001465451E-7
517.00,9.5000001465451E-7
518.00,9.5000001465451E-7
519.00,9.5000001465451E-7
520.00,9.5000001465451E-7
521.00,9.5000001465451E-7
522.00,9.5000001465451E-7
523.00,9.5000001465451E-7
524.00,9.5000001465451E-7
525.00,9.5000001465451E-7
526.00,9.5000001465451E-7
527.00,9.5000001465451E-7
528.00,9.5000001465451E-7
529.00,9.5000001465451E-7
530.00,9.5000001465451E-7
531.00,9.5000001465451E-7
532.00,9.5000001465451E-7
533.00,9.5000001465451E-7
534.00,9.5000001465451E-7
535.00,9.5000001465451E-7
536.00,9.5000001465451E-7
537.00,9.5000001465451E-7
538.00,9.5000001465451E-7
539.00,9.5000001465451E-7
540.00,9.5000001465451E-7
541.00,9.5000001465451E-7
542.00,9.5000001465451E-7
543.00,9.5000001465451E-7
544.00,9.5000001465451E-7
545.00,1.8410900111121E-6
546.00,1.6490699636051E-5
547.00,9.8546104254638E-7
548.00,9.5000001465451E-7
549.00,9.5000001465451E-7
550.00,2.8372799079079E-6
551.00,1.9545599570847E-5
552.00,6.0556599237316E-6
553.00,9.5000001465451E-7
554.00,9.5000001465451E-7
555.00,9.5000001465451E-7
556.00,9.5000001465451E-7
557.00,9.5000001465451E-7
558.00,9.5000001465451E-7
559.00,9.5000001465451E-7
560.00,4.5728497752862E-6
561.00,2.2136400730233E-5
562.00,6.4239598032145E-6
563.00,1.527989979877E-6
564.00,9.5000001465451E-7
565.00,9.5000001465451E-7
566.00,9.5000001465451E-7
567.00,9.5000001465451E-7
568.00,9.6454596132389E-7
569.00,6.3415600379813E-6
570.00,1.0265000128129E-5
571.00,1.1726699540304E-6
572.00,9.5000001465451E-7
573.00,9.5000001465451E-7
574.00,9.5000001465451E-7
575.00,9.5000001465451E-7
576.00,9.5000001465451E-7
577.00,9.5000001465451E-7
578.00,9.5000001465451E-7
579.00,9.5000001465451E-7
580.00,9.5000001465451E-7
581.00,9.5000001465451E-7
582.00,9.5000001465451E-7
583.00,9.5000001465451E-7
584.00,9.5000001465451E-7
585.00,9.5000001465451E-7
586.00,9.5000001465451E-7
587.00,9.5000001465451E-7
588.00,9.5000001465451E-7
589.00,9.5000001465451E-7
590.00,9.5000001465451E-7
591.00,3.9386000025843E-6
592.00,8.1181997302338E-6
593.00,1.3696499991056E-5
594.00,1.0500700227567E-5
595.00,5.0845901569119E-6
596.00,4.6123200263537E-6
597.00,2.8874198960693E-6
598.00,3.6228300359653E-6
599.00,5.977879936836E-6
600.00,7.5048201324535E-6
601.00,7.7160102591733E-6
602.00,6.4771497818583E-6
603.00,3.9907099562697E-6
604.00,2.5907600047503E-6
605.00,2.3382799554383E-6
