## Type: filter
## Name: ET490/20x
wavelength,transmission
300.00,9.81440052783E-7
301.00,6.8217701709727E-7
302.00,3.786549882534E-7
303.00,5.6727600394879E-7
304.00,4.1734799083315E-7
305.00,1.0553900438026E-6
306.00,7.2804601813914E-7
307.00,9.9999999392253E-9
308.00,5.5795601383579E-7
309.00,5.9171998145757E-7
310.00,4.7933002633727E-7
311.00,3.6559399063663E-7
312.00,9.218480272466E-7
313.00,4.8199302682406E-7
314.00,9.9319902346906E-7
315.00,1.0449999763296E-6
316.00,1.0543700454946E-6
317.00,5.7550897736292E-7
318.00,4.1581699861126E-7
319.00,2.7613000952442E-7
320.00,9.9999999392253E-9
321.00,6.1072097423676E-7
322.00,8.0878498920356E-7
323.00,4.2778100350915E-7
324.00,7.3655098731251E-7
325.00,6.3565602204108E-7
326.00,4.328290117428E-7
327.00,7.1349899144479E-7
328.00,7.0257499373838E-7
329.00,7.652300269001E-7
330.00,3.5716399793273E-7
331.00,3.5004998721888E-7
332.00,9.4315998921957E-7
333.00,4.9398397550249E-7
334.00,6.6822400413002E-7
335.00,9.6404698979313E-7
336.00,3.4467700515961E-7
337.00,3.7112999962119E-7
338.00,6.873410143271E-7
339.00,4.0777999288366E-7
340.00,9.9999999392253E-9
341.00,4.9275098490398E-7
342.00,2.8706500643239E-7
343.00,2.4782198693174E-7
344.00,8.9808798975355E-7
345.00,1.0469499756027E-7
346.00,8.4643801301354E-7
347.00,6.792349722673E-7
348.00,7.1166499537867E-7
349.00,9.9999999392253E-9
350.00,9.9999999392253E-9
351.00,2.9843900506421E-7
352.00,5.3101598496141E-7
353.00,5.5160302281365E-7
354.00,9.9999999392253E-9
355.00,6.5273798099952E-7
356.00,4.3647199277075E-7
357.00,1.6847199901804E-7
358.00,2.7671399038809E-7
359.00,5.5457400094383E-7
360.00,5.3706799008069E-7
361.00,2.6140099862459E-7
362.00,5.4340597444025E-7
363.00,2.213590022393E-7
364.00,6.4752697426229E-7
365.00,7.2925502081489E-7
366.00,9.9999999392253E-9
367.00,5.7676800224726E-7
368.00,3.8564800775021E-7
369.00,5.4255002623904E-7
