#Type: filter
#Name: ET535/36m
wavelength,transmission
300.00,9.9999999392253E-9
300.50,5.1508699527858E-8
301.00,1.3828399403337E-7
301.50,9.9999999392253E-9
302.00,1.2509299551766E-7
302.50,5.4431200169347E-7
303.00,1.8308000448997E-7
303.50,8.5541302041747E-8
304.00,9.9999999392253E-9
304.50,1.6472300501391E-7
305.00,2.1652699899732E-7
305.50,1.3641600560277E-7
306.00,3.4580799024297E-7
306.50,9.9999999392253E-9
307.00,9.9999999392253E-9
307.50,4.972100100531E-7
308.00,9.9999999392253E-9
308.50,2.773149958557E-7
309.00,4.162150091247E-8
309.50,4.7730901542309E-7
310.00,9.9999999392253E-9
310.50,9.9999999392253E-9
311.00,9.9999999392253E-9
311.50,9.9999999392253E-9
312.00,1.7645299976721E-7
312.50,3.4458798836567E-7
313.00,3.2285599194104E-10
313.50,3.210909937934E-7
314.00,6.1084001856671E-8
314.50,6.3122200799626E-7
315.00,3.4092499845428E-7
315.50,4.9568598115002E-7
316.00,1.1923199849662E-7
316.50,2.6250899054503E-7
317.00,9.9999999392253E-9
317.50,1.8022400638529E-7
318.00,7.5009403133208E-9
318.50,9.9999999392253E-9
319.00,3.0682801366311E-7
319.50,9.9999999392253E-9
320.00,2.3707900709269E-7
320.50,7.0544601271649E-8
321.00,2.9060799988656E-7
321.50,3.2548101103202E-8
322.00,3.0714099352736E-7
322.50,4.7186799179144E-7
323.00,9.9999999392253E-9
323.50,6.4257498877396E-8
324.00,2.3146000671659E-7
324.50,9.9999999392253E-9
325.00,2.421419935672E-7
325.50,9.9999999392253E-9
326.00,9.9999999392253E-9
326.50,2.1301599417711E-7
327.00,9.9999999392253E-9
327.50,9.9999999392253E-9
328.00,5.9998700407959E-7
328.50,4.5284400584933E-7
329.00,9.9999999392253E-9
329.50,2.0062499572759E-7
330.00,9.9999999392253E-9
330.50,9.9999999392253E-9
331.00,2.4075799132106E-8
331.50,9.9999999392253E-9
332.00,2.5190900032612E-8
332.50,5.4818201533635E-7
333.00,6.1062098666298E-7
333.50,3.744980006104E-7
334.00,9.9999999392253E-9
334.50,4.4060399773116E-7
335.00,4.3506199176591E-7
335.50,2.376470007448E-7
336.00,1.3702499757073E-7
336.50,2.8556098641275E-7
337.00,9.9999999392253E-9
337.50,6.2658003230354E-8
338.00,4.4652500719167E-7
338.50,2.5397500280633E-7
339.00,3.4813399452105E-7
339.50,7.8133396641533E-8
340.00,5.8881500564212E-8
340.50,6.4370496488664E-8
341.00,5.5752201433279E-7
341.50,2.7114000999973E-7
342.00,8.0263998825103E-7
342.50,2.2976200497737E-8
343.00,9.9999999392253E-9
343.50,1.4541799941981E-7
344.00,4.0803498357889E-9
344.50,1.8874000318192E-7
345.00,4.7663201030446E-7
345.50,3.2200599520138E-8
346.00,4.6167900791261E-7
346.50,2.9684198921132E-7
347.00,8.7824702177386E-8
347.50,6.3313098053186E-7
348.00,1.8479900631974E-7
348.50,9.9999999392253E-9
349.00,3.6888098975396E-7
349.50,4.4931498521805E-9
350.00,1.5328799918279E-7
350.50,9.9999999392253E-9
351.00,8.3047297039229E-8
351.50,4.5730498499097E-8
352.00,9.9999999392253E-9
352.50,5.0299399845244E-7
353.00,3.9856101352598E-7
353.50,1.9126500383493E-9
354.00,1.4853499408218E-7
354.50,4.3417099959697E-7
355.00,2.629890047956E-7
355.50,2.0446400128549E-7
356.00,3.0574199172406E-7
356.50,3.6583000451174E-7
357.00,1.3337999860141E-7
357.50,9.9999999392253E-9
358.00,1.1489500195694E-7
358.50,2.3115900660287E-7
359.00,2.4091198724818E-7
359.50,1.2344200683856E-7
360.00,9.9999999392253E-9
360.50,3.9323299461103E-7
361.00,9.9999999392253E-9
361.50,1.1605399663495E-7
362.00,1.7581399447408E-7
362.50,1.926070041236E-7
363.00,4.8997901558323E-7
363.50,1.4716999885422E-6
364.00,1.7035599739756E-6
364.50,1.1890299447259E-6
365.00,8.028339948396E-7
365.50,2.167810038145E-7
366.00,2.0713899573366E-7
366.50,4.4483599026535E-7
367.00,4.3120198967017E-8
367.50,2.1297600483194E-7
368.00,2.3066100141023E-7
368.50,9.9999999392253E-9
369.00,3.2218099477177E-7
369.50,1.5127299946016E-7
370.00,1.7144600406027E-7
370.50,9.9999999392253E-9
371.00,1.3501100681879E-7
371.50,9.9999999392253E-9
372.00,1.692019964139E-7
372.50,2.9565800474529E-8
373.00,1.569860046402E-7
373.50,1.9816400254058E-7
374.00,3.1093000529836E-7
374.50,2.552600051331E-7
375.00,1.1873900263026E-7
375.50,2.1990399545757E-7
376.00,9.8334098197483E-8
376.50,2.5700299488562E-7
377.00,2.5855899821181E-7
377.50,2.1989499998654E-7
378.00,9.9999999392253E-9
378.50,7.8726301921961E-8
379.00,1.01855000878E-7
379.50,1.1612900152613E-7
380.00,1.6201100550006E-7
380.50,9.9999999392253E-9
381.00,9.9999999392253E-9
381.50,3.6754400412065E-8
382.00,3.5549800259105E-7
382.50,2.3034499463392E-7
383.00,1.488970013952E-8
383.50,9.9999999392253E-9
384.00,1.8904499654582E-7
384.50,8.2932302802874E-8
385.00,1.1544800315733E-7
385.50,3.5633399875223E-7
386.00,1.0320999876967E-7
386.50,6.0741498941752E-8
387.00,3.3521800446579E-7
387.50,4.6114198681835E-8
388.00,1.1501199992381E-7
388.50,1.7765600546227E-7
389.00,1.4647399382284E-7
389.50,2.1643900538493E-7
390.00,9.9999999392253E-9
390.50,9.5952202627814E-8
391.00,9.9999999392253E-9
391.50,3.4258599157511E-7
392.00,1.3051000280484E-7
392.50,6.2608002338038E-8
393.00,5.6333000486575E-8
393.50,2.2500499596845E-7
394.00,1.8865800655021E-7
394.50,9.9543697729132E-8
395.00,1.5410999765209E-7
395.50,1.0051900289909E-7
396.00,1.3615499483421E-7
396.50,8.9440099770854E-8
397.00,2.1494500401786E-7
397.50,1.6591199880622E-7
398.00,2.0154500646186E-7
398.50,1.0293599927991E-7
399.00,1.8473700436061E-7
399.50,1.1426899959588E-7
400.00,1.6044999995302E-7
400.50,1.0016299967219E-7
401.00,1.5159399424647E-7
401.50,1.2641299917959E-7
402.00,2.880689997653E-8
402.50,6.4624202877894E-8
403.00,1.4220600519366E-7
403.50,5.0544599616842E-8
404.00,2.9943100798846E-7
404.50,9.9999999392253E-9
405.00,3.0632499203875E-8
405.50,1.6013599690723E-7
406.00,1.791819954633E-7
406.50,2.2621499340403E-7
407.00,1.8839399729131E-7
407.50,9.1856101391841E-8
408.00,3.4795900205609E-7
408.50,1.9399300299483E-7
409.00,4.6018701027606E-7
409.50,3.1139200018515E-7
410.00,3.7930300322842E-7
410.50,1.0084699653135E-7
411.00,1.3145900368272E-7
411.50,2.255190025835E-7
412.00,2.8754800496245E-7
412.50,2.000890049203E-7
413.00,1.9120699334962E-7
413.50,3.015800018602E-7
414.00,1.3664499931565E-7
414.50,9.2262602890969E-8
415.00,9.7882200122967E-8
415.50,3.7518799445024E-7
416.00,2.6826700150195E-7
416.50,2.5125399361059E-7
417.00,2.4774300300123E-7
417.50,7.1196097906068E-8
418.00,9.8689099559124E-8
418.50,2.7287001103105E-7
419.00,2.395759963747E-7
419.50,3.1692698598818E-7
420.00,3.4048500197059E-7
420.50,4.7435199235224E-7
421.00,1.4391899583188E-7
421.50,2.4615300731057E-7
422.00,3.6665801417257E-7
422.50,6.5889099687411E-7
423.00,6.2045199911154E-7
423.50,6.0675898794216E-7
424.00,4.3894399937017E-7
424.50,2.8275300678615E-7
425.00,3.132929862204E-7
425.50,3.4727699471659E-7
426.00,5.8288401305617E-7
426.50,5.5548298405483E-7
427.00,3.9537201246276E-7
427.50,2.3817500505174E-7
428.00,2.3849298713685E-7
428.50,3.1361798846774E-7
429.00,4.8828400167622E-7
429.50,4.4393300413503E-7
430.00,5.7043297374548E-7
430.50,1.455010050222E-7
431.00,2.4035298906711E-7
431.50,4.373949877845E-7
432.00,5.5053902769941E-7
432.50,4.8309698286175E-7
433.00,3.2360699719902E-7
433.50,3.3768500884435E-7
434.00,4.4457499370765E-7
434.50,3.1783901022209E-7
435.00,2.6558399213172E-7
435.50,1.6920499490425E-7
436.00,1.1948499434311E-7
436.50,1.9184599864275E-7
437.00,2.2988099601662E-7
437.50,2.6744100978249E-7
438.00,1.5867900060584E-7
438.50,1.6399999935857E-7
439.00,2.7892900433812E-8
439.50,2.3082899147653E-8
440.00,7.8956098548133E-8
440.50,9.4481102053123E-8
