#Type: filter
#Name: RET-792lp chroma raman 792 long pass
wavelength,transmission
300.00,2.1200000901445E-6
300.20,1.5220000477711E-6
300.40,9.5000001465451E-7
300.60,9.5000001465451E-7
300.80,9.5000001465451E-7
301.00,9.5000001465451E-7
301.20,1.0600000450722E-6
301.40,1.2470000001485E-6
301.60,1.0820000397871E-6
301.80,9.5000001465451E-7
302.00,9.5000001465451E-7
302.20,9.5000001465451E-7
302.40,9.5000001465451E-7
302.60,1.0500000371394E-6
302.80,1.1649999578367E-6
303.00,1.2799999922208E-6
303.20,9.5000001465451E-7
303.40,9.5000001465451E-7
303.60,9.5000001465451E-7
303.80,9.5000001465451E-7
304.00,9.5000001465451E-7
304.20,9.5000001465451E-7
304.40,1.5110000504137E-6
304.60,1.7920000345839E-6
304.80,1.6559999949095E-6
305.00,1.5199999552351E-6
305.20,1.3439999975162E-6
305.40,1.1680000397973E-6
305.60,1.2740000556732E-6
305.80,1.6620000451439E-6
306.00,2.0499999209278E-6
306.20,1.9100000372418E-6
306.40,1.770000039869E-6
306.60,1.407000013387E-6
306.80,9.5000001465451E-7
307.00,9.5000001465451E-7
307.20,9.5000001465451E-7
307.40,9.5000001465451E-7
307.60,9.5000001465451E-7
307.80,1.0459999657542E-6
308.00,1.5099999473023E-6
308.20,1.3860000080967E-6
308.40,1.2619999552044E-6
308.60,1.5639999446648E-6
308.80,2.2920000901649E-6
309.00,3.0199998946046E-6
309.20,2.1400001060101E-6
309.40,1.2609999657798E-6
309.60,9.5000001465451E-7
309.80,9.7040003765869E-7
310.00,1.0700000530051E-6
310.20,9.5000001465451E-7
310.40,9.5000001465451E-7
310.60,9.5000001465451E-7
310.80,9.5000001465451E-7
311.00,9.5000001465451E-7
311.20,1.2550000292322E-6
311.40,2.2379999791156E-6
311.60,2.2799999896961E-6
311.80,1.3799999578623E-6
312.00,9.5000001465451E-7
312.20,9.5000001465451E-7
312.40,9.5000001465451E-7
312.60,9.5000001465451E-7
312.80,9.5000001465451E-7
313.00,1.2599999763552E-6
313.20,1.0549999842624E-6
313.40,9.5000001465451E-7
313.60,9.5000001465451E-7
313.80,9.5000001465451E-7
314.00,9.5000001465451E-7
314.20,9.5000001465451E-7
314.40,9.5000001465451E-7
314.60,9.5000001465451E-7
314.80,9.5000001465451E-7
315.00,9.5000001465451E-7
315.20,9.5000001465451E-7
315.40,9.5000001465451E-7
315.60,9.5000001465451E-7
315.80,9.5000001465451E-7
316.00,9.5000001465451E-7
316.20,9.5000001465451E-7
316.40,9.5000001465451E-7
316.60,1.2100000503779E-6
316.80,1.3899999657951E-6
317.00,1.5699999948993E-6
317.20,9.8759994671127E-7
317.40,9.5000001465451E-7
317.60,9.5000001465451E-7
317.80,9.5000001465451E-7
318.00,9.5000001465451E-7
318.20,1.0590000556476E-6
318.40,2.0400000266818E-6
318.60,2.5960000584746E-6
318.80,2.7280000267638E-6
319.00,2.8599999950529E-6
319.20,2.9800000902469E-6
319.40,3.0999999580672E-6
319.60,2.6210000214633E-6
319.80,1.544000042486E-6
