## Type: filter
## Name: 392/23
wavelength,transmission
265.0, 1.6992e-05
265.2, 1.494e-05
265.4, 1.3135e-05
265.6, 1.1548e-05
265.8, 1.0153e-05
266.0, 8.9268e-06
266.2, 7.8485e-06
266.4, 6.9004e-06
266.6, 6.0668e-06
266.8, 5.334e-06
267.0, 4.6897e-06
267.2, 4.1232e-06
267.4, 3.6251e-06
267.6, 3.1872e-06
267.8, 2.8022e-06
268.0, 2.4637e-06
268.2, 2.1661e-06
268.4, 1.9044e-06
268.6, 1.6744e-06
268.8, 1.4721e-06
269.0, 1.2943e-06
269.2, 1.1379e-06
269.4, 1.0005e-06
269.6, 9.8719e-07
269.8, 9.7755e-07
270.0, 9.6801e-07
270.2, 9.5856e-07
270.4, 9.492e-07
270.6, 9.3994e-07
270.8, 9.3076e-07
271.0, 9.2168e-07
271.2, 9.1268e-07
271.4, 9.0377e-07
271.6, 8.9495e-07
271.8, 8.8621e-07
272.0, 8.7756e-07
272.2, 8.6899e-07
272.4, 8.6051e-07
272.6, 8.5211e-07
272.8, 8.4379e-07
273.0, 8.3556e-07
273.2, 8.274e-07
273.4, 8.1933e-07
273.6, 8.1133e-07
273.8, 8.0341e-07
274.0, 7.9557e-07
274.2, 1.1037e-06
274.4, 1.9263e-06
274.6, 3.362e-06
274.8, 5.8676e-06
275.0, 1.0241e-05
275.2, 8.4818e-06
275.4, 7.025e-06
275.6, 5.8185e-06
275.8, 4.8191e-06
276.0, 3.9914e-06
276.2, 3.3059e-06
276.4, 2.7381e-06
276.6, 2.2678e-06
276.8, 1.8783e-06
277.0, 1.5557e-06
277.2, 1.2885e-06
277.4, 1.0672e-06
277.6, 8.8389e-07
277.8, 7.3208e-07
278.0, 6.6669e-07
278.2, 6.5719e-07
278.4, 6.4782e-07
278.6, 6.3859e-07
278.8, 6.2949e-07
279.0, 6.2052e-07
279.2, 6.1168e-07
279.4, 6.0297e-07
279.6, 5.9437e-07
279.8, 5.859e-07
280.0, 5.7755e-07
280.2, 5.6932e-07
280.4, 5.6121e-07
280.6, 5.5321e-07
280.8, 5.4533e-07
281.0, 5.3756e-07
281.2, 5.299e-07
281.4, 5.2235e-07
281.6, 5.1491e-07
281.8, 5.0757e-07
282.0, 5.0034e-07
282.2, 4.9321e-07
282.4, 4.8618e-07
282.6, 5.0217e-07
282.8, 6.417e-07
283.0, 8.1999e-07
283.2, 1.0478e-06
283.4, 1.339e-06
283.6, 1.711e-06
283.8, 2.1864e-06
284.0, 2.7939e-06
284.2, 3.5702e-06
284.4, 4.5621e-06
284.6, 5.8297e-06
284.8, 7.4495e-06
285.0, 9.5194e-06
285.2, 7.4939e-06
285.4, 5.8995e-06
285.6, 4.6442e-06
285.8, 3.6561e-06
286.0, 2.8782e-06
286.2, 2.2658e-06
286.4, 1.7837e-06
286.6, 1.4042e-06
286.8, 1.1054e-06
287.0, 8.7022e-07
287.2, 6.8507e-07
287.4, 5.3931e-07
287.6, 4.2456e-07
287.8, 3.3423e-07
288.0, 3.0197e-07
288.2, 2.9582e-07
288.4, 2.8979e-07
288.6, 2.8389e-07
288.8, 2.781e-07
289.0, 2.7244e-07
289.2, 2.6689e-07
289.4, 2.6145e-07
289.6, 2.5612e-07
289.8, 2.509e-07
290.0, 2.4579e-07
290.2, 2.4078e-07
290.4, 2.3588e-07
290.6, 2.3107e-07
290.8, 2.2637e-07
291.0, 2.2175e-07
291.2, 2.1724e-07
291.4, 2.1281e-07
291.6, 2.0847e-07
291.8, 2.0423e-07
292.0, 2.0007e-07
292.2, 1.9599e-07
292.4, 1.92e-07
292.6, 1.9934e-07
292.8, 2.4035e-07
293.0, 2.8978e-07
293.2, 3.4939e-07
293.4, 4.2125e-07
