#Typical Measured Spectrum of Semrock FF01-466/40 Optical Filter
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: Filter
#Name: Semrock FF01-466_40
wavelength,transmission
265.0, 2.1408e-05
265.2, 1.9833e-05
265.4, 1.8375e-05
265.6, 1.7023e-05
265.8, 1.5772e-05
266.0, 1.4612e-05
266.2, 1.3537e-05
266.4, 1.2542e-05
266.6, 1.1619e-05
266.8, 1.0765e-05
267.0, 1.0125e-05
267.2, 1.0251e-05
267.4, 1.0378e-05
267.6, 1.0507e-05
267.8, 1.0638e-05
268.0, 1.077e-05
268.2, 1.0904e-05
268.4, 1.104e-05
268.6, 1.1177e-05
268.8, 1.1316e-05
269.0, 1.1457e-05
269.2, 1.1599e-05
269.4, 1.1744e-05
269.6, 1.189e-05
269.8, 1.2037e-05
270.0, 1.2187e-05
270.2, 1.2339e-05
270.4, 1.2492e-05
270.6, 1.2648e-05
270.8, 1.1536e-05
271.0, 9.5733e-06
271.2, 7.9448e-06
271.4, 6.5934e-06
271.6, 5.4718e-06
271.8, 4.541e-06
272.0, 3.7685e-06
272.2, 3.1275e-06
272.4, 2.5955e-06
272.6, 2.154e-06
272.8, 1.7876e-06
273.0, 1.4835e-06
273.2, 1.2311e-06
273.4, 1.0217e-06
273.6, 8.479e-07
273.8, 7.0367e-07
274.0, 5.8397e-07
274.2, 4.8463e-07
274.4, 4.0219e-07
274.6, 6.7005e-07
274.8, 1.2114e-06
275.0, 2.1901e-06
275.2, 1.0081e-06
275.4, 4.6398e-07
275.6, 3.6907e-07
275.8, 3.6511e-07
276.0, 3.6119e-07
276.2, 3.5731e-07
276.4, 3.5347e-07
276.6, 3.4968e-07
276.8, 3.4592e-07
277.0, 3.4221e-07
277.2, 3.3854e-07
277.4, 3.349e-07
277.6, 3.3131e-07
277.8, 3.2775e-07
278.0, 3.2423e-07
278.2, 3.2075e-07
278.4, 3.1731e-07
278.6, 3.139e-07
278.8, 3.1053e-07
279.0, 3.072e-07
279.2, 3.038e-07
279.4, 2.9928e-07
279.6, 2.9483e-07
279.8, 2.9044e-07
280.0, 2.8612e-07
280.2, 2.8187e-07
280.4, 2.7767e-07
280.6, 2.7354e-07
280.8, 2.6948e-07
281.0, 2.6547e-07
281.2, 2.6152e-07
281.4, 2.5763e-07
281.6, 2.538e-07
281.8, 2.5002e-07
282.0, 2.463e-07
282.2, 2.4264e-07
282.4, 2.3903e-07
282.6, 2.3547e-07
282.8, 2.3197e-07
283.0, 2.3752e-07
283.2, 2.5498e-07
283.4, 2.7371e-07
283.6, 2.9382e-07
283.8, 3.1541e-07
284.0, 3.3859e-07
284.2, 3.6347e-07
284.4, 3.9017e-07
284.6, 4.1884e-07
284.8, 4.4961e-07
285.0, 4.8265e-07
285.2, 3.1012e-07
285.4, 1.9926e-07
285.6, 1.7806e-07
285.8, 1.7511e-07
286.0, 1.7221e-07
286.2, 1.6936e-07
286.4, 1.6655e-07
286.6, 1.6379e-07
286.8, 1.6108e-07
287.0, 1.5841e-07
287.2, 1.5578e-07
287.4, 1.532e-07
287.6, 1.5066e-07
287.8, 1.4817e-07
288.0, 1.4571e-07
288.2, 1.433e-07
288.4, 1.4092e-07
288.6, 1.3859e-07
288.8, 1.3629e-07
289.0, 1.3404e-07
289.2, 1.3529e-07
289.4, 1.5822e-07
289.6, 1.8504e-07
289.8, 2.1641e-07
290.0, 2.5309e-07
290.2, 2.96e-07
290.4, 3.4617e-07
290.6, 4.0486e-07
290.8, 4.7349e-07
291.0, 5.5375e-07
291.2, 6.4763e-07
291.4, 7.5741e-07
291.6, 8.8581e-07
291.8, 1.036e-06
292.0, 1.2116e-06
292.2, 1.417e-06
292.4, 1.6572e-06
292.6, 1.9381e-06
292.8, 2.2666e-06
293.0, 2.043e-06
293.2, 1.4616e-06
293.4, 1.0456e-06
293.6, 7.4805e-07
293.8, 5.3517e-07
294.0, 3.8287e-07
294.2, 2.7391e-07
294.4, 1.9596e-07
294.6, 1.4019e-07
294.8, 1.0029e-07
295.0, 7.1752e-08
295.2, 7.4556e-08
295.4, 7.7469e-08
295.6, 8.0497e-08
295.8, 8.3642e-08
296.0, 8.6911e-08
296.2, 9.0307e-08
296.4, 9.3836e-08
296.6, 9.7503e-08
296.8, 1.0131e-07
297.0, 1.0527e-07
297.2, 1.0939e-07
297.4, 1.1366e-07
297.6, 1.181e-07
297.8, 1.2272e-07
298.0, 1.312e-07
298.2, 1.4681e-07
298.4, 1.6427e-07
298.6, 1.8381e-07
298.8, 2.0568e-07
299.0, 2.3014e-07
299.2, 2.5752e-07
299.4, 2.8815e-07
299.6, 3.2243e-07
299.8, 3.6079e-07
300.0, 4.037e-07
300.2, 4.5172e-07
300.4, 5.0546e-07
300.6, 5.6559e-07
300.8, 6.3287e-07
301.0, 7.0815e-07
301.2, 7.9238e-07
301.4, 8.8664e-07
301.6, 9.9211e-07
301.8, 9.2324e-07
302.0, 8.1185e-07
302.2, 7.139e-07
302.4, 6.2777e-07
302.6, 5.5203e-07
302.8, 4.8542e-07
303.0, 4.2686e-07
303.2, 3.7536e-07
303.4, 3.3007e-07
303.6, 2.9025e-07
303.8, 2.5523e-07
304.0, 2.2443e-07
304.2, 1.9736e-07
304.4, 1.7354e-07
304.6, 1.5261e-07
304.8, 1.3419e-07
305.0, 1.18e-07
305.2, 1.019e-07
305.4, 8.8001e-08
305.6, 8.21e-08
305.8, 9.3434e-08
306.0, 1.0633e-07
306.2, 1.2101e-07
306.4, 1.3771e-07
306.6, 1.5672e-07
306.8, 1.7836e-07
307.0, 2.0298e-07
307.2, 2.31e-07
307.4, 2.6289e-07
307.6, 2.9918e-07
307.8, 3.4048e-07
308.0, 3.8748e-07
308.2, 4.4097e-07
308.4, 5.0184e-07
308.6, 5.7112e-07
308.8, 6.4996e-07
