#Typical Measured Spectrum of Semrock FF01-635/18 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: Filter
#Name: Semrock FF01-635_18
wavelength,transmission
265.0, 1.6112e-05
265.2, 1.4363e-05
265.4, 1.2805e-05
265.6, 1.1415e-05
265.8, 1.0176e-05
266.0, 9.0719e-06
266.2, 8.0874e-06
266.4, 7.2097e-06
266.6, 6.4273e-06
266.8, 5.7298e-06
267.0, 5.1079e-06
267.2, 4.5536e-06
267.4, 4.0594e-06
267.6, 3.6189e-06
267.8, 3.2262e-06
268.0, 2.876e-06
268.2, 2.5639e-06
268.4, 2.2857e-06
268.6, 2.0376e-06
268.8, 1.8165e-06
269.0, 1.6194e-06
269.2, 1.4436e-06
269.4, 1.287e-06
269.6, 1.2695e-06
269.8, 1.2568e-06
270.0, 1.2443e-06
270.2, 1.2319e-06
270.4, 1.2196e-06
270.6, 1.2075e-06
270.8, 1.1955e-06
271.0, 1.1836e-06
271.2, 1.1718e-06
271.4, 1.1601e-06
271.6, 1.1485e-06
271.8, 1.1371e-06
272.0, 1.1258e-06
272.2, 1.1146e-06
272.4, 1.1035e-06
272.6, 1.0925e-06
272.8, 1.0816e-06
273.0, 1.0708e-06
273.2, 1.0601e-06
273.4, 1.0496e-06
273.6, 1.0391e-06
273.8, 1.0288e-06
274.0, 1.0185e-06
274.2, 1.0098e-06
274.4, 1.0022e-06
274.6, 9.9469e-07
274.8, 9.8719e-07
275.0, 9.7976e-07
275.2, 9.7051e-07
275.4, 9.6134e-07
275.6, 9.5226e-07
275.8, 9.4327e-07
276.0, 9.3437e-07
276.2, 9.2554e-07
276.4, 9.168e-07
276.6, 9.0815e-07
276.8, 8.9957e-07
277.0, 8.9108e-07
277.2, 8.8266e-07
277.4, 8.7433e-07
277.6, 8.6607e-07
277.8, 8.579e-07
278.0, 9.1726e-07
278.2, 1.0467e-06
278.4, 1.1943e-06
278.6, 1.3628e-06
278.8, 1.5551e-06
279.0, 1.7745e-06
279.2, 2.0248e-06
279.4, 2.3105e-06
279.6, 2.6365e-06
279.8, 3.0084e-06
280.0, 3.4329e-06
280.2, 3.9172e-06
280.4, 4.4698e-06
280.6, 5.1004e-06
280.8, 5.82e-06
281.0, 6.6411e-06
281.2, 7.578e-06
281.4, 8.6471e-06
281.6, 9.8671e-06
281.8, 1.1259e-05
282.0, 1.2848e-05
282.2, 1.466e-05
282.4, 1.6728e-05
282.6, 1.7701e-05
282.8, 1.3121e-05
283.0, 9.7267e-06
283.2, 7.2104e-06
283.4, 5.345e-06
283.6, 3.9622e-06
283.8, 2.9371e-06
284.0, 2.1773e-06
284.2, 1.614e-06
284.4, 1.1964e-06
284.6, 8.8692e-07
284.8, 6.5746e-07
285.0, 4.8737e-07
285.2, 4.7915e-07
285.4, 4.7106e-07
285.6, 4.631e-07
285.8, 4.5529e-07
286.0, 4.476e-07
286.2, 4.4004e-07
286.4, 4.3262e-07
286.6, 4.2531e-07
286.8, 4.1813e-07
287.0, 4.1107e-07
287.2, 4.0414e-07
287.4, 3.9731e-07
287.6, 3.9061e-07
287.8, 3.8401e-07
288.0, 3.7679e-07
288.2, 3.6928e-07
288.4, 3.6192e-07
288.6, 3.5471e-07
288.8, 3.4764e-07
289.0, 3.4072e-07
289.2, 3.3393e-07
289.4, 3.2727e-07
289.6, 3.2075e-07
289.8, 3.1436e-07
290.0, 3.081e-07
290.2, 3.0196e-07
290.4, 2.9594e-07
290.6, 2.9004e-07
290.8, 2.8426e-07
291.0, 2.786e-07
291.2, 2.7305e-07
291.4, 2.6761e-07
291.6, 2.6227e-07
291.8, 2.5705e-07
292.0, 2.5192e-07
292.2, 2.469e-07
292.4, 2.4198e-07
292.6, 2.4264e-07
292.8, 2.5803e-07
293.0, 2.7439e-07
293.2, 2.9179e-07
293.4, 3.1029e-07
293.6, 3.2996e-07
293.8, 3.5088e-07
294.0, 3.7313e-07
294.2, 3.9679e-07
294.4, 4.2194e-07
294.6, 4.487e-07
294.8, 4.7715e-07
295.0, 5.074e-07
295.2, 4.5095e-07
295.4, 4.0077e-07
295.6, 3.5618e-07
295.8, 3.3816e-07
296.0, 3.3431e-07
296.2, 3.305e-07
296.4, 3.2674e-07
296.6, 3.2302e-07
296.8, 3.1934e-07
297.0, 3.157e-07
297.2, 3.121e-07
297.4, 3.0855e-07
297.6, 3.0503e-07
297.8, 3.0156e-07
298.0, 2.9812e-07
298.2, 2.9473e-07
298.4, 2.9137e-07
298.6, 2.8805e-07
298.8, 2.8477e-07
299.0, 2.8153e-07
299.2, 2.7832e-07
299.4, 2.7515e-07
299.6, 2.7201e-07
299.8, 2.6892e-07
300.0, 2.6585e-07
300.2, 2.6282e-07
300.4, 2.6482e-07
300.6, 2.809e-07
300.8, 2.9796e-07
301.0, 3.1605e-07
301.2, 3.3525e-07
301.4, 3.5561e-07
301.6, 3.772e-07
301.8, 4.0011e-07
302.0, 4.2441e-07
302.2, 4.5018e-07
302.4, 4.7752e-07
302.6, 5.0652e-07
302.8, 5.3728e-07
303.0, 5.6991e-07
303.2, 6.0452e-07
303.4, 6.4124e-07
303.6, 6.8018e-07
303.8, 7.2149e-07
304.0, 7.653e-07
304.2, 8.1178e-07
304.4, 8.6108e-07
304.6, 9.1337e-07
304.8, 9.6884e-07
305.0, 1.0277e-06
305.2, 8.5245e-07
305.4, 7.071e-07
305.6, 5.8654e-07
305.8, 4.8653e-07
306.0, 4.0357e-07
306.2, 3.3476e-07
306.4, 2.7768e-07
306.6, 2.3033e-07
306.8, 1.9106e-07
307.0, 1.6692e-07
307.2, 1.7832e-07
307.4, 1.905e-07
307.6, 2.0351e-07
307.8, 2.1741e-07
308.0, 2.3226e-07
308.2, 2.4813e-07
308.4, 2.6507e-07
308.6, 2.8318e-07
308.8, 3.0252e-07
309.0, 3.2319e-07
309.2, 3.4526e-07
309.4, 3.6884e-07
309.6, 3.9403e-07
309.8, 4.2095e-07
310.0, 4.497e-07
310.2, 4.8042e-07
310.4, 5.1323e-07
310.6, 5.4828e-07
310.8, 5.8573e-07
311.0, 6.2574e-07
311.2, 6.6848e-07
311.4, 7.1414e-07
311.6, 7.6292e-07
311.8, 7.5222e-07
312.0, 7.3125e-07
312.2, 7.1086e-07
312.4, 6.9104e-07
312.6, 6.7178e-07
312.8, 6.5305e-07
313.0, 6.3485e-07
313.2, 6.1715e-07
313.4, 5.9994e-07
313.6, 5.8322e-07
313.8, 5.6696e-07
314.0, 5.5115e-07
314.2, 5.3579e-07
314.4, 5.2085e-07
314.6, 5.0633e-07
314.8, 4.9221e-07
315.0, 4.7849e-07
315.2, 4.6515e-07
315.4, 4.5218e-07
315.6, 4.3958e-07
315.8, 4.2732e-07
316.0, 4.1541e-07
316.2, 4.0383e-07
316.4, 3.8807e-07
316.6, 3.6881e-07
316.8, 3.5051e-07
317.0, 3.3311e-07
317.2, 3.1658e-07
317.4, 3.0087e-07
317.6, 2.8594e-07
317.8, 2.7175e-07
318.0, 2.5827e-07
318.2, 2.4545e-07
318.4, 2.3327e-07
318.6, 2.2169e-07
