## Type: filter
## Name: Chroma HQ620/60x
wavelength,transmission
300,0.000100049
301,0.000001
302,0.000001
303,2.92E-05
304,0.000001
305,5.94E-06
306,0.000001
307,0.000001
308,0.000001
309,0.000125788
310,0.000001
311,6.34E-05
312,0.000119921
313,0.000001
314,0.000001
315,0.000278042
316,0.000001
317,1.05E-05
318,5.44E-05
319,0.00016342
320,0.00017146
321,0.000001
322,0.000434189
323,0.000001
324,3.01E-05
325,0.000312363
326,0.000171831
327,0.000001
328,0.00049593
329,3.53E-05
330,0.000368657
331,0.000001
332,0.000301862
333,0.000121057
334,6.97E-05
335,9.11E-05
336,0.000356878
337,0.000001
338,3.62E-05
339,0.000117199
340,0.000001
341,0.000001
342,0.000001
343,0.00015771
344,0.000001
345,0.000001
346,3.68E-05
347,0.000173258
348,4.18E-05
349,0.000001
350,7.32E-05
351,0.000001
352,0.000200347
353,6.20E-05
354,0.000001
355,0.000394037
356,0.000265109
357,0.000166637
358,0.000001
359,0.000001
360,0.000001
361,0.000001
362,3.43E-05
363,0.000001
364,0.00012986
365,0.000001
366,0.000001
367,0.000119884
368,3.70E-05
369,0.000001
370,0.000001
371,0.000001
372,0.000001
373,1.27E-05
374,0.000001
375,0.000001
376,0.000001
377,0.000001
378,0.000001
379,6.56E-06
380,0.000001
381,0.000115283
382,3.62E-05
383,4.60E-05
384,1.14E-05
385,0.000001
386,0.000001
387,3.16E-05
388,7.59E-06
389,0.000001
390,0.000001
391,0.000138834
392,0.000001
393,0.000001
394,1.37E-05
395,6.52E-05
396,0.000001
397,1.60E-05
398,3.89E-05
399,5.04E-05
400,0.000001
401,6.40E-05
402,0.000001
403,6.01E-05
404,0.000001
405,1.12E-05
406,3.03E-05
407,0.000001
408,2.94E-05
409,5.31E-05
410,0.000001
411,3.42E-07
412,3.76E-05
413,0.000001
414,9.27E-06
415,0.000001
416,8.67E-06
417,4.35E-05
418,0.000042124
419,7.03E-05
420,8.13E-05
421,7.93E-05
422,5.18E-05
423,1.22E-05
424,5.19E-05
425,0.000001
426,6.61E-05
427,2.01E-05
428,7.08E-05
429,1.14E-06
430,2.77E-05
431,0.000001
432,5.51E-05
433,4.01E-05
434,1.39E-05
435,2.46E-05
436,9.37E-05
437,6.58E-06
438,2.42E-05
439,3.17E-05
440,0.000001
441,2.62E-05
442,6.87E-05
443,0.000001
444,4.14E-05
445,0.000001
446,9.06E-05
447,9.92E-06
448,5.25E-05
449,1.71E-05
450,0.000059598
451,3.04E-05
452,2.61E-05
453,0.000001
454,0.000001
455,3.34E-05
456,1.18E-05
457,1.24E-05
458,0.000001
459,3.73E-05
460,5.68E-05
461,0.000001
462,1.49E-05
463,0.000001
464,0.000001
465,0.000001
466,3.83E-05
467,4.18E-05
468,4.07E-05
469,2.99E-05
470,1.36E-05
471,0.000001
472,3.41E-05
473,2.68E-05
474,0.000001
475,4.76E-05
476,1.30E-05
477,6.44E-05
478,1.48E-05
479,2.04E-05
480,1.45E-05
481,1.59E-05
482,1.93E-05
483,6.33E-05
484,0.000001
485,0.000001
486,2.63E-05
487,0.000001
488,8.54E-07
489,3.01E-05
490,4.07E-05
491,0.000001
492,3.64E-05
493,1.74E-05
494,4.20E-05
495,5.17E-06
496,4.25E-05
497,6.18E-05
498,0.000001
499,0.000001
500,0.000001
501,2.73E-05
502,0.000001
503,1.24E-05
504,6.56E-06
505,2.22E-05
506,0.000001
507,0.000001
508,7.25E-05
509,5.14E-05
510,9.05E-05
511,0.000001
512,6.25E-05
513,7.49E-05
514,7.02E-05
515,9.01E-05
516,5.29E-05
517,0.000113858
518,6.07E-06
519,3.12E-05
520,7.23E-05
521,6.16E-05
522,6.61E-05
523,1.37E-05
524,0.000001
525,2.13E-05
526,7.26E-06
527,2.25E-05
528,2.87E-05
529,4.28E-05
530,1.57E-05
531,0.000001
532,2.20E-05
533,0.00001752
534,0.000001
535,0.000001
536,2.92E-05
537,6.69E-05
538,0.000001
539,1.50E-05
540,0.000001
541,9.28E-05
542,1.17E-05
543,1.20E-05
544,0.000001
545,2.98E-05
546,3.69E-05
547,0.000036122
548,0.000001
549,5.27E-05
550,2.02E-05
551,0.00007136
552,4.49E-05
553,0.000001
554,7.85E-06
555,0.000001
556,1.82E-05
557,3.79E-05
558,7.94E-06
559,1.36E-05
560,4.98E-05
561,8.15E-06
562,0.000001
563,4.07E-05
564,1.50E-05
565,1.98E-05
566,4.68E-05
567,0.000018592
568,3.33E-05
569,3.11E-05
570,7.49E-06
571,0.000039621
572,2.57E-05
573,0.000102835
574,0.000001
575,5.29E-05
576,0.000001
577,2.75E-05
578,2.90E-05
579,0.000001
580,8.23E-05
581,5.10E-05
582,5.73E-05
583,0.000259815
584,0.00124742
585,0.00540625
586,0.034319199
587,0.343954004
588,7.568249851
589,47.81639874
590,59.98539925
591,70.89859843
592,71.80110216
593,70.31279802
594,76.28359795
595,81.19289875
596,81.44189715
597,80.3391993
598,79.36009765
599,77.51280069
600,76.10769868
601,76.394701
602,78.76110077
603,80.91760278
604,80.68310022
605,77.21040249
606,72.92659879
607,69.30130124
608,68.48250031
609,69.85629797
610,72.48899937
611,75.61990023
612,77.28449702
613,77.33489871
614,76.56800151
615,76.37019753
616,77.15790272
617,78.8203001
618,80.97720146
619,82.61880279
620,83.92900229
621,83.83240104
622,83.09779763
623,82.39960074
624,82.10330009
625,82.04820156
626,82.43640065
627,83.1272006
628,83.85469913
629,84.25310254
630,84.44139957
631,84.73569751
632,84.44330096
633,84.6141994
634,84.13490057
635,83.73659849
636,83.31519961
637,82.66320229
638,82.32039809
639,82.5420022
640,82.91829824
641,83.51320028
642,83.02500248
643,81.65580034
644,80.43730259
645,78.72160077
646,72.85370231
647,62.16080189
648,57.81999826
649,61.99610233
650,27.91689932
651,2.667810023
652,0.405695988
653,0.078396802
654,0.018264
655,0.00486577
656,0.00141694
657,0.000439021
658,0.000144948
659,8.12E-05
660,3.75E-05
661,4.66E-05
662,3.79E-05
663,5.40E-05
664,1.47E-05
665,3.04E-05
666,9.83E-06
667,2.82E-05
668,0.000001
669,3.27E-05
670,5.44E-05
671,1.78E-05
672,2.82E-05
673,0.000001
674,1.30E-05
675,0.000001
676,5.38E-05
677,5.20E-05
678,3.08E-05
679,9.68E-06
680,0.000001
681,6.45E-05
682,0.000001
683,7.88E-05
684,0.000001
685,6.43E-05
686,3.96E-05
687,0.000040384
688,0.000001
689,2.06E-05
690,0.000001
691,0.000001
692,0.000001
693,8.20E-05
694,0.000001
695,0.000001
696,0.000001
697,0.000001
698,5.97E-05
699,3.02E-05
700,0.000001
701,1.28E-05
702,0.000001
703,4.16E-05
704,7.53E-05
705,0.000001
706,2.75E-06
707,0.000001
708,0.000014663
709,0.000119508
710,7.56E-05
711,6.71E-05
712,0.000001
713,2.50E-05
714,3.93E-05
715,0.000001
716,0.000188655
717,0.000001
718,1.54E-05
719,0.000109659
720,7.96E-06
721,9.56E-05
722,5.58E-05
723,5.46E-05
724,0.000001
725,0.000001
726,0.000001
727,1.80E-05
728,0.000177996
729,0.000103491
730,0.000001
