## Type: filter
## Name: Semrock Em01-R442/514/647
#Typical Measured Spectrum of Semrock Em01-R442/514/647 Optical Filter	
#Values near or below 1e-6 are measurement noise limited.	
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
wavelength,transmission
320, 1.64258555766539e-05
320.2, 1.77039591976093e-05
320.4, 1.90815126681189e-05
320.6, 2.05662542281932e-05
320.8, 2.216652423397e-05
321, 2.38913120086598e-05
321.2, 2.5750306338979e-05
321.4, 2.77539499007388e-05
321.6, 2.99134979193136e-05
321.8, 3.22410813945059e-05
322, 3.47497752449743e-05
322.2, 3.40506181155321e-05
322.4, 3.33655278595648e-05
322.6, 3.26942214549572e-05
322.8, 3.20364215739321e-05
323, 3.13918564684795e-05
323.2, 3.07602598580946e-05
323.4, 3.01413708197723e-05
323.6, 2.95349336802152e-05
323.8, 2.89406979102124e-05
324, 2.83584180211393e-05
324.2, 2.55612095100869e-05
324.4, 2.30399111520083e-05
324.6, 2.07673078100213e-05
324.8, 1.87188687851598e-05
325, 1.68724830296466e-05
325.2, 1.52082204781202e-05
325.4, 1.37081169205929e-05
325.6, 1.23559800950404e-05
325.8, 1.11372149065705e-05
326, 1.00386658865633e-05
326.2, 1.00575546248247e-05
326.4, 1.00764789041069e-05
326.6, 1.00954387912839e-05
326.8, 1.01144343533553e-05
327, 1.01334656574471e-05
327.2, 1.01525327708113e-05
327.4, 1.01716357608266e-05
327.6, 1.01907746949985e-05
327.8, 1.02099496409595e-05
328, 1.02291606664692e-05
328.2, 1.10345315310772e-05
328.4, 1.19033115306776e-05
328.6, 1.28404930465167e-05
328.8, 1.3851461524191e-05
329, 1.49420264207215e-05
329.2, 1.6118454588176e-05
329.4, 1.738750628568e-05
329.6, 1.87564740267559e-05
329.8, 2.02332244852214e-05
330, 2.18262437004622e-05
330.2, 2.31873170312899e-05
330.4, 2.46332661949597e-05
330.6, 2.61693840047521e-05
330.8, 2.78012933310601e-05
331, 2.95349676835839e-05
331.2, 3.13767530770152e-05
331.4, 3.33333912602582e-05
331.6, 3.54120443942116e-05
331.8, 3.76203212684421e-05
332, 3.99663051527218e-05
332.2, 4.29838191188134e-05
332.4, 4.62291597629219e-05
332.6, 4.97195283294503e-05
332.8, 5.34734247816817e-05
333, 5.75107458569446e-05
333.2, 6.18528905250727e-05
333.4, 6.6522873409138e-05
333.6, 7.15454467696131e-05
333.8, 7.69472316985075e-05
334, 8.27568592188668e-05
334.2, 9.08124933835264e-05
334.4, 9.96522709099248e-05
334.6, 0.00010935252108502
334.8, 0.000119997003163713
335, 0.000131677629609261
335.2, 0.000144495259734594
335.4, 0.000158560570597479
335.6, 0.000173995012669468
335.8, 0.00019093185853059
336, 0.000209517353645058
336.2, 0.000232104040082305
336.4, 0.000257125648473935
336.6, 0.000284844671724366
336.8, 0.000315551900369771
337, 0.000349569473159486
337.2, 0.000387254256500454
337.4, 0.000429001588217343
337.6, 0.000475249424902815
337.8, 0.000526482936366245
338, 0.00058323959537985
338.2, 0.000637929080120991
338.4, 0.000697746714193803
338.6, 0.000763173356317169
338.8, 0.000834734954596467
339, 0.000913006774486487
339.2, 0.000998618023203781
339.4, 0.00109225690776316
339.6, 0.00119467616729857
339.8, 0.00130669912414108
340, 0.00142922630229748
340.2, 0.00268099620974466
340.4, 0.00332532425421414
340.6, 0.00258248138661384
340.8, 0.00126038666600678
341, 0.000411251031256648
341.2, 0.000289315565630643
341.4, 0.000196684619526048
341.6, 0.0001046673430816
341.8, 4.14844942648588e-05
342, 1.36857625294442e-05
342.2, 9.57362032414344e-06
342.4, 9.48763131797593e-06
342.6, 1.4443106046291e-05
342.8, 3.08163359491454e-05
343, 7.07562813236465e-05
343.2, 0.000101787160673126
343.4, 0.000100098414830819
343.6, 7.19203844085911e-05
343.8, 4.96771874937239e-05
344, 5.34363763615462e-05
344.2, 9.04457574145484e-05
344.4, 0.000109332379461392
344.6, 8.78952893157737e-05
344.8, 4.53345177245262e-05
345, 1.49924634932119e-05
345.2, 6.80322132774641e-06
345.4, 5.04207846617487e-06
345.6, 5.23423961432606e-06
345.8, 7.64596313961562e-06
346, 1.84935804120549e-05
346.2, 0.000138097749122335
346.4, 0.00054776944081991
346.6, 0.00126056080688879
346.8, 0.00181471237163555
347, 0.00173967050361678
347.2, 0.00139138142112056
347.4, 0.00168153302036015
347.6, 0.00222687479646074
347.8, 0.00252463500747339
348, 0.00206217254251287
348.2, 0.00190869000810003
348.4, 0.00267135619427606
348.6, 0.00367335921712667
348.8, 0.0037669252304949
349, 0.00255427116097359
349.2, 0.00108992697191863
349.4, 0.00101506581028481
349.6, 0.00160390780213977
349.8, 0.00288579050408548
350, 0.00342572107927111
350.2, 0.00225659488813634
350.4, 0.000971847674960386
350.6, 0.000418696181352333
350.8, 0.000284329420569721
351, 0.000493838562743354
351.2, 0.000825852713341608
351.4, 0.00109431965594377
351.6, 0.00118771488694687
351.8, 0.0012522406567369
352, 0.00174514292129924
352.2, 0.00714996309223977
352.4, 0.0200053981875166
352.6, 0.0320846717134214
352.8, 0.0654995626266713
353, 1
353.2, 1
353.4, 0.0839597235630023
353.6, 0.0174221841556853
353.8, 0.0210335994866115
354, 0.0278132666843901
354.2, 0.0347262270131474
354.4, 0.0319742524814112
354.6, 0.11992143038539
354.8, 0.427652485031683
