## Type: filter
## Name: Semrock Em01-R514
#Typical Measured Spectrum of Semrock Em01-R514 Optical Filter
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
wavelength,transmission
300, 0.015453363
300.2, 0.015719988
300.4, 0.015991213
300.6, 0.016267117
300.8, 0.016547782
301, 0.01683329
301.2, 0.017123723
301.4, 0.017419168
301.6, 0.01771971
301.8, 0.018025437
302, 0.018336439
302.2, 0.018447104
302.4, 0.018558437
302.6, 0.018670442
302.8, 0.018783123
303, 0.018896484
303.2, 0.019010529
303.4, 0.019125262
303.6, 0.019240688
303.8, 0.019356811
304, 0.019473634
304.2, 0.018975962
304.4, 0.018491009
304.6, 0.018018449
304.8, 0.017557966
305, 0.017109251
305.2, 0.016672004
305.4, 0.016245931
305.6, 0.015830747
305.8, 0.015426173
306, 0.015031939
306.2, 0.014431434
306.4, 0.013854919
306.6, 0.013301435
306.8, 0.012770062
307, 0.012259916
307.2, 0.01177015
307.4, 0.011299949
307.6, 0.010848533
307.8, 0.010415149
308, 0.009999079
308.2, 0.0109231
308.4, 0.01193251
308.6, 0.0130352
308.8, 0.014239791
309, 0.015555698
309.2, 0.016993209
309.4, 0.018563561
309.6, 0.020279031
309.8, 0.022153028
310, 0.024200202
310.2, 0.027364801
310.4, 0.030943227
310.6, 0.034989594
310.8, 0.039565094
311, 0.04473892
311.2, 0.050589315
311.4, 0.057204751
311.6, 0.064685271
311.8, 0.073143999
312, 0.082708853
312.2, 0.086645737
312.4, 0.090770013
312.6, 0.095090603
312.8, 0.099616849
313, 0.104358541
313.2, 0.109325935
313.4, 0.114529773
313.6, 0.11998131
313.8, 0.125692337
314, 0.131675204
314.2, 0.12812244
314.4, 0.124665534
314.6, 0.121301899
314.8, 0.11802902
315, 0.114844447
315.2, 0.111745798
315.4, 0.108730754
315.6, 0.10579706
315.8, 0.102942521
316, 0.100165001
316.2, 0.091249039
316.4, 0.083126711
316.6, 0.075727375
316.8, 0.068986673
317, 0.06284598
317.2, 0.057251886
317.4, 0.052155739
317.6, 0.047513213
317.8, 0.043283931
318, 0.03943111
318.2, 0.036063519
318.4, 0.032983535
318.6, 0.030166596
318.8, 0.027590235
319, 0.025233907
319.2, 0.02307882
319.4, 0.021107787
319.6, 0.019305089
319.8, 0.017656349
320, 0.016148419
320.2, 0.016782227
320.4, 0.017440912
320.6, 0.01812545
320.8, 0.018836855
321, 0.019576182
321.2, 0.020344527
321.4, 0.021143029
321.6, 0.021972871
321.8, 0.022835283
322, 0.023731544
322.2, 0.025323189
322.4, 0.027021584
322.6, 0.028833888
322.8, 0.03076774
323, 0.032831294
323.2, 0.035033248
323.4, 0.037382884
323.6, 0.039890107
323.8, 0.042565486
324, 0.0454203
324.2, 0.048876613
324.4, 0.052595937
324.6, 0.056598289
324.8, 0.060905204
325, 0.065539859
325.2, 0.070527193
325.4, 0.075894045
325.6, 0.081669294
325.8, 0.087884017
326, 0.094571657
326.2, 0.102102576
326.4, 0.110233196
326.6, 0.119011273
326.8, 0.128488364
327, 0.138720134
327.2, 0.149766679
327.4, 0.161692881
327.6, 0.174568789
327.8, 0.18847003
328, 0.203478253
328.2, 0.211877676
328.4, 0.22062382
328.6, 0.229730998
328.8, 0.239214114
329, 0.249088685
329.2, 0.259370871
329.4, 0.270077497
329.6, 0.281226084
329.8, 0.292834877
330, 0.304922871
330.2, 0.30350797
330.4, 0.302099635
330.6, 0.300697834
330.8, 0.299302538
331, 0.297913717
331.2, 0.29653134
331.4, 0.295155377
331.6, 0.2937858
331.8, 0.292422577
332, 0.29106568
332.2, 0.284099062
332.4, 0.277299189
332.6, 0.270662071
332.8, 0.26418381
333, 0.257860607
333.2, 0.251688748
333.4, 0.245664612
333.6, 0.239784662
333.8, 0.234045449
334, 0.228443602
334.2, 0.228881083
334.4, 0.229319402
334.6, 0.22975856
334.8, 0.230198559
335, 0.2306394
335.2, 0.231081086
335.4, 0.231523618
335.6, 0.231966997
335.8, 0.232411225
336, 0.232856304
336.2, 0.234558027
336.4, 0.236272186
336.6, 0.237998873
336.8, 0.239738178
337, 0.241490194
337.2, 0.243255014
337.4, 0.245032731
337.6, 0.24682344
337.8, 0.248627235
338, 0.250444212
338.2, 0.248367062
338.4, 0.246307139
338.6, 0.244264301
338.8, 0.242238406
339, 0.240229313
339.2, 0.238236884
339.4, 0.236260979
339.6, 0.234301463
339.8, 0.232358198
340, 0.230431051
340.2, 0.226349896
340.4, 0.222341023
340.6, 0.218403151
340.8, 0.214535022
341, 0.210735402
341.2, 0.207003076
341.4, 0.203336854
341.6, 0.199735564
341.8, 0.196198056
342, 0.192723201
342.2, 0.189926515
342.4, 0.187170414
342.6, 0.184454307
342.8, 0.181777615
343, 0.179139765
343.2, 0.176540194
343.4, 0.173978347
343.6, 0.171453676
343.8, 0.168965641
344, 0.166513711
344.2, 0.168529449
344.4, 0.170569588
344.6, 0.172634424
344.8, 0.174724256
345, 0.176839387
345.2, 0.178980122
345.4, 0.181146772
345.6, 0.183339651
345.8, 0.185559075
346, 0.187805367
346.2, 0.186243232
346.4, 0.184694091
346.6, 0.183157834
346.8, 0.181634357
347, 0.180123551
347.2, 0.178625312
347.4, 0.177139535
347.6, 0.175666116
347.8, 0.174204954
348, 0.172755944
348.2, 0.160237699
348.4, 0.148626551
348.6, 0.13785677
348.8, 0.12786739
349, 0.11860186
349.2, 0.110007729
349.4, 0.102036347
349.6, 0.094642586
349.8, 0.087784593
350, 0.081423544
350.2, 0.074517556
350.4, 0.068197303
350.6, 0.062413107
350.8, 0.0571195
351, 0.052274875
351.2, 0.047841149
351.4, 0.043783472
351.6, 0.04006995
351.8, 0.036671392
352, 0.033561086
352.2, 0.035457842
352.4, 0.037461796
352.6, 0.039579008
352.8, 0.041815876
353, 0.044179165
353.2, 0.046676018
353.4, 0.049313985
353.6, 0.052101041
353.8, 0.055045611
354, 0.058156599
354.2, 0.058804871
354.4, 0.059460369
354.6, 0.060123174
354.8, 0.060793367
355, 0.061471031
355.2, 0.062156249
355.4, 0.062849105
355.6, 0.063549685
355.8, 0.064258073
356, 0.064974358
356.2, 0.061497576
356.4, 0.058206837
356.6, 0.055092185
356.8, 0.052144199
357, 0.049353959
357.2, 0.046713026
357.4, 0.044213409
357.6, 0.041847546
357.8, 0.039608282
358, 0.03748884
358.2, 0.036554142
358.4, 0.03564275
358.6, 0.03475408
358.8, 0.033887568
359, 0.03304266
359.2, 0.032218818
359.4, 0.031415516
359.6, 0.030632243
359.8, 0.029868499
360, 0.029123797
360.2, 0.030442499
360.4, 0.03182091
360.6, 0.033261735
360.8, 0.034767799
361, 0.036342057
361.2, 0.037987595
361.4, 0.039707642
361.6, 0.041505572
361.8, 0.04338491
362, 0.045349343
362.2, 0.047150293
362.4, 0.049022765
362.6, 0.050969597
362.8, 0.052993744
363, 0.055098275
363.2, 0.057286383
363.4, 0.059561387
363.6, 0.061926737
363.8, 0.064386023
364, 0.066942974
364.2, 0.068773717
364.4, 0.070654528
364.6, 0.072586775
364.8, 0.074571864
365, 0.076611241
365.2, 0.078706391
365.4, 0.080858839
365.6, 0.083070151
365.8, 0.085341938
366, 0.087675853
366.2, 0.08987293
366.4, 0.092125063
366.6, 0.094433633
366.8, 0.096800054
367, 0.099225775
367.2, 0.101712282
367.4, 0.104261099
367.6, 0.106873787
367.8, 0.109551947
368, 0.112297219
368.2, 0.116303665
368.4, 0.12045305
368.6, 0.124750473
368.8, 0.129201216
369, 0.133810748
369.2, 0.138584736
369.4, 0.143529047
369.6, 0.148649756
369.8, 0.153953157
370, 0.159445769
370.2, 0.165194772
370.4, 0.171151063
