## Type: filter
## Name: Semrock FF01-390-482-563-640
#Typical Measured Spectrum of Semrock FF01-390/482/563/640 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
wavelength,transmission
270.0,3.9779e-07
270.2,3.939e-07
270.4,3.9005e-07
270.6,3.8623e-07
270.8,3.8548e-07
271.0,3.9666e-07
271.2,4.0817e-07
271.4,4.2e-07
271.6,4.3219e-07
271.8,4.4472e-07
272.0,4.5762e-07
272.2,4.709e-07
272.4,4.8456e-07
272.6,4.9861e-07
272.8,5.1308e-07
273.0,5.2796e-07
273.2,5.4327e-07
273.4,5.5903e-07
273.6,5.7525e-07
273.8,5.9193e-07
274.0,6.091e-07
274.2,6.2677e-07
274.4,6.4495e-07
274.6,1.078e-06
274.8,2.7467e-06
275.0,6.9985e-06
275.2,7.1631e-06
275.4,7.3317e-06
275.6,7.0325e-06
275.8,6.231e-06
276.0,5.5208e-06
276.2,4.8916e-06
276.4,4.3341e-06
276.6,3.8401e-06
276.8,3.4024e-06
277.0,3.0146e-06
277.2,2.6711e-06
277.4,2.3666e-06
277.6,2.0969e-06
277.8,1.8579e-06
278.0,1.6462e-06
278.2,1.4585e-06
278.4,1.2923e-06
278.6,1.145e-06
278.8,1.0145e-06
279.0,8.9888e-07
279.2,7.9643e-07
279.4,7.9967e-07
279.6,8.3176e-07
279.8,8.6512e-07
280.0,8.9983e-07
280.2,9.3593e-07
280.4,9.7348e-07
280.6,1.0125e-06
280.8,1.0532e-06
281.0,1.0954e-06
281.2,1.1394e-06
281.4,1.1851e-06
281.6,1.2326e-06
281.8,1.2821e-06
282.0,1.3335e-06
282.2,1.387e-06
282.4,1.4426e-06
282.6,1.5005e-06
282.8,1.5607e-06
283.0,1.6202e-06
283.2,1.6588e-06
283.4,1.6983e-06
283.6,1.7387e-06
283.8,1.78e-06
284.0,1.8224e-06
284.2,1.8658e-06
284.4,1.9101e-06
284.6,1.9556e-06
284.8,2.0021e-06
285.0,2.0498e-06
285.2,1.7932e-06
285.4,1.5688e-06
285.6,1.4774e-06
285.8,1.4832e-06
286.0,1.4891e-06
286.2,1.495e-06
286.4,1.5009e-06
286.6,1.5069e-06
286.8,1.5128e-06
287.0,1.5188e-06
287.2,1.5248e-06
287.4,1.5309e-06
287.6,1.5369e-06
287.8,1.543e-06
288.0,1.5491e-06
288.2,1.5552e-06
288.4,1.5614e-06
288.6,1.5676e-06
288.8,1.5738e-06
289.0,1.58e-06
289.2,1.5863e-06
289.4,1.2741e-06
289.6,9.9133e-07
289.8,7.7129e-07
290.0,6.0009e-07
290.2,4.6689e-07
290.4,3.6326e-07
290.6,3.1609e-07
290.8,3.3705e-07
291.0,3.594e-07
291.2,3.8324e-07
291.4,4.0866e-07
291.6,4.3576e-07
291.8,4.6466e-07
292.0,4.9547e-07
292.2,5.2833e-07
292.4,5.6337e-07
292.6,6.0073e-07
292.8,6.4057e-07
293.0,6.8305e-07
293.2,7.2835e-07
293.4,6.8739e-07
293.6,6.2419e-07
293.8,5.668e-07
294.0,5.1469e-07
294.2,4.6737e-07
294.4,4.244e-07
294.6,3.8538e-07
294.8,3.4995e-07
295.0,3.1778e-07
295.2,2.8856e-07
295.4,2.6203e-07
295.6,2.3794e-07
295.8,2.1607e-07
296.0,1.9908e-07
296.2,1.9697e-07
296.4,1.9489e-07
296.6,1.9282e-07
296.8,1.9078e-07
297.0,1.8876e-07
297.2,1.8676e-07
297.4,1.8478e-07
297.6,1.8282e-07
297.8,1.8088e-07
298.0,1.7896e-07
298.2,1.7707e-07
298.4,1.7519e-07
298.6,1.7334e-07
298.8,1.715e-07
299.0,1.6968e-07
299.2,1.6788e-07
299.4,1.661e-07
299.6,1.6434e-07
299.8,1.6228e-07
300.0,1.6023e-07
300.2,1.5821e-07
300.4,1.5621e-07
300.6,1.5423e-07
300.8,1.5229e-07
301.0,1.5036e-07
301.2,1.4846e-07
301.4,1.4659e-07
301.6,1.4473e-07
301.8,1.4291e-07
302.0,1.411e-07
302.2,1.3932e-07
302.4,1.3756e-07
302.6,1.3582e-07
302.8,1.341e-07
303.0,1.3241e-07
303.2,1.3073e-07
303.4,1.3937e-07
303.6,1.5263e-07
303.8,1.6715e-07
304.0,1.8305e-07
304.2,2.0046e-07
304.4,2.1953e-07
304.6,2.4042e-07
304.8,2.6329e-07
305.0,2.8834e-07
305.2,3.1577e-07
305.4,3.4581e-07
305.6,3.7871e-07
305.8,4.1474e-07
306.0,4.4246e-07
306.2,4.0929e-07
306.4,3.786e-07
306.6,3.5021e-07
306.8,3.2395e-07
307.0,2.9967e-07
307.2,2.772e-07
307.4,2.5641e-07
307.6,2.3719e-07
307.8,2.194e-07
308.0,2.0295e-07
308.2,1.8774e-07
308.4,1.7366e-07
308.6,1.6064e-07
308.8,1.486e-07
309.0,1.3746e-07
309.2,1.2715e-07
309.4,1.1762e-07
309.6,1.088e-07
309.8,1.0772e-07
310.0,1.0717e-07
310.2,1.0661e-07
310.4,1.0606e-07
310.6,1.0551e-07
310.8,1.0497e-07
311.0,1.0443e-07
311.2,1.0389e-07
311.4,1.0335e-07
311.6,1.0281e-07
311.8,1.0228e-07
312.0,1.0175e-07
312.2,1.0123e-07
312.4,1.0071e-07
312.6,1.0018e-07
312.8,9.9667e-08
313.0,9.9152e-08
313.2,9.8639e-08
313.4,1.1029e-07
313.6,1.292e-07
313.8,1.5135e-07
314.0,1.7729e-07
314.2,2.0769e-07
314.4,2.4329e-07
314.6,2.85e-07
314.8,3.3385e-07
315.0,3.9108e-07
315.2,4.5813e-07
315.4,5.3667e-07
315.6,6.2867e-07
315.8,7.3644e-07
316.0,8.3993e-07
316.2,8.1293e-07
316.4,7.8679e-07
316.6,7.6149e-07
316.8,7.37e-07
317.0,7.133e-07
317.2,6.9037e-07
317.4,6.6817e-07
317.6,6.4668e-07
317.8,6.2589e-07
318.0,6.0576e-07
318.2,5.8628e-07
318.4,5.6743e-07
318.6,5.4919e-07
318.8,5.3153e-07
319.0,5.1444e-07
319.2,4.9789e-07
319.4,4.8188e-07
319.6,4.6639e-07
319.8,4.2714e-07
320.0,3.8957e-07
320.2,3.5531e-07
320.4,3.2405e-07
320.6,2.9555e-07
320.8,2.6956e-07
321.0,2.4585e-07
321.2,2.2422e-07
321.4,2.045e-07
321.6,1.8652e-07
321.8,1.7011e-07
322.0,1.5515e-07
322.2,1.415e-07
322.4,1.2906e-07
322.6,1.177e-07
322.8,1.0735e-07
323.0,9.791e-08
323.2,8.9298e-08
323.4,8.6091e-08
323.6,8.4809e-08
323.8,8.3547e-08
324.0,8.2303e-08
324.2,8.1078e-08
324.4,7.9871e-08
324.6,7.8683e-08
324.8,7.7511e-08
325.0,7.6358e-08
325.2,7.5221e-08
325.4,7.4101e-08
325.6,7.2998e-08
325.8,7.1912e-08
326.0,7.2132e-08
326.2,7.9835e-08
326.4,8.836e-08
326.6,9.7796e-08
326.8,1.0824e-07
327.0,1.198e-07
327.2,1.3259e-07
327.4,1.4675e-07
327.6,1.6242e-07
327.8,1.7977e-07
328.0,1.9897e-07
328.2,2.2022e-07
328.4,2.4373e-07
328.6,2.6976e-07
328.8,2.9857e-07
329.0,3.3045e-07
329.2,3.6574e-07
329.4,4.048e-07
329.6,4.4803e-07
329.8,4.0387e-07
330.0,3.5975e-07
330.2,3.2044e-07
330.4,2.8543e-07
330.6,2.5424e-07
330.8,2.2646e-07
331.0,2.0172e-07
331.2,1.7968e-07
331.4,1.6005e-07
331.6,1.4256e-07
331.8,1.2698e-07
332.0,1.1311e-07
332.2,1.0075e-07
332.4,8.9742e-08
332.6,7.9937e-08
332.8,7.1203e-08
333.0,6.3423e-08
333.2,5.6493e-08
333.4,5.4466e-08
333.6,5.4032e-08
333.8,5.3601e-08
334.0,5.3174e-08
334.2,5.275e-08
334.4,5.2329e-08
334.6,5.1912e-08
334.8,5.1498e-08
335.0,5.1088e-08
335.2,5.0681e-08
335.4,5.0277e-08
335.6,4.9876e-08
335.8,4.9478e-08
336.0,5.0603e-08
336.2,5.975e-08
336.4,7.0552e-08
336.6,8.3306e-08
336.8,9.8365e-08
337.0,1.1615e-07
337.2,1.3714e-07
337.4,1.6194e-07
337.6,1.9121e-07
337.8,2.2577e-07
338.0,2.6659e-07
338.2,3.1478e-07
338.4,3.7169e-07
338.6,4.3888e-07
338.8,5.1821e-07
339.0,6.1189e-07
339.2,7.2251e-07
339.4,8.5312e-07
339.6,1.0073e-06
339.8,1.0351e-06
340.0,1.0558e-06
340.2,1.077e-06
340.4,1.0985e-06
340.6,1.1206e-06
340.8,1.143e-06
341.0,1.1659e-06
341.2,1.1893e-06
341.4,1.2131e-06
341.6,1.2374e-06
