## Type: filter
## Name: Semrock FF01-530/55
#Typical Measured Spectrum of Semrock FF01-530/55 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
wavelength,transmission
391.0, 1.7695e-05
391.2, 1.5834e-05
391.4, 1.4168e-05
391.6, 1.2677e-05
391.8, 1.1344e-05
392.0, 1.015e-05
392.2, 9.0824e-06
392.4, 8.1269e-06
392.6, 7.2719e-06
392.8, 6.5069e-06
393.0, 5.8224e-06
393.2, 5.2098e-06
393.4, 4.6618e-06
393.6, 4.1713e-06
393.8, 3.7325e-06
394.0, 3.3398e-06
394.2, 2.9885e-06
394.4, 2.6741e-06
394.6, 2.3928e-06
394.8, 2.141e-06
395.0, 1.9158e-06
395.2, 1.8695e-06
395.4, 1.8546e-06
395.6, 1.8399e-06
395.8, 1.8253e-06
396.0, 1.8108e-06
396.2, 1.7965e-06
396.4, 1.7822e-06
396.6, 1.7681e-06
396.8, 1.7541e-06
397.0, 1.7401e-06
397.2, 1.7263e-06
397.4, 1.7126e-06
397.6, 1.699e-06
397.8, 1.6856e-06
398.0, 1.6722e-06
398.2, 1.6589e-06
398.4, 1.6458e-06
398.6, 1.6327e-06
398.8, 1.6198e-06
399.0, 1.6069e-06
399.2, 1.5942e-06
399.4, 1.5815e-06
399.6, 1.569e-06
399.8, 1.5565e-06
400.0, 1.5442e-06
400.2, 1.3375e-06
400.4, 1.1268e-06
400.6, 9.4921e-07
400.8, 7.9964e-07
401.0, 6.7364e-07
401.2, 5.6749e-07
401.4, 4.7807e-07
401.6, 4.0274e-07
401.8, 3.3928e-07
402.0, 2.8582e-07
402.2, 2.4078e-07
402.4, 2.0284e-07
402.6, 1.7088e-07
402.8, 1.4395e-07
403.0, 1.2127e-07
403.2, 1.0216e-07
403.4, 8.6064e-08
403.6, 7.2502e-08
403.8, 6.1078e-08
404.0, 5.1454e-08
404.2, 4.3346e-08
404.4, 3.6516e-08
404.6, 3.0762e-08
404.8, 2.5915e-08
405.0, 2.1831e-08
405.2, 2.2244e-08
405.4, 2.3631e-08
405.6, 2.5104e-08
405.8, 2.6669e-08
406.0, 2.8332e-08
406.2, 3.0098e-08
406.4, 3.1974e-08
406.6, 3.3967e-08
406.8, 3.6085e-08
407.0, 3.8335e-08
407.2, 4.0725e-08
407.4, 4.3263e-08
407.6, 4.5961e-08
407.8, 4.8826e-08
408.0, 5.187e-08
408.2, 5.5103e-08
408.4, 5.8539e-08
408.6, 6.2188e-08
408.8, 6.6065e-08
409.0, 7.0184e-08
409.2, 7.4559e-08
409.4, 7.9207e-08
409.6, 8.4145e-08
409.8, 8.9391e-08
410.0, 9.4964e-08
410.2, 9.7533e-08
410.4, 9.9457e-08
410.6, 1.0142e-07
410.8, 1.0342e-07
411.0, 1.0546e-07
411.2, 1.0754e-07
411.4, 1.0966e-07
411.6, 1.1182e-07
411.8, 1.1403e-07
412.0, 1.1628e-07
412.2, 1.1857e-07
412.4, 1.2091e-07
412.6, 1.2329e-07
412.8, 1.2572e-07
413.0, 1.282e-07
413.2, 1.3073e-07
413.4, 1.3331e-07
413.6, 1.3594e-07
413.8, 1.3862e-07
