## Type: filter
## 4pi salvaged fluoresence filter
## Name: FF01-661-20
## Filter
#Typical Measured Spectrum of Semrock FF01-661/20 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
wavelength,transmission
265.0,8.9047e-07
265.2,8.8333e-07
265.4,8.7624e-07
265.6,8.6922e-07
265.8,8.6225e-07
266.0,8.5533e-07
266.2,8.4847e-07
266.4,8.4167e-07
266.6,8.3492e-07
266.8,8.2823e-07
267.0,8.2158e-07
267.2,8.15e-07
267.4,8.0846e-07
267.6,8.0198e-07
267.8,7.9555e-07
268.0,7.8917e-07
268.2,7.8284e-07
268.4,7.7656e-07
268.6,7.7034e-07
268.8,7.6416e-07
269.0,7.5803e-07
269.2,7.5195e-07
269.4,7.4592e-07
269.6,7.3885e-07
269.8,7.318e-07
270.0,7.2483e-07
270.2,7.1792e-07
270.4,7.1108e-07
270.6,7.043e-07
270.8,6.9758e-07
271.0,6.9093e-07
271.2,6.8435e-07
271.4,6.7783e-07
271.6,6.7136e-07
271.8,6.6496e-07
272.0,6.5863e-07
272.2,6.5235e-07
272.4,6.4613e-07
272.6,6.3997e-07
272.8,6.3387e-07
273.0,6.2783e-07
273.2,6.2184e-07
273.4,6.1592e-07
273.6,6.1005e-07
273.8,6.0423e-07
274.0,5.9847e-07
274.2,7.0159e-07
274.4,9.2468e-07
274.6,1.2187e-06
274.8,1.6062e-06
275.0,2.117e-06
275.2,2.2129e-06
275.4,2.3132e-06
275.6,2.418e-06
275.8,2.5276e-06
276.0,2.6422e-06
276.2,2.7619e-06
276.4,2.8871e-06
276.6,3.0179e-06
276.8,3.1546e-06
277.0,3.2976e-06
277.2,3.447e-06
277.4,3.6033e-06
277.6,3.7665e-06
277.8,3.9372e-06
278.0,3.7812e-06
278.2,3.4107e-06
278.4,3.0766e-06
278.6,2.7752e-06
278.8,2.5033e-06
279.0,2.2581e-06
279.2,2.0369e-06
279.4,1.8373e-06
279.6,1.6573e-06
279.8,1.495e-06
280.0,1.3485e-06
280.2,1.2164e-06
280.4,1.0972e-06
280.6,9.8976e-07
280.8,8.9279e-07
281.0,8.0533e-07
281.2,7.2644e-07
281.4,6.5527e-07
281.6,5.9108e-07
281.8,5.3317e-07
282.0,4.8094e-07
282.2,4.3382e-07
282.4,3.9133e-07
282.6,3.6692e-07
282.8,3.9976e-07
283.0,4.3554e-07
283.2,4.7452e-07
283.4,5.1699e-07
283.6,5.6326e-07
283.8,6.1367e-07
284.0,6.6859e-07
284.2,7.2843e-07
284.4,7.9362e-07
284.6,8.6465e-07
284.8,9.4203e-07
285.0,1.0263e-06
285.2,9.2765e-07
285.4,8.3844e-07
285.6,7.5781e-07
285.8,6.8494e-07
286.0,6.1907e-07
286.2,5.5954e-07
286.4,5.0573e-07
286.6,4.571e-07
286.8,4.1315e-07
287.0,3.7342e-07
287.2,3.3751e-07
287.4,3.0505e-07
287.6,2.7572e-07
287.8,2.492e-07
288.0,2.3802e-07
288.2,2.339e-07
288.4,2.2985e-07
288.6,2.2587e-07
288.8,2.2196e-07
289.0,2.1811e-07
289.2,2.1433e-07
289.4,2.1062e-07
289.6,2.0697e-07
289.8,2.0339e-07
290.0,1.9987e-07
290.2,1.964e-07
290.4,1.93e-07
290.6,1.8966e-07
290.8,1.8638e-07
291.0,1.8315e-07
291.2,1.7998e-07
291.4,1.7686e-07
291.6,1.738e-07
291.8,1.7079e-07
292.0,1.6783e-07
292.2,1.6492e-07
292.4,1.6206e-07
292.6,1.6182e-07
292.8,1.6741e-07
293.0,1.732e-07
293.2,1.7919e-07
293.4,1.8539e-07
293.6,1.918e-07
293.8,1.9843e-07
294.0,2.0529e-07
294.2,2.1239e-07
294.4,2.1973e-07
294.6,2.2733e-07
294.8,2.3519e-07
295.0,2.4332e-07
295.2,2.4111e-07
295.4,2.3893e-07
295.6,2.3676e-07
295.8,2.494e-07
296.0,2.7318e-07
296.2,2.9924e-07
296.4,3.2778e-07
296.6,3.5904e-07
296.8,3.9329e-07
297.0,4.308e-07
297.2,4.7189e-07
297.4,5.169e-07
297.6,5.662e-07
297.8,6.202e-07
298.0,6.7935e-07
298.2,7.4415e-07
298.4,8.1512e-07
298.6,8.9287e-07
298.8,9.7802e-07
299.0,1.0713e-06
299.2,1.1735e-06
299.4,1.2854e-06
299.6,1.408e-06
299.8,1.5423e-06
300.0,1.6894e-06
300.2,1.8505e-06
300.4,1.9257e-06
300.6,1.7383e-06
300.8,1.5691e-06
301.0,1.4164e-06
301.2,1.2786e-06
301.4,1.1541e-06
301.6,1.0418e-06
301.8,9.4043e-07
302.0,8.4891e-07
302.2,7.6629e-07
302.4,6.9172e-07
302.6,6.244e-07
302.8,5.6363e-07
303.0,5.0878e-07
303.2,4.5926e-07
303.4,4.1457e-07
303.6,3.7422e-07
303.8,3.378e-07
304.0,3.0493e-07
304.2,2.7525e-07
304.4,2.4846e-07
304.6,2.2428e-07
304.8,2.0246e-07
305.0,1.8275e-07
305.2,1.7396e-07
305.4,1.6558e-07
305.6,1.5761e-07
305.8,1.5003e-07
306.0,1.4281e-07
306.2,1.3593e-07
306.4,1.2939e-07
306.6,1.2316e-07
306.8,1.1724e-07
307.0,1.1248e-07
307.2,1.1217e-07
307.4,1.1186e-07
307.6,1.1156e-07
307.8,1.1125e-07
308.0,1.1094e-07
308.2,1.1064e-07
308.4,1.1033e-07
308.6,1.1003e-07
308.8,1.0973e-07
309.0,1.0943e-07
309.2,1.0913e-07
309.4,1.0883e-07
309.6,1.0853e-07
309.8,1.0823e-07
310.0,1.0793e-07
310.2,1.0764e-07
310.4,1.0734e-07
310.6,1.0704e-07
310.8,1.0675e-07
311.0,1.0646e-07
311.2,1.0616e-07
311.4,1.0587e-07
311.6,1.0558e-07
311.8,1.0762e-07
312.0,1.1024e-07
312.2,1.1292e-07
312.4,1.1568e-07
312.6,1.1849e-07
312.8,1.2138e-07
313.0,1.2434e-07
313.2,1.2736e-07
313.4,1.3047e-07
313.6,1.3364e-07
313.8,1.369e-07
314.0,1.4023e-07
314.2,1.4365e-07
314.4,1.4715e-07
314.6,1.5073e-07
314.8,1.544e-07
315.0,1.5816e-07
315.2,1.6202e-07
315.4,1.6596e-07
315.6,1.7e-07
315.8,1.7415e-07
316.0,1.7839e-07
316.2,1.8273e-07
316.4,1.8275e-07
316.6,1.7799e-07
316.8,1.7336e-07
317.0,1.6884e-07
317.2,1.6445e-07
317.4,1.6017e-07
317.6,1.56e-07
317.8,1.5193e-07
318.0,1.4798e-07
318.2,1.4413e-07
318.4,1.4037e-07
318.6,1.3672e-07
318.8,1.3316e-07
319.0,1.2969e-07
319.2,1.2632e-07
319.4,1.2303e-07
319.6,1.1982e-07
319.8,1.167e-07
320.0,1.1366e-07
320.2,1.1071e-07
320.4,1.0782e-07
320.6,1.0502e-07
320.8,1.0228e-07
321.0,1.0112e-07
321.2,1.0923e-07
321.4,1.1798e-07
321.6,1.2743e-07
321.8,1.3765e-07
322.0,1.4868e-07
322.2,1.6059e-07
322.4,1.7346e-07
322.6,1.8736e-07
322.8,2.0237e-07
323.0,2.1859e-07
323.2,2.361e-07
323.4,2.5502e-07
323.6,2.7546e-07
323.8,2.9753e-07
324.0,3.2138e-07
324.2,3.4713e-07
324.4,3.7495e-07
324.6,4.0499e-07
324.8,4.3744e-07
325.0,4.725e-07
325.2,5.1036e-07
325.4,5.5126e-07
325.6,5.9543e-07
325.8,5.6631e-07
326.0,5.2427e-07
326.2,4.8535e-07
326.4,4.4932e-07
326.6,4.1597e-07
326.8,3.8509e-07
327.0,3.565e-07
327.2,3.3004e-07
327.4,3.0554e-07
327.6,2.8286e-07
327.8,2.6186e-07
328.0,2.4242e-07
328.2,2.2442e-07
328.4,2.0776e-07
328.6,1.9234e-07
328.8,1.7806e-07
329.0,1.6484e-07
329.2,1.5261e-07
329.4,1.4128e-07
329.6,1.3079e-07
329.8,1.2108e-07
330.0,1.1209e-07
330.2,1.0377e-07
330.4,1.0e-07
330.6,1.0e-07
330.8,1.0e-07
331.0,1.0e-07
331.2,1.0e-07
331.4,1.0e-07
331.6,1.0e-07
331.8,1.0e-07
332.0,1.0e-07
332.2,1.0e-07
332.4,1.0e-07
332.6,1.0e-07
332.8,1.0e-07
333.0,1.0e-07
333.2,1.0e-07
333.4,1.0e-07
333.6,1.0e-07
333.8,1.0e-07
334.0,1.0e-07
334.2,1.0e-07
334.4,1.0e-07
334.6,1.0e-07
334.8,1.0e-07
335.0,1.0082e-07
335.2,1.0827e-07
335.4,1.1627e-07
335.6,1.2485e-07
