#Typical Measured Spectrum of Semrock FF538-FDi01 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: dichroic,
#Name: Semrock FF409-Di03
wavelength,transmission
320.0, 0.18754
320.2, 0.17215
320.4, 0.15808
320.6, 0.14396
320.8, 0.12862
321.0, 0.11496
321.2, 0.10062
321.4, 0.08705
321.6, 0.07387
321.8, 0.06489
322.0, 0.05737
322.2, 0.051
322.4, 0.04789
322.6, 0.04506
322.8, 0.04331
323.0, 0.0418
323.2, 0.04035
323.4, 0.03871
323.6, 0.03787
323.8, 0.03577
324.0, 0.03304
324.2, 0.03021
324.4, 0.02693
324.6, 0.0242
324.8, 0.02186
325.0, 0.01948
325.2, 0.01818
325.4, 0.01723
325.6, 0.01715
325.8, 0.01676
326.0, 0.01663
326.2, 0.0175
326.4, 0.01793
326.6, 0.01818
326.8, 0.01782
327.0, 0.0178
327.2, 0.01697
327.4, 0.01593
327.6, 0.01451
327.8, 0.01319
328.0, 0.01168
328.2, 0.01058
328.4, 0.00967
328.6, 0.0092
328.8, 0.00869
329.0, 0.00871
329.2, 0.00895
329.4, 0.0092
329.6, 0.00987
329.8, 0.01008
330.0, 0.01083
330.2, 0.01114
330.4, 0.01102
330.6, 0.01096
330.8, 0.01018
331.0, 0.00946
331.2, 0.00849
331.4, 0.00765
331.6, 0.00697
331.8, 0.00649
332.0, 0.00638
332.2, 0.00605
332.4, 0.00614
332.6, 0.00665
332.8, 0.00701
333.0, 0.00754
333.2, 0.00819
333.4, 0.00883
333.6, 0.00899
333.8, 0.00928
334.0, 0.00923
334.2, 0.00855
334.4, 0.00838
334.6, 0.00746
334.8, 0.00685
335.0, 0.00653
335.2, 0.00656
335.4, 0.00624
335.6, 0.00645
335.8, 0.00648
336.0, 0.00684
336.2, 0.00717
336.4, 0.00793
336.6, 0.00852
336.8, 0.00916
337.0, 0.00956
337.2, 0.00961
337.4, 0.0097
337.6, 0.00908
337.8, 0.00866
338.0, 0.00787
338.2, 0.00704
338.4, 0.00663
338.6, 0.00611
338.8, 0.00578
339.0, 0.00576
339.2, 0.00579
339.4, 0.00619
339.6, 0.00691
339.8, 0.00755
340.0, 0.00834
340.2, 0.009
340.4, 0.00967
340.6, 0.00977
340.8, 0.00988
341.0, 0.00946
341.2, 0.00885
341.4, 0.00801
341.6, 0.0072
341.8, 0.00632
342.0, 0.0059
342.2, 0.00555
342.4, 0.00529
342.6, 0.00545
342.8, 0.00561
343.0, 0.00605
343.2, 0.00665
343.4, 0.00727
343.6, 0.00786
343.8, 0.00857
344.0, 0.00895
344.2, 0.00906
344.4, 0.00879
344.6, 0.00836
344.8, 0.00765
345.0, 0.00683
345.2, 0.00595
345.4, 0.00546
345.6, 0.00489
345.8, 0.00456
346.0, 0.00444
346.2, 0.00444
346.4, 0.00481
346.6, 0.00511
346.8, 0.00541
347.0, 0.00604
347.2, 0.00656
347.4, 0.00714
347.6, 0.00728
347.8, 0.00751
348.0, 0.00728
