#Typical Measured Spectrum of Semrock FF02-470/100 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited.
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: filter,
#name: Semrock FF02-470/100
wavelength,transmission
341.0, 5.5928e-07
341.2, 4.744e-07
341.4, 4.024e-07
341.6, 3.4133e-07
341.8, 2.8953e-07
342.0, 2.4559e-07
342.2, 2.0831e-07
342.4, 1.767e-07
342.6, 1.4988e-07
342.8, 1.2713e-07
343.0, 1.0784e-07
343.2, 9.1472e-08
343.4, 7.759e-08
343.6, 6.5814e-08
343.8, 5.5826e-08
344.0, 4.7353e-08
344.2, 4.0167e-08
344.4, 3.4071e-08
344.6, 2.89e-08
344.8, 2.4514e-08
345.0, 2.0793e-08
345.2, 2.0114e-08
345.4, 2.0108e-08
345.6, 2.0101e-08
345.8, 2.0094e-08
346.0, 2.0087e-08
346.2, 2.0081e-08
346.4, 2.0074e-08
346.6, 2.0067e-08
346.8, 2.006e-08
347.0, 2.0054e-08
347.2, 2.0047e-08
347.4, 2.004e-08
347.6, 2.0033e-08
347.8, 2.0027e-08
348.0, 2.002e-08
348.2, 2.0013e-08
348.4, 2.0006e-08
348.6, 2.0e-08
348.8, 1.9993e-08
349.0, 1.9986e-08
349.2, 1.998e-08
349.4, 1.9973e-08
349.6, 1.9966e-08
349.8, 1.9959e-08
350.0, 1.9953e-08
350.2, 1.9939e-08
350.4, 1.9923e-08
350.6, 1.9908e-08
350.8, 1.9893e-08
351.0, 1.9877e-08
351.2, 1.9862e-08
351.4, 1.9847e-08
351.6, 1.9831e-08
351.8, 1.9816e-08
352.0, 1.98e-08
352.2, 1.9785e-08
352.4, 1.977e-08
352.6, 1.9755e-08
352.8, 1.9739e-08
353.0, 1.9724e-08
353.2, 1.9709e-08
353.4, 1.9693e-08
353.6, 1.9678e-08
353.8, 1.9663e-08
354.0, 1.9648e-08
354.2, 1.9633e-08
354.4, 1.9617e-08
354.6, 1.9602e-08
354.8, 1.9587e-08
355.0, 1.9572e-08
355.2, 2.0586e-08
355.4, 2.1899e-08
355.6, 2.3295e-08
355.8, 2.478e-08
356.0, 2.636e-08
356.2, 2.804e-08
356.4, 2.9828e-08
356.6, 3.173e-08
356.8, 3.3753e-08
357.0, 3.5904e-08
357.2, 3.8193e-08
357.4, 4.0628e-08
357.6, 4.3219e-08
357.8, 4.5974e-08
358.0, 4.8905e-08
358.2, 5.2023e-08
358.4, 5.5339e-08
358.6, 5.8867e-08
358.8, 6.262e-08
359.0, 6.6612e-08
359.2, 7.0859e-08
359.4, 7.5377e-08
359.6, 8.0182e-08
359.8, 8.5294e-08
360.0, 9.0732e-08
360.2, 8.6823e-08
360.4, 8.13e-08
360.6, 7.6129e-08
360.8, 7.1287e-08
361.0, 6.6752e-08
361.2, 6.2507e-08
361.4, 5.8531e-08
361.6, 5.4808e-08
361.8, 5.1322e-08
362.0, 4.8057e-08
362.2, 4.5001e-08
362.4, 4.2138e-08
362.6, 3.9458e-08
362.8, 3.6948e-08
363.0, 3.4598e-08
363.2, 3.2398e-08
363.4, 3.0337e-08
363.6, 2.8407e-08
363.8, 2.66e-08
364.0, 2.4908e-08
364.2, 2.3324e-08
364.4, 2.1841e-08
364.6, 2.0451e-08
364.8, 1.9151e-08
365.0, 1.7932e-08
365.2, 1.9447e-08
365.4, 2.1711e-08
365.6, 2.4238e-08
365.8, 2.7059e-08
366.0, 3.0208e-08
366.2, 3.3724e-08
366.4, 3.7649e-08
366.6, 4.2031e-08
366.8, 4.6923e-08
367.0, 5.2385e-08
367.2, 5.8482e-08
367.4, 6.5289e-08
367.6, 7.2888e-08
367.8, 8.1371e-08
368.0, 9.0842e-08
368.2, 1.0142e-07
368.4, 1.1322e-07
368.6, 1.264e-07
368.8, 1.4111e-07
369.0, 1.5753e-07
369.2, 1.7587e-07
369.4, 1.9634e-07
369.6, 2.1919e-07
369.8, 2.447e-07
370.0, 2.7318e-07
370.2, 2.7413e-07
370.4, 2.685e-07
370.6, 2.6299e-07
370.8, 2.5759e-07
371.0, 2.523e-07
371.2, 2.4712e-07
371.4, 2.4205e-07
371.6, 2.3708e-07
371.8, 2.3221e-07
372.0, 2.2745e-07
372.2, 2.2278e-07
372.4, 2.182e-07
372.6, 2.1372e-07
372.8, 2.0934e-07
373.0, 2.0504e-07
373.2, 2.0083e-07
373.4, 1.9671e-07
373.6, 1.9267e-07
373.8, 1.8871e-07
374.0, 1.8484e-07
374.2, 1.8105e-07
374.4, 1.7733e-07
374.6, 1.7369e-07
374.8, 1.7012e-07
375.0, 1.6663e-07
375.2, 1.625e-07
375.4, 1.583e-07
375.6, 1.5421e-07
375.8, 1.5022e-07
376.0, 1.4634e-07
376.2, 1.4256e-07
376.4, 1.3887e-07
376.6, 1.3528e-07
376.8, 1.3179e-07
377.0, 1.2838e-07
377.2, 1.2506e-07
377.4, 1.2183e-07
377.6, 1.1868e-07
377.8, 1.1562e-07
378.0, 1.1263e-07
378.2, 1.0972e-07
378.4, 1.0688e-07
378.6, 1.0412e-07
378.8, 1.0143e-07
379.0, 9.8806e-08
379.2, 9.6252e-08
379.4, 9.3765e-08
379.6, 9.1341e-08
379.8, 8.898e-08
380.0, 8.6681e-08
380.2, 8.0453e-08
380.4, 7.3803e-08
380.6, 6.7703e-08
380.8, 6.2107e-08
381.0, 5.6974e-08
381.2, 5.2264e-08
381.4, 4.7945e-08
381.6, 4.3982e-08
381.8, 4.0346e-08
382.0, 3.7012e-08
382.2, 3.3952e-08
382.4, 3.1146e-08
382.6, 2.8572e-08
382.8, 2.621e-08
383.0, 2.4044e-08
383.2, 2.2056e-08
383.4, 2.0233e-08
383.6, 1.8561e-08
383.8, 1.7027e-08
384.0, 1.5619e-08
384.2, 1.4328e-08
384.4, 1.4264e-08
384.6, 1.477e-08
384.8, 1.5293e-08
385.0, 1.5836e-08
385.2, 1.6397e-08
385.4, 1.6979e-08
385.6, 1.7581e-08
385.8, 1.8204e-08
386.0, 1.885e-08
386.2, 1.9518e-08
386.4, 2.021e-08
386.6, 2.0927e-08
386.8, 2.1669e-08
387.0, 2.2437e-08
387.2, 2.3233e-08
387.4, 2.4057e-08
387.6, 2.491e-08
387.8, 2.5793e-08
388.0, 3.0435e-08
388.2, 3.6212e-08
388.4, 4.3086e-08
388.6, 5.1265e-08
388.8, 6.0996e-08
389.0, 7.2575e-08
389.2, 8.6352e-08
389.4, 1.0274e-07
389.6, 1.2225e-07
389.8, 1.4545e-07
390.0, 1.7306e-07
390.2, 2.0591e-07
390.4, 2.45e-07
390.6, 2.8734e-07
390.8, 2.7824e-07
391.0, 2.6944e-07
391.2, 2.6091e-07
391.4, 2.5265e-07
391.6, 2.4465e-07
391.8, 2.3691e-07
392.0, 2.2941e-07
392.2, 2.2215e-07
392.4, 2.1512e-07
392.6, 2.1038e-07
392.8, 2.0632e-07
393.0, 2.0234e-07
393.2, 1.9843e-07
393.4, 1.946e-07
393.6, 1.9084e-07
393.8, 1.8716e-07
394.0, 1.8355e-07
394.2, 1.8e-07
394.4, 1.7653e-07
394.6, 1.7312e-07
394.8, 1.6978e-07
395.0, 1.665e-07
395.2, 1.6328e-07
395.4, 1.6013e-07
395.6, 1.5704e-07
395.8, 1.5401e-07
396.0, 1.5101e-07
396.2, 1.4753e-07
396.4, 1.4413e-07
396.6, 1.4081e-07
396.8, 1.3756e-07
397.0, 1.3439e-07
397.2, 1.313e-07
397.4, 1.2827e-07
397.6, 1.2532e-07
397.8, 1.2243e-07
398.0, 1.1961e-07
398.2, 1.1685e-07
398.4, 1.1416e-07
398.6, 1.1153e-07
398.8, 1.0896e-07
399.0, 1.0645e-07
399.2, 1.0399e-07
399.4, 1.016e-07
399.6, 1.0862e-07
399.8, 1.4064e-07
400.0, 1.821e-07
400.2, 1.8207e-07
400.4, 1.801e-07
400.6, 1.7819e-07
400.8, 1.9324e-07
401.0, 3.3155e-07
401.2, 2.1215e-07
401.4, 6.1295e-07
401.6, 2.1321e-07
401.8, 7.5352e-07
402.0, 7.1306e-07
402.2, 5.7385e-07
402.4, 3.5674e-07
402.6, 1.6343e-07
402.8, 1.6185e-07
403.0, 2.2947e-07
403.2, 2.5641e-07
403.4, 1.573e-07
403.6, 1.5597e-07
403.8, 1.5456e-07
404.0, 3.0387e-07
404.2, 8.0581e-07
404.4, 1.7154e-07
404.6, 1.4923e-07
404.8, 3.0002e-07
405.0, 3.8683e-07
405.2, 4.72e-07
405.4, 2.4303e-07
405.6, 2.5304e-07
405.8, 4.2361e-07
406.0, 3.7472e-07
406.2, 1.5631e-07
406.4, 3.5211e-07
406.6, 1.3609e-07
406.8, 1.3497e-07
407.0, 1.3393e-07
407.2, 5.4756e-07
407.4, 8.5454e-07
407.6, 6.3717e-07
407.8, 2.9827e-07
408.0, 3.5127e-07
408.2, 2.1559e-07
408.4, 1.2829e-07
408.6, 1.2733e-07
408.8, 1.2658e-07
409.0, 2.0363e-07
409.2, 4.1116e-07
409.4, 1.5698e-07
409.6, 7.2491e-07
409.8, 2.1629e-07
410.0, 1.2035e-07
410.2, 1.193e-07
410.4, 3.1397e-07
410.6, 2.778e-07
410.8, 2.9114e-07
411.0, 4.1223e-07
411.2, 6.103e-07
411.4, 8.8023e-07
411.6, 9.9043e-07
411.8, 7.5298e-07
412.0, 9.0263e-07
412.2, 8.9785e-07
412.4, 1.0485e-06
412.6, 1.6238e-06
412.8, 2.3167e-06
413.0, 2.8248e-06
413.2, 3.1603e-06
413.4, 4.5198e-06
413.6, 6.9582e-06
413.8, 9.323e-06
414.0, 1.4776e-05
414.2, 2.3863e-05
414.4, 4.3034e-05
414.6, 7.4337e-05
414.8, 1.2931e-04
415.0, 2.603e-04
415.2, 5.5891e-04
415.4, 0.00126
415.6, 0.00346
415.8, 0.00875
416.0, 0.0244
416.2, 0.0761
416.4, 0.23451
416.6, 0.54439
416.8, 0.8149
417.0, 0.8551
417.2, 0.92143
417.4, 0.93422
417.6, 0.93286
417.8, 0.93077
418.0, 0.93101
418.2, 0.93742
418.4, 0.94257
418.6, 0.94506
418.8, 0.94612
419.0, 0.94481
419.2, 0.94606
419.4, 0.95073
419.6, 0.95539
419.8, 0.96186
420.0, 0.9665
420.2, 0.96941
420.4, 0.97096
420.6, 0.97243
420.8, 0.97245
421.0, 0.97299
421.2, 0.97206
421.4, 0.97004
421.6, 0.96707
421.8, 0.96364
422.0, 0.96066
422.2, 0.95701
422.4, 0.95642
422.6, 0.95558
422.8, 0.95476
423.0, 0.95567
423.2, 0.95936
423.4, 0.96065
423.6, 0.96353
423.8, 0.96591
424.0, 0.96954
424.2, 0.9734
424.4, 0.9746
424.6, 0.97495
424.8, 0.97328
425.0, 0.97045
425.2, 0.9674
425.4, 0.96376
425.6, 0.96073
425.8, 0.95945
426.0, 0.95975
426.2, 0.96251
426.4, 0.96554
426.6, 0.96925
426.8, 0.97214
427.0, 0.97368
427.2, 0.97053
427.4, 0.96726
427.6, 0.96341
427.8, 0.96018
428.0, 0.95794
428.2, 0.95759
428.4, 0.95707
428.6, 0.95836
428.8, 0.95988
429.0, 0.96068
429.2, 0.96125
429.4, 0.9622
429.6, 0.96416
429.8, 0.96563
430.0, 0.96753
430.2, 0.97075
430.4, 0.97382
430.6, 0.97668
430.8, 0.9792
431.0, 0.98096
431.2, 0.98075
431.4, 0.97902
431.6, 0.97679
431.8, 0.97295
432.0, 0.96984
432.2, 0.96627
432.4, 0.96533
432.6, 0.96368
432.8, 0.96381
433.0, 0.96465
433.2, 0.96662
433.4, 0.96808
433.6, 0.97034
433.8, 0.97109
434.0, 0.9732
434.2, 0.97383
434.4, 0.97434
434.6, 0.97404
434.8, 0.97419
435.0, 0.97172
435.2, 0.96987
435.4, 0.96719
