#Typical Measured Spectrum of Semrock FF484-FDi01 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: dichroic,
#Name: Semrock FF484-FDi01
wavelength,transmission
345.0,0.15768
345.2,0.1557
345.4,0.14941
345.6,0.13825
345.8,0.12362
346.0,0.10643
346.2,0.08892
346.4,0.07279
346.6,0.0593
346.8,0.04783
347.0,0.03939
347.2,0.03302
347.4,0.02806
347.6,0.02452
347.8,0.02197
348.0,0.02003
348.2,0.01856
348.4,0.01729
348.6,0.01673
348.8,0.01613
349.0,0.01596
349.2,0.0157
349.4,0.0158
349.6,0.01621
349.8,0.01679
350.0,0.01768
350.2,0.01907
350.4,0.0211
350.6,0.02336
350.8,0.0261
351.0,0.02916
351.2,0.03167
351.4,0.03418
351.6,0.03542
351.8,0.03576
352.0,0.03484
352.2,0.0328
352.4,0.02985
352.6,0.02647
352.8,0.02277
353.0,0.01983
353.2,0.01654
353.4,0.0143
353.6,0.01245
353.8,0.01085
354.0,0.00972
354.2,0.00878
354.4,0.00788
354.6,0.0073
354.8,0.00673
355.0,0.00657
355.2,0.00642
355.4,0.00608
355.6,0.00616
355.8,0.00608
356.0,0.00629
356.2,0.00659
356.4,0.00709
356.6,0.0074
356.8,0.00844
357.0,0.00964
357.2,0.01127
357.4,0.01328
357.6,0.01616
357.8,0.01926
358.0,0.0232
358.2,0.02721
358.4,0.03135
358.6,0.03469
358.8,0.03689
359.0,0.03755
359.2,0.03727
359.4,0.03515
359.6,0.03212
359.8,0.02832
360.0,0.02465
360.2,0.02114
360.4,0.01805
360.6,0.01544
360.8,0.01333
361.0,0.01191
361.2,0.01069
361.4,0.00972
361.6,0.00912
361.8,0.00862
362.0,0.00796
362.2,0.00781
362.4,0.00749
362.6,0.00732
362.8,0.00712
363.0,0.00694
363.2,0.00685
363.4,0.00656
363.6,0.00658
363.8,0.0063
364.0,0.00608
364.2,0.00585
364.4,0.00573
364.6,0.00557
364.8,0.00519
365.0,0.0051
365.2,0.00518
365.4,0.00503
365.6,0.00487
365.8,0.00461
366.0,0.0044
366.2,0.00413
366.4,0.00422
366.6,0.00408
366.8,0.00416
367.0,0.00408
367.2,0.00387
367.4,0.00387
367.6,0.00399
367.8,0.00391
368.0,0.004
368.2,0.00411
368.4,0.00423
368.6,0.00432
368.8,0.00453
369.0,0.0049
369.2,0.00508
369.4,0.00537
369.6,0.00575
369.8,0.00607
370.0,0.00648
370.2,0.00687
370.4,0.00742
370.6,0.00789
370.8,0.0085
371.0,0.00885
371.2,0.00917
371.4,0.00972
371.6,0.00988
371.8,0.00991
372.0,0.00988
372.2,0.00975
372.4,0.00951
372.6,0.00922
372.8,0.00888
373.0,0.0085
373.2,0.00806
373.4,0.00767
373.6,0.00751
373.8,0.00708
374.0,0.00675
374.2,0.00669
374.4,0.00651
374.6,0.00645
374.8,0.00637
375.0,0.00626
375.2,0.00623
375.4,0.00645
375.6,0.0064
375.8,0.00654
376.0,0.00697
376.2,0.00724
376.4,0.00756
376.6,0.00807
376.8,0.00861
377.0,0.00923
377.2,0.0102
377.4,0.01094
377.6,0.01223
377.8,0.0134
378.0,0.01471
378.2,0.0159
378.4,0.01719
378.6,0.01838
378.8,0.01992
379.0,0.02076
379.2,0.0217
379.4,0.02207
379.6,0.02236
379.8,0.02236
380.0,0.02233
380.2,0.02177
380.4,0.02124
380.6,0.02039
380.8,0.0199
381.0,0.01942
381.2,0.01893
381.4,0.01864
381.6,0.01824
381.8,0.01818
382.0,0.01823
382.2,0.01849
382.4,0.01901
382.6,0.0197
382.8,0.02043
383.0,0.02135
383.2,0.02245
383.4,0.02383
383.6,0.02527
383.8,0.02662
384.0,0.02819
384.2,0.0299
384.4,0.03154
384.6,0.03313
384.8,0.03526
385.0,0.03684
385.2,0.03854
385.4,0.04018
385.6,0.04114
385.8,0.04175
386.0,0.04171
386.2,0.04104
386.4,0.03985
386.6,0.03806
386.8,0.0361
387.0,0.03362
387.2,0.03141
387.4,0.02896
387.6,0.02653
387.8,0.02496
388.0,0.02328
388.2,0.0218
388.4,0.02051
388.6,0.01972
388.8,0.01888
389.0,0.0183
389.2,0.0181
389.4,0.01783
389.6,0.01781
389.8,0.01786
390.0,0.01817
390.2,0.01861
390.4,0.01898
390.6,0.01951
390.8,0.02015
391.0,0.0207
391.2,0.02141
391.4,0.02192
391.6,0.02259
391.8,0.02291
392.0,0.02361
392.2,0.02417
392.4,0.02373
392.6,0.02334
392.8,0.0227
393.0,0.02159
393.2,0.0206
393.4,0.01983
393.6,0.01832
393.8,0.01702
394.0,0.01546
394.2,0.01407
394.4,0.0136
394.6,0.01262
394.8,0.0117
395.0,0.01034
395.2,0.00977
395.4,0.00934
395.6,0.00873
395.8,0.00864
396.0,0.008
396.2,0.0075
396.4,0.00732
396.6,0.00747
396.8,0.00742
397.0,0.00684
397.2,0.00708
397.4,0.00671
397.6,0.00705
397.8,0.00746
398.0,0.00757
398.2,0.00732
398.4,0.00765
398.6,0.00799
398.8,0.00835
399.0,0.00893
399.2,0.00893
399.4,0.00953
399.6,0.00996
399.8,0.01071
400.0,0.0113
400.2,0.01145
400.4,0.01215
400.6,0.01255
400.8,0.01308
401.0,0.01338
401.2,0.01376
401.4,0.01367
401.6,0.01358
401.8,0.01358
402.0,0.01344
402.2,0.01296
402.4,0.01282
402.6,0.012
402.8,0.01146
403.0,0.01102
403.2,0.01075
403.4,0.01013
403.6,0.00947
403.8,0.00913
404.0,0.00891
404.2,0.00856
404.4,0.00836
404.6,0.00807
404.8,0.0077
405.0,0.00747
405.2,0.00761
405.4,0.0075
405.6,0.00754
405.8,0.00742
406.0,0.00748
406.2,0.00767
406.4,0.00785
406.6,0.0082
406.8,0.00835
407.0,0.00875
407.2,0.00881
407.4,0.00949
407.6,0.01014
407.8,0.0109
408.0,0.01144
408.2,0.01231
408.4,0.01341
408.6,0.01456
408.8,0.01593
409.0,0.01755
409.2,0.01933
409.4,0.02107
409.6,0.02335
409.8,0.02642
410.0,0.02884
410.2,0.03195
410.4,0.03527
410.6,0.03862
410.8,0.04187
411.0,0.04541
411.2,0.04898
411.4,0.05193
411.6,0.0546
411.8,0.05738
412.0,0.05946
412.2,0.06086
412.4,0.06219
412.6,0.06279
412.8,0.0633
413.0,0.06333
413.2,0.06287
413.4,0.0623
413.6,0.06146
413.8,0.06088
414.0,0.0599
414.2,0.05926
414.4,0.05817
414.6,0.05692
414.8,0.05569
415.0,0.05459
415.2,0.0532
415.4,0.05172
415.6,0.05002
415.8,0.04846
416.0,0.04702
416.2,0.04533
416.4,0.0436
416.6,0.04237
416.8,0.04033
417.0,0.0388
417.2,0.03733
417.4,0.03603
417.6,0.03483
417.8,0.03324
418.0,0.03219
418.2,0.03112
418.4,0.03039
418.6,0.02982
418.8,0.02927
419.0,0.02893
419.2,0.02865
419.4,0.02869
419.6,0.0289
419.8,0.02924
420.0,0.02969
420.2,0.03027
420.4,0.03077
420.6,0.03164
420.8,0.03233
421.0,0.03286
421.2,0.03361
421.4,0.03398
421.6,0.03467
421.8,0.03481
422.0,0.03494
422.2,0.03452
422.4,0.03421
422.6,0.03342
422.8,0.03263
423.0,0.03142
423.2,0.03035
423.4,0.0288
423.6,0.02754
423.8,0.02628
424.0,0.02477
424.2,0.02361
424.4,0.02193
424.6,0.02048
424.8,0.01897
425.0,0.01758
425.2,0.01625
425.4,0.01464
425.6,0.01314
425.8,0.01173
426.0,0.01052
426.2,0.00965
426.4,0.00866
426.6,0.00778
426.8,0.007
427.0,0.00669
427.2,0.00631
427.4,0.00593
427.6,0.00562
427.8,0.00535
428.0,0.00525
428.2,0.00502
428.4,0.00494
428.6,0.0049
428.8,0.00497
429.0,0.00489
429.2,0.00492
429.4,0.00503
429.6,0.00517
429.8,0.00535
430.0,0.00571
430.2,0.00619
430.4,0.00641
430.6,0.00693
430.8,0.00729
431.0,0.00778
431.2,0.00815
431.4,0.00856
431.6,0.00892
431.8,0.00937
432.0,0.00981
432.2,0.01033
432.4,0.01092
432.6,0.01161
432.8,0.01234
433.0,0.01327
433.2,0.01432
433.4,0.01525
433.6,0.01612
433.8,0.01683
434.0,0.01741
434.2,0.0177
434.4,0.01753
434.6,0.01714
434.8,0.01652
435.0,0.01565
435.2,0.01449
435.4,0.01325
435.6,0.01197
435.8,0.01085
436.0,0.00967
436.2,0.00872
436.4,0.0077
436.6,0.00687
436.8,0.00624
437.0,0.00571
437.2,0.00519
437.4,0.00472
437.6,0.00441
437.8,0.00406
438.0,0.00387
438.2,0.00368
438.4,0.00354
438.6,0.00337
438.8,0.0032
439.0,0.00317
439.2,0.00313
439.4,0.0031
439.6,0.00305
439.8,0.00311
440.0,0.00321
440.2,0.00338
440.4,0.00347
440.6,0.00361
440.8,0.00377
441.0,0.0039
441.2,0.0041
441.4,0.00423
441.6,0.00442
441.8,0.00451
442.0,0.00466
442.2,0.00492
442.4,0.00511
442.6,0.00547
442.8,0.00591
443.0,0.00644
443.2,0.00724
443.4,0.00825
443.6,0.00971
