#Typical Measured Spectrum of Semrock FF01-490/60 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: filter,
#name: Semrock FF01-490/60
wavelength,transmission
200.0, 1.1101e-06
200.2, 1.0082e-06
200.4, 9.1564e-07
200.6, 8.3159e-07
200.8, 7.5526e-07
201.0, 6.8594e-07
201.2, 6.2297e-07
201.4, 5.6579e-07
201.6, 5.1386e-07
201.8, 4.6669e-07
202.0, 4.2385e-07
202.2, 3.8494e-07
202.4, 3.4961e-07
202.6, 3.1752e-07
202.8, 2.8837e-07
203.0, 2.619e-07
203.2, 2.3786e-07
203.4, 2.1603e-07
203.6, 1.962e-07
203.8, 1.7819e-07
204.0, 1.6183e-07
204.2, 1.4698e-07
204.4, 1.3349e-07
204.6, 1.2124e-07
204.8, 1.1011e-07
205.0, 1.0e-07
205.2, 1.0466e-07
205.4, 1.0954e-07
205.6, 1.1465e-07
205.8, 1.1999e-07
206.0, 1.2559e-07
206.2, 1.3144e-07
206.4, 1.3757e-07
206.6, 1.4399e-07
206.8, 1.507e-07
207.0, 1.5773e-07
207.2, 1.6508e-07
207.4, 1.7278e-07
207.6, 1.8083e-07
207.8, 1.8926e-07
208.0, 1.9809e-07
208.2, 2.0732e-07
208.4, 2.1699e-07
208.6, 2.271e-07
208.8, 2.3769e-07
209.0, 2.4877e-07
209.2, 2.6037e-07
209.4, 2.7251e-07
209.6, 2.8522e-07
209.8, 2.9852e-07
210.0, 3.1243e-07
210.2, 3.0061e-07
210.4, 2.8923e-07
210.6, 2.7828e-07
210.8, 2.6775e-07
211.0, 2.5761e-07
211.2, 2.4786e-07
211.4, 2.3848e-07
211.6, 2.2945e-07
211.8, 2.2077e-07
212.0, 2.1241e-07
212.2, 2.0437e-07
212.4, 1.9663e-07
212.6, 1.8919e-07
212.8, 1.8203e-07
213.0, 1.7514e-07
213.2, 1.6851e-07
213.4, 1.6213e-07
213.6, 1.5599e-07
213.8, 1.5009e-07
214.0, 1.4441e-07
214.2, 1.3894e-07
214.4, 1.3368e-07
214.6, 1.2862e-07
214.8, 1.2375e-07
215.0, 1.1907e-07
215.2, 1.2397e-07
215.4, 1.2907e-07
215.6, 1.3439e-07
215.8, 1.3992e-07
216.0, 1.4568e-07
216.2, 1.5168e-07
216.4, 1.5792e-07
216.6, 1.6442e-07
216.8, 1.7119e-07
217.0, 1.7824e-07
217.2, 1.8558e-07
217.4, 1.9322e-07
217.6, 2.0117e-07
217.8, 2.0945e-07
218.0, 2.1807e-07
218.2, 2.2705e-07
218.4, 2.364e-07
218.6, 2.4613e-07
218.8, 2.5626e-07
219.0, 2.6681e-07
219.2, 2.778e-07
219.4, 2.8923e-07
219.6, 3.0114e-07
219.8, 3.1354e-07
220.0, 3.2644e-07
220.2, 3.2851e-07
220.4, 3.3058e-07
220.6, 3.3267e-07
220.8, 3.3478e-07
221.0, 3.3689e-07
221.2, 3.3902e-07
221.4, 3.4117e-07
221.6, 3.4332e-07
221.8, 3.4549e-07
222.0, 3.4768e-07
222.2, 3.4987e-07
222.4, 3.5209e-07
222.6, 3.5431e-07
222.8, 3.5655e-07
223.0, 3.5881e-07
223.2, 3.6107e-07
223.4, 3.6336e-07
223.6, 3.6565e-07
223.8, 3.6796e-07
224.0, 3.7029e-07
224.2, 3.7263e-07
224.4, 3.7499e-07
224.6, 3.7736e-07
224.8, 3.7974e-07
225.0, 3.8214e-07
225.2, 3.9726e-07
225.4, 4.1298e-07
225.6, 4.2933e-07
225.8, 4.4631e-07
226.0, 4.6397e-07
226.2, 4.8233e-07
226.4, 5.0142e-07
226.6, 5.2126e-07
226.8, 5.4188e-07
227.0, 5.6332e-07
227.2, 5.8562e-07
227.4, 6.0879e-07
227.6, 6.3288e-07
227.8, 6.5792e-07
228.0, 6.8395e-07
228.2, 7.1101e-07
228.4, 7.3915e-07
228.6, 7.684e-07
228.8, 7.988e-07
229.0, 8.3041e-07
229.2, 8.6327e-07
229.4, 8.9742e-07
229.6, 9.3293e-07
229.8, 9.6985e-07
230.0, 1.0082e-06
230.2, 9.5043e-07
230.4, 8.9596e-07
230.6, 8.446e-07
230.8, 7.9619e-07
231.0, 7.5056e-07
231.2, 7.0753e-07
231.4, 6.6698e-07
231.6, 6.2875e-07
231.8, 5.9271e-07
232.0, 5.5874e-07
232.2, 5.2671e-07
232.4, 4.9652e-07
232.6, 4.6806e-07
232.8, 4.4123e-07
233.0, 4.1594e-07
233.2, 3.921e-07
233.4, 3.6963e-07
233.6, 3.4844e-07
233.8, 3.2847e-07
234.0, 3.0964e-07
234.2, 2.9189e-07
234.4, 2.7516e-07
234.6, 2.5939e-07
234.8, 2.4452e-07
235.0, 2.3051e-07
235.2, 2.2912e-07
235.4, 2.2774e-07
235.6, 2.2637e-07
235.8, 2.25e-07
236.0, 2.2365e-07
236.2, 2.223e-07
236.4, 2.2096e-07
236.6, 2.1963e-07
236.8, 2.1831e-07
237.0, 2.1699e-07
237.2, 2.1569e-07
237.4, 2.1439e-07
237.6, 2.1309e-07
237.8, 2.1181e-07
238.0, 2.1054e-07
238.2, 2.0927e-07
238.4, 2.0801e-07
238.6, 2.0675e-07
238.8, 2.0551e-07
239.0, 2.0427e-07
239.2, 2.0304e-07
239.4, 2.0182e-07
239.6, 2.006e-07
239.8, 1.9939e-07
240.0, 1.9819e-07
240.2, 1.9284e-07
240.4, 1.8764e-07
240.6, 1.8257e-07
240.8, 1.7764e-07
241.0, 1.7285e-07
241.2, 1.6818e-07
241.4, 1.6364e-07
241.6, 1.5923e-07
241.8, 1.5493e-07
242.0, 1.5075e-07
242.2, 1.4668e-07
242.4, 1.4272e-07
242.6, 1.3887e-07
242.8, 1.3512e-07
243.0, 1.3147e-07
243.2, 1.2792e-07
243.4, 1.2447e-07
243.6, 1.2111e-07
243.8, 1.1784e-07
244.0, 1.1466e-07
244.2, 1.1157e-07
244.4, 1.0856e-07
244.6, 1.0562e-07
244.8, 1.0277e-07
245.0, 1.0e-07
245.2, 1.0e-07
245.4, 1.0e-07
245.6, 1.0e-07
245.8, 1.0e-07
246.0, 1.0e-07
246.2, 1.0e-07
246.4, 1.0e-07
246.6, 1.0e-07
246.8, 1.0e-07
247.0, 1.0e-07
247.2, 1.0e-07
247.4, 1.0e-07
247.6, 1.0e-07
247.8, 1.0e-07
248.0, 1.0e-07
248.2, 1.0e-07
248.4, 1.0e-07
248.6, 1.0e-07
248.8, 1.0e-07
249.0, 1.0e-07
249.2, 1.0e-07
249.4, 1.0e-07
249.6, 1.0e-07
249.8, 1.0e-07
250.0, 1.0e-07
250.2, 1.0e-07
250.4, 1.0e-07
250.6, 1.0e-07
250.8, 1.0e-07
251.0, 1.0e-07
251.2, 1.0e-07
251.4, 1.0e-07
251.6, 1.0e-07
251.8, 1.0e-07
252.0, 1.0e-07
252.2, 1.0e-07
252.4, 1.0e-07
