#Typical Measured Spectrum of Semrock FF573-Di01 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: dichroic,
#Name: Semrock FF573-Di01
wavelength,transmission
340.0, 0.1727
340.2, 0.14468
340.4, 0.11075
340.6, 0.07931
340.8, 0.06038
341.0, 0.05226
341.2, 0.05217
341.4, 0.06097
341.6, 0.08212
341.8, 0.11638
342.0, 0.15205
342.2, 0.17597
342.4, 0.18059
342.6, 0.16969
342.8, 0.14245
343.0, 0.10199
343.2, 0.06207
343.4, 0.03484
343.6, 0.02102
343.8, 0.01389
344.0, 0.01018
344.2, 0.00798
344.4, 0.00648
344.6, 0.00563
344.8, 0.00509
345.0, 0.00471
345.2, 0.00439
345.4, 0.00416
345.6, 0.00411
345.8, 0.00418
346.0, 0.00427
346.2, 0.00414
346.4, 0.00407
346.6, 0.00395
346.8, 0.00364
347.0, 0.00343
347.2, 0.00288
347.4, 0.00255
347.6, 0.00232
347.8, 0.00197
348.0, 0.00171
348.2, 0.00159
348.4, 0.00135
348.6, 0.0012
348.8, 0.00109
349.0, 0.00101
349.2, 9.4795e-04
349.4, 9.6653e-04
349.6, 9.564e-04
349.8, 9.195e-04
350.0, 9.4974e-04
350.2, 8.4932e-04
350.4, 7.8736e-04
350.6, 7.5525e-04
350.8, 6.6798e-04
351.0, 7.0117e-04
351.2, 5.4751e-04
351.4, 4.7169e-04
351.6, 4.0716e-04
351.8, 3.5371e-04
352.0, 1.688e-04
352.2, 1.2521e-04
352.4, 1.8127e-04
352.6, 8.9244e-05
352.8, 4.9737e-05
353.0, 4.9817e-05
353.2, 4.9695e-05
353.4, 4.9345e-05
353.6, 4.867e-05
353.8, 4.8033e-05
354.0, 4.7071e-05
354.2, 4.6185e-05
354.4, 4.5303e-05
354.6, 4.4478e-05
354.8, 4.3664e-05
355.0, 4.3072e-05
355.2, 4.2742e-05
355.4, 4.2353e-05
355.6, 4.2171e-05
355.8, 4.2181e-05
356.0, 1.7512e-04
356.2, 5.0465e-04
356.4, 0.00108
356.6, 0.00187
356.8, 0.00274
357.0, 0.0039
357.2, 0.00486
357.4, 0.00589
357.6, 0.00653
357.8, 0.00697
358.0, 0.00715
358.2, 0.00712
358.4, 0.00682
358.6, 0.00683
358.8, 0.00679
359.0, 0.00726
359.2, 0.00775
359.4, 0.00849
359.6, 0.00942
359.8, 0.01024
360.0, 0.01102
360.2, 0.01114
360.4, 0.01104
360.6, 0.01096
360.8, 0.01058
361.0, 0.00985
361.2, 0.0095
361.4, 0.00905
361.6, 0.00904
361.8, 0.00886
362.0, 0.00905
362.2, 0.00973
362.4, 0.01049
362.6, 0.01164
362.8, 0.01275
363.0, 0.01442
363.2, 0.01556
363.4, 0.01643
363.6, 0.01758
363.8, 0.01811
364.0, 0.01848
364.2, 0.01841
364.4, 0.0183
364.6, 0.0181
364.8, 0.0183
365.0, 0.01842
365.2, 0.01897
365.4, 0.01974
365.6, 0.02005
365.8, 0.02098
366.0, 0.02141
366.2, 0.02179
366.4, 0.02147
366.6, 0.02109
366.8, 0.02055
367.0, 0.01922
367.2, 0.01828
367.4, 0.01728
367.6, 0.01617
367.8, 0.01554
368.0, 0.01498
368.2, 0.01453
368.4, 0.01443
368.6, 0.01425
368.8, 0.0142
369.0, 0.01392
369.2, 0.01367
369.4, 0.01308
