#Typical Measured Spectrum of Semrock FF635-Di01 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
#Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
#Type: dichroic,
#Name: Semrock FF635-FDi01
wavelength,transmission
500.0,0.01354
500.2,0.01293
500.4,0.01232
500.6,0.01189
500.8,0.01136
501.0,0.01094
501.2,0.01059
501.4,0.01028
501.6,0.01007
501.8,0.00981
502.0,0.00971
502.2,0.00951
502.4,0.00941
502.6,0.00931
502.8,0.00936
503.0,0.00927
503.2,0.00935
503.4,0.00944
503.6,0.00956
503.8,0.00973
504.0,0.00985
504.2,0.01007
504.4,0.01032
504.6,0.01057
504.8,0.01085
505.0,0.0111
505.2,0.01143
505.4,0.01185
505.6,0.01219
505.8,0.01252
506.0,0.01281
506.2,0.01306
506.4,0.01318
506.6,0.01336
506.8,0.01346
507.0,0.01343
507.2,0.0134
507.4,0.01318
507.6,0.01282
507.8,0.01246
508.0,0.01205
508.2,0.01155
508.4,0.01109
508.6,0.01056
508.8,0.00991
509.0,0.00931
509.2,0.00881
509.4,0.00812
509.6,0.00756
509.8,0.00702
510.0,0.00652
510.2,0.00602
510.4,0.00569
510.6,0.00532
510.8,0.00498
511.0,0.00467
511.2,0.0044
511.4,0.00415
511.6,0.00393
511.8,0.00372
512.0,0.00353
512.2,0.00336
512.4,0.00321
512.6,0.00302
512.8,0.00294
513.0,0.00284
513.2,0.00279
513.4,0.00268
513.6,0.0026
513.8,0.00253
514.0,0.00249
514.2,0.00241
514.4,0.00242
514.6,0.00238
514.8,0.00235
515.0,0.00235
515.2,0.00237
515.4,0.00236
515.6,0.00234
515.8,0.00235
516.0,0.00238
516.2,0.00241
516.4,0.00248
516.6,0.00253
516.8,0.00254
517.0,0.00255
517.2,0.0026
517.4,0.00269
517.6,0.00276
517.8,0.00285
518.0,0.00297
518.2,0.00299
518.4,0.00307
518.6,0.00323
518.8,0.00331
519.0,0.00338
519.2,0.0035
519.4,0.00361
519.6,0.00378
519.8,0.00384
520.0,0.00395
520.2,0.00399
520.4,0.0041
520.6,0.00416
520.8,0.00424
521.0,0.00424
521.2,0.00427
521.4,0.00427
521.6,0.00423
521.8,0.00424
522.0,0.00417
522.2,0.00415
522.4,0.00403
522.6,0.00396
522.8,0.00386
523.0,0.00377
523.2,0.00371
523.4,0.00358
523.6,0.0035
523.8,0.00335
524.0,0.00324
524.2,0.00312
524.4,0.00304
524.6,0.00292
524.8,0.00281
525.0,0.00273
525.2,0.00265
525.4,0.00255
525.6,0.00251
525.8,0.0024
526.0,0.00233
526.2,0.00229
526.4,0.00219
526.6,0.0022
526.8,0.00212
527.0,0.00208
527.2,0.00204
527.4,0.00197
527.6,0.00197
527.8,0.00195
528.0,0.00191
528.2,0.0019
528.4,0.00186
528.6,0.00184
528.8,0.00185
529.0,0.00177
529.2,0.00176
529.4,0.00171
529.6,0.00174
529.8,0.00176
530.0,0.00178
530.2,0.00171
530.4,0.00169
530.6,0.00173
530.8,0.00173
531.0,0.00173
531.2,0.00173
531.4,0.00174
531.6,0.00174
531.8,0.00171
532.0,0.00172
532.2,0.00172
532.4,0.00179
532.6,0.00179
532.8,0.00177
533.0,0.00182
533.2,0.00185
533.4,0.00186
533.6,0.00187
533.8,0.00191
534.0,0.00192
534.2,0.00195
534.4,0.00203
534.6,0.00206
534.8,0.00208
535.0,0.00214
535.2,0.00221
535.4,0.00229
535.6,0.00235
535.8,0.00245
536.0,0.00252
536.2,0.00264
536.4,0.00277
536.6,0.00282
536.8,0.00299
537.0,0.00309
537.2,0.00326
537.4,0.00336
537.6,0.00349
537.8,0.00365
538.0,0.0038
538.2,0.00398
538.4,0.00418
538.6,0.00431
538.8,0.00449
539.0,0.00468
539.2,0.00483
539.4,0.00491
539.6,0.00501
539.8,0.00506
540.0,0.00507
540.2,0.00508
540.4,0.00498
540.6,0.0049
540.8,0.00474
541.0,0.00453
541.2,0.00431
541.4,0.00409
541.6,0.00384
541.8,0.00357
542.0,0.00332
542.2,0.00307
542.4,0.00285
542.6,0.00263
542.8,0.00246
543.0,0.00221
543.2,0.00203
543.4,0.00185
543.6,0.0017
543.8,0.0016
544.0,0.00145
544.2,0.00132
544.4,0.00128
544.6,0.00117
544.8,0.00111
545.0,0.00104
545.2,9.7341e-04
545.4,9.0508e-04
545.6,8.8389e-04
545.8,8.3026e-04
546.0,8.1166e-04
546.2,7.464e-04
546.4,7.3221e-04
546.6,6.9418e-04
546.8,6.9181e-04
547.0,6.4844e-04
547.2,6.6212e-04
547.4,6.2674e-04
547.6,5.9018e-04
547.8,5.9141e-04
548.0,5.994e-04
548.2,5.7786e-04
548.4,5.6986e-04
548.6,5.4748e-04
548.8,5.243e-04
549.0,5.3245e-04
549.2,5.559e-04
549.4,5.5071e-04
549.6,5.3184e-04
549.8,5.2407e-04
550.0,4.9094e-04
550.2,5.5044e-04
550.4,5.4874e-04
550.6,5.3612e-04
550.8,5.503e-04
551.0,5.1167e-04
551.2,5.6074e-04
551.4,5.6788e-04
551.6,5.5783e-04
551.8,6.0198e-04
552.0,5.7592e-04
552.2,5.9091e-04
552.4,6.4985e-04
552.6,6.4581e-04
552.8,6.5166e-04
553.0,7.0254e-04
553.2,6.9696e-04
553.4,7.1733e-04
553.6,7.6531e-04
553.8,8.3527e-04
554.0,8.5493e-04
554.2,8.936e-04
554.4,9.4762e-04
554.6,0.001
554.8,0.00107
555.0,0.00112
555.2,0.00117
555.4,0.00123
555.6,0.00128
555.8,0.00136
556.0,0.00143
556.2,0.0015
556.4,0.0016
556.6,0.00168
556.8,0.00171
557.0,0.00182
557.2,0.00187
557.4,0.00193
557.6,0.00199
557.8,0.00198
558.0,0.00204
558.2,0.00203
558.4,0.00204
558.6,0.00203
558.8,0.002
559.0,0.002
559.2,0.00198
559.4,0.00188
559.6,0.00185
559.8,0.00179
560.0,0.0017
560.2,0.00166
560.4,0.00156
560.6,0.00157
560.8,0.00148
561.0,0.00139
561.2,0.00133
561.4,0.00127
561.6,0.00124
561.8,0.00118
562.0,0.00115
562.2,0.00109
562.4,0.00109
562.6,0.00101
562.8,9.923e-04
563.0,9.6567e-04
563.2,9.0918e-04
563.4,9.3436e-04
563.6,8.8675e-04
563.8,8.847e-04
564.0,8.6736e-04
564.2,8.7133e-04
564.4,8.5082e-04
564.6,8.358e-04
564.8,8.2535e-04
565.0,8.5543e-04
565.2,8.3115e-04
565.4,8.232e-04
565.6,8.2028e-04
565.8,8.5878e-04
566.0,8.161e-04
566.2,8.408e-04
566.4,8.7369e-04
566.6,8.8555e-04
566.8,8.899e-04
567.0,9.11e-04
567.2,9.4453e-04
567.4,9.8149e-04
567.6,0.001
567.8,0.00105
568.0,0.00106
568.2,0.00115
568.4,0.00118
568.6,0.00124
568.8,0.00134
569.0,0.00138
569.2,0.00148
569.4,0.00159
569.6,0.00169
569.8,0.0018
570.0,0.00197
570.2,0.00213
570.4,0.00231
570.6,0.00249
570.8,0.00268
571.0,0.00293
571.2,0.00318
571.4,0.00348
571.6,0.00381
571.8,0.00418
572.0,0.0046
572.2,0.00513
572.4,0.00559
572.6,0.00612
572.8,0.0066
573.0,0.00708
573.2,0.00751
573.4,0.00794
573.6,0.00828
573.8,0.00851
574.0,0.00866
574.2,0.00868
574.4,0.0086
574.6,0.00845
574.8,0.00821
575.0,0.00788
575.2,0.00737
575.4,0.00699
575.6,0.00652
575.8,0.00607
576.0,0.00555
576.2,0.00509
576.4,0.00473
576.6,0.00433
576.8,0.00402
577.0,0.00369
577.2,0.00342
577.4,0.00317
577.6,0.00297
577.8,0.00282
578.0,0.00266
578.2,0.00251
578.4,0.00239
578.6,0.00228
578.8,0.00218
579.0,0.00211
579.2,0.00201
579.4,0.00195
579.6,0.00192
579.8,0.00184
580.0,0.00181
580.2,0.00176
580.4,0.00176
580.6,0.00172
580.8,0.00174
581.0,0.00171
581.2,0.00168
581.4,0.00173
