## Type: dichroic
## Name: FF697-SDi01
## 4pi IR pickoff dichroic
## Filter
#Typical Measured Spectrum of Semrock FF697-SDi01 Optical Filter	
#For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
#For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
wavelength,transmission
528.4,0.96794
528.6,0.96945
528.8,0.97064
529.0,0.97011
529.2,0.97064
529.4,0.96871
529.6,0.969
529.8,0.96786
530.0,0.96995
530.2,0.96764
530.4,0.9693
530.6,0.97133
530.8,0.97199
531.0,0.97357
531.2,0.97299
531.4,0.96904
531.6,0.97109
531.8,0.97371
532.0,0.97624
532.2,0.97668
532.4,0.9773
532.6,0.97932
532.8,0.97919
533.0,0.97997
533.2,0.97779
533.4,0.97665
533.6,0.97883
533.8,0.97888
534.0,0.97598
534.2,0.97587
534.4,0.9747
534.6,0.97543
534.8,0.97508
535.0,0.97355
535.2,0.97629
535.4,0.97534
535.6,0.9769
535.8,0.97503
536.0,0.97524
536.2,0.97387
536.4,0.97144
536.6,0.97368
536.8,0.97346
537.0,0.97387
537.2,0.9733
537.4,0.9696
537.6,0.9698
537.8,0.96948
538.0,0.96927
538.2,0.96682
538.4,0.96665
538.6,0.96753
538.8,0.96753
539.0,0.97033
539.2,0.96827
539.4,0.9705
539.6,0.97082
539.8,0.97066
540.0,0.97008
540.2,0.96836
540.4,0.96834
540.6,0.96845
540.8,0.96651
541.0,0.96462
541.2,0.9676
541.4,0.96674
541.6,0.96556
541.8,0.96799
542.0,0.96855
542.2,0.96794
542.4,0.96896
542.6,0.96696
542.8,0.9676
543.0,0.96934
543.2,0.9714
543.4,0.97048
543.6,0.96952
543.8,0.96859
544.0,0.97059
544.2,0.97019
544.4,0.97013
544.6,0.97172
544.8,0.97084
545.0,0.97206
545.2,0.97192
545.4,0.97027
545.6,0.97186
545.8,0.97099
546.0,0.97094
546.2,0.97546
546.4,0.9761
546.6,0.97532
546.8,0.97448
547.0,0.97698
547.2,0.97714
547.4,0.97611
547.6,0.97653
547.8,0.97572
548.0,0.97701
548.2,0.97534
548.4,0.97852
548.6,0.97993
548.8,0.97911
549.0,0.97685
549.2,0.9775
549.4,0.97723
549.6,0.97571
549.8,0.97531
550.0,0.97537
550.2,0.97226
550.4,0.97186
550.6,0.96999
550.8,0.96756
551.0,0.96747
551.2,0.96641
551.4,0.96511
551.6,0.96766
551.8,0.96676
552.0,0.96558
552.2,0.96578
552.4,0.96702
552.6,0.96587
552.8,0.96922
553.0,0.96834
553.2,0.96699
553.4,0.96714
553.6,0.96756
553.8,0.96761
554.0,0.96603
554.2,0.96809
554.4,0.96882
554.6,0.97018
554.8,0.96913
555.0,0.96782
555.2,0.96886
555.4,0.97033
555.6,0.96902
555.8,0.96701
556.0,0.96653
556.2,0.9681
556.4,0.97189
556.6,0.97393
556.8,0.97133
557.0,0.96896
557.2,0.97222
557.4,0.97326
557.6,0.97491
557.8,0.9722
558.0,0.97112
558.2,0.97078
558.4,0.97237
558.6,0.97749
558.8,0.97472
559.0,0.97685
559.2,0.97666
559.4,0.97558
559.6,0.97739
559.8,0.976
560.0,0.97737
560.2,0.97598
560.4,0.97864
560.6,0.97847
560.8,0.97856
561.0,0.97922
561.2,0.97802
561.4,0.98077
561.6,0.9803
561.8,0.98102
562.0,0.98148
562.2,0.9816
562.4,0.98257
562.6,0.98212
562.8,0.981
563.0,0.97902
563.2,0.97736
563.4,0.97733
563.6,0.97947
563.8,0.97931
564.0,0.97695
564.2,0.97626
564.4,0.97587
564.6,0.9788
564.8,0.97981
565.0,0.98153
565.2,0.97822
565.4,0.97421
565.6,0.97907
565.8,0.97851
566.0,0.97785
566.2,0.97719
566.4,0.97528
566.6,0.97408
566.8,0.97338
567.0,0.97406
567.2,0.97443
567.4,0.97515
567.6,0.97455
567.8,0.9721
568.0,0.97155
568.2,0.97021
568.4,0.97279
568.6,0.97654
568.8,0.97728
569.0,0.97553
569.2,0.97348
569.4,0.97737
569.6,0.97625
569.8,0.97429
570.0,0.97609
570.2,0.97586
570.4,0.97674
570.6,0.97604
570.8,0.97504
571.0,0.9759
571.2,0.97588
571.4,0.97712
571.6,0.97953
571.8,0.97698
572.0,0.97471
572.2,0.97329
572.4,0.97419
572.6,0.97459
572.8,0.9735
573.0,0.97391
573.2,0.97378
