Type: Dichroic
Name: NI Channel Splitter Dichroic
Typical Measured Spectrum of Semrock FF640-FDi01 Optical Filter,
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
345.0,0.01334
345.2,0.01472
345.4,0.01607
345.6,0.01671
345.8,0.01706
346.0,0.01684
346.2,0.01624
346.4,0.01541
346.6,0.01368
346.8,0.01269
347.0,0.01125
347.2,0.01038
347.4,0.00961
347.6,0.00939
347.8,0.00936
348.0,0.00985
348.2,0.01033
348.4,0.01208
348.6,0.01471
348.8,0.01782
349.0,0.02108
349.2,0.02558
349.4,0.03011
349.6,0.03524
349.8,0.04129
350.0,0.04609
350.2,0.04858
350.4,0.0509
350.6,0.04967
350.8,0.04643
351.0,0.04206
351.2,0.03657
351.4,0.03125
351.6,0.0264
351.8,0.02345
352.0,0.02154
352.2,0.02079
352.4,0.02004
352.6,0.02192
352.8,0.0234
353.0,0.02566
353.2,0.02811
353.4,0.03095
353.6,0.03513
353.8,0.03812
354.0,0.04168
354.2,0.04525
354.4,0.04821
354.6,0.05059
354.8,0.05099
355.0,0.04967
355.2,0.04756
355.4,0.045
355.6,0.04174
355.8,0.03897
356.0,0.03649
356.2,0.03478
356.4,0.03423
356.6,0.03359
356.8,0.0344
357.0,0.03495
357.2,0.03631
357.4,0.03871
357.6,0.04065
357.8,0.04196
358.0,0.04415
358.2,0.04493
358.4,0.04438
358.6,0.04385
358.8,0.04158
359.0,0.03927
359.2,0.03646
359.4,0.03317
359.6,0.02975
359.8,0.02667
360.0,0.02461
360.2,0.02308
360.4,0.02148
360.6,0.02099
360.8,0.02082
361.0,0.021
361.2,0.02149
361.4,0.02254
361.6,0.02361
361.8,0.02532
362.0,0.02668
362.2,0.02924
362.4,0.03131
362.6,0.03415
362.8,0.0364
363.0,0.03984
363.2,0.04338
363.4,0.04466
363.6,0.04699
363.8,0.04903
364.0,0.04829
364.2,0.04665
364.4,0.04444
364.6,0.04186
364.8,0.03906
365.0,0.03595
365.2,0.03306
365.4,0.0313
365.6,0.02913
365.8,0.02772
366.0,0.02652
366.2,0.02646
366.4,0.02598
366.6,0.02609
366.8,0.02598
367.0,0.02653
367.2,0.02799
367.4,0.0283
367.6,0.02978
367.8,0.03099
368.0,0.03243
368.2,0.03404
368.4,0.03559
368.6,0.03634
368.8,0.03665
369.0,0.0367
369.2,0.03599
369.4,0.03451
369.6,0.0328
369.8,0.03102
370.0,0.02915
370.2,0.02721
370.4,0.02554
370.6,0.02473
370.8,0.02381
371.0,0.02314
371.2,0.02308
371.4,0.02248
371.6,0.02231
371.8,0.02235
372.0,0.02271
372.2,0.02302
372.4,0.02452
372.6,0.02635
372.8,0.02841
373.0,0.03129
373.2,0.03477
373.4,0.03718
373.6,0.04018
373.8,0.04124
374.0,0.0409
374.2,0.03899
374.4,0.03562
374.6,0.03101
374.8,0.02608
375.0,0.02175
375.2,0.01775
375.4,0.01412
375.6,0.01078
375.8,0.00823
376.0,0.00588
376.2,0.0044
376.4,0.00377
376.6,0.0032
376.8,0.00291
377.0,0.00259
377.2,0.00237
377.4,0.00227
377.6,0.00211
377.8,0.00216
378.0,0.00219
378.2,0.00212
378.4,0.00222
378.6,0.00226
378.8,0.00242
379.0,0.00266
379.2,0.00297
379.4,0.00355
379.6,0.00415
379.8,0.00509
380.0,0.00605
380.2,0.00725
380.4,0.00842
380.6,0.00918
380.8,0.00987
381.0,0.00978
381.2,0.00918
381.4,0.0082
381.6,0.00718
381.8,0.00565
382.0,0.00448
382.2,0.00338
382.4,0.00261
382.6,0.002
382.8,0.00161
383.0,0.00132
383.2,0.00115
383.4,0.00104
383.6,9.0701e-04
383.8,7.8251e-04
384.0,6.7338e-04
384.2,6.2834e-04
384.4,5.848e-04
384.6,6.0986e-04
384.8,5.7988e-04
385.0,6.0557e-04
385.2,5.1267e-04
385.4,5.4088e-04
385.6,5.531e-04
385.8,4.8751e-04
386.0,5.0919e-04
386.2,4.5674e-04
386.4,4.8596e-04
386.6,4.8999e-04
386.8,5.1549e-04
387.0,5.1794e-04
387.2,5.3536e-04
387.4,5.7763e-04
387.6,6.5488e-04
387.8,6.5544e-04
388.0,7.1423e-04
388.2,7.398e-04
388.4,8.3472e-04
388.6,9.3597e-04
388.8,0.00106
389.0,0.0013
389.2,0.00146
389.4,0.0018
389.6,0.0022
389.8,0.00268
390.0,0.00346
390.2,0.00463
390.4,0.00647
390.6,0.00891
390.8,0.01222
391.0,0.01574
391.2,0.01973
391.4,0.02307
391.6,0.02578
391.8,0.02774
392.0,0.02868
392.2,0.02893
392.4,0.02712
392.6,0.02495
392.8,0.02197
393.0,0.01897
393.2,0.01664
393.4,0.01508
393.6,0.01395
393.8,0.01308
394.0,0.01289
394.2,0.01261
394.4,0.0127
394.6,0.01237
394.8,0.01287
395.0,0.01331
395.2,0.01386
395.4,0.01503
395.6,0.01666
395.8,0.01859
396.0,0.02167
396.2,0.02544
396.4,0.02942
396.6,0.03437
396.8,0.03991
397.0,0.04641
397.2,0.05215
397.4,0.05789
397.6,0.06185
397.8,0.06485
398.0,0.06671
398.2,0.06678
398.4,0.06506
398.6,0.06281
398.8,0.0595
399.0,0.05545
399.2,0.0515
399.4,0.04941
399.6,0.04721
399.8,0.04526
400.0,0.04472
400.2,0.04392
400.4,0.04378
400.6,0.04398
400.8,0.0439
401.0,0.04399
401.2,0.04352
401.4,0.04277
401.6,0.04239
401.8,0.04081
402.0,0.03934
402.2,0.03732
402.4,0.03522
402.6,0.03297
402.8,0.03069
403.0,0.02851
403.2,0.02643
403.4,0.02459
403.6,0.02322
403.8,0.02169
404.0,0.02055
404.2,0.01991
404.4,0.01949
404.6,0.01897
404.8,0.01867
405.0,0.0191
405.2,0.01923
405.4,0.02008
405.6,0.0207
405.8,0.02215
406.0,0.0234
406.2,0.02494
406.4,0.02672
406.6,0.0287
406.8,0.0304
407.0,0.03185
407.2,0.03319
407.4,0.0338
407.6,0.03389
407.8,0.03355
408.0,0.03243
408.2,0.03097
408.4,0.02877
408.6,0.02675
408.8,0.02404
409.0,0.02143
409.2,0.01926
409.4,0.01736
409.6,0.01541
409.8,0.01404
410.0,0.01267
410.2,0.01151
410.4,0.01059
410.6,0.00988
410.8,0.00937
411.0,0.00884
411.2,0.00858
411.4,0.00842
411.6,0.00819
411.8,0.00798
412.0,0.00793
412.2,0.00805
412.4,0.00809
412.6,0.00823
412.8,0.00843
413.0,0.00862
413.2,0.00874
413.4,0.00899
413.6,0.00927
413.8,0.00961
414.0,0.00988
414.2,0.01004
414.4,0.01011
414.6,0.01039
414.8,0.01049
415.0,0.01075
415.2,0.0109
415.4,0.01085
415.6,0.01073
415.8,0.01072
416.0,0.01068
416.2,0.01062
416.4,0.0105
416.6,0.01045
416.8,0.0104
417.0,0.0104
417.2,0.01034
417.4,0.0106
417.6,0.01072
417.8,0.01082
418.0,0.01112
418.2,0.01154
418.4,0.01208
418.6,0.01276
418.8,0.01366
419.0,0.01449
419.2,0.01544
419.4,0.01683
419.6,0.0182
419.8,0.02004
420.0,0.02215
420.2,0.02454
420.4,0.0271
420.6,0.02985
420.8,0.03279
421.0,0.03547
421.2,0.03791
421.4,0.03982
421.6,0.04097
421.8,0.04171
422.0,0.04174
422.2,0.04085
422.4,0.03934
422.6,0.03711
422.8,0.03467
423.0,0.03223
423.2,0.02933
423.4,0.02697
423.6,0.02454
423.8,0.02249
424.0,0.02083
424.2,0.01943
424.4,0.01824
424.6,0.01715
424.8,0.01665
425.0,0.01606
425.2,0.01578
425.4,0.01575
425.6,0.01538
425.8,0.01551
426.0,0.01579
426.2,0.01608
426.4,0.01649
426.6,0.01699
426.8,0.01768
427.0,0.01852
427.2,0.01937
427.4,0.02026
427.6,0.02133
427.8,0.0223
428.0,0.0233
428.2,0.0241
428.4,0.02507
428.6,0.02584
428.8,0.02647
429.0,0.02703
429.2,0.02725
429.4,0.02751
429.6,0.02741
429.8,0.02728
430.0,0.0272
430.2,0.02676
430.4,0.02635
430.6,0.02597
430.8,0.02553
431.0,0.02487
431.2,0.0246
431.4,0.02436
431.6,0.02384
431.8,0.02398
432.0,0.02394
432.2,0.02404
432.4,0.02427
432.6,0.02454
432.8,0.02511
433.0,0.02573
433.2,0.02666
433.4,0.02772
433.6,0.02887
433.8,0.03003
434.0,0.03155
434.2,0.03309
434.4,0.03475
434.6,0.03642
434.8,0.03821
435.0,0.03969
435.2,0.04143
435.4,0.04283
435.6,0.04418
435.8,0.04522
436.0,0.04592
436.2,0.04629
436.4,0.04665
436.6,0.04618
436.8,0.04566
437.0,0.04511
437.2,0.04399
437.4,0.04292
437.6,0.04172
437.8,0.04041
438.0,0.03928
438.2,0.03806
438.4,0.0369
438.6,0.03597
438.8,0.03482
439.0,0.03406
439.2,0.03336
439.4,0.0327
439.6,0.0321
439.8,0.03169
440.0,0.03158
440.2,0.0312
440.4,0.03111
440.6,0.0311
440.8,0.03113
441.0,0.03111
441.2,0.03127
441.4,0.0312
441.6,0.03152
441.8,0.03153
442.0,0.03169
442.2,0.03197
442.4,0.03223
442.6,0.03242
442.8,0.03273
443.0,0.03286
443.2,0.03317
443.4,0.0333
443.6,0.03338
443.8,0.03378
444.0,0.03389
444.2,0.03395
444.4,0.0341
444.6,0.03433
444.8,0.03441
445.0,0.03448
445.2,0.03454
445.4,0.03465
445.6,0.03475
445.8,0.03461
446.0,0.0344
446.2,0.03427
446.4,0.03382
446.6,0.03351
446.8,0.03302
447.0,0.03261
447.2,0.03187
447.4,0.03094
447.6,0.03015
447.8,0.02944
448.0,0.02843
448.2,0.02747
448.4,0.02647
448.6,0.02551
448.8,0.02454
449.0,0.02396
449.2,0.02311
449.4,0.0225
449.6,0.0221
449.8,0.02186
450.0,0.02163
450.2,0.02184
450.4,0.02217
450.6,0.02265
450.8,0.02329
451.0,0.02435
451.2,0.02565
451.4,0.02671
451.6,0.02801
451.8,0.02918
452.0,0.03033
452.2,0.03103
452.4,0.03178
452.6,0.0322
452.8,0.03214
453.0,0.03235
453.2,0.03212
453.4,0.03201
453.6,0.03223
453.8,0.03224
454.0,0.03265
454.2,0.03317
454.4,0.03404
454.6,0.03526
454.8,0.03625
455.0,0.03752
455.2,0.03887
455.4,0.04007
455.6,0.04146
455.8,0.04238
456.0,0.0429
456.2,0.04319
456.4,0.04306
456.6,0.04251
456.8,0.04146
457.0,0.04008
457.2,0.03826
457.4,0.03643
457.6,0.03432
457.8,0.03219
458.0,0.02999
458.2,0.02778
458.4,0.02576
458.6,0.02384
458.8,0.02208
459.0,0.02067
459.2,0.01928
459.4,0.01815
459.6,0.01718
459.8,0.0163
460.0,0.01566
460.2,0.01509
460.4,0.01454
460.6,0.01448
460.8,0.01441
461.0,0.01438
461.2,0.01455
461.4,0.01509
461.6,0.01568
461.8,0.01664
462.0,0.01801
462.2,0.01945
462.4,0.02113
462.6,0.02266
462.8,0.0243
463.0,0.02584
463.2,0.027
463.4,0.02805
463.6,0.02913
463.8,0.02995
464.0,0.03057
464.2,0.03129
464.4,0.03171
464.6,0.03222
464.8,0.03263
465.0,0.03349
465.2,0.03448
465.4,0.03601
465.6,0.03776
465.8,0.04009
466.0,0.0425
466.2,0.04508
466.4,0.0477
466.6,0.05026
466.8,0.05204
467.0,0.05362
467.2,0.0546
467.4,0.05483
467.6,0.05459
467.8,0.05388
468.0,0.0527
468.2,0.05121
468.4,0.04925
468.6,0.04721
468.8,0.0449
469.0,0.04272
469.2,0.04071
469.4,0.03906
469.6,0.03726
469.8,0.03585
470.0,0.0346
470.2,0.03372
470.4,0.03309
470.6,0.03276
470.8,0.03249
471.0,0.03255
471.2,0.03275
471.4,0.03319
471.6,0.03363
471.8,0.03441
472.0,0.03511
472.2,0.03582
472.4,0.0369
472.6,0.03776
472.8,0.03889
473.0,0.03958
473.2,0.04009
473.4,0.04055
473.6,0.04079
473.8,0.04082
474.0,0.04033
474.2,0.03947
474.4,0.03842
474.6,0.03693
474.8,0.03524
475.0,0.03357
475.2,0.03154
475.4,0.02961
475.6,0.02754
475.8,0.02548
476.0,0.02349
476.2,0.02165
476.4,0.01995
476.6,0.01851
476.8,0.01706
477.0,0.01586
477.2,0.01482
477.4,0.01391
477.6,0.01297
477.8,0.01227
478.0,0.0118
478.2,0.01104
478.4,0.01054
478.6,0.0101
478.8,0.00969
479.0,0.00936
479.2,0.00921
479.4,0.00895
479.6,0.00881
479.8,0.00868
480.0,0.00852
480.2,0.00853
480.4,0.00857
480.6,0.0085
480.8,0.00861
481.0,0.00869
481.2,0.00886
481.4,0.00895
481.6,0.00912
481.8,0.00941
482.0,0.00974
482.2,0.0099
482.4,0.01034
482.6,0.01073
482.8,0.01105
483.0,0.01158
483.2,0.01205
483.4,0.0126
483.6,0.01313
483.8,0.01372
484.0,0.01435
484.2,0.01498
484.4,0.01556
484.6,0.0162
484.8,0.01681
485.0,0.01739
485.2,0.01803
485.4,0.01839
485.6,0.01877
485.8,0.01913
486.0,0.01934
486.2,0.01959
486.4,0.01964
486.6,0.01963
486.8,0.01954
487.0,0.01936
487.2,0.01913
487.4,0.01898
487.6,0.01869
487.8,0.01843
488.0,0.01802
488.2,0.01769
488.4,0.01736
488.6,0.01701
488.8,0.01659
489.0,0.01636
489.2,0.01601
489.4,0.01575
489.6,0.01564
489.8,0.01543
490.0,0.01526
490.2,0.01514
490.4,0.01512
490.6,0.01503
490.8,0.01517
491.0,0.0152
491.2,0.01536
491.4,0.01562
491.6,0.0158
491.8,0.01608
492.0,0.0163
492.2,0.01677
492.4,0.01711
492.6,0.01754
492.8,0.01816
493.0,0.01882
493.2,0.01942
493.4,0.02017
493.6,0.02096
493.8,0.02168
494.0,0.02262
494.2,0.02367
494.4,0.02472
494.6,0.02586
494.8,0.0269
495.0,0.02818
495.2,0.02929
495.4,0.03046
495.6,0.03169
495.8,0.03307
496.0,0.0343
496.2,0.03572
496.4,0.03685
496.6,0.03783
496.8,0.03884
497.0,0.04004
497.2,0.04107
497.4,0.04196
497.6,0.04263
497.8,0.04324
498.0,0.04405
498.2,0.04461
498.4,0.04495
498.6,0.04531
498.8,0.04561
499.0,0.04592
499.2,0.04598
499.4,0.04622
499.6,0.04647
499.8,0.04643
500.0,0.04666
500.2,0.0469
500.4,0.04707
500.6,0.04723
500.8,0.04736
501.0,0.04735
501.2,0.04737
501.4,0.04773
501.6,0.04798
501.8,0.04804
502.0,0.0481
502.2,0.0481
502.4,0.04798
502.6,0.04813
502.8,0.04819
503.0,0.04832
503.2,0.04818
503.4,0.04827
503.6,0.04823
503.8,0.04789
504.0,0.04771
504.2,0.04729
504.4,0.04714
504.6,0.04671
504.8,0.04621
505.0,0.04566
505.2,0.04504
505.4,0.04475
505.6,0.04403
505.8,0.04351
506.0,0.0428
506.2,0.04223
506.4,0.04169
506.6,0.04113
