Type: filter
Name: NI-ch1f2
## Typical Measured Spectrum of Semrock FF01-582/75 Optical Filter
## For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
## For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited.
wavelength,transmission
300.0,3.8475e-07
300.2,4.4087e-07
300.4,5.0519e-07
300.6,5.7888e-07
300.8,6.6333e-07
301.0,7.6009e-07
301.2,8.7097e-07
301.4,9.9803e-07
301.6,1.1436e-06
301.8,1.3104e-06
302.0,1.3851e-06
302.2,1.4603e-06
302.4,1.5396e-06
302.6,1.6233e-06
302.8,1.7114e-06
303.0,1.8044e-06
303.2,1.9024e-06
303.4,2.0057e-06
303.6,2.1146e-06
303.8,2.2295e-06
304.0,2.0586e-06
304.2,1.829e-06
304.4,1.6251e-06
304.6,1.4438e-06
304.8,1.2828e-06
305.0,1.1398e-06
305.2,1.0127e-06
305.4,8.9972e-07
305.6,7.9939e-07
305.8,7.1024e-07
306.0,6.9492e-07
306.2,7.2911e-07
306.4,7.6499e-07
306.6,8.0263e-07
306.8,8.4212e-07
307.0,8.8355e-07
307.2,9.2703e-07
307.4,9.7264e-07
307.6,1.0205e-06
307.8,1.0707e-06
308.0,1.1913e-06
308.2,1.4529e-06
308.4,1.7719e-06
308.6,2.1609e-06
308.8,2.6354e-06
309.0,3.214e-06
309.2,3.9197e-06
309.4,4.7804e-06
309.6,5.83e-06
309.8,7.1102e-06
310.0,8.6437e-06
310.2,1.0211e-05
310.4,1.2062e-05
310.6,1.4248e-05
310.8,1.6831e-05
311.0,1.9882e-05
311.2,2.3487e-05
311.4,2.7744e-05
311.6,3.2774e-05
311.8,3.8715e-05
312.0,3.9273e-05
312.2,3.9619e-05
312.4,3.9968e-05
312.6,4.032e-05
312.8,4.0675e-05
313.0,4.1034e-05
313.2,4.1395e-05
313.4,4.176e-05
313.6,4.2128e-05
313.8,4.2499e-05
314.0,3.7855e-05
314.2,3.2522e-05
314.4,2.794e-05
314.6,2.4004e-05
314.8,2.0622e-05
315.0,1.7716e-05
315.2,1.522e-05
315.4,1.3076e-05
315.6,1.1234e-05
315.8,9.6509e-06
316.0,8.7389e-06
316.2,8.2076e-06
316.4,7.7086e-06
316.6,7.2399e-06
316.8,6.7997e-06
317.0,6.3863e-06
317.2,5.998e-06
317.4,5.6333e-06
317.6,5.2908e-06
317.8,4.9692e-06
318.0,5.1883e-06
318.2,6.3495e-06
318.4,7.7705e-06
318.6,9.5096e-06
318.8,1.1638e-05
319.0,1.4243e-05
319.2,1.743e-05
319.4,2.1331e-05
319.6,2.6105e-05
319.8,3.1948e-05
320.0,3.8522e-05
320.2,4.1196e-05
320.4,4.4056e-05
320.6,4.7114e-05
320.8,5.0385e-05
321.0,5.3882e-05
321.2,5.7623e-05
321.4,6.1623e-05
321.6,6.59e-05
321.8,7.0475e-05
322.0,6.4008e-05
322.2,5.7532e-05
322.4,5.1711e-05
322.6,4.6479e-05
322.8,4.1776e-05
323.0,3.7549e-05
323.2,3.375e-05
323.4,3.0335e-05
323.6,2.7266e-05
323.8,2.4507e-05
324.0,2.1418e-05
324.2,1.8549e-05
324.4,1.6064e-05
324.6,1.3912e-05
324.8,1.2048e-05
325.0,1.0434e-05
325.2,9.0366e-06
325.4,7.8261e-06
325.6,6.7777e-06
325.8,5.8698e-06
326.0,5.3081e-06
326.2,4.9594e-06
326.4,4.6335e-06
326.6,4.3291e-06
