Dichroic: API-0022 Reflectence
Wavelength,API_0022
300,0.0014
302,0.0185
304,0.0388
306,0.1183
308,0.1192
310,0.0561
312,0.0655
314,0.0512
316,0.0094
318,0.0008
320,0.0007
322,0.0023
324,0.0058
326,0.0043
328,0.047
330,0.1126
332,0.0994
334,0.0723
336,0.0305
338,0.0048
340,0.0256
342,0.0786
344,0.1534
346,0.1766
348,0.0961
350,0.0939
352,0.1315
354,0.1472
356,0.1502
358,0.0749
360,0.0304
362,0.0789
364,0.1421
366,0.1189
368,0.0511
370,0.0295
372,0.0603
374,0.1078
376,0.1379
378,0.164
380,0.2156
382,0.2401
384,0.2624
386,0.445
388,0.6689
390,0.7627
392,0.7987
394,0.8092
396,0.8008
398,0.8318
400,0.8914
402,0.9293
404,0.9344
406,0.9383
408,0.9342
410,0.8496
412,0.583
414,0.2506
416,0.0491
418,0.0148
420,0.0196
422,0.0698
424,0.2401
426,0.545
428,0.8265
430,0.9481
432,0.9616
434,0.9591
436,0.9569
438,0.9562
440,0.9568
442,0.9591
444,0.9598
446,0.9599
448,0.9623
450,0.9624
452,0.9581
454,0.9535
456,0.9554
458,0.9551
460,0.955
462,0.9598
464,0.9546
466,0.9227
468,0.8015
470,0.5842
472,0.3252
474,0.1418
476,0.0688
478,0.0611
480,0.1085
482,0.2614
484,0.5229
486,0.7775
488,0.934
490,0.9315
492,0.8233
494,0.6335
496,0.4059
498,0.2259
500,0.1297
502,0.091
504,0.0795
506,0.0765
508,0.074
510,0.0705
512,0.0699
514,0.0809
516,0.1181
518,0.2048
520,0.3526
522,0.529
524,0.6904
526,0.807
528,0.875
530,0.9253
532,0.9531
534,0.9472
536,0.9204
538,0.8858
540,0.8517
542,0.8226
544,0.7963
546,0.7667
548,0.7312
550,0.6921
552,0.6539
554,0.6225
556,0.6077
558,0.6216
560,0.6702
562,0.7473
564,0.8305
566,0.8968
568,0.935
570,0.9511
572,0.957
574,0.9592
576,0.9597
578,0.9594
580,0.9589
582,0.9592
584,0.9605
586,0.9605
588,0.9587
590,0.9591
592,0.9615
594,0.9632
596,0.964
598,0.9641
600,0.9647
602,0.9661
604,0.9672
606,0.9675
608,0.9659
610,0.9638
612,0.964
614,0.9654
616,0.9674
618,0.9693
620,0.9673
622,0.9501
624,0.9026
626,0.8286
628,0.7439
630,0.6585
632,0.5812
634,0.5186
636,0.4609
638,0.3993
640,0.3444
642,0.3063
644,0.2779
646,0.2468
648,0.2054
650,0.1494
652,0.09
654,0.0486
656,0.0283
658,0.019
660,0.0144
662,0.0119
664,0.0103
666,0.0099
668,0.0113
670,0.0149
672,0.0178
674,0.0178
676,0.0154
678,0.01
680,0.0043
682,0.0016
684,0.0009
686,0.0007
688,0.0007
690,0.0013
692,0.0033
694,0.0049
696,0.005
698,0.0048
700,0.0039
702,0.0018
704,0.0004
706,0.0002
708,0.0001
710,0.0001
712,0.0001
714,0.0001
716,0.0001
718,0.0001
720,0.0001
722,0.0001
724,0.0001
726,0.0001
728,0.0002
730,0.0002
732,0.0004
734,0.0005
736,0.0009
738,0.0019
740,0.0055
742,0.0251
744,0.06
746,0.0821
748,0.0922
750,0.1007
752,0.1109
754,0.1111
756,0.1268
758,0.1709
760,0.2104
762,0.2364
764,0.2541
766,0.2727
768,0.2909
770,0.2989
772,0.3054
774,0.3305
776,0.3054
778,0.2517
780,0.1848
782,0.1294
784,0.0752
786,0.0363
788,0.0286
790,0.0379
792,0.0682
794,0.1246
796,0.1829
798,0.2436
800,0.2878
