## Type: filter
## Name: API-0052 Reflectance
wavelength,reflection
318,0.893203883
320,0.689320388
322,0.514563107
324,0.398058252
326,0.32038835
328,0.262135922
330,0.262135922
332,0.368932039
334,0.582524272
336,0.786407767
338,0.912621359
340,0.951456311
342,0.980582524
344,0.961165049
346,0.825242718
348,0.601941748
350,0.417475728
352,0.368932039
354,0.485436893
356,0.72815534
358,0.902912621
360,0.961165049
362,0.922330097
364,0.796116505
366,0.689320388
368,0.699029126
370,0.718446602
372,0.669902913
374,0.67961165
376,0.776699029
378,0.86407767
380,0.86407767
382,0.834951456
384,0.834951456
386,0.883495146
388,0.922330097
390,0.912621359
392,0.883495146
394,0.844660194
396,0.796116505
398,0.796116505
400,0.815533981
402,0.844660194
404,0.844660194
406,0.825242718
408,0.844660194
410,0.902912621
412,0.941747573
414,0.951456311
416,0.941747573
418,0.941747573
420,0.932038835
422,0.922330097
424,0.893203883
426,0.86407767
428,0.883495146
430,0.932038835
432,0.961165049
434,0.961165049
436,0.961165049
438,0.961165049
440,0.951456311
442,0.951456311
444,0.941747573
446,0.932038835
448,0.922330097
450,0.922330097
452,0.941747573
454,0.951456311
456,0.951456311
458,0.951456311
460,0.951456311
462,0.951456311
464,0.961165049
466,0.961165049
468,0.970873786
470,0.970873786
472,0.970873786
474,0.970873786
476,0.970873786
478,0.970873786
480,0.970873786
482,0.961165049
484,0.970873786
486,0.970873786
488,0.970873786
490,0.970873786
492,0.980582524
494,0.980582524
496,0.980582524
498,0.980582524
500,0.980582524
502,0.980582524
504,0.980582524
506,0.980582524
508,0.970873786
510,0.980582524
512,0.980582524
514,0.980582524
516,0.980582524
518,0.980582524
520,0.980582524
522,0.980582524
524,0.980582524
526,0.970873786
528,0.970873786
530,0.970873786
532,0.970873786
534,0.970873786
536,0.970873786
538,0.970873786
540,0.970873786
542,0.970873786
544,0.970873786
546,0.980582524
548,0.970873786
550,0.970873786
552,0.980582524
554,0.980582524
556,0.970873786
558,0.970873786
560,0.970873786
562,0.970873786
564,0.970873786
566,0.970873786
568,0.970873786
570,0.970873786
572,0.970873786
574,0.970873786
576,0.970873786
578,0.970873786
580,0.970873786
582,0.970873786
584,0.961165049
586,0.961165049
588,0.961165049
590,0.951456311
592,0.941747573
594,0.922330097
596,0.893203883
598,0.854368932
600,0.815533981
602,0.757281553
604,0.708737864
606,0.669902913
608,0.631067961
610,0.601941748
612,0.582524272
614,0.563106796
616,0.553398058
618,0.54368932
620,0.54368932
622,0.533980583
624,0.514563107
626,0.485436893
628,0.446601942
630,0.388349515
632,0.310679612
634,0.223300971
636,0.155339806
638,0.097087379
640,0.058252427
642,0.029126214
644,0.019417476
646,0.019417476
648,0.019417476
650,0.019417476
652,0.019417476
654,0.019417476
656,0.019417476
658,0.019417476
660,0.019417476
662,0.009708738
664,0.009708738
666,0.009708738
668,0.009708738
670,0.009708738
672,0.019417476
674,0.019417476
676,0.019417476
678,0.019417476
680,0.019417476
682,0.019417476
684,0.019417476
686,0.019417476
688,0.019417476
690,0.019417476
692,0.009708738
694,0.009708738
696,0.009708738
698,0.019417476
700,0.019417476
702,0.029126214
704,0.029126214
706,0.038834951
708,0.048543689
710,0.058252427
712,0.077669903
714,0.097087379
716,0.106796117
718,0.126213592
720,0.155339806
722,0.174757282
724,0.203883495
726,0.233009709
728,0.262135922
730,0.291262136
732,0.32038835
734,0.349514563
736,0.378640777
738,0.40776699
740,0.427184466
742,0.446601942
744,0.45631068
746,0.466019417
748,0.475728155
750,0.475728155
752,0.475728155
754,0.475728155
756,0.475728155
758,0.466019417
760,0.466019417
762,0.45631068
764,0.446601942
766,0.436893204
768,0.427184466
770,0.417475728
772,0.417475728
774,0.40776699
776,0.40776699
778,0.398058252
780,0.40776699
782,0.40776699
784,0.417475728
786,0.436893204
788,0.45631068
790,0.475728155
792,0.504854369
794,0.524271845
796,0.553398058
798,0.572815534
800,0.59223301
