Type: filter
Name: API-0053 Reflectance
wavelength,reflection
348,0.941747573
350,0.815533981
352,0.708737864
354,0.514563107
356,0.32038835
358,0.378640777
360,0.59223301
362,0.611650485
364,0.514563107
366,0.59223301
368,0.766990291
370,0.825242718
372,0.776699029
374,0.737864078
376,0.776699029
378,0.834951456
380,0.844660194
382,0.844660194
384,0.86407767
386,0.873786408
388,0.883495146
390,0.893203883
392,0.902912621
394,0.902912621
396,0.902912621
398,0.902912621
400,0.902912621
402,0.912621359
404,0.912621359
406,0.902912621
408,0.902912621
410,0.893203883
412,0.902912621
414,0.912621359
416,0.912621359
418,0.912621359
420,0.902912621
422,0.902912621
424,0.912621359
426,0.922330097
428,0.932038835
430,0.941747573
432,0.951456311
434,0.951456311
436,0.941747573
438,0.941747573
440,0.932038835
442,0.932038835
444,0.941747573
446,0.932038835
448,0.902912621
450,0.844660194
452,0.766990291
454,0.708737864
456,0.67961165
458,0.669902913
460,0.640776699
462,0.611650485
464,0.611650485
466,0.669902913
468,0.766990291
470,0.86407767
472,0.922330097
474,0.932038835
476,0.922330097
478,0.912621359
480,0.912621359
482,0.941747573
484,0.961165049
486,0.970873786
488,0.970873786
490,0.970873786
492,0.980582524
494,0.980582524
496,0.980582524
498,0.980582524
500,0.980582524
502,0.980582524
504,0.980582524
506,0.970873786
508,0.970873786
510,0.970873786
512,0.970873786
514,0.970873786
516,0.980582524
518,0.980582524
520,0.980582524
522,0.970873786
524,0.970873786
526,0.970873786
528,0.970873786
530,0.970873786
532,0.970873786
534,0.970873786
536,0.970873786
538,0.970873786
540,0.970873786
542,0.970873786
544,0.970873786
546,0.970873786
548,0.970873786
550,0.970873786
552,0.970873786
554,0.970873786
556,0.970873786
558,0.970873786
560,0.970873786
562,0.961165049
564,0.951456311
566,0.932038835
568,0.893203883
570,0.825242718
572,0.747572816
574,0.669902913
576,0.582524272
578,0.466019417
580,0.339805825
582,0.203883495
584,0.097087379
586,0.038834951
588,0.019417476
590,0.019417476
592,0.019417476
594,0.009708738
596,0.009708738
598,0.019417476
600,0.019417476
602,0.019417476
604,0.019417476
606,0.019417476
608,0.019417476
610,0.019417476
612,0.009708738
614,0.019417476
616,0.019417476
618,0.019417476
620,0.019417476
622,0.019417476
624,0.019417476
626,0.019417476
628,0.019417476
630,0.019417476
632,0.019417476
634,0.019417476
636,0.019417476
638,0.009708738
640,0.009708738
642,0.019417476
644,0.019417476
646,0.019417476
648,0.019417476
650,0.019417476
652,0.009708738
654,0.009708738
656,0.009708738
658,0.009708738
660,0.009708738
662,0.009708738
664,0.019417476
666,0.019417476
668,0.019417476
670,0.019417476
672,0.019417476
674,0.019417476
676,0.019417476
678,0.019417476
680,0.029126214
682,0.038834951
684,0.058252427
686,0.067961165
688,0.087378641
690,0.087378641
692,0.097087379
694,0.116504854
696,0.155339806
698,0.213592233
700,0.291262136
702,0.388349515
704,0.495145631
706,0.59223301
708,0.67961165
710,0.757281553
712,0.815533981
714,0.854368932
716,0.893203883
718,0.912621359
720,0.922330097
722,0.932038835
724,0.941747573
726,0.941747573
728,0.951456311
730,0.951456311
732,0.951456311
734,0.941747573
736,0.941747573
738,0.941747573
740,0.922330097
742,0.902912621
744,0.873786408
746,0.854368932
748,0.844660194
750,0.834951456
752,0.854368932
754,0.873786408
756,0.893203883
758,0.922330097
760,0.941747573
762,0.951456311
764,0.961165049
766,0.961165049
768,0.961165049
770,0.970873786
772,0.961165049
774,0.961165049
776,0.951456311
778,0.951456311
780,0.951456311
782,0.932038835
784,0.922330097
786,0.912621359
788,0.893203883
790,0.902912621
792,0.902912621
794,0.912621359
796,0.922330097
798,0.941747573
800,0.941747573
