## Type: dichroic
## Name: Chroma T597dcsp-xt-UF3 batch 283972
wavelength,transmission
380,0.0012885
381,0.0002667
382,0.0013428
383,0.0068277
384,0.0278218
385,0.0775504
386,0.113886
387,0.0661702
388,0.0224247
389,0.0225286
390,0.0327742
391,0.0498981
392,0.0830945
393,0.122685
394,0.186638
395,0.295814
396,0.405305
397,0.465813
398,0.556113
399,0.733346
400,0.88906
401,0.947753
402,0.961373
403,0.969596
404,0.971995
405,0.972756
406,0.975493
407,0.977753
408,0.977799
409,0.979275
410,0.981306
411,0.981338
412,0.981449
413,0.981828
414,0.983754
415,0.981584
416,0.983231
417,0.982181
418,0.983695
419,0.987224
420,0.987794
421,0.986671
422,0.987627
423,0.985878
424,0.98755
425,0.986272
426,0.985889
427,0.987442
428,0.9857
429,0.984202
430,0.984133
431,0.985432
432,0.984452
433,0.984897
434,0.985457
435,0.984426
436,0.98409
437,0.983818
438,0.982301
439,0.983791
440,0.984167
441,0.984582
442,0.985795
443,0.985564
444,0.984477
445,0.982385
446,0.984392
447,0.98483
448,0.986285
449,0.987626
450,0.986969
451,0.985602
452,0.984943
453,0.985014
454,0.98555
455,0.984604
456,0.983311
457,0.982545
458,0.983023
459,0.984345
460,0.985068
461,0.984897
462,0.983772
463,0.983304
464,0.984137
465,0.98566
466,0.984538
467,0.982906
468,0.98138
469,0.979453
470,0.980379
471,0.982193
472,0.984437
473,0.983845
474,0.981575
475,0.980496
476,0.979752
477,0.981062
478,0.982247
479,0.984385
480,0.983978
481,0.982325
482,0.981527
483,0.98123
484,0.984154
485,0.985315
486,0.986182
487,0.984261
488,0.983082
489,0.983119
490,0.984026
491,0.984615
492,0.984836
493,0.986658
494,0.984156
495,0.984325
496,0.984724
497,0.985639
498,0.984426
499,0.986296
500,0.984664
501,0.982373
502,0.980682
503,0.981111
504,0.983204
505,0.983568
506,0.983205
507,0.980802
508,0.978261
509,0.976347
510,0.975501
511,0.977296
512,0.980584
513,0.982742
514,0.983898
515,0.983698
516,0.982868
517,0.982542
518,0.982627
519,0.983404
520,0.983904
521,0.983252
522,0.981775
523,0.980016
524,0.978201
525,0.978722
526,0.980194
527,0.982586
528,0.983238
529,0.983151
530,0.981853
531,0.979602
532,0.976651
533,0.976763
534,0.980116
535,0.982091
536,0.982568
537,0.983181
538,0.982211
539,0.97935
540,0.976462
541,0.974397
542,0.975681
543,0.977646
544,0.980304
545,0.981277
546,0.979359
547,0.974628
548,0.969901
549,0.966312
550,0.965981
551,0.969987
552,0.975506
553,0.977776
554,0.978967
555,0.976688
556,0.971067
557,0.966285
558,0.961554
559,0.959977
560,0.964107
561,0.969489
562,0.973169
563,0.974757
564,0.974127
565,0.971026
566,0.967627
567,0.965502
568,0.964665
569,0.965955
570,0.967823
571,0.972297
572,0.97299
573,0.972331
574,0.97013
575,0.967953
576,0.964823
577,0.961621
578,0.958444
579,0.958739
580,0.958945
581,0.958617
582,0.962515
583,0.963622
584,0.966602
585,0.968436
586,0.965889
587,0.965653
588,0.964943
589,0.964436
590,0.956263
591,0.940799
592,0.922236
593,0.896939
594,0.816797
595,0.682295
596,0.520564
597,0.386012
598,0.28226
599,0.185402
600,0.119141
601,0.0731349
602,0.0485715
603,0.0324145
604,0.0240134
605,0.0186482
606,0.0152067
607,0.0130247
608,0.0117574
609,0.0110856
610,0.0106734
611,0.0100887
612,0.008866
613,0.0071008
614,0.005227
615,0.0034638
616,0.0021992
617,0.0014803
618,0.0009555
619,0.0006087
620,0.0003851
621,0.0002627
622,0.000193
623,0.0001711
624,0.0001735
625,0.0001135
626,0.0001306
627,0.0001139
628,0.0000653
629,0.0000529
630,0.0000622
631,0.0001429
632,0.0001864
633,0.0001574
634,0.0002675
635,0.0003804
636,0.000602
637,0.0012133
638,0.0026101
639,0.0045843
640,0.0050848
641,0.0034471
642,0.0016286
643,0.0006917
644,0.0003585
645,0.0002084
646,0.0001625
647,0.0001431
648,0.0001859
649,0.0001151
650,0.0001027
651,0.0000889
652,0.0000572
653,0.0000522
654,0.0001019
655,0.0001267
656,0.0001993
657,0.0002253
658,0.0002863
659,0.0004632
660,0.0009998
661,0.0019311
662,0.0038304
663,0.0059991
664,0.0061905
665,0.0041251
666,0.002235
667,0.001222
668,0.0009498
669,0.0008139
670,0.0009994
671,0.001655
672,0.0020133
673,0.0014016
674,0.0009752
675,0.0008866
676,0.0010324
677,0.001307
678,0.0015984
679,0.002211
680,0.0031241
681,0.0042273
682,0.0056897
683,0.006923
684,0.0074762
685,0.0072876
686,0.006551
687,0.0059348
688,0.0053886
689,0.0049753
690,0.0049476
691,0.004839
692,0.0048922
693,0.0048361
694,0.0047883
695,0.0047691
696,0.0046767
697,0.0045009
698,0.0042924
699,0.004016
700,0.0037334
701,0.0035925
702,0.0036296
703,0.003644
704,0.0038066
705,0.0041966
706,0.0049739
707,0.0063321
708,0.0083301
709,0.010817
710,0.0127963
711,0.012526
712,0.0099083
713,0.0068286
714,0.0044188
715,0.0029282
716,0.0020955
717,0.0016209
718,0.0011985
719,0.0010463
720,0.0008646
721,0.000696
722,0.0006798
723,0.0006378
724,0.0005616
725,0.00059
726,0.000523
727,0.0005671
728,0.0006073
729,0.0006231
730,0.000683
731,0.0007537
732,0.0007815
733,0.0009003
734,0.0009265
735,0.0010045
736,0.0010743
737,0.0010952
738,0.0011623
739,0.0012074
740,0.0011648
741,0.0011495
742,0.0011735
743,0.0011633
744,0.0011972
745,0.0012081
746,0.0012825
747,0.0013275
748,0.0013783
749,0.0014944
750,0.0016506
751,0.0019348
752,0.0021325
753,0.0024666
754,0.0027511
755,0.0031043
756,0.0032973
757,0.0032341
758,0.0030294
759,0.0026679
760,0.002342
761,0.0019558
762,0.0016653
763,0.0014075
764,0.0011845
765,0.0010636
766,0.0009679
767,0.0009898
768,0.0008879
769,0.0007908
770,0.0007277
771,0.0006935
772,0.0006527
773,0.0006795
774,0.0006715
775,0.0006524
776,0.0007517
777,0.000827
778,0.0007826
779,0.0009134
780,0.0010051
781,0.0011605
782,0.0011864
783,0.0013409
784,0.0014586
785,0.0016465
786,0.001801
787,0.0019514
788,0.0022354
789,0.0025468
790,0.0027526
791,0.0030663
792,0.0034217
793,0.0037832
794,0.0042762
795,0.0047002
796,0.0052513
797,0.0062103
798,0.0071121
799,0.0083295
800,0.0098655
801,0.0118019
802,0.0141908
803,0.0174164
804,0.0216854
805,0.0265017
806,0.0317123
807,0.0362246
808,0.0390794
809,0.0395661
810,0.0378026
811,0.0347178
812,0.0309825
813,0.0274833
814,0.0247082
815,0.0225331
816,0.0210023
817,0.020076
818,0.0196117
819,0.0197255
820,0.0203217
821,0.0214768
822,0.0232762
823,0.0258971
824,0.0296857
825,0.0348039
826,0.0415
827,0.0513904
828,0.0629899
829,0.0773908
830,0.0925572
831,0.105598
832,0.112954
833,0.112249
834,0.104087
835,0.091693
836,0.078545
837,0.0667027
838,0.0566338
839,0.0492765
840,0.0438732
841,0.0387876
842,0.0354899
843,0.0334887
844,0.0323381
845,0.0316597
846,0.0318078
847,0.0323224
848,0.0336968
849,0.0355446
850,0.038254
