## Type: filter
## Name: Chroma ZET405/488/561/640mv2
wavelength,transmission
301.00,1.1620400073298E-6
302.00,9.9999999392253E-9
303.00,4.694549886608E-7
304.00,9.5883194717317E-7
305.00,7.0410800390164E-7
306.00,7.510619752793E-7
307.00,4.4337699023345E-7
308.00,2.6648899620341E-7
309.00,3.8653899991914E-7
310.00,2.5634901135163E-7
311.00,9.9999999392253E-9
312.00,6.1904501080789E-7
313.00,1.1606399539232E-6
314.00,5.4472900501423E-7
315.00,1.0228800420009E-6
316.00,9.9999999392253E-9
317.00,2.1666400584763E-7
318.00,3.1965998914529E-7
319.00,8.1940999052676E-7
320.00,5.4011798056308E-7
321.00,2.4171299628506E-7
322.00,3.218140136596E-7
323.00,2.6225899318888E-7
324.00,5.4291399465001E-7
325.00,3.5488798744154E-7
326.00,3.8893000464668E-7
327.00,3.0767100156481E-7
328.00,5.3938401833875E-7
329.00,2.7298298732603E-7
330.00,9.9743800774377E-8
331.00,1.625450067877E-7
332.00,6.9787699885637E-7
333.00,2.3851799824115E-7
334.00,2.6317201218262E-7
335.00,6.2007597989577E-7
336.00,1.7348699543618E-7
337.00,1.6483299702941E-7
338.00,7.0320299982995E-7
339.00,1.6044900519319E-7
340.00,1.6099899369237E-7
341.00,5.3417397793964E-7
342.00,5.5579101854164E-7
343.00,4.2788599330379E-7
344.00,9.9999999392253E-9
345.00,5.5790400210753E-7
346.00,2.3616999555998E-7
347.00,3.4337099918957E-7
348.00,1.7270700425343E-7
349.00,3.0094699354777E-7
350.00,4.6522501406798E-7
351.00,3.7143598774492E-7
352.00,1.6293100202347E-7
353.00,6.7994398023075E-7
354.00,6.0010302149749E-7
355.00,4.1234500258724E-7
356.00,9.9999999392253E-9
357.00,6.1089201608411E-7
358.00,3.4495099043852E-7
359.00,3.6785999668609E-7
360.00,3.2035899266702E-7
361.00,1.7637999860654E-7
362.00,4.6964700572971E-7
363.00,1.5492200589051E-7
364.00,3.2671999861122E-7
365.00,4.666910058404E-7
366.00,1.4965499417485E-7
367.00,3.6353000609779E-7
368.00,5.1976400072817E-7
369.00,4.0687700675335E-7
370.00,4.0696301084608E-7
371.00,2.2484400119538E-7
372.00,4.5962900685481E-7
373.00,3.3278301003747E-8
374.00,3.9484498870479E-7
375.00,3.6990900298406E-7
376.00,5.3996802762413E-7
377.00,3.005330029282E-7
