## Type: dichroic
## Name: Chroma ZT405/488/560/647TPC 22.5deg batch 260830
wavelength,transmission
380,0.139058
381,0.0942276
382,0.0367252
383,0.0191007
384,0.012221
385,0.0086896
386,0.0068272
387,0.0063666
388,0.0063979
389,0.0079429
390,0.0094968
391,0.0107151
392,0.0188356
393,0.0327444
394,0.0633125
395,0.135046
396,0.28703
397,0.536607
398,0.79355
399,0.939552
400,0.976894
401,0.98296
402,0.979446
403,0.969788
404,0.963641
405,0.962664
406,0.964505
407,0.96632
408,0.967753
409,0.972068
410,0.965055
411,0.913645
412,0.773129
413,0.563985
414,0.33362
415,0.17678
416,0.0856707
417,0.0432884
418,0.0221341
419,0.012367
420,0.0067679
421,0.004746
422,0.0032684
423,0.0024435
424,0.0018174
425,0.001757
426,0.0011799
427,0.0013974
428,0.0013187
429,0.0011062
430,0.0013489
431,0.0013502
432,0.0018843
433,0.0022854
434,0.0033178
435,0.0059161
436,0.0107121
437,0.0185282
438,0.0248404
439,0.0232245
440,0.0172445
441,0.0114937
442,0.0084309
443,0.0074514
444,0.0071779
445,0.0078918
446,0.0093946
447,0.0120802
448,0.0164477
449,0.0214984
450,0.0256039
451,0.0266718
452,0.0247155
453,0.0210604
454,0.0180656
455,0.0165478
456,0.0161037
457,0.0170346
458,0.0192738
459,0.0229904
460,0.0275044
461,0.0311234
462,0.0323254
463,0.0294949
464,0.0248904
465,0.0198818
466,0.0162771
467,0.0136128
468,0.0121183
469,0.0113226
470,0.0110404
471,0.0113196
472,0.0122714
473,0.0137105
474,0.016124
475,0.0198298
476,0.0258831
477,0.0355094
478,0.0515129
479,0.0778408
480,0.130112
481,0.221767
482,0.38228
483,0.615389
484,0.826568
485,0.943275
486,0.952643
487,0.924939
488,0.913592
489,0.922928
490,0.943808
491,0.956628
492,0.943701
493,0.879516
494,0.764305
495,0.583098
496,0.42977
497,0.277046
498,0.175288
499,0.108077
500,0.0679467
501,0.0445723
502,0.0306262
503,0.0226846
504,0.0170859
505,0.0135081
506,0.0114086
507,0.009627
508,0.0085305
509,0.0078954
510,0.0075131
511,0.0075243
512,0.0076427
513,0.0081903
514,0.0092699
515,0.0107999
516,0.0132576
517,0.0172026
518,0.0219939
519,0.0267526
520,0.029587
521,0.0274531
522,0.0219756
523,0.0160934
524,0.0114503
525,0.0083614
526,0.0063778
527,0.0049597
528,0.0040697
529,0.0035133
530,0.0031704
531,0.0029024
532,0.0027109
