Type: dichroic
Name: Chroma ZT488/592TPC_PhaseT T600-750-UF3 batch 283873
wavelength,transmission
380,0.032953
381,0.0427426
382,0.0784276
383,0.114893
384,0.123841
385,0.174989
386,0.314641
387,0.502104
388,0.397383
389,0.206558
390,0.197243
391,0.264483
392,0.248128
393,0.239674
394,0.371334
395,0.488305
396,0.504183
397,0.504207
398,0.451579
399,0.276764
400,0.126537
401,0.0488134
402,0.0249047
403,0.0328849
404,0.0936621
405,0.17607
406,0.16644
407,0.0807678
408,0.0339356
409,0.0279289
410,0.0310628
411,0.0484561
412,0.105635
413,0.193882
414,0.180692
415,0.0674407
416,0.0102441
417,0.0030871
418,0.0018264
419,0.0014873
420,0.0017914
421,0.0030838
422,0.011715
423,0.0355695
424,0.0590347
425,0.055342
426,0.0446143
427,0.0901142
428,0.188816
429,0.186286
430,0.0735289
431,0.0207849
432,0.0150252
433,0.0276019
434,0.0495724
435,0.0564892
436,0.0348024
437,0.0192107
438,0.0178781
439,0.0269119
440,0.0323647
441,0.0234776
442,0.0123349
443,0.006855
444,0.0063037
445,0.0091718
446,0.014858
447,0.0216012
448,0.0237164
449,0.0198142
450,0.0168904
451,0.0194063
452,0.0300918
453,0.0553395
454,0.100316
455,0.144232
456,0.159277
457,0.141718
458,0.117788
459,0.107658
460,0.122614
461,0.175791
462,0.269324
463,0.371606
464,0.410745
465,0.371384
466,0.332435
467,0.35166
468,0.432932
469,0.553758
470,0.656384
471,0.715898
472,0.71979
473,0.701103
474,0.689653
475,0.678028
476,0.665022
477,0.668233
478,0.694243
479,0.73979
480,0.805866
481,0.869158
482,0.918435
483,0.946436
484,0.958756
485,0.963812
486,0.965968
487,0.966721
488,0.96672
489,0.967633
490,0.966929
491,0.963028
492,0.949337
493,0.922792
494,0.854864
495,0.749714
496,0.594217
497,0.44655
498,0.319873
499,0.220997
500,0.167301
501,0.131461
502,0.104716
503,0.0832594
504,0.0691512
505,0.0592547
506,0.0522379
507,0.0490723
508,0.0495401
509,0.053697
510,0.0613739
511,0.0702551
512,0.0758913
513,0.0760491
514,0.0702127
515,0.0613414
516,0.0534426
517,0.0490225
518,0.0483242
519,0.0505152
520,0.0541194
521,0.0574261
522,0.0590453
