## Type: filter
## Name: Zeiss LLS BP495-550_BP570-620
wavelength,transmission
390.000000,0.000030
390.500000,0.000014
391.000000,0.000033
391.500000,0.000069
392.000000,0.000106
392.500000,0.000072
393.000000,0.000010
393.500000,0.000006
394.000000,0.000002
394.500000,-0.000014
395.000000,-0.000014
395.500000,-0.000046
396.000000,-0.000014
396.500000,0.000029
397.000000,0.000072
397.500000,0.000034
398.000000,-0.000006
398.500000,-0.000004
399.000000,0.000011
399.500000,-0.000002
400.000000,0.000005
400.500000,0.000037
401.000000,0.000022
401.500000,-0.000008
402.000000,-0.000031
402.500000,-0.000034
403.000000,-0.000001
403.500000,0.000023
404.000000,0.000029
404.500000,-0.000006
405.000000,-0.000025
405.500000,0.000001
406.000000,0.000029
406.500000,0.000020
407.000000,0.000006
407.500000,0.000022
408.000000,-0.000018
408.500000,-0.000037
409.000000,-0.000005
409.500000,-0.000000
410.000000,-0.000012
410.500000,0.000004
411.000000,0.000000
411.500000,-0.000002
412.000000,-0.000030
412.500000,-0.000018
413.000000,0.000035
413.500000,0.000041
414.000000,0.000000
414.500000,-0.000014
415.000000,-0.000020
415.500000,0.000000
416.000000,-0.000011
416.500000,-0.000019
417.000000,0.000021
417.500000,0.000032
418.000000,0.000013
418.500000,-0.000009
419.000000,0.000003
419.500000,-0.000020
420.000000,0.000000
420.500000,0.000001
421.000000,-0.000024
421.500000,-0.000015
422.000000,0.000015
422.500000,0.000031
423.000000,-0.000015
423.500000,-0.000010
424.000000,0.000028
424.500000,0.000026
425.000000,0.000011
425.500000,0.000008
426.000000,0.000001
426.500000,0.000017
427.000000,0.000028
427.500000,0.000018
428.000000,-0.000010
428.500000,0.000015
429.000000,-0.000003
429.500000,0.000036
430.000000,0.000024
430.500000,-0.000016
431.000000,0.000014
431.500000,0.000031
432.000000,0.000011
432.500000,0.000019
433.000000,-0.000017
433.500000,-0.000019
434.000000,0.000001
434.500000,-0.000007
435.000000,0.000023
435.500000,0.000037
436.000000,-0.000012
436.500000,-0.000010
437.000000,0.000015
437.500000,0.000012
438.000000,-0.000009
438.500000,0.000018
439.000000,-0.000004
439.500000,0.000038
440.000000,-0.000024
440.500000,0.000009
441.000000,-0.000002
441.500000,-0.000017
442.000000,0.000016
442.500000,-0.000004
443.000000,0.000010
443.500000,0.000019
444.000000,-0.000017
444.500000,0.000013
445.000000,-0.000014
445.500000,-0.000013
446.000000,0.000019
446.500000,0.000022
447.000000,0.000022
447.500000,-0.000023
448.000000,0.000013
448.500000,0.000016
449.000000,-0.000038
449.500000,0.000047
450.000000,0.000006
450.500000,0.000021
