## Type: filter
## Name: Zeiss LLS BP495-590
wavelength,transmission
390.000000,0.000012
390.500000,0.000006
391.000000,-0.000065
391.500000,0.000001
392.000000,-0.000076
392.500000,0.000014
393.000000,0.000048
393.500000,-0.000006
394.000000,0.000020
394.500000,0.000023
395.000000,-0.000022
395.500000,-0.000005
396.000000,0.000004
396.500000,0.000004
397.000000,0.000006
397.500000,0.000036
398.000000,0.000029
398.500000,0.000013
399.000000,0.000036
399.500000,0.000004
400.000000,-0.000005
400.500000,0.000031
401.000000,-0.000016
401.500000,-0.000005
402.000000,0.000063
402.500000,0.000057
403.000000,0.000062
403.500000,0.000047
404.000000,0.000018
404.500000,-0.000003
405.000000,-0.000035
405.500000,0.000005
406.000000,0.000061
406.500000,0.000041
407.000000,-0.000001
407.500000,-0.000075
408.000000,-0.000074
408.500000,-0.000039
409.000000,-0.000035
409.500000,-0.000001
410.000000,-0.000009
410.500000,-0.000041
411.000000,-0.000056
411.500000,-0.000033
412.000000,-0.000008
412.500000,0.000002
413.000000,-0.000023
413.500000,0.000003
414.000000,0.000073
414.500000,0.000032
415.000000,0.000000
415.500000,0.000000
416.000000,-0.000008
416.500000,0.000016
417.000000,-0.000013
417.500000,-0.000032
418.000000,-0.000014
418.500000,-0.000002
419.000000,0.000041
419.500000,-0.000008
420.000000,-0.000034
420.500000,-0.000014
421.000000,0.000020
421.500000,0.000001
422.000000,-0.000010
422.500000,0.000001
423.000000,-0.000010
423.500000,0.000014
424.000000,0.000016
424.500000,0.000014
425.000000,-0.000006
425.500000,-0.000009
426.000000,0.000013
426.500000,0.000027
427.000000,0.000012
427.500000,0.000015
428.000000,-0.000009
428.500000,0.000007
429.000000,0.000007
429.500000,0.000030
430.000000,0.000030
430.500000,-0.000011
431.000000,0.000003
431.500000,0.000019
432.000000,-0.000047
432.500000,0.000019
433.000000,0.000046
433.500000,-0.000003
434.000000,-0.000004
434.500000,0.000023
435.000000,0.000044
435.500000,0.000002
436.000000,-0.000010
436.500000,0.000009
437.000000,0.000039
437.500000,-0.000018
438.000000,-0.000012
438.500000,-0.000004
439.000000,0.000011
439.500000,0.000010
440.000000,-0.000024
440.500000,0.000013
441.000000,-0.000016
441.500000,0.000025
442.000000,-0.000007
442.500000,-0.000024
443.000000,-0.000005
443.500000,0.000040
444.000000,-0.000014
444.500000,-0.000023
445.000000,0.000001
445.500000,-0.000009
446.000000,0.000048
446.500000,-0.000025
447.000000,0.000023
447.500000,-0.000058
448.000000,-0.000011
448.500000,0.000008
449.000000,-0.000030
449.500000,-0.000032
450.000000,0.000016
450.500000,0.000038
451.000000,0.000058
451.500000,0.000005
452.000000,-0.000027
452.500000,-0.000043
453.000000,-0.000042
453.500000,-0.000006
454.000000,0.000045
454.500000,0.000009
455.000000,0.000008
455.500000,0.000058
456.000000,0.000031
456.500000,0.000021
457.000000,0.000013
457.500000,-0.000022
458.000000,0.000020
458.500000,-0.000001
459.000000,0.000007
459.500000,0.000019
460.000000,0.000051
460.500000,0.000031
461.000000,0.000034
461.500000,0.000016
462.000000,-0.000006
462.500000,0.000026
463.000000,-0.000023
463.500000,0.000018
464.000000,0.000022
464.500000,0.000024
465.000000,0.000013
465.500000,-0.000010
466.000000,0.000030
466.500000,0.000012
467.000000,0.000006
467.500000,0.000007
468.000000,0.000013
468.500000,0.000024
469.000000,0.000019
469.500000,0.000059
470.000000,0.000020
470.500000,0.000007
