## Type: filter
## Name: Zeiss LLS BP495-550_BP570-620
wavelength,transmission
440,0.00002
441,0.000016
442,0.000003
443,0
444,0
445,-0.000001
446,0.000009
447,0.00002
448,0.000022
449,0.00002
450,0.000015
451,0.000009
452,0.000003
453,0.000008
454,0.00001
455,0.000009
456,0.000004
457,0.000002
458,0
459,0.000004
460,0.000019
461,0.000021
462,0.000006
463,0
464,0
465,0.000002
466,0.000004
467,0.000001
468,0.000002
469,0.000195
470,0.000727
471,0.000709
472,0.000296
473,0.000004
474,0.000007
475,0.000004
476,0.000001
477,0.000002
478,0.000002
479,0.000002
480,0
481,-0.000001
482,0
483,0
484,0.000008
485,0.000019
486,0.000014
487,0.000005
488,0.000004
489,0.000002
490,0.000002
491,0
492,0.000002
493,0.000001
494,0.000007
495,0.000018
496,0.000027
497,0.000039
498,0.000094
499,0.000088
500,0.00003
560,-0.002844
560.5,-0.000785
561,0.000196
561.5,0.00147
562,0.001177
562.5,-0.000687
563,-0.000981
563.5,-0.000098
564,-0.000883
564.5,-0.000294
565,-0.000294
565.5,0.000981
566,-0.000687
566.5,-0.000785
567,0.000981
567.5,0.004413
568,0.018538
568.5,0.062665
569,0.40203
569.5,3.497672
570,18.205269
570.5,47.968327
571,73.781872
571.5,81.037497
572,80.200203
572.5,80.683405
573,82.03935
573.5,83.947232
574,86.788371
574.5,90.149996
575,93.157632
575.5,95.305225
576,96.588956
576.5,97.340072
577,97.721961
577.5,97.609167
578,97.060616
578.5,96.170177
579,94.909521
579.5,93.303856
580,91.728339
580.5,90.622452
581,90.323602
581.5,90.986874
582,92.498949
582.5,94.374364
583,96.084446
583.5,97.237272
584,97.492286
584.5,96.785765
585,95.550172
585.5,94.216527
586,93.113045
586.5,92.452924
587,92.24087
587.5,92.362859
588,92.643205
588.5,92.914624
589,93.201465
589.5,93.344187
590,93.213209
590.5,92.793163
591,92.163417
591.5,91.465205
592,91.013854
592.5,91.136156
593,91.804108
593.5,92.903762
594,93.8517
594.5,93.977135
595,93.08988
595.5,91.478518
596,89.728562
596.5,88.62774
597,88.657181
597.5,89.614628
598,90.885544
598.5,91.792318
599,91.721683
599.5,90.604609
600,89.130475
600.5,88.024468
601,87.92656
601.5,88.90945
602,90.687354
602.5,92.669267
603,94.561032
603.5,95.976238
604,96.891682
604.5,97.47731
605,97.70291
605.5,97.443603
606,96.996161
606.5,96.519848
607,96.247611
607.5,96.311275
608,96.563224
608.5,96.480118
609,95.601807
609.5,93.475516
610,91.181639
610.5,87.306603
611,69.861926
611.5,36.983849
612,11.172493
612.5,2.102969
613,0.371637
613.5,0.085521
614,0.02606
614.5,0.004081
615,0.003401
615.5,0
616,0.002041
616.5,-0.001942
617,0.00204
617.5,-0.001943
618,-0.001068
618.5,-0.002234
619,-0.000097
619.5,-0.00068
620,-0.000388
