## Type: filter,
## Name: Zeiss LLS EF BP570-620_LP655,
wavelength,transmission
390,0.000018
391,-0.000003
392,-0.000011
393,0.000003
394,-0.000017
395,-0.000007
396,-0.000003
397,0.000001
398,0.000003
399,0.000002
400,0.000012
401,0.000005
402,0
403,-0.000004
404,-0.000002
405,-0.000007
406,-0.000008
407,-0.000003
408,0.000012
409,0.000015
410,0.000008
411,0
412,0.000008
413,0.000006
414,0.000004
415,-0.000009
416,-0.000019
417,0
418,0.000003
419,0.000002
420,0.000003
421,0.000008
422,0.000005
423,0.000014
424,-0.000003
425,0.000002
426,0.000007
427,-0.000006
428,-0.000013
429,0
430,0
431,0.000005
432,0.000009
433,0.000005
434,0.000007
435,0.000013
436,-0.000001
437,-0.000007
438,0.000003
439,0.000004
440,-0.000004
441,-0.000001
442,-0.000001
443,-0.000015
444,0.000009
445,-0.000004
446,-0.000004
447,0.000007
448,0.000009
449,-0.000007
450,-0.000011
451,-0.000007
452,0.000003
453,0.000014
454,-0.000009
455,-0.000003
456,-0.000003
457,-0.000001
458,-0.000007
459,0.000001
460,0.000001
461,-0.000009
462,-0.000011
463,-0.000003
464,0.000008
465,-0.000002
466,0.000006
467,-0.000011
468,-0.000008
469,0
470,0.000005
471,0.000003
472,-0.000001
473,-0.000009
474,0.00001
475,0.000004
476,0.000005
477,-0.000004
478,0.000002
479,0.000004
480,-0.000002
481,-0.000004
482,0.000001
483,0.000011
484,-0.000003
485,0
486,0.000012
487,0.000022
488,0
489,-0.000002
490,-0.000002
491,0.000002
492,0.000011
493,-0.000006
494,0.000007
495,0.000007
496,0.000018
497,0.000007
498,-0.000004
499,0.000003
500,0.000004
501,-0.000003
502,-0.000007
503,0.000003
504,0.000011
505,0.000016
506,0.000007
507,0.000005
508,0.000002
509,0.000009
510,-0.000002
511,-0.000009
512,-0.000002
513,0
514,-0.000001
515,-0.000008
516,-0.000005
517,-0.000002
518,0.000004
519,-0.000004
520,-0.000004
521,-0.000004
522,-0.000002
523,0
524,-0.000003
525,0
526,-0.000001
527,0
528,-0.000007
529,-0.000002
530,0.000002
531,0.000003
532,0.000001
533,-0.000001
534,0.000001
535,0.000003
536,0.000004
537,0
538,0.000002
539,0.000003
540,0.000001
541,-0.000004
542,-0.000006
543,-0.000004
544,-0.000003
545,-0.000002
546,-0.000004
547,0
548,0.000003
549,0.000001
550,0
551,0.000005
552,0.000012
553,0.000018
554,0.000017
555,0.000016
556,0.000018
557,0.000025
558,0.000022
559,0.000023
560,0.000024
561,0.000025
562,0.000028
563,0.000028
564,0.000031
565,0.00004
566,0.000038
567,0.000038
568,0.000163
569,0.001246
570,0.004617
571,0.037808
572,2.655431
573,25.89825
574,81.180665
575,97.505167
576,98.095956
577,98.402023
578,98.658952
579,98.633002
580,98.831173
581,98.79433
582,98.857133
583,98.865824
584,98.996973
585,98.979052
586,98.953022
587,98.906896
588,98.809166
589,98.661166
590,98.769134
591,98.519248
592,98.712754
593,98.633413
594,98.588921
595,98.724675
596,98.516332
597,98.651429
598,98.567438
599,98.367984
600,98.737521
601,98.805708
602,98.744563
603,98.964363
604,98.903914
605,98.902778
606,99.106184
607,99.00673
608,99.040723
609,99.175158
610,98.960767
611,98.995148
612,99.255938
613,99.197876
614,99.186119
615,99.231323
616,99.172618
617,99.155847
618,99.024464
619,98.809689
620,97.844872
621,89.42965
622,58.742608
623,19.422169
624,2.321444
625,0.154804
626,0.015167
627,0.001069
628,-0.002722
629,-0.003888
630,-0.002721
631,-0.000874
632,-0.001943
633,-0.0034
634,-0.002429
635,-0.001166
636,-0.001942
637,-0.002913
638,-0.002621
639,-0.00068
640,-0.000874
641,-0.002426
642,-0.002038
643,0.000388
644,0.00097
645,-0.000388
646,-0.001164
647,0.000388
648,0.00223
649,0.000969
650,-0.000775
651,0.001454
652,0.013374
653,0.081293
654,0.795049
655,8.601919
656,36.940396
657,73.300227
658,93.221248
659,97.3431
660,98.395411
661,98.628836
662,98.324706
663,98.786115
664,98.928125
665,98.49193
666,98.560653
667,98.977387
668,98.886577
669,98.489864
670,98.586857
671,99.005794
672,99.066796
673,98.696258
674,98.578171
675,98.908505
676,99.144648
677,98.985442
678,98.617203
679,98.683516
680,99.146103
681,99.388828
682,99.217463
683,98.88984
684,98.946352
685,99.338309
686,99.525546
687,99.302495
688,98.837735
689,98.72058
690,99.085003
691,99.517629
692,99.562816
693,99.246248
694,98.956003
695,98.985386
696,99.310654
697,99.56471
698,99.47168
699,99.125787
700,98.966549
701,99.078681
702,99.347598
703,99.41509
704,99.263845
705,98.858759
706,98.56676
707,98.657338
708,99.015565
709,99.321958
710,99.314332
711,99.137981
712,98.916489
713,98.675913
714,98.787927
715,99.107736
716,99.440291
717,99.446313
718,99.250047
719,98.983276
720,98.963888
721,99.233875
722,99.529673
723,99.551458
724,99.225017
725,98.771819
