## Type: filter
## Name: Zeiss LBF 405_)488_561_642
wavelength,transmission
395,0.000115
396,0.000099
397,0.000088
398,0.00008
399,0.00007
400,0.000099
401,0.000105
402,0.000103
403,0.000098
404,0.000088
405,0.000117
406,0.000147
407,0.000156
408,0.000112
409,0.000141
410,0.000189
411,0.001025
412,0.005909
413,0.019219
414,4.525298
415,11.15501
416,19.145218
417,50.515687
418,76.758879
419,87.487685
420,90.945165
421,92.882129
422,93.928954
423,94.372448
424,94.674622
425,94.998298
426,95.166237
427,94.669634
428,94.101059
429,94.118751
430,94.735192
431,95.098295
432,94.719782
433,93.991266
434,94.217701
435,94.377951
436,93.430873
437,92.813891
438,93.546139
439,94.374242
440,95.162134
441,95.9772
442,96.31293
443,96.06747
444,95.277909
445,94.819377
446,95.065365
447,95.695952
448,96.454467
449,96.469938
450,95.612403
451,94.76025
452,94.57791
453,94.308056
454,93.91967
455,94.625152
456,95.386556
457,95.707161
458,96.239447
459,96.234694
460,95.594697
461,95.366266
462,95.867042
463,95.442647
464,93.77871
465,92.730368
466,93.180338
467,94.015461
468,93.098651
469,90.20362
470,84.371907
471,66.334672
472,35.08417
473,22.383574
474,9.260326
475,0.029796
476,0.009891
477,0.002615
478,0.000412
479,0.000084
480,0.000068
481,0.000073
482,0.000074
483,0.000088
484,0.000079
485,0.00008
486,0.000074
487,0.000096
488,0.000109
489,0.000102
490,0.000094
491,0.000101
492,0.000136
493,0.000244
494,0.001959
495,0.008267
496,0.025973
497,0.478926
498,9.697779
499,34.328589
500,62.77444
501,81.39894
502,90.067246
503,94.455545
504,96.589686
505,96.492993
506,95.539525
507,95.492871
508,96.074074
509,95.834375
510,93.66228
511,91.606487
512,92.008609
513,93.975086
514,95.209429
515,94.794962
516,93.521577
517,93.715292
518,95.553828
519,96.769313
520,96.272378
521,95.043491
522,95.123551
523,96.378467
524,97.203296
525,97.118684
526,96.431759
527,96.074638
528,96.356206
529,96.612516
530,95.538635
531,94.60169
532,94.866268
533,95.974497
534,96.594899
535,95.941367
536,94.95656
537,95.39308
538,96.513734
539,96.832176
540,96.689936
541,95.389713
542,93.049663
543,92.95366
544,95.309271
545,96.047286
546,93.825482
547,78.7804
548,43.9397
549,28.367083
550,11.792764
551,0.083684
552,0.014815
553,0.003621
554,0.000595
555,0.000124
556,0.000084
557,0.000074
558,0.000077
559,0.000077
560,0.000081
561,0.000086
562,0.000078
563,0.000099
564,0.000123
565,0.000151
566,0.000412
567,0.003118
568,0.01325
569,4.180765
570,10.369928
571,18.218205
572,51.355191
573,75.019587
574,85.088243
575,92.376768
576,95.775038
577,96.976668
578,98.033513
579,98.349035
580,98.178204
581,98.402414
582,98.653232
583,98.67526
584,98.319207
585,98.101141
586,98.261362
587,98.086125
588,97.553996
589,97.557248
590,98.374438
591,98.721457
592,98.563782
593,97.801156
594,96.980665
595,96.772452
596,97.350835
597,98.291232
598,98.684082
599,98.11948
600,97.257912
601,96.691648
602,96.43028
603,96.093795
604,95.734238
605,95.861798
606,97.009943
607,98.248818
608,98.363304
609,98.255243
610,98.436395
611,98.559205
612,98.303696
613,98.151217
614,97.859232
615,96.308531
616,93.089049
617,91.144235
618,78.829742
619,44.880494
620,29.134478
621,12.196486
622,0.203463
623,0.031154
624,0.006787
625,0.00149
626,0.00043
627,0.000183
628,0.000088
629,0.000076
630,0.000078
631,0.000052
632,0.00006
633,0.000067
634,0.000062
635,0.000058
636,0.000057
637,0.000063
638,0.000074
639,0.000079
640,0.000075
641,0.000081
642,0.000092
643,0.000111
644,0.000137
645,0.000204
646,0.000491
647,0.002871
648,0.013901
649,4.072027
650,10.141495
651,18.127004
652,53.484479
653,77.73208
654,81.973665
655,85.853401
656,92.742742
657,95.838663
658,96.554251
659,97.331458
660,97.576185
661,97.77972
662,97.699793
663,96.213133
664,94.995724
665,95.592691
666,97.142792
667,98.2591
668,98.55933
669,98.406873
670,98.16083
671,97.53415
672,97.28011
673,97.33216
674,97.643561
675,97.740563
676,97.668553
677,97.65422
678,97.525323
679,97.326103
680,97.456564
681,97.295088
682,96.508744
683,95.710936
684,95.506988
685,95.933123
686,97.116862
687,97.992465
688,98.451108
689,98.627278
690,98.665501
691,98.430704
692,98.252922
693,98.121208
694,98.197596
695,98.292479
696,98.47027
697,98.365938
698,97.936715
699,97.382785
700,97.033746
701,97.358557
702,97.998285
703,98.333952
704,98.32036
705,97.266219
706,96.136204
707,95.458858
708,95.641799
709,96.5029
710,97.461765
711,97.91455
712,98.223803
713,98.149484
714,97.952061
715,97.818767
716,97.631081
717,97.801909
718,97.769669
719,97.940084
720,97.946976
721,97.907623
722,97.960056
723,98.092781
724,98.269007
725,98.651469
726,98.352512
727,97.118023
728,95.001226
729,93.082801
730,92.39807
731,92.915613
732,94.853274
733,96.742397
734,98.246668
735,98.743764
736,99.011341
737,98.85511
738,98.489699
739,98.188118
740,97.842463
741,97.609699
742,97.743545
743,97.690004
744,97.948841
745,98.144977
746,98.617297
747,98.690129
748,98.606171
749,97.964447
750,96.96192
751,95.500277
752,85.910154
753,58.790229
754,27.33173
755,9.465195
756,3.221627
757,1.293588
758,0.625608
759,0.362088
760,0.24686
761,0.197307
762,0.184116
763,0.203682
764,0.275374
765,1.529574
766,3.29825
767,4.977344
768,8.873077
769,6.044119
770,4.106213
771,1.833026
772,0.197648
773,0.091444
774,0.050565
775,0.033113
776,0.025218
777,0.021873
778,0.02237
779,0.025971
780,0.034443
781,0.050208
782,0.073891
783,0.101451
784,0.125167
785,0.154301
786,0.246345
787,0.55065
788,0.829968
789,0.573658
790,0.202672
791,0.080807
792,0.052016
793,0.049252
794,0.072077
795,0.777899
796,3.253319
797,2.483592
798,1.081125
799,0.034082
800,0.013666
