## Type: filter
## Name: Zeiss LLS EF LP570
wavelength,transmission
390.000000,0.000018
390.500000,0.000123
391.000000,0.000018
391.500000,-0.000011
392.000000,-0.000067
392.500000,-0.000081
393.000000,0.000005
393.500000,-0.000095
394.000000,0.000095
394.500000,0.000078
395.000000,-0.000056
395.500000,-0.000041
396.000000,0.000055
396.500000,0.000038
397.000000,0.000065
397.500000,-0.000040
398.000000,0.000014
398.500000,0.000013
399.000000,0.000033
399.500000,-0.000007
400.000000,-0.000013
400.500000,0.000045
401.000000,-0.000084
401.500000,-0.000071
402.000000,0.000007
402.500000,-0.000020
403.000000,0.000008
403.500000,-0.000024
404.000000,0.000041
404.500000,-0.000001
405.000000,-0.000038
405.500000,-0.000038
406.000000,0.000058
406.500000,-0.000003
407.000000,-0.000001
407.500000,-0.000035
408.000000,-0.000005
408.500000,-0.000017
409.000000,-0.000024
409.500000,0.000010
410.000000,0.000003
410.500000,-0.000010
411.000000,0.000048
411.500000,0.000026
412.000000,-0.000013
412.500000,0.000017
413.000000,0.000023
413.500000,-0.000012
414.000000,-0.000009
414.500000,0.000027
415.000000,-0.000003
415.500000,-0.000043
416.000000,-0.000043
416.500000,0.000008
417.000000,0.000046
417.500000,0.000017
418.000000,0.000003
418.500000,0.000009
419.000000,0.000032
419.500000,0.000049
420.000000,-0.000002
420.500000,-0.000034
421.000000,-0.000045
421.500000,-0.000018
422.000000,0.000028
422.500000,0.000016
423.000000,0.000003
423.500000,0.000045
424.000000,0.000014
424.500000,-0.000011
425.000000,0.000019
425.500000,0.000031
426.000000,0.000054
426.500000,0.000049
427.000000,0.000021
427.500000,0.000018
428.000000,0.000020
428.500000,0.000024
429.000000,0.000007
429.500000,0.000023
430.000000,0.000016
430.500000,-0.000012
431.000000,0.000013
431.500000,0.000031
432.000000,-0.000001
432.500000,-0.000031
433.000000,0.000010
433.500000,0.000017
434.000000,0.000032
434.500000,0.000034
435.000000,0.000009
435.500000,0.000024
436.000000,0.000021
436.500000,0.000011
437.000000,0.000020
437.500000,0.000014
438.000000,0.000019
438.500000,0.000026
439.000000,0.000021
439.500000,0.000004
440.000000,-0.000009
440.500000,-0.000013
441.000000,-0.000042
441.500000,-0.000023
442.000000,0.000012
442.500000,-0.000007
443.000000,-0.000010
443.500000,0.000006
444.000000,-0.000025
444.500000,-0.000019
445.000000,0.000019
445.500000,-0.000015
446.000000,0.000015
446.500000,0.000063
447.000000,0.000051
447.500000,0.000037
448.000000,0.000002
448.500000,-0.000011
449.000000,-0.000021
449.500000,0.000011
450.000000,0.000052
450.500000,0.000005
451.000000,-0.000002
451.500000,-0.000028
452.000000,-0.000016
452.500000,-0.000014
453.000000,-0.000023
453.500000,0.000006
454.000000,-0.000026
454.500000,0.000054
455.000000,0.000006
455.500000,-0.000028
456.000000,0.000004
456.500000,-0.000049
457.000000,-0.000009
457.500000,-0.000001
458.000000,0.000014
458.500000,0.000026
459.000000,0.000006
459.500000,0.000002
460.000000,-0.000034
460.500000,-0.000005
461.000000,0.000023
461.500000,0.000021
462.000000,0.000004
462.500000,0.000028
463.000000,0.000002
463.500000,-0.000005
464.000000,-0.000007
464.500000,-0.000020
465.000000,-0.000018
465.500000,0.000031
466.000000,0.000003
466.500000,0.000021
467.000000,-0.000003
467.500000,-0.000010
468.000000,-0.000006
468.500000,-0.000005
469.000000,-0.000013
469.500000,-0.000003
470.000000,0.000028
470.500000,0.000029
471.000000,0.000023
471.500000,0.000016
472.000000,0.000007
472.500000,-0.000019
473.000000,0.000013
473.500000,0.000018
474.000000,0.000024
474.500000,0.000033
475.000000,-0.000015
475.500000,-0.000020
476.000000,-0.000001
476.500000,0.000018
477.000000,0.000028
477.500000,-0.000011
478.000000,0.000022
478.500000,-0.000017
479.000000,0.000013
479.500000,0.000009
480.000000,-0.000007
480.500000,-0.000021
481.000000,-0.000007
481.500000,-0.000004
482.000000,0.000009
482.500000,0.000036
483.000000,-0.000014
483.500000,-0.000010
484.000000,-0.000022
484.500000,-0.000044
485.000000,-0.000044
485.500000,-0.000035
486.000000,-0.000021
486.500000,-0.000026
487.000000,-0.000013
487.500000,-0.000030
488.000000,-0.000028
488.500000,-0.000058
489.000000,0.000028
489.500000,-0.000001
490.000000,0.000020
490.500000,0.000026
491.000000,0.000047
491.500000,0.000062
492.000000,0.000025
492.500000,0.000023
493.000000,0.000031
493.500000,0.000059
494.000000,-0.000013
494.500000,0.000067
495.000000,0.000022
495.500000,0.000007
496.000000,-0.000025
496.500000,-0.000007
497.000000,0.000042
497.500000,0.000039
498.000000,0.000022
498.500000,0.000033
499.000000,-0.000005
499.500000,-0.000007
500.000000,-0.000008
500.500000,-0.000033
501.000000,-0.000033
501.500000,-0.000010
502.000000,-0.000008
502.500000,0.000034
503.000000,0.000025
503.500000,0.000009
504.000000,0.000006
504.500000,-0.000008
505.000000,-0.000019
505.500000,-0.000013
506.000000,0.000044
506.500000,-0.000002
507.000000,-0.000018
507.500000,0.000003
508.000000,-0.000009
508.500000,-0.000011
509.000000,-0.000008
509.500000,-0.000010
510.000000,0.000006
510.500000,0.000003
511.000000,-0.000009
511.500000,0.000006
512.000000,0.000004
512.500000,-0.000008
513.000000,-0.000010
513.500000,-0.000005
514.000000,0.000003
514.500000,0.000017
515.000000,0.000014
