## Type: dichroic
## Name: Zeiss LLS 400103-0003-000 SBS LP640
wavelength,transmission
350.000000,25.726578
351.000000,31.902540
352.000000,40.608142
353.000000,51.247177
354.000000,60.513667
355.000000,64.846377
356.000000,62.820530
357.000000,54.563251
358.000000,42.936346
359.000000,31.980767
360.000000,25.647187
361.000000,25.458851
362.000000,29.414007
363.000000,35.933467
364.000000,43.549192
365.000000,52.190655
366.000000,60.966205
367.000000,68.853435
368.000000,75.361155
369.000000,80.748048
370.000000,85.192951
371.000000,86.410766
372.000000,84.432206
373.000000,80.253559
374.000000,77.840264
375.000000,78.695809
376.000000,80.824717
377.000000,82.452273
378.000000,82.148538
379.000000,80.561621
380.000000,78.883984
381.000000,78.701819
382.000000,80.145292
383.000000,84.013633
384.000000,88.766809
385.000000,92.570639
386.000000,94.598131
387.000000,95.236777
388.000000,96.078016
389.000000,96.969663
390.000000,97.879361
391.000000,98.579412
392.000000,98.969742
393.000000,99.175460
394.000000,99.151953
395.000000,99.279688
396.000000,99.421413
397.000000,99.354568
398.000000,99.405829
399.000000,99.435512
400.000000,99.553919
401.000000,99.470390
402.000000,99.524397
403.000000,99.540042
404.000000,99.543973
405.000000,99.630650
406.000000,99.696690
407.000000,99.704553
408.000000,99.678924
409.000000,99.640364
410.000000,99.660299
411.000000,99.648182
412.000000,99.757009
413.000000,99.760686
414.000000,99.601198
415.000000,99.602399
416.000000,99.655175
417.000000,99.689599
418.000000,99.701810
419.000000,99.696995
420.000000,99.704086
421.000000,99.738712
422.000000,99.724192
423.000000,99.764781
424.000000,99.761517
425.000000,99.771106
426.000000,99.798362
427.000000,99.759905
428.000000,99.725628
429.000000,99.715501
430.000000,99.834420
431.000000,99.841627
432.000000,99.780483
433.000000,99.806734
434.000000,99.752969
435.000000,99.752420
436.000000,99.788788
437.000000,99.823655
438.000000,99.788446
439.000000,99.775772
440.000000,99.870526
441.000000,99.856232
442.000000,99.817663
443.000000,99.801208
444.000000,99.728064
445.000000,99.705972
446.000000,99.769133
447.000000,99.653833
448.000000,99.528710
449.000000,99.466045
450.000000,99.372738
451.000000,99.380084
452.000000,99.304271
453.000000,99.266768
454.000000,99.241837
455.000000,99.195549
456.000000,99.106789
457.000000,99.070562
458.000000,99.038426
459.000000,98.968141
460.000000,98.904866
461.000000,98.867120
462.000000,98.865241
463.000000,98.824782
464.000000,98.786166
465.000000,98.833376
466.000000,98.893414
467.000000,98.829058
468.000000,98.799412
469.000000,98.820709
470.000000,98.826001
471.000000,98.777646
472.000000,98.686300
473.000000,98.618622
474.000000,98.604476
475.000000,98.583879
476.000000,98.576779
477.000000,98.558411
478.000000,98.597714
479.000000,98.752419
480.000000,98.936046
481.000000,99.122726
482.000000,99.291431
483.000000,99.351488
484.000000,99.271565
485.000000,99.187021
486.000000,99.125094
487.000000,99.065628
488.000000,99.024890
489.000000,98.926494
490.000000,98.817802
491.000000,98.767768
492.000000,98.767991
493.000000,98.814563
494.000000,98.945089
495.000000,99.150838
496.000000,99.378704
497.000000,99.604821
498.000000,99.771615
499.000000,99.839008
500.000000,99.837241
501.000000,99.709442
502.000000,99.610889
503.000000,99.500562
504.000000,99.304749
505.000000,99.171286
506.000000,99.036935
507.000000,99.056024
508.000000,99.165288
509.000000,99.241867
510.000000,99.314147
511.000000,99.360923
512.000000,99.392605
513.000000,99.437848
514.000000,99.471658
515.000000,99.454648
516.000000,99.440046
517.000000,99.460182
518.000000,99.545926
519.000000,99.587593
520.000000,99.535056
521.000000,99.473480
522.000000,99.460142
523.000000,99.467740
524.000000,99.454324
525.000000,99.453741
526.000000,99.396140
527.000000,99.417880
528.000000,99.479850
529.000000,99.535076
530.000000,99.557960
531.000000,99.510328
532.000000,99.395596
533.000000,99.280838
534.000000,99.319106
535.000000,99.434915
536.000000,99.449632
537.000000,99.477498
538.000000,99.469624
539.000000,99.396103
540.000000,99.429075
541.000000,99.511446
542.000000,99.642935
543.000000,99.685942
544.000000,99.650607
545.000000,99.600286
546.000000,99.612175
547.000000,99.594601
548.000000,99.538070
549.000000,99.559418
550.000000,99.530315
551.000000,99.542015
552.000000,99.456409
553.000000,99.372076
554.000000,99.380929
555.000000,99.399408
556.000000,99.448260
557.000000,99.422993
558.000000,99.425239
559.000000,99.415388
560.000000,99.423083
561.000000,99.570281
562.000000,99.571379
563.000000,99.554744
564.000000,99.521335
565.000000,99.453289
566.000000,99.435652
567.000000,99.431478
568.000000,99.428082
569.000000,99.437511
570.000000,99.469562
571.000000,99.371800
572.000000,99.376620
573.000000,99.375935
574.000000,99.375830
575.000000,99.416239
576.000000,99.394390
577.000000,99.383501
578.000000,99.391789
579.000000,99.444152
580.000000,99.421989
581.000000,99.415728
582.000000,99.365801
583.000000,99.331047
584.000000,99.275292
585.000000,99.206547
586.000000,99.180463
587.000000,99.243045
588.000000,99.203523
589.000000,99.265779
590.000000,99.275942
591.000000,99.344147
592.000000,99.387305
593.000000,99.393453
594.000000,99.423070
595.000000,99.372009
596.000000,99.349811
597.000000,99.405369
598.000000,99.395599
599.000000,99.417926
600.000000,99.411989
601.000000,99.325384
602.000000,99.242784
603.000000,99.309491
604.000000,99.227513
605.000000,99.283275
606.000000,99.246456
607.000000,99.300204
608.000000,99.370840
609.000000,99.317373
610.000000,99.351389
611.000000,99.394749
612.000000,99.425786
613.000000,99.384323
614.000000,99.480091
615.000000,99.582275
616.000000,99.676932
617.000000,99.762746
618.000000,99.766376
619.000000,99.880336
620.000000,99.871167
621.000000,99.979523
622.000000,99.898766
623.000000,99.861213
624.000000,99.956656
625.000000,99.964492
626.000000,99.849934
627.000000,99.932321
628.000000,99.828713
629.000000,99.890848
630.000000,99.883795
631.000000,99.844282
632.000000,99.911147
633.000000,99.865709
634.000000,99.871803
635.000000,99.786540
636.000000,99.658918
637.000000,98.924235
638.000000,96.822259
639.000000,92.519165
640.000000,85.816233
