Dichroic: ZT561tdc-xr Chroma
Wavelength,transmission
380.00,0.0066881701350212
381.00,0.0051186098717153
382.00,0.0031623200047761
383.00,0.0013425500364974
384.00,0.0011801900109276
385.00,0.0014201699523255
386.00,0.0018075100379065
387.00,0.00088961602887139
388.00,0.0024804400745779
389.00,0.0032201900612563
390.00,0.00083866901695728
391.00,0.0002120279968949
392.00,2.681859950826E-5
393.00,7.3892100772355E-5
394.00,0.00032751099206507
395.00,0.00010450300032971
396.00,3.0385799618671E-5
397.00,0.0001344939955743
398.00,0.00035971699981019
399.00,0.0025684700813144
400.00,0.010510999709368
401.00,0.011685499921441
402.00,0.0040466501377523
403.00,0.0023840100038797
404.00,0.0030654799193144
405.00,0.0042634098790586
406.00,0.0064174397848547
407.00,0.0083031198009849
408.00,0.010578899644315
409.00,0.0098200403153896
410.00,0.0080469800159335
411.00,0.0091190198436379
412.00,0.013617199845612
413.00,0.016208000481129
414.00,0.011065499857068
415.00,0.0044921701774001
416.00,0.0022019199095666
417.00,0.00260049989447
418.00,0.0046119200997055
419.00,0.0075046001002192
420.00,0.0052651301957667
421.00,0.0020188700873405
422.00,0.0012307399883866
423.00,0.002479329938069
424.00,0.012143399566412
425.00,0.020455000922084
426.00,0.0082116601988673
427.00,0.00087777298176661
428.00,0.00044287400669418
429.00,0.00028084800578654
430.00,0.00050560501404107
431.00,0.00036804200499319
432.00,0.00012525200145319
433.00,0.00011183100286871
434.00,3.0771898309467E-5
435.00,5.2003699238412E-5
436.00,7.0243098889478E-5
437.00,3.7043599149911E-5
438.00,9.4017603259999E-5
439.00,3.9276299503399E-5
440.00,1.3658500392921E-5
441.00,3.2339099561796E-5
442.00,4.5532800868386E-5
443.00,0.00010234300134471
444.00,3.8793299609097E-5
445.00,0.00014481600373983
446.00,5.2702798711834E-5
447.00,9.0071902377531E-5
448.00,7.6844400609843E-5
449.00,4.8895199142862E-5
450.00,5.3306499466999E-5
451.00,6.2318300479092E-5
452.00,4.5485099690268E-5
453.00,1.0235399713565E-5
454.00,2.4739500076976E-5
455.00,3.423579983064E-5
456.00,7.5295800343156E-5
457.00,3.6908299080096E-5
458.00,1.4062999980524E-5
459.00,8.9197201305069E-5
460.00,3.0749601137359E-5
461.00,2.1588899471681E-5
462.00,2.1230000129435E-5
463.00,1.6713700460969E-5
464.00,9.7437996373628E-6
465.00,2.4615899747005E-5
466.00,3.1371600925922E-5
467.00,6.0733200371033E-5
468.00,4.5992001105333E-6
469.00,4.9996400775854E-5
470.00,1.8280899894307E-5
471.00,5.1408900617389E-5
472.00,9.1927104222123E-6
473.00,3.5055800253758E-5
474.00,6.6914202761836E-5
475.00,2.421719909762E-5
476.00,2.2422700567404E-5
477.00,4.6973900680314E-6
478.00,2.2288599211606E-5
479.00,1.0416700206406E-5
480.00,2.1868700059713E-5
481.00,5.9883499488933E-5
482.00,5.1478298701113E-5
483.00,0.00016315799439326
484.00,0.00022351999359671
