Type: Dye
Name: Alexa-532
Extinction coefficient: 81000
Quantum Yield: 0.61
wavelength,emission
400,0.0082,0
401,0.0068,0
402,0.0058,0
403,0.0056,0
404,0.0053,0
405,0.005,0
406,0.0048,0
407,0.0048,0
408,0.0045,0
409,0.0045,0
410,0.0045,0
411,0.0045,0
412,0.0044,0
413,0.0049,0
414,0.0049,0
415,0.005,0
416,0.0052,0
417,0.0054,0
418,0.0062,0
419,0.0063,0
420,0.0064,0
421,0.0074,0
422,0.0076,0
423,0.0078,0
424,0.0086,0
425,0.0091,0
426,0.0093,0
427,0.0098,0
428,0.0108,0
429,0.0114,0
430,0.0122,0
431,0.0127,0
433,0.0147,0
434,0.0155,0
435,0.0164,0
436,0.0177,0
437,0.018300001,0
438,0.0206,0
439,0.022,0
440,0.0233,0
441,0.0243,0
442,0.026900001,0
443,0.0287,0
444,0.030400001,0
445,0.0317,0
446,0.033799998,0
447,0.035300002,0
448,0.037,0
449,0.039900001,0
450,0.0414,0
451,0.044199999,0
452,0.0471,0
453,0.049800001,0
454,0.053599998,0
455,0.056000002,0
456,0.0594,0
457,0.062199999,0
458,0.065399997,0
459,0.068099998,0
460,0.0713,0
461,0.075300001,0
462,0.078000002,0
463,0.082699999,0
464,0.084700003,0
465,0.088399999,0
466,0.091899998,0
467,0.097000003,0
468,0.103500001,0
469,0.108999997,0
470,0.116599999,0
471,0.122400001,0
472,0.128700003,0
473,0.136299998,0
474,0.144500002,0
475,0.1514,0
476,0.160300002,0
477,0.171100006,0
478,0.180700004,0
479,0.1919,0
480,0.204600006,0
481,0.217299998,0
482,0.231999993,0
483,0.245900005,0
484,0.256700009,0
485,0.274100006,0
486,0.286000013,0
487,0.298299998,0
488,0.309100002,0
489,0.320100009,0
490,0.328200012,0
491,0.339300007,0
492,0.348699987,0
493,0.357899994,0
494,0.36559999,0
495,0.367799997,0
496,0.373899996,0
497,0.378199995,0
498,0.385100007,0
499,0.391499996,0
500,0.394800007,0
501,0.404300004,0
502,0.409099996,0
503,0.41839999,0
504,0.431499988,0
505,0.444799989,0
506,0.457700014,0
507,0.476300001,0
508,0.493499994,0
509,0.512300014,0.005599
510,0.537899971,0.007098
511,0.5625,0.0086
512,0.587899983,0.01059
513,0.614799976,0.01339
514,0.647800028,0.016580001
515,0.676999986,0.02098
516,0.710799992,0.02579
517,0.745199978,0.032200001
518,0.778599977,0.0394
519,0.814300001,0.0482
520,0.847899973,0.057
521,0.878799975,0.063510001
522,0.906499982,0.073310003
523,0.931500018,0.086410001
524,0.953199983,0.100500003
525,0.973200023,0.117700003
526,0.988099992,0.136099994
527,0.997099996,0.160300002
528,1,0.184900001
