Type: dye
Name: Alexa-488
Extinction coefficient: 155000
Quantum Yield: 0.1
wavelength,excitation,emission
250,0.148980007,0
251,0.144510001,0
252,0.143123001,0
253,0.141504005,0
254,0.142267004,0
255,0.142728999,0
256,0.146822006,0
257,0.152749002,0
258,0.154443994,0
259,0.161156997,0
260,0.168239996,0
261,0.171399996,0
262,0.180341005,0
263,0.190059006,0
264,0.199076995,0
265,0.206853002,0
266,0.219962999,0
267,0.231438994,0
268,0.238914996,0
269,0.253713012,0
270,0.264896005,0
271,0.27214101,0
272,0.282314003,0
273,0.293251008,0
274,0.302275985,0
275,0.311286002,0
276,0.316920012,0
277,0.320071995,0
278,0.328866005,0
279,0.335408986,0
280,0.33178699,0
281,0.330707997,0
282,0.334098995,0
283,0.330098987,0
284,0.331324011,0
285,0.323924989,0
286,0.310754001,0
287,0.290098995,0
288,0.270752996,0
289,0.254175007,0
290,0.247940004,0
291,0.240695998,0
292,0.233135,0
293,0.220649004,0
294,0.202306002,0
295,0.180341005,0
296,0.171399996,0
297,0.152447999,0
298,0.133711994,0
299,0.125704005,0
300,0.110976003,0
301,0.0972647,0
302,0.088702001,0
303,0.0824669,0
304,0.080763601,0
305,0.067815602,0
306,0.057110298,0
307,0.057264399,0
308,0.0533337,0
309,0.043083198,0
310,0.045233499,0
311,0.043853901,0
312,0.039615002,0
313,0.038451198,0
314,0.0379887,0
315,0.036455002,0
316,0.0418423,0
317,0.038065799,0
318,0.0337498,0
319,0.032216001,0
320,0.029287299,0
321,0.024046401,0
322,0.0269752,0
323,0.0234299,0
324,0.021880699,0
325,0.025657199,0
326,0.0294338,0
327,0.022505,0
328,0.0313606,0
329,0.031977098,0
330,0.026435699,0
331,0.0290561,0
332,0.028431799,0
333,0.025580199,0
334,0.022574401,0
335,0.028285399,0
336,0.0207246,0
337,0.019029099,0
338,0.0174105,0
339,0.0159462,0
340,0.0154144,0
341,0.0140271,0
342,0.0124086,0
343,0.0151061,0
344,0.0129404,0
345,0.011792,0
346,0.0124779,0
347,0.0148749,0
348,0.0110136,0
349,0.0124779,0
350,0.0142583,0
351,0.0140271,0
352,0.0115608,0
353,0.0130174,0
354,0.0113989,0
355,0.0126398,0
356,0.0100193,0
357,0.0107824,0
358,0.00732183,0
359,0.0110983,0
360,0.00592683,0
361,0.00770719,0
362,0.0084702,0
363,0.00715998,0
364,0.00462431,0
365,0.0068594,0
366,0.00523318,0
367,0.00515611,0
368,0.00354531,0
369,0.00277459,0
370,0.00054,0
371,0.00254337,0
372,0.00169558,0
373,0.00315995,0
374,0.00184202,0
375,0.000146,0
376,0.00469368,0
377,0.00454724,0
378,6.94E-05,0
379,0.00692876,0
380,0.0054644,0
381,0.00531796,0
382,0.00562625,0
383,0.0176418,0
384,0.00985749,0
385,0.00462431,0
386,0.00462431,0
387,0.00492489,0
388,0.00415417,0
389,0.00585746,0
390,0.00492489,0
391,0.00538732,0
392,0.00446246,0
393,0.00485553,0
394,0.00245859,0
395,0.00538732,0
396,0.00423125,0
397,0.00438539,0
398,0.00438539,0
399,0.00538732,0
400,0.00268981,0
401,0.00462431,0
402,0.00292873,0
403,0.00438539,0
404,0.00354531,0
405,0.00377652,0
406,0.00215801,0
407,0.00354531,0
408,0.00315995,0
409,0.00446246,0
410,0.00361467,0
411,0.00508674,0
412,0.00415417,0
413,0.00500967,0
414,0.00515611,0
415,0.00438539,0
416,0.00454724,0
417,0.00655111,0
418,0.00608868,0
419,0.00592683,0
420,0.00585746,0
421,0.0054644,0
422,0.00678233,0
423,0.00692876,0
424,0.00592683,0
425,0.00655111,0
426,0.00916385,0
427,0.00947984,0
428,0.00762241,0
429,0.00755305,0
430,0.00831606,0
431,0.0107053,0
432,0.00762241,0
433,0.0093257,0
434,0.00823898,0
435,0.00886327,0
436,0.00877849,0
437,0.00985749,0
438,0.0100887,0
439,0.0115608,0
440,0.0105511,0
441,0.0106359,0
442,0.0111677,0
443,0.0120232,0
444,0.0114837,0
445,0.0141812,0
446,0.0142583,0
447,0.0164086,0
448,0.018420201,0
449,0.018189,0
450,0.018566599,0
451,0.021341201,0
452,0.0207246,0
453,0.0228904,0
454,0.0228904,0
455,0.0261197,0
456,0.0269752,0
457,0.028285399,0
458,0.0285166,0
459,0.032439601,0
460,0.032901999,0
461,0.034828801,0
462,0.0370639,0
463,0.0389136,0
464,0.041379899,0
465,0.041618802,0
466,0.044539802,0
467,0.047468599,0
468,0.050859701,0
469,0.0542586,0
470,0.056262501,0
471,0.0598001,0
472,0.0616575,0
473,0.066582397,0
474,0.071206696,0
475,0.075530402,0
476,0.0800777,0
477,0.085387997,0
478,0.093095101,0
479,0.096339896,0
480,0.101572998,0
481,0.108047001,0
482,0.114065997,0
483,0.117688999,0
484,0.124155,0
485,0.128248006,0
486,0.134182006,0
487,0.137720004,0
488,0.142498001,0
489,0.14666,0
490,0.152285993,0
491,0.155138001,0
492,0.161072999,0
493,0.164232999,0
494,0.171716005,0
495,0.177651003,0
496,0.186968997,0
497,0.192680001,0
498,0.201842993,0
499,0.211940005,0
500,0.223663002,0
501,0.233219996,0
502,0.247161999,0
503,0.258105993,0
504,0.275216013,0
505,0.289319992,0
506,0.307893991,0
507,0.325397998,0
508,0.344433993,0
509,0.361698002,0
510,0.381498009,0
511,0.401537001,0
512,0.418808997,0
513,0.435378999,0
514,0.453482985,0
515,0.466592997,0
516,0.479764998,0
517,0.489946008,0
518,0.496181011,0
519,0.499648988,0
520,0.50512898,0
521,0.504127026,0
522,0.504428029,0
523,0.500034988,0
524,0.498724997,0
525,0.492103994,0
526,0.489553005,0
527,0.486546993,0
528,0.484627992,0
529,0.483857006,0
530,0.487857014,0
531,0.490554988,0
532,0.496565998,0
533,0.504975021,0
534,0.514755011,0
535,0.527248979,0.019275
536,0.542047024,0.020808499
537,0.558616996,0.0231837
538,0.579425991,0.025063099
539,0.599465013,0.030473899
540,0.624590993,0.037241898
541,0.650332987,0.042931002
542,0.678842008,0.054306399
543,0.710294008,0.064760298
544,0.742579997,0.079319999
545,0.778503001,0.095895797
546,0.814333975,0.116085
547,0.852800012,0.140049994
548,0.888176024,0.166901007
549,0.920924008,0.196149006
550,0.950604975,0.237369001
551,0.975722015,0.275258005
552,0.991522014,0.321489006
553,1,0.371728987
554,0.999152005,0.424311996
555,0.988748014,0.485801995
556,0.96655798,0.545078993
557,0.935567975,0.60028398
558,0.893648982,0.66742301
559,0.849331975,0.725939989
560,0.797308981,0.77976501
561,0.74188602,0.827087998
562,0.681237996,0.872909009
563,0.621423006,0.912896991
564,0.561546028,0.948252022
565,0.502269983,0.970364988
566,0.44670099,0.988750994
567,0.395911008,0.996915996
568,0.346901,1
569,0.303115994,0.992276013
570,0.262584001,0.978574991
571,0.226506993,0.964585006
572,0.195069,0.948119998
573,0.166938007,0.926531971
574,0.142960995,0.888992012
575,0.123314999,0.862177014
576,0.103422999,0.836139977
577,0.088632703,0.799193025
578,0.076524697,0.767760992
579,0.066281803,0.738358021
580,0.055260502,0.704717994
581,0.0470061,0.68086499
582,0.0406169,0.650481999
583,0.0365244,0.627985001
584,0.032061901,0.597245991
585,0.0289713,0.572441995
586,0.0239616,0.549139023
587,0.0221119,0.523419976
588,0.0187285,0.508911014
589,0.0169481,0.488485992
590,0.016108001,0.474361002
591,0.0144124,0.462682009
592,0.0126398,0.452178001
593,0.0134876,0.436966985
594,0.0126398,0.431980014
595,0.0108671,0.424468011
596,0.0105511,0.417668998
597,0.0124086,0.414669991
598,0.00854727,0.413506001
599,0.0107824,0.408277988
600,0.00955691,0.405389994
601,0,0.407256991
602,0,0.402069986
603,0,0.407323003
604,0,0.402824998
605,0,0.406372994
606,0,0.408421993
607,0,0.401728004
608,0,0.401517987
609,0,0.403593004
610,0,0.398332
611,0,0.399316996
612,0,0.393213987
613,0,0.384110987
614,0,0.384133995
615,0,0.37668699
616,0,0.368598998
617,0,0.358956009
618,0,0.35145101
619,0,0.341832995
620,0,0.338057011
621,0,0.328155011
622,0,0.314359993
623,0,0.306035995
624,0,0.290930986
625,0,0.289317995
626,0,0.273416013
627,0,0.264299989
628,0,0.254586011
629,0,0.242804006
630,0,0.234314993
631,0,0.225589007
632,0,0.216463998
633,0,0.211707994
634,0,0.200108007
635,0,0.194511995
636,0,0.187316
637,0,0.181560993
638,0,0.172760993
639,0,0.168103993
640,0,0.158470005
641,0,0.152793005
642,0,0.148201004
643,0,0.145337
644,0,0.139089003
645,0,0.137250006
646,0,0.131684005
647,0,0.127525002
648,0,0.122695997
649,0,0.120442003
