Type: Dye
Name: JF-549.csv
Extinction coefficient: 101000
Quantum Yield: 0.88
wavelength,excitation,emission
300.000000,0.141558,0.000000
301.000000,0.141406,0.000000
302.000000,0.140343,0.000000
303.000000,0.139889,0.000000
304.000000,0.138147,0.000000
305.000000,0.137383,0.000000
306.000000,0.136050,0.000000
307.000000,0.133597,0.000000
308.000000,0.131682,0.000000
309.000000,0.128248,0.000000
310.000000,0.124178,0.000000
311.000000,0.118930,0.000000
312.000000,0.113218,0.000000
313.000000,0.106867,0.000000
314.000000,0.099928,0.000000
315.000000,0.093042,0.000000
316.000000,0.085957,0.000000
317.000000,0.078718,0.000000
318.000000,0.072588,0.000000
319.000000,0.067416,0.000000
320.000000,0.061213,0.000000
321.000000,0.055815,0.000000
322.000000,0.051066,0.000000
323.000000,0.047473,0.000000
324.000000,0.044767,0.000000
325.000000,0.041404,0.000000
326.000000,0.039929,0.000000
327.000000,0.038605,0.000000
328.000000,0.037743,0.000000
329.000000,0.037436,0.000000
330.000000,0.037582,0.000000
331.000000,0.038171,0.000000
332.000000,0.038456,0.000000
333.000000,0.039304,0.000000
334.000000,0.040781,0.000000
335.000000,0.042266,0.000000
336.000000,0.043061,0.000000
337.000000,0.044903,0.000000
338.000000,0.045779,0.000000
339.000000,0.048169,0.000000
340.000000,0.050714,0.000000
341.000000,0.053423,0.000000
342.000000,0.056348,0.000000
343.000000,0.060079,0.000000
344.000000,0.063810,0.000000
345.000000,0.068111,0.000000
346.000000,0.072857,0.000000
347.000000,0.076256,0.000000
348.000000,0.079286,0.000000
349.000000,0.080624,0.000000
350.000000,0.083187,0.000000
351.000000,0.083317,0.000000
352.000000,0.081981,0.000000
353.000000,0.078250,0.000000
354.000000,0.075878,0.000000
355.000000,0.073028,0.000000
356.000000,0.068137,0.000000
357.000000,0.064217,0.000000
358.000000,0.060050,0.000000
359.000000,0.055183,0.000000
360.000000,0.051469,0.000000
361.000000,0.046214,0.000000
362.000000,0.044737,0.000000
363.000000,0.041084,0.000000
364.000000,0.037785,0.000000
365.000000,0.035427,0.000000
366.000000,0.032614,0.000000
367.000000,0.031266,0.000000
368.000000,0.030421,0.000000
369.000000,0.028769,0.000000
370.000000,0.028995,0.000000
371.000000,0.026663,0.000000
372.000000,0.026690,0.000000
373.000000,0.026485,0.000000
374.000000,0.026428,0.000000
375.000000,0.026550,0.000000
376.000000,0.027715,0.000000
377.000000,0.027161,0.000000
378.000000,0.027921,0.000000
379.000000,0.028300,0.000000
380.000000,0.029052,0.000000
381.000000,0.029621,0.000000
382.000000,0.030226,0.000000
383.000000,0.031455,0.000000
384.000000,0.031651,0.000000
385.000000,0.032872,0.000000
386.000000,0.033369,0.000000
387.000000,0.033131,0.000000
388.000000,0.033524,0.000000
389.000000,0.034424,0.000000
390.000000,0.035029,0.000000
391.000000,0.035818,0.000000
392.000000,0.036151,0.000000
393.000000,0.035838,0.000000
394.000000,0.036343,0.000000
395.000000,0.035715,0.000000
396.000000,0.035509,0.000000
397.000000,0.035748,0.000000
398.000000,0.035147,0.000000
399.000000,0.035575,0.000000
400.000000,0.035275,0.000000
401.000000,0.035060,0.000000
402.000000,0.034440,0.000000
403.000000,0.034428,0.000000
404.000000,0.033728,0.000000
405.000000,0.033639,0.000000
406.000000,0.033219,0.000000
407.000000,0.033163,0.000000
408.000000,0.033307,0.000000
409.000000,0.032397,0.000000
410.000000,0.032615,0.000000
411.000000,0.031805,0.000000
412.000000,0.031153,0.000000
413.000000,0.030807,0.000000
414.000000,0.031049,0.000000
415.000000,0.030038,0.000000
416.000000,0.029720,0.000000
417.000000,0.028603,0.000000
418.000000,0.028092,0.000000
419.000000,0.027548,0.000000
420.000000,0.026031,0.000000
421.000000,0.025327,0.000000
422.000000,0.023957,0.000000
423.000000,0.023113,0.000000
424.000000,0.021960,0.000000
425.000000,0.020852,0.000000
426.000000,0.020766,0.000000
427.000000,0.019738,0.000000
428.000000,0.018684,0.000000
429.000000,0.018118,0.000000
430.000000,0.017862,0.000000
431.000000,0.016696,0.000000
432.000000,0.016437,0.000000
433.000000,0.015058,0.000000
434.000000,0.014448,0.000000
435.000000,0.013970,0.000000
436.000000,0.013544,0.000000
437.000000,0.013905,0.000000
438.000000,0.014025,0.000000
439.000000,0.014147,0.000000
440.000000,0.014243,0.000000
441.000000,0.015031,0.000000
442.000000,0.015289,0.000000
443.000000,0.015979,0.000000
444.000000,0.016544,0.000000
445.000000,0.017843,0.000000
446.000000,0.018920,0.000000
447.000000,0.018997,0.000000
448.000000,0.020832,0.000000
449.000000,0.021213,0.000000
450.000000,0.022379,0.000000
451.000000,0.023303,0.000000
452.000000,0.025008,0.000000
453.000000,0.026419,0.000000
454.000000,0.028112,0.000000
455.000000,0.029527,0.000000
456.000000,0.031625,0.000000
457.000000,0.034479,0.000000
458.000000,0.036138,0.000000
459.000000,0.038418,0.000000
460.000000,0.039681,0.000000
461.000000,0.042018,0.000000
462.000000,0.044849,0.000000
463.000000,0.046966,0.000000
464.000000,0.049900,0.000000
465.000000,0.052615,0.000000
466.000000,0.055258,0.000000
467.000000,0.058519,0.000000
468.000000,0.062050,0.000000
469.000000,0.064673,0.000000
470.000000,0.068006,0.000000
471.000000,0.070687,0.000000
472.000000,0.073843,0.000000
473.000000,0.077666,0.000000
474.000000,0.080249,0.000000
475.000000,0.084055,0.000000
476.000000,0.087115,0.000000
477.000000,0.090772,0.000000
478.000000,0.093997,0.000000
479.000000,0.098691,0.000000
480.000000,0.102267,0.000000
481.000000,0.106708,0.000000
482.000000,0.110841,0.000000
483.000000,0.116108,0.000000
484.000000,0.121563,0.000000
485.000000,0.126659,0.000000
486.000000,0.133182,0.000000
487.000000,0.139291,0.000000
488.000000,0.146299,0.000000
489.000000,0.154200,0.000000
490.000000,0.162258,0.000000
491.000000,0.170836,0.000000
492.000000,0.180277,0.000000
493.000000,0.189852,0.000000
494.000000,0.200523,0.000000
495.000000,0.211598,0.000000
496.000000,0.222305,0.000000
497.000000,0.234577,0.000000
498.000000,0.245878,0.000000
499.000000,0.257973,0.000000
500.000000,0.270451,0.000000
501.000000,0.282929,0.000000
502.000000,0.295267,0.000000
503.000000,0.307064,0.000000
504.000000,0.318496,0.000000
505.000000,0.330529,0.000000
506.000000,0.341549,0.000000
507.000000,0.351394,0.000000
508.000000,0.361361,0.000000
509.000000,0.369859,0.000000
510.000000,0.377820,0.000000
511.000000,0.385621,0.000000
512.000000,0.391615,0.000000
513.000000,0.398182,0.000000
514.000000,0.402423,0.000000
515.000000,0.407768,0.000000
516.000000,0.412730,0.000000
517.000000,0.418088,0.000000
518.000000,0.422857,0.000000
519.000000,0.428459,0.000000
520.000000,0.434839,0.002179
521.000000,0.442588,0.002620
522.000000,0.451435,0.002828
523.000000,0.460516,0.003399
524.000000,0.472178,0.003934
525.000000,0.484212,0.004230
526.000000,0.498912,0.005054
527.000000,0.515198,0.005880
528.000000,0.532716,0.006978
529.000000,0.552958,0.008296
530.000000,0.574563,0.009256
531.000000,0.598140,0.012070
532.000000,0.623007,0.013610
533.000000,0.650098,0.016207
534.000000,0.677528,0.019524
535.000000,0.706564,0.023410
536.000000,0.735536,0.027588
537.000000,0.765463,0.032813
538.000000,0.795615,0.039376
539.000000,0.824829,0.046625
540.000000,0.853988,0.054505
541.000000,0.881544,0.064053
542.000000,0.906803,0.075556
543.000000,0.930733,0.091536
544.000000,0.952373,0.106650
545.000000,0.969701,0.124578
546.000000,0.983703,0.146056
547.000000,0.993291,0.169186
548.000000,0.999278,0.193664
549.000000,1.000000,0.223818
550.000000,0.994860,0.256498
551.000000,0.985313,0.291521
552.000000,0.969715,0.326176
553.000000,0.949236,0.364594
554.000000,0.923699,0.400483
555.000000,0.893330,0.445513
556.000000,0.858684,0.494583
557.000000,0.819613,0.543442
558.000000,0.777785,0.588548
559.000000,0.733420,0.636013
560.000000,0.687473,0.682191
561.000000,0.639179,0.727415
562.000000,0.591371,0.773923
563.000000,0.543343,0.819870
564.000000,0.496912,0.854192
565.000000,0.451122,0.891969
566.000000,0.406886,0.920279
567.000000,0.366020,0.947840
568.000000,0.326790,0.968696
569.000000,0.292012,0.982091
570.000000,0.256655,0.991521
571.000000,0.226381,0.999839
572.000000,0.198448,0.999029
573.000000,0.174011,0.992837
574.000000,0.150783,0.985108
575.000000,0.131074,0.970262
576.000000,0.113049,0.949994
577.000000,0.097361,0.932671
578.000000,0.084183,0.909519
579.000000,0.071938,0.887286
580.000000,0.061544,0.863384
581.000000,0.052494,0.832964
582.000000,0.044802,0.804699
583.000000,0.038300,0.770543
584.000000,0.032783,0.742548
585.000000,0.027651,0.711572
586.000000,0.023664,0.684507
587.000000,0.019822,0.653024
588.000000,0.017108,0.623806
589.000000,0.014946,0.595353
590.000000,0.012379,0.566162
591.000000,0.011049,0.541074
592.000000,0.009008,0.514949
593.000000,0.007805,0.490582
594.000000,0.006701,0.469592
595.000000,0.005901,0.444581
596.000000,0.005069,0.420256
597.000000,0.004170,0.403754
598.000000,0.003651,0.383731
599.000000,0.003199,0.365948
600.000000,0.003380,0.350540
601.000000,0.002250,0.333052
602.000000,0.002432,0.320454
603.000000,0.001315,0.304955
604.000000,0.001640,0.293015
605.000000,0.001500,0.282786
606.000000,0.001107,0.274841
607.000000,0.001246,0.263918
608.000000,0.001044,0.256248
609.000000,0.000632,0.246366
610.000000,0.000643,0.239627
611.000000,0.000955,0.231267
612.000000,0.000571,0.223725
613.000000,0.000781,0.218661
614.000000,0.000289,0.213462
615.000000,0.000494,0.207830
616.000000,0.000706,0.203238
617.000000,-0.000004,0.195432
618.000000,0.000554,0.192434
619.000000,0.000107,0.187879
620.000000,-0.000109,0.181928
621.000000,0.000045,0.177678
622.000000,0.000436,0.172770
623.000000,0.000207,0.167776
624.000000,0.000362,0.164280
625.000000,0.000158,0.159090
626.000000,-0.000004,0.154517
627.000000,0.000371,0.148888
628.000000,-0.000083,0.144518
