Type: FP
Name: EYFP
Extinction coefficient: 83400
Quantum Yield: 0.61
wavelength,excitation,emission
350,0.048405301,0
351,0.048308201,0
352,0.048370399,0
353,0.049019199,0
354,0.049710698,0
355,0.049431,0
356,0.0504256,0
357,0.050802499,0
358,0.050802499,0
359,0.050802499,0
360,0.050802499,0
361,0.050802499,0
362,0.050802499,0
363,0.050802499,0
364,0.050802499,0
365,0.050802499,0
366,0.050802499,0
367,0.050802499,0
368,0.051909801,0
369,0.053219099,0
370,0.053397801,0
371,0.053405501,0
372,0.0534444,0
373,0.0536309,0
374,0.054093201,0
375,0.054707099,0
376,0.054594401,0
377,0.055064499,0
378,0.056047499,0
379,0.0555657,0
380,0.055732802,0
381,0.056575801,0
382,0.0571936,0
383,0.057189699,0
384,0.058611698,0
385,0.058176499,0
386,0.0591284,0
387,0.060247298,0
388,0.060297798,0
389,0.0594276,0
390,0.059540201,0
391,0.061463401,0
392,0.061960701,0
393,0.060394999,0
394,0.058895301,0
395,0.058992401,0
396,0.059707299,0
397,0.060053099,0
398,0.0604688,0
399,0.056871101,0
400,0.0571936,0
401,0.057477199,0
402,0.057481099,0
403,0.056237798,0
404,0.057422802,0
405,0.057166401,0
406,0.054474,0
407,0.052605201,0
408,0.055149999,0
409,0.053774599,0
410,0.052473102,0
411,0.051715501,0
412,0.0522439,0
413,0.0509579,0
414,0.047838099,0
415,0.048028499,0
416,0.0471504,0
417,0.045095202,0
418,0.044796001,0
419,0.043498401,0
420,0.042826202,0
421,0.042534798,0
422,0.039018799,0
423,0.036800299,0
424,0.035067499,0
425,0.0355804,0
426,0.035016999,0
427,0.035246301,0
428,0.033264801,0
429,0.034442,0
430,0.0337038,0
431,0.030444199,0
432,0.0301683,0
433,0.035510499,0
434,0.0329074,0
435,0.032767501,0
436,0.034947101,0
437,0.035106398,0
438,0.0364701,0
439,0.038187299,0
440,0.039714199,0
441,0.044706699,0
442,0.043335199,0
443,0.0461092,0
444,0.0481411,0
445,0.0505227,0
446,0.0538834,0
447,0.056031901,0
448,0.060053099,0
449,0.0630835,0
450,0.064171404,0
451,0.067823403,0
452,0.072532199,0
453,0.075333402,0
454,0.079102099,0
455,0.084273197,0
456,0.086021498,0
457,0.092012502,0
458,0.0961463,0
459,0.099133998,0
460,0.103197999,0
461,0.108108997,0
462,0.113228999,0
463,0.120439999,0
464,0.127052993,0
465,0.133254007,0
466,0.139449999,0
467,0.147837996,0
468,0.158180997,0
469,0.166972995,0
470,0.178496003,0
471,0.190415993,0
472,0.203664005,0
473,0.217394993,0
474,0.231937006,0
475,0.247446001,0
476,0.261739999,0
477,0.278656006,0
478,0.292941988,0
479,0.30805099,0
480,0.32091099,0
481,0.332769006,0
482,0.342916995,0
483,0.352358013,0
484,0.362210989,0
485,0.367700011,0
486,0.370808005,0
487,0.375499994,0
488,0.380883008,0
489,0.384849012,0
490,0.390412986,0.00290675
491,0.395464003,0.00157891
492,0.401858985,0.0045241
493,0.411641985,0.00732136
494,0.419898003,0.00898197
495,0.431596011,0.00746531
496,0.446794987,0.0116412
497,0.45945999,0.0128291
498,0.479479998,0.012069
499,0.501155972,0.0205644
500,0.523395002,0.0214608
501,0.551452994,0.029955501
502,0.581185997,0.035129301
503,0.614225984,0.0423439
504,0.649802029,0.052451801
505,0.690289974,0.065455899
506,0.731329024,0.083343603
507,0.774159014,0.102899998
508,0.81862098,0.122832999
509,0.860771,0.158487007
510,0.901778996,0.196403995
511,0.938983023,0.234786004
512,0.96728301,0.285688013
513,0.989086986,0.340916991
514,1,0.399711013
515,0.998853981,0.463010997
516,0.98487097,0.527073979
517,0.95836997,0.595367014
518,0.91998899,0.668923974
519,0.870647013,0.727227986
