Type: excitation
Name: Lumencor-CFP (LED)
wavelength, intensity:
321.85729460,0.00123680
321.96348648,0.00050277
322.06968640,0.00132215
322.17589437,0.00059284
322.28211037,0.00120263
322.38833442,0.00058228
322.49456650,0.00121550
322.60080661,0.00057156
322.70705475,0.00128804
322.81331092,0.00061062
322.91957512,0.00124525
323.02584734,0.00049887
323.13212758,0.00153008
323.23841583,-0.00067871
323.34471210,0.00272580
323.45101639,0.00068875
323.55732868,0.00134601
323.66364899,0.00074630
323.76997730,0.00131375
323.87631361,0.00069578
323.98265792,0.00137289
324.08901023,0.00055752
324.19537053,0.00117693
324.30173883,0.00073903
324.40811512,0.00131187
324.51449939,0.00049764
324.62089165,0.00126555
324.72729189,0.00053995
324.83370012,0.00160612
324.94011632,-0.00065527
325.04654050,0.00269707
325.15297265,0.00062305
325.25941276,0.00142717
325.36586085,0.00054584
325.47231690,0.00130951
325.57878092,0.00061363
325.68525290,0.00118280
325.79173283,0.00062068
325.89822072,0.00147421
326.00471656,0.00064054
326.11122035,0.00139608
326.21773209,0.00068589
326.32425177,0.00123727
326.43077940,0.00047494
326.53731497,0.00171233
326.64385847,-0.00082343
326.75040991,0.00265263
326.85696929,0.00058135
326.96353659,0.00152544
327.07011182,0.00063191
327.17669498,0.00124122
327.28328606,0.00051381
327.38988506,0.00128077
327.49649197,0.00075447
327.60310681,0.00128329
327.70972955,0.00057015
327.81636021,0.00140752
327.92299877,0.00060525
328.02964524,0.00134159
328.13629961,0.00070372
328.24296188,0.00167680
328.34963205,-0.00079848
328.45631011,0.00279317
328.56299607,0.00047543
328.66968991,0.00135351
328.77639165,0.00069175
328.88310127,0.00149591
328.98981877,0.00073995
329.09654415,0.00129900
329.20327741,0.00063985
329.31001855,0.00134649
329.41676756,0.00062793
329.52352443,0.00135704
329.63028918,0.00062606
329.73706179,0.00130861
329.84384227,0.00062676
329.95063060,0.00163350
330.05742679,-0.00069065
330.16423084,0.00275487
330.27104274,0.00062067
330.37786249,0.00143725
330.48469008,0.00056737
330.59152553,0.00124100
330.69836881,0.00071447
330.80521994,0.00142905
330.91207890,0.00060032
331.01894570,0.00141454
331.12582033,0.00060848
331.23270279,0.00137217
331.33959308,0.00076124
331.44649119,0.00126295
331.55339712,0.00074676
331.66031088,0.00163767
331.76723246,-0.00071631
331.87416184,0.00257522
331.98109905,0.00072081
332.08804406,0.00147462
332.19499688,0.00087913
332.30195750,0.00143793
332.40892593,0.00063306
332.51590216,0.00140331
332.62288618,0.00072760
332.72987800,0.00133457
332.83687761,0.00077061
332.94388501,0.00144846
333.05090021,0.00049255
333.15792318,0.00145245
333.26495394,0.00058088
333.37199248,0.00157103
333.47903879,-0.00058158
333.58609288,0.00288537
333.69315475,0.00090463
333.80022438,0.00130324
333.90730178,0.00088849
334.01438695,0.00134016
334.12147987,0.00075258
334.22858056,0.00130389
334.33568901,0.00083960
334.44280521,0.00128054
334.54992917,0.00079026
334.65706087,0.00137127
334.76420032,0.00068077
334.87134752,0.00143700
334.97850246,0.00074930
335.08566514,0.00168822
335.19283555,-0.00065387
335.30001370,0.00273544
335.40719959,0.00067309
335.51439320,0.00151328
335.62159455,0.00084876
335.72880361,0.00140847
335.83602040,0.00086136
335.94324491,0.00144448
336.05047714,0.00066838
336.15771708,0.00135657
336.26496474,0.00057323
336.37222010,0.00134950
336.47948317,0.00065250
336.58675395,0.00147634
336.69403243,0.00059730
336.80131861,0.00155703
336.90861249,-0.00054537
337.01591406,0.00255250
337.12322333,0.00064102
337.23054028,0.00136524
337.33786492,0.00066557
337.44519725,0.00137969
337.55253726,0.00064148
337.65988495,0.00140942
337.76724032,0.00075658
337.87460336,0.00150650
337.98197408,0.00067939
338.08935246,0.00146250
338.19673851,0.00059472
338.30413223,0.00136753
338.41153361,0.00061435
338.51894265,0.00163419
338.62635935,-0.00074884
338.73378370,0.00270736
338.84121571,0.00084519
338.94865536,0.00139724
339.05610266,0.00066556
339.16355761,0.00152891
339.27102020,0.00071940
339.37849043,0.00148963
339.48596830,0.00082952
339.59345380,0.00151610
339.70094694,0.00072756
339.80844770,0.00154908
339.91595609,0.00058907
340.02347211,0.00136686
340.13099575,0.00075752
340.23852701,0.00165151
340.34606589,-0.00072592
340.45361238,0.00271532
340.56116648,0.00077907
340.66872820,0.00140426
340.77629752,0.00071941
340.88387445,0.00138743
340.99145898,0.00089554
341.09905110,0.00142556
341.20665083,0.00064429
341.31425815,0.00152426
341.42187307,0.00069811
341.52949557,0.00143444
341.63712566,0.00073390
341.74476334,0.00138554
341.85240860,0.00070182
341.96006144,0.00169502
342.06772185,-0.00069789
342.17538984,0.00285126
342.28306541,0.00056901
342.39074854,0.00145032
342.49843924,0.00076803
342.60613751,0.00160469
342.71384333,0.00075916
342.82155672,0.00135050
342.92927767,0.00069878
343.03700617,0.00127585
343.14474222,0.00082349
343.25248582,0.00147652
343.36023697,0.00080501
343.46799567,0.00147980
343.57576191,0.00071937
343.68353568,0.00171698
343.79131700,-0.00070091
343.89910585,0.00270597
344.00690223,0.00081998
344.11470614,0.00139652
344.22251758,0.00073923
344.33033654,0.00139419
344.43816303,0.00068500
344.54599704,0.00161152
344.65383856,0.00079281
344.76168760,0.00142904
344.86954415,0.00072244
344.97740821,0.00144196
345.08527978,0.00065995
345.19315885,0.00137173
345.30104543,0.00070044
345.40893950,0.00174276
345.51684107,-0.00057528
345.62475014,0.00274103
345.73266670,0.00089764
345.84059075,0.00147399
345.94852229,0.00079611
346.05646131,0.00166901
346.16440781,0.00080382
346.27236180,0.00134464
346.38032326,0.00078463
346.48829219,0.00141457
346.59626860,0.00073996
346.70425248,0.00144406
346.81224383,0.00078325
346.92024264,0.00158623
347.02824891,0.00083424
347.13626264,0.00177734
347.24428383,-0.00038516
347.35231248,0.00297423
347.46034857,0.00086299
347.56839212,0.00155141
347.67644311,0.00087399
347.78450155,0.00149520
347.89256743,0.00089081
348.00064075,0.00136259
348.10872151,0.00088707
348.21680971,0.00152424
348.32490533,0.00064147
348.43300839,0.00153476
348.54111887,0.00079071
348.64923678,0.00138998
348.75736210,0.00083124
348.86549485,0.00167066
348.97363502,-0.00039028
349.08178260,0.00280885
349.18993760,0.00080850
349.29810000,0.00149428
349.40626981,0.00086557
349.51444703,0.00146299
349.62263164,0.00074045
349.73082366,0.00155257
349.83902308,0.00088222
349.94722988,0.00145573
350.05544409,0.00066420
350.16366568,0.00140565
350.27189466,0.00079003
350.38013102,0.00147563
350.48837477,0.00074442
350.59662589,0.00166741
350.70488439,-0.00055637
350.81315027,0.00287204
350.92142352,0.00086653
351.02970414,0.00157011
351.13799213,0.00067376
351.24628748,0.00161899
351.35459019,0.00094275
351.46290027,0.00153174
351.57121770,0.00079119
351.67954248,0.00151932
351.78787462,0.00079586
351.89621411,0.00169293
352.00456094,0.00098159
352.11291512,0.00152849
352.22127664,0.00085434
352.32964551,0.00181871
352.43802170,-0.00047959
352.54640524,0.00287976
352.65479610,0.00088664
352.76319430,0.00148774
352.87159982,0.00090462
352.98001267,0.00162412
353.08843284,0.00090859
353.19686032,0.00153966
353.30529513,0.00087917
353.41373725,0.00158184
353.52218668,0.00078559
353.63064343,0.00149246
353.73910748,0.00093924
353.84757883,0.00165455
353.95605749,0.00082771
354.06454344,0.00170809
354.17303670,-0.00052336
354.28153725,0.00302640
354.39004509,0.00086841
354.49856022,0.00153876
354.60708263,0.00082604
354.71561234,0.00167277
354.82414932,0.00079796
354.93269358,0.00147255
355.04124513,0.00081878
355.14980394,0.00145082
355.25837003,0.00086229
355.36694339,0.00156285
355.47552401,0.00091584
355.58411190,0.00149499
355.69270705,0.00095776
355.80130946,0.00186575
355.90991913,-0.00046723
356.01853605,0.00281449
356.12716023,0.00102764
356.23579165,0.00168870
356.34443033,0.00083258
356.45307624,0.00161450
356.56172940,0.00079023
356.67038980,0.00155325
356.77905743,0.00090202
356.88773230,0.00158856
356.99641441,0.00082840
357.10510374,0.00139633
357.21380030,0.00078441
357.32250408,0.00163698
357.43121508,0.00090532
357.53993331,0.00193759
357.64865875,-0.00047635
357.75739141,0.00279719
357.86613128,0.00088355
357.97487836,0.00151888
358.08363264,0.00098279
358.19239413,0.00155210
358.30116282,0.00090299
358.40993872,0.00154529
358.51872181,0.00109874
358.62751209,0.00166900
358.73630956,0.00094582
358.84511423,0.00147909
358.95392608,0.00094020
359.06274512,0.00155516
359.17157134,0.00096847
359.28040474,0.00174574
359.38924531,-0.00051754
359.49809306,0.00290874
359.60694798,0.00089504
359.71581008,0.00175485
359.82467934,0.00086862
359.93355576,0.00160988
360.04243934,0.00077601
360.15133009,0.00149155
360.26022799,0.00099982
360.36913305,0.00176610
360.47804526,0.00101341
360.58696462,0.00145499
360.69589112,0.00106133
360.80482477,0.00156401
360.91376556,0.00104611
361.02271349,0.00191561
361.13166856,-0.00040739
361.24063077,0.00288795
361.34960010,0.00102814
361.45857657,0.00171603
361.56756016,0.00119678
361.67655087,0.00154837
361.78554871,0.00094437
361.89455367,0.00151210
362.00356575,0.00096124
362.11258493,0.00140989
362.22161124,0.00101383
362.33064465,0.00170834
362.43968516,0.00088009
362.54873279,0.00146977
362.65778751,0.00092243
362.76684934,0.00193334
362.87591826,-0.00035164
362.98499427,0.00306853
363.09407738,0.00105880
363.20316758,0.00147932
363.31226486,0.00068828
363.42136923,0.00156730
363.53048068,0.00108196
363.63959921,0.00161190
363.74872482,0.00098671
363.85785750,0.00156449
363.96699725,0.00093503
364.07614407,0.00167886
364.18529796,0.00107070
364.29445892,0.00158880
364.40362693,0.00096053
364.51280201,0.00176024
364.62198414,-0.00051729
364.73117333,0.00306146
364.84036957,0.00095633
364.94957286,0.00159791
365.05878319,0.00103046
365.16800057,0.00172776
365.27722500,0.00085857
365.38645646,0.00171347
365.49569496,0.00094790
365.60494049,0.00171585
365.71419305,0.00111143
365.82345265,0.00152329
365.93271927,0.00111066
366.04199291,0.00171021
366.15127358,0.00102112
366.26056127,0.00181619
366.36985597,-0.00039262
366.47915769,0.00295922
366.58846642,0.00103307
366.69778216,0.00182131
366.80710491,0.00097672
366.91643466,0.00155607
367.02577141,0.00109992
367.13511517,0.00159510
367.24446591,0.00086555
367.35382366,0.00161993
367.46318839,0.00099515
367.57256012,0.00163423
367.68193883,0.00108499
367.79132453,0.00177501
367.90071721,0.00091425
368.01011686,0.00199836
368.11952350,-0.00030582
368.22893711,0.00309237
368.33835769,0.00105082
368.44778524,0.00169431
368.55721976,0.00109267
368.66666124,0.00165340
368.77610968,0.00120474
368.88556508,0.00175656
368.99502744,0.00105013
369.10449676,0.00181102
369.21397303,0.00123094
369.32345624,0.00181150
369.43294640,0.00104597
369.54244351,0.00178600
369.65194756,0.00109364
369.76145855,0.00212704
369.87097647,-0.00030041
369.98050133,0.00343482
370.09003312,0.00121459
370.19957184,0.00172025
370.30911749,0.00128963
370.41867006,0.00204702
370.52822955,0.00118580
370.63779597,0.00203861
370.74736930,0.00120542
370.85694954,0.00180193
370.96653670,0.00121173
371.07613076,0.00179583
371.18573173,0.00115190
371.29533961,0.00171983
371.40495439,0.00108473
371.51457607,0.00202410
371.62420464,-0.00031284
371.73384011,0.00322665
371.84348247,0.00111253
371.95313172,0.00186528
372.06278786,0.00121666
372.17245088,0.00176071
372.28212078,0.00107233
372.39179756,0.00170580
372.50148122,0.00102322
372.61117176,0.00183954
372.72086916,0.00100568
372.83057344,0.00188355
372.94028458,0.00109738
373.05000258,0.00180798
373.15972745,0.00116262
373.26945918,0.00214762
373.37919776,-0.00008317
373.48894320,0.00329212
373.59869549,0.00126464
373.70845463,0.00183326
373.81822061,0.00117600
373.92799344,0.00189408
374.03777311,0.00122368
374.14755962,0.00179557
374.25735297,0.00111353
374.36715315,0.00175166
374.47696017,0.00128544
374.58677401,0.00183275
374.69659468,0.00121060
374.80642218,0.00184381
374.91625649,0.00119681
375.02609763,0.00206781
375.13594558,-0.00026108
375.24580034,0.00324950
375.35566192,0.00134975
375.46553031,0.00192868
375.57540550,0.00136423
375.68528750,0.00194996
375.79517630,0.00125922
375.90507190,0.00192258
376.01497430,0.00127021
376.12488349,0.00180449
376.23479947,0.00118534
376.34472224,0.00182084
376.45465180,0.00119208
376.56458814,0.00175207
376.67453127,0.00123794
376.78448117,0.00225895
376.89443785,-0.00018515
377.00440130,0.00338289
377.11437153,0.00120708
377.22434852,0.00206317
377.33433229,0.00118718
377.44432281,0.00174201
377.55432010,0.00124261
377.66432415,0.00189006
377.77433495,0.00112800
377.88435251,0.00188069
377.99437682,0.00115280
378.10440788,0.00183770
378.21444568,0.00136565
378.32449023,0.00177968
378.43454152,0.00119702
378.54459955,0.00214106
378.65466432,-0.00012132
378.76473582,0.00333329
378.87481406,0.00120266
378.98489902,0.00191183
379.09499071,0.00130857
379.20508912,0.00189317
379.31519425,0.00109149
379.42530611,0.00197267
379.53542468,0.00122976
379.64554996,0.00180007
379.75568196,0.00122534
379.86582067,0.00194039
379.97596608,0.00121922
380.08611820,0.00204660
380.19627701,0.00118648
380.30644253,0.00239088
380.41661475,-0.00026048
380.52679365,0.00328464
380.63697925,0.00130548
380.74717154,0.00201660
380.85737052,0.00133149
380.96757618,0.00198926
381.07778852,0.00142766
381.18800754,0.00201287
381.29823324,0.00114717
381.40846561,0.00198995
381.51870465,0.00126508
381.62895037,0.00197548
381.73920274,0.00119678
381.84946179,0.00195603
381.95972749,0.00124914
382.06999986,0.00221523
382.18027888,-0.00010630
382.29056455,0.00343410
382.40085688,0.00136963
382.51115585,0.00193782
382.62146147,0.00134537
382.73177374,0.00190156
382.84209265,0.00124918
382.95241819,0.00195298
383.06275038,0.00134207
383.17308919,0.00192986
383.28343464,0.00127539
383.39378672,0.00199135
383.50414543,0.00125529
383.61451076,0.00205103
383.72488271,0.00125480
383.83526128,0.00222365
383.94564646,0.00006047
384.05603826,0.00332252
384.16643667,0.00145267
384.27684169,0.00183865
384.38725332,0.00133830
384.49767155,0.00201200
384.60809639,0.00138412
384.71852782,0.00198199
384.82896585,0.00121313
384.93941047,0.00222272
385.04986168,0.00108286
385.16031949,0.00195065
385.27078388,0.00129245
385.38125485,0.00193128
385.49173241,0.00134275
385.60221654,0.00233870
385.71270725,-0.00005720
385.82320454,0.00336019
385.93370840,0.00128733
386.04421882,0.00210739
386.15473581,0.00122955
386.26525937,0.00192634
386.37578949,0.00124405
386.48632617,0.00204397
386.59686940,0.00148708
386.70741919,0.00198739
386.81797553,0.00116147
386.92853842,0.00216565
387.03910785,0.00148986
387.14968383,0.00207322
387.26026635,0.00144425
387.37085541,0.00229730
387.48145100,-0.00019051
387.59205313,0.00331668
387.70266180,0.00129737
387.81327699,0.00179840
387.92389870,0.00135020
388.03452694,0.00194363
