Type: excitation
Name: Lumencor-FITC (LED)
wavelength, intensity:
321.85729460,0.00324058
321.96348648,0.00260212
322.06968640,0.00324340
322.17589437,0.00267875
322.28211037,0.00356374
322.38833442,0.00119154
322.49456650,0.00454498
322.60080661,0.00258874
322.70705475,0.00323032
322.81331092,0.00274917
322.91957512,0.00321038
323.02584734,0.00282866
323.13212758,0.00319266
323.23841583,0.00261828
323.34471210,0.00367807
323.45101639,0.00128180
323.55732868,0.00462186
323.66364899,0.00275338
323.76997730,0.00320993
323.87631361,0.00272387
323.98265792,0.00322728
324.08901023,0.00278044
324.19537053,0.00327007
324.30173883,0.00276900
324.40811512,0.00348070
324.51449939,0.00153105
324.62089165,0.00473294
324.72729189,0.00269610
324.83370012,0.00322162
324.94011632,0.00281419
325.04654050,0.00312511
325.15297265,0.00287751
325.25941276,0.00342555
325.36586085,0.00278959
325.47231690,0.00345127
325.57878092,0.00132012
325.68525290,0.00474163
325.79173283,0.00279448
325.89822072,0.00316344
326.00471656,0.00272949
326.11122035,0.00330048
326.21773209,0.00269794
326.32425177,0.00341244
326.43077940,0.00293272
326.53731497,0.00360184
326.64385847,0.00116770
326.75040991,0.00482672
326.85696929,0.00283614
326.96353659,0.00336355
327.07011182,0.00290345
327.17669498,0.00328454
327.28328606,0.00284757
327.38988506,0.00339256
327.49649197,0.00277459
327.60310681,0.00357819
327.70972955,0.00127638
327.81636021,0.00479584
327.92299877,0.00270893
328.02964524,0.00341312
328.13629961,0.00281808
328.24296188,0.00347107
328.34963205,0.00269396
328.45631011,0.00331074
328.56299607,0.00284379
328.66968991,0.00360668
328.77639165,0.00127547
328.88310127,0.00474698
328.98981877,0.00282000
329.09654415,0.00331612
329.20327741,0.00284429
329.31001855,0.00335842
329.41676756,0.00284307
329.52352443,0.00323851
329.63028918,0.00281366
329.73706179,0.00363316
329.84384227,0.00144874
329.95063060,0.00466773
330.05742679,0.00283611
330.16423084,0.00359832
330.27104274,0.00276413
330.37786249,0.00332966
330.48469008,0.00287048
330.59152553,0.00340867
330.69836881,0.00284943
330.80521994,0.00376782
330.91207890,0.00141931
331.01894570,0.00478019
331.12582033,0.00286953
331.23270279,0.00359994
331.33959308,0.00298948
331.44649119,0.00331681
331.55339712,0.00275127
331.66031088,0.00334208
331.76723246,0.00281551
331.87416184,0.00363639
331.98109905,0.00154460
332.08804406,0.00475045
332.19499688,0.00280898
332.30195750,0.00335310
332.40892593,0.00290278
332.51590216,0.00347347
332.62288618,0.00285248
332.72987800,0.00357235
332.83687761,0.00280850
332.94388501,0.00374022
333.05090021,0.00138354
333.15792318,0.00480401
333.26495394,0.00280243
333.37199248,0.00333364
333.47903879,0.00278327
333.58609288,0.00335562
333.69315475,0.00291582
333.80022438,0.00342133
333.90730178,0.00300560
334.01438695,0.00377880
334.12147987,0.00161734
334.22858056,0.00483792
334.33568901,0.00290649
334.44280521,0.00342624
334.54992917,0.00321251
334.65706087,0.00338113
334.76420032,0.00290855
334.87134752,0.00352089
334.97850246,0.00289996
335.08566514,0.00376123
335.19283555,0.00128789
335.30001370,0.00489429
335.40719959,0.00293967
335.51439320,0.00341715
335.62159455,0.00292003
335.72880361,0.00342459
335.83602040,0.00298624
335.94324491,0.00329343
336.05047714,0.00285456
336.15771708,0.00372828
336.26496474,0.00146885
336.37222010,0.00479608
336.47948317,0.00291093
336.58675395,0.00368458
336.69403243,0.00275030
336.80131861,0.00347910
336.90861249,0.00275712
337.01591406,0.00359267
337.12322333,0.00275314
337.23054028,0.00372081
337.33786492,0.00157945
337.44519725,0.00493519
337.55253726,0.00301100
337.65988495,0.00340727
337.76724032,0.00303415
337.87460336,0.00352841
337.98197408,0.00276056
338.08935246,0.00334488
338.19673851,0.00290103
338.30413223,0.00369180
338.41153361,0.00147281
338.51894265,0.00491135
338.62635935,0.00294181
338.73378370,0.00359454
338.84121571,0.00298923
338.94865536,0.00334411
339.05610266,0.00295162
339.16355761,0.00358147
339.27102020,0.00308581
339.37849043,0.00375770
339.48596830,0.00145808
339.59345380,0.00491557
339.70094694,0.00284732
339.80844770,0.00348069
339.91595609,0.00292057
340.02347211,0.00355317
340.13099575,0.00295067
340.23852701,0.00327847
340.34606589,0.00284876
340.45361238,0.00383982
340.56116648,0.00158038
340.66872820,0.00486530
340.77629752,0.00283144
340.88387445,0.00358032
340.99145898,0.00300305
341.09905110,0.00339651
341.20665083,0.00306596
341.31425815,0.00345075
341.42187307,0.00310242
341.52949557,0.00356599
341.63712566,0.00156285
341.74476334,0.00502072
341.85240860,0.00294063
341.96006144,0.00358848
342.06772185,0.00284664
342.17538984,0.00350082
342.28306541,0.00309936
342.39074854,0.00343533
342.49843924,0.00293780
342.60613751,0.00389075
342.71384333,0.00167645
342.82155672,0.00501255
342.92927767,0.00303819
343.03700617,0.00350086
343.14474222,0.00284595
343.25248582,0.00360462
343.36023697,0.00300003
343.46799567,0.00353680
343.57576191,0.00304488
343.68353568,0.00368080
343.79131700,0.00154650
343.89910585,0.00487906
344.00690223,0.00307601
344.11470614,0.00357846
344.22251758,0.00304161
344.33033654,0.00369790
344.43816303,0.00309263
344.54599704,0.00364642
344.65383856,0.00293877
344.76168760,0.00392633
344.86954415,0.00170308
344.97740821,0.00494570
345.08527978,0.00303438
345.19315885,0.00359620
345.30104543,0.00291444
345.40893950,0.00360183
345.51684107,0.00295257
345.62475014,0.00367990
345.73266670,0.00315899
345.84059075,0.00368245
345.94852229,0.00162340
346.05646131,0.00492349
346.16440781,0.00314095
346.27236180,0.00357187
346.38032326,0.00289948
346.48829219,0.00359064
346.59626860,0.00309912
346.70425248,0.00359547
346.81224383,0.00308372
346.92024264,0.00374138
347.02824891,0.00163975
347.13626264,0.00507665
347.24428383,0.00315525
347.35231248,0.00373859
347.46034857,0.00306570
347.56839212,0.00361068
347.67644311,0.00309188
347.78450155,0.00382090
347.89256743,0.00298901
348.00064075,0.00379818
348.10872151,0.00158620
348.21680971,0.00509973
348.32490533,0.00302295
348.43300839,0.00356392
348.54111887,0.00312723
348.64923678,0.00357868
348.75736210,0.00311104
348.86549485,0.00346061
348.97363502,0.00310825
349.08178260,0.00397823
349.18993760,0.00153944
349.29810000,0.00507849
349.40626981,0.00287259
349.51444703,0.00384100
349.62263164,0.00310152
349.73082366,0.00361934
349.83902308,0.00298037
349.94722988,0.00368246
350.05544409,0.00306408
350.16366568,0.00385013
350.27189466,0.00177045
350.38013102,0.00503686
350.48837477,0.00313161
350.59662589,0.00358168
350.70488439,0.00336097
350.81315027,0.00375426
350.92142352,0.00303812
351.02970414,0.00367711
351.13799213,0.00311712
351.24628748,0.00381949
351.35459019,0.00169941
351.46290027,0.00517784
351.57121770,0.00301192
351.67954248,0.00365608
351.78787462,0.00293875
351.89621411,0.00355180
352.00456094,0.00286298
352.11291512,0.00368407
352.22127664,0.00308605
352.32964551,0.00393455
352.43802170,0.00176296
352.54640524,0.00508972
352.65479610,0.00305569
352.76319430,0.00360885
352.87159982,0.00317024
352.98001267,0.00362754
353.08843284,0.00310400
353.19686032,0.00352630
353.30529513,0.00315877
353.41373725,0.00378324
353.52218668,0.00179220
353.63064343,0.00504581
353.73910748,0.00306967
353.84757883,0.00366593
353.95605749,0.00310377
354.06454344,0.00355692
354.17303670,0.00295605
354.28153725,0.00375631
354.39004509,0.00317303
354.49856022,0.00398713
354.60708263,0.00168605
354.71561234,0.00503241
354.82414932,0.00300936
354.93269358,0.00374959
355.04124513,0.00307504
355.14980394,0.00368459
355.25837003,0.00308066
355.36694339,0.00366915
355.47552401,0.00301497
355.58411190,0.00413859
355.69270705,0.00174074
355.80130946,0.00488584
355.90991913,0.00314894
356.01853605,0.00370586
356.12716023,0.00321788
356.23579165,0.00363783
356.34443033,0.00294364
356.45307624,0.00381715
356.56172940,0.00324644
356.67038980,0.00391581
356.77905743,0.00170965
356.88773230,0.00488396
356.99641441,0.00310854
357.10510374,0.00376568
357.21380030,0.00315153
357.32250408,0.00359805
357.43121508,0.00317136
357.53993331,0.00360648
357.64865875,0.00318798
357.75739141,0.00381505
357.86613128,0.00183783
357.97487836,0.00493236
358.08363264,0.00309168
358.19239413,0.00355649
358.30116282,0.00311529
358.40993872,0.00375613
358.51872181,0.00306689
358.62751209,0.00380661
358.73630956,0.00332571
358.84511423,0.00394506
358.95392608,0.00190417
359.06274512,0.00496420
359.17157134,0.00304071
359.28040474,0.00358991
359.38924531,0.00309374
359.49809306,0.00357565
359.60694798,0.00331070
359.71581008,0.00368716
359.82467934,0.00315873
359.93355576,0.00400838
360.04243934,0.00167198
360.15133009,0.00521010
360.26022799,0.00311342
360.36913305,0.00363989
360.47804526,0.00303863
360.58696462,0.00368597
360.69589112,0.00301656
360.80482477,0.00365372
360.91376556,0.00320693
361.02271349,0.00401986
361.13166856,0.00176106
361.24063077,0.00508874
361.34960010,0.00319476
361.45857657,0.00356226
361.56756016,0.00300883
361.67655087,0.00369368
361.78554871,0.00318703
361.89455367,0.00360185
362.00356575,0.00303977
362.11258493,0.00397945
362.22161124,0.00164420
362.33064465,0.00499710
362.43968516,0.00323752
362.54873279,0.00375260
362.65778751,0.00329248
362.76684934,0.00363923
362.87591826,0.00318094
362.98499427,0.00372570
363.09407738,0.00308065
363.20316758,0.00392239
363.31226486,0.00178891
363.42136923,0.00514279
363.53048068,0.00309120
363.63959921,0.00357119
363.74872482,0.00320618
363.85785750,0.00370960
363.96699725,0.00318870
364.07614407,0.00362265
364.18529796,0.00316650
364.29445892,0.00385012
364.40362693,0.00188430
364.51280201,0.00506101
364.62198414,0.00306033
364.73117333,0.00380432
364.84036957,0.00305776
364.94957286,0.00368246
365.05878319,0.00316906
365.16800057,0.00375591
365.27722500,0.00310240
365.38645646,0.00384750
365.49569496,0.00178352
365.60494049,0.00492487
365.71419305,0.00319851
365.82345265,0.00374489
365.93271927,0.00307691
366.04199291,0.00375707
366.15127358,0.00310146
366.26056127,0.00374137
366.36985597,0.00312204
366.47915769,0.00387280
366.58846642,0.00177280
366.69778216,0.00505653
366.80710491,0.00317838
366.91643466,0.00380778
367.02577141,0.00309962
367.13511517,0.00365064
367.24446591,0.00314872
367.35382366,0.00376574
367.46318839,0.00316858
367.57256012,0.00400206
367.68193883,0.00182913
367.79132453,0.00504296
367.90071721,0.00315411
368.01011686,0.00379024
368.11952350,0.00324688
368.22893711,0.00377412
368.33835769,0.00319149
368.44778524,0.00383887
368.55721976,0.00339303
368.66666124,0.00420032
368.77610968,0.00198109
368.88556508,0.00518206
368.99502744,0.00329204
369.10449676,0.00399484
369.21397303,0.00334949
369.32345624,0.00391837
369.43294640,0.00313395
369.54244351,0.00393965
369.65194756,0.00345966
369.76145855,0.00422933
369.87097647,0.00214988
369.98050133,0.00557927
370.09003312,0.00346621
370.19957184,0.00409699
370.30911749,0.00344819
370.41867006,0.00415993
