Type: excitation
Name: Lumencore Violet
wavelength, intensity:
350,0
351,0.168034323
352,0.015331283
353,0.003990925
354,0.027301544
355,0.02581724
356,0.01576362
357,0.02413157
358,0.003223688
359,0.036281581
360,0
361,0.0269946
362,0.010781565
363,0
364,0
365,0.009380511
366,0.015342077
367,0.02808367
368,0
369,0.006825175
370,0.016975174
371,0
372,0.025845502
373,0.005954894
374,0.006018939
375,0.019581627
376,0.039394186
377,0.01925624
378,0.032032998
379,0.037143673
380,0.045912425
381,0.053204397
382,0.058822909
383,0.084258796
384,0.107574204
385,0.147220055
386,0.182661861
387,0.204425614
388,0.278135508
389,0.382845763
390,0.472976809
391,0.565211369
392,0.637960651
393,0.794047506
394,0.912229922
395,0.967935679
396,1
397,0.920401166
398,0.89153964
399,0.707703948
400,0.629945725
401,0.504170541
402,0.416193103
403,0.380997506
404,0.32830648
405,0.3096745
406,0.285030339
407,0.240094106
408,0.206792052
409,0.178169093
410,0.155461643
411,0.117101956
412,0.094766667
413,0.071349813
414,0.052236089
415,0.040798498
416,0.03095279
417,0.020870608
418,0.016283872
419,0.010333819
420,0.002329572
421,0.007647763
422,0.009148304
423,0.000145789
424,0.014727152
425,0.004453487
426,0.000888661
427,0.005889219
428,0.006000797
429,0.003261914
430,0.00457133
431,0.001999238
432,0.000335099
433,0.003245488
434,0
435,0
436,0.000965791
437,0.000167434
438,0.00015166
439,0.000775027
440,0
441,0
442,0
443,0.003320731
444,0.005449012
445,0
446,0.001479846
447,0.006315549
448,0.000397568
449,0.001148079
450,0.002190514
451,0.00310083
452,0
453,0
454,0
455,0
456,0
457,0
458,0.003146814
459,0.000359361
460,0.000181427
461,0.001503309
462,0
463,0.003022489
464,0.001302953
465,0
466,0.001470221
467,0.002876346
468,0.002945075
469,0.001446467
470,0.00184252
471,0.00142609
472,0.002327662
473,0
474,0.001956331
475,0.000702112
476,0.001102389
477,0
478,0.001333489
479,0.000268355
480,0
481,0.000746602
482,0
483,0
484,0.00030479
485,0.000690513
486,0.000453268
487,0.001278559
488,0.001671357
489,0.001080033
490,0.000104348
491,0.000820191
492,0.001365095
493,0.000776348
494,0
495,0.000390493
496,0
497,0.000945035
498,0.000403783
499,0
500,0.002493408
501,0.001243213
502,0.001353737
503,0
504,0.001380754
505,0
506,0.000893087
507,0
508,0
509,0.000392907
510,0.000964323
511,2.28822E-05
512,0.000129028
513,0
514,0
515,0.000605598
516,0.001062714
517,0.000394083
518,0.000344824
519,0
520,0
521,0.000566837
522,0.001868471
523,0
524,0.00117625
525,0
526,0.000822527
527,0
528,0.000166953
529,0.00046588
530,0.000667014
531,0.000254244
532,0.000559647
533,0.000822805
534,9.41798E-05
535,0.000536875
536,8.56212E-06
537,0.000973791
538,0.000510581
539,0.000968263
540,0.000582955
541,0.000915097
542,0.000688122
543,0.000109831
544,0.000455653
545,0.000185864
546,0.000572969
547,0.001228362
548,0.002228794
549,0
550,0
551,0.000743237
552,0.000684229
553,0.00144376
554,0.000507255
555,0
556,5.562E-05
557,0.000336606
558,0.00038997
559,0.000614798
560,0.001561788
561,0.000503099
562,0.000871171
563,0.000305977
564,0
565,0.000152636
566,0
567,0.000410337
568,0
569,0.001102002
570,0.000201732
571,0
572,0
573,4.20007E-05
574,0.000342166
575,0.000999358
576,0
577,0.001159526
578,0.001209961
579,0.000572337
580,0.000403003
581,0
582,0.000700458
583,0
584,0.00E+00
585,0
586,0.001236981
587,7.15981E-05
588,0
589,0.000964909
590,0.000276796
591,0.000438597
592,0.000538502
593,0
594,0.000472232
595,0.00106721
596,0
597,0.001691642
598,0.000828064
599,0
600,8.59859E-05
601,0.000678642
602,0.000254978
603,0
604,0.001720107
605,0
606,2.7695E-05
607,0
608,0
609,0.000634292
610,0.001444158
611,0
612,0.002766601
613,0.000886843
614,0
615,0.000372124
616,0
617,0.0017606
618,0.000334712
619,0
620,0
621,-5.60031E-05
622,0
623,0.000862583
624,-0.000210814
625,0.00E+00
