Type: Filter
Name: DV-EM-YFP.csv
wavelength,transmision
450.088864,0.006501
450.204180,0.006779
450.319497,0.006401
450.434813,0.006366
450.550130,0.007334
450.665446,0.007990
450.780763,0.007115
450.896079,0.006558
451.011395,0.007718
451.126712,0.007857
451.242028,0.007013
451.357345,0.007524
451.472661,0.008123
451.587978,0.008927
451.703294,0.008485
451.818610,0.009265
451.933927,0.010198
452.049243,0.009430
452.164560,0.008505
452.279876,0.007760
452.395192,0.007012
452.510509,0.007466
452.625825,0.008488
452.741142,0.008453
452.856458,0.008465
452.971775,0.009634
453.087091,0.008724
453.202407,0.006413
453.317724,0.006629
453.433040,0.006843
453.548357,0.006826
453.663673,0.006235
453.778990,0.006721
453.894306,0.007213
454.009622,0.006465
454.124939,0.006228
454.240255,0.008672
454.355572,0.009817
454.470888,0.009311
454.586205,0.009462
454.701521,0.011555
454.816837,0.011426
454.932154,0.012158
455.047470,0.012496
455.162787,0.014917
455.278103,0.015249
455.393420,0.015401
455.508736,0.015947
455.624052,0.016611
455.739369,0.016022
455.854685,0.015354
455.970002,0.014958
456.085318,0.015259
456.200634,0.015561
456.315951,0.015102
456.431267,0.015129
456.546584,0.016119
456.661900,0.016116
456.777217,0.017209
456.892533,0.016729
457.007849,0.016428
457.123166,0.015949
457.238482,0.014850
457.353799,0.014109
457.469115,0.014283
457.584432,0.013181
457.699748,0.010374
457.815064,0.009191
457.930381,0.009197
458.045697,0.007189
458.161014,0.005479
458.276330,0.007672
458.391647,0.007935
458.506963,0.006148
458.622279,0.005030
458.737596,0.003739
458.852912,0.004570
458.968229,0.002406
459.083545,0.004546
459.198862,0.004706
459.314178,0.005059
459.429494,0.005892
459.544811,0.006334
459.660127,0.006799
459.775444,0.009006
459.890760,0.010765
460.006077,0.011302
460.121393,0.012342
460.236709,0.013322
460.352026,0.010914
460.467342,0.011087
460.582659,0.011117
460.697975,0.013711
460.813291,0.013619
460.928608,0.014072
461.043924,0.013444
461.159241,0.014757
461.274557,0.014240
461.389874,0.012024
461.505190,0.010013
461.620506,0.011839
461.735823,0.012212
461.851139,0.010980
461.966456,0.009007
462.081772,0.008547
462.197089,0.006673
462.312405,0.003916
462.427721,0.003889
462.543038,0.003044
462.658354,0.003622
462.773671,0.000180
462.888987,0.001428
463.004304,0.000209
463.119620,0.002592
463.234936,0.004334
463.350253,0.005293
463.465569,0.006525
463.580886,0.008239
463.696202,0.005813
463.811519,0.008514
463.926835,0.012644
464.042151,0.014874
464.157468,0.016149
464.272784,0.016819
464.388101,0.019615
464.503417,0.019276
464.618733,0.018863
464.734050,0.019328
464.849366,0.022791
464.964683,0.023602
465.079999,0.025086
465.195316,0.025675
465.310632,0.023754
465.425948,0.025701
465.541265,0.025628
465.656581,0.027158
465.771898,0.027301
465.887214,0.025804
466.002531,0.023023
466.117847,0.021110
466.233163,0.025268
466.348480,0.026588
466.463796,0.024198
466.579113,0.023974
466.694429,0.019279
466.809746,0.016496
466.925062,0.016919
467.040378,0.015239
467.155695,0.011947
467.271011,0.009184
467.386328,0.009325
467.501644,0.008406
467.616961,0.007589
467.732277,0.006618
467.847593,0.009178
467.962910,0.011154
468.078226,0.013133
468.193543,0.010767
468.308859,0.010857
468.424175,0.017662
468.539492,0.015853
468.654808,0.021155
468.770125,0.021953
468.885441,0.030426
469.000758,0.033754
469.116074,0.033809
469.231390,0.035528
469.346707,0.039559
469.462023,0.037671
469.577340,0.040376
469.692656,0.042942
469.807973,0.046658
469.923289,0.050145
470.038605,0.049596
470.153922,0.051576
470.269238,0.052012
470.384555,0.051673
470.499871,0.053167
470.615188,0.054958
470.730504,0.056634
470.845820,0.057971
470.961137,0.056875
471.076453,0.058034
471.191770,0.059653
471.307086,0.059707
471.422403,0.056679
471.537719,0.054159
471.653035,0.053287
471.768352,0.049994
471.883668,0.045967
471.998985,0.040463
472.114301,0.039189
472.229617,0.028856
472.344934,0.028780
472.460250,0.026982
472.575567,0.028481
472.690883,0.030082
472.806200,0.025158
472.921516,0.024815
473.036832,0.023344
473.152149,0.026151
473.267465,0.024705
473.382782,0.025351
473.498098,0.023841
473.613415,0.025958
473.728731,0.022923
473.844047,0.018757
473.959364,0.017288
474.074680,0.025020
474.189997,0.025524
474.305313,0.022026
474.420630,0.029559
474.535946,0.030500
474.651262,0.031460
474.766579,0.031923
474.881895,0.028162
474.997212,0.026829
475.112528,0.023705
475.227845,0.024941
475.343161,0.031201
475.458477,0.036859
475.573794,0.035494
475.689110,0.032951
475.804427,0.036686
