Type: Filter
Name: DV-EM-tritc.csv
wavelength,transmision
450.088864,0.007844
450.204180,0.008102
450.319497,0.007680
450.434813,0.007676
450.550130,0.008551
450.665446,0.009218
450.780763,0.008416
450.896079,0.007908
451.011395,0.009039
451.126712,0.009173
451.242028,0.008336
451.357345,0.009089
451.472661,0.009643
451.587978,0.010330
451.703294,0.009881
451.818610,0.010633
451.933927,0.011535
452.049243,0.010811
452.164560,0.009888
452.279876,0.009128
452.395192,0.008399
452.510509,0.008818
452.625825,0.009806
452.741142,0.009716
452.856458,0.009737
452.971775,0.010858
453.087091,0.009983
453.202407,0.007711
453.317724,0.007964
453.433040,0.008159
453.548357,0.008160
453.663673,0.007589
453.778990,0.008081
453.894306,0.008594
454.009622,0.007866
454.124939,0.007678
454.240255,0.010107
454.355572,0.011253
454.470888,0.010748
454.586205,0.010881
454.701521,0.012947
454.816837,0.012788
454.932154,0.013490
455.047470,0.013862
455.162787,0.016354
455.278103,0.016563
455.393420,0.016617
455.508736,0.017182
455.624052,0.017840
455.739369,0.017324
455.854685,0.016670
455.970002,0.016338
456.085318,0.016663
456.200634,0.017017
456.315951,0.016592
456.431267,0.016692
456.546584,0.017676
456.661900,0.017733
456.777217,0.018844
456.892533,0.018467
457.007849,0.018311
457.123166,0.017951
457.238482,0.016516
457.353799,0.015811
457.469115,0.016037
457.584432,0.014985
457.699748,0.012246
457.815064,0.011106
457.930381,0.011215
458.045697,0.009362
458.161014,0.007706
458.276330,0.009846
458.391647,0.010198
458.506963,0.008511
458.622279,0.007483
458.737596,0.006273
458.852912,0.007173
458.968229,0.005158
459.083545,0.007291
459.198862,0.007473
459.314178,0.007926
459.429494,0.008653
459.544811,0.009056
459.660127,0.009566
459.775444,0.011767
459.890760,0.013588
460.006077,0.014086
460.121393,0.015078
460.236709,0.016049
460.352026,0.013680
460.467342,0.013932
460.582659,0.013917
460.697975,0.016399
460.813291,0.016332
460.928608,0.016651
461.043924,0.015879
461.159241,0.017232
461.274557,0.016839
461.389874,0.014629
461.505190,0.012626
461.620506,0.014388
461.735823,0.014646
461.851139,0.013274
461.966456,0.011281
462.081772,0.010746
462.197089,0.008894
462.312405,0.006196
462.427721,0.006160
462.543038,0.005292
462.658354,0.005861
462.773671,0.002439
462.888987,0.003720
463.004304,0.002459
463.119620,0.004756
463.234936,0.006478
463.350253,0.007594
463.465569,0.008916
463.580886,0.010614
463.696202,0.008180
463.811519,0.010869
463.926835,0.014793
464.042151,0.016901
464.157468,0.018148
464.272784,0.018921
464.388101,0.021619
464.503417,0.021318
464.618733,0.020852
464.734050,0.021310
464.849366,0.024636
464.964683,0.025316
465.079999,0.026759
465.195316,0.027345
465.310632,0.025582
465.425948,0.027503
465.541265,0.027405
465.656581,0.028837
465.771898,0.028987
465.887214,0.027685
466.002531,0.024975
466.117847,0.022839
466.233163,0.026940
466.348480,0.028261
466.463796,0.025859
466.579113,0.025726
466.694429,0.021039
466.809746,0.018352
466.925062,0.018842
467.040378,0.017257
467.155695,0.014002
467.271011,0.011330
467.386328,0.011600
467.501644,0.010815
467.616961,0.010002
467.732277,0.009161
467.847593,0.011909
467.962910,0.014045
468.078226,0.015881
468.193543,0.013628
468.308859,0.013839
468.424175,0.020543
468.539492,0.018772
468.654808,0.024094
468.770125,0.024747
468.885441,0.032978
469.000758,0.036287
469.116074,0.036319
469.231390,0.037861
469.346707,0.041547
469.462023,0.039644
469.577340,0.042394
469.692656,0.044842
469.807973,0.048482
469.923289,0.051992
470.038605,0.051358
470.153922,0.053200
470.269238,0.053679
470.384555,0.053268
470.499871,0.054755
470.615188,0.056546
470.730504,0.058127
470.845820,0.059621
470.961137,0.058476
471.076453,0.059476
471.191770,0.061006
471.307086,0.061056
471.422403,0.058037
471.537719,0.055595
471.653035,0.054687
471.768352,0.051356
471.883668,0.047228
471.998985,0.041981
472.114301,0.040818
472.229617,0.030634
472.344934,0.030703
472.460250,0.028966
472.575567,0.030750
472.690883,0.032415
472.806200,0.027653
472.921516,0.027422
473.036832,0.026082
473.152149,0.028705
473.267465,0.027434
473.382782,0.028010
473.498098,0.026731
473.613415,0.028904
473.728731,0.025865
473.844047,0.021618
473.959364,0.020296
474.074680,0.027741
474.189997,0.028301
474.305313,0.024782
474.420630,0.032584
474.535946,0.033457
474.651262,0.034429
474.766579,0.035020
474.881895,0.031376
474.997212,0.030100
475.112528,0.026916
475.227845,0.028199
475.343161,0.034198
475.458477,0.039883
475.573794,0.038367
475.689110,0.035603
475.804427,0.039252
475.919743,0.039374
476.035059,0.039721
476.150376,0.038810
476.265692,0.046183
476.381009,0.049870
476.496325,0.048369
476.611642,0.049197
476.726958,0.051916
476.842274,0.051709
476.957591,0.047276
477.072907,0.046655
477.188224,0.044627
477.303540,0.043317
477.418857,0.036494
477.534173,0.034397
477.649489,0.036407
477.764806,0.031333
477.880122,0.028331
477.995439,0.023836
478.110755,0.033872
478.226072,0.034259
478.341388,0.028835
478.456704,0.033669
478.572021,0.034498
478.687337,0.036724
478.802654,0.032971
478.917970,0.033835
479.033287,0.036969
479.148603,0.033311
479.263919,0.029826
479.379236,0.032426
479.494552,0.025964
479.609869,0.022547
479.725185,0.022196
479.840502,0.026735
479.955818,0.027837
480.071134,0.027462
480.186451,0.020863
480.301767,0.020062
480.417084,0.024736
480.532400,0.023394
480.647716,0.019689
480.763033,0.022143
480.878349,0.028434
480.993666,0.024499
481.108982,0.022023
481.224299,0.026721
481.339615,0.028502
481.454931,0.031699
481.570248,0.033630
481.685564,0.032146
481.800881,0.037322
481.916197,0.036160
482.031514,0.038222
482.146830,0.038785
482.262146,0.038618
482.377463,0.036039
482.492779,0.034717
482.608096,0.032132
482.723412,0.034624
482.838729,0.034495
482.954045,0.033318
483.069361,0.034907
483.184678,0.039049
483.299994,0.039543
483.415311,0.037847
483.530627,0.033838
483.645944,0.041359
483.761260,0.043928
483.876576,0.046079
483.991893,0.045007
484.107209,0.049568
484.222526,0.046932
484.337842,0.046077
484.453158,0.044610
484.568475,0.044544
484.683791,0.041771
484.799108,0.043463
484.914424,0.040280
485.029741,0.038902
485.145057,0.037569
485.260373,0.029166
485.375690,0.032931
485.491006,0.039090
485.606323,0.039836
485.721639,0.034928
485.836956,0.034166
485.952272,0.038323
486.067588,0.045489
486.182905,0.043009
486.298221,0.043408
486.413538,0.048265
486.528854,0.042846
486.644171,0.036739
486.759487,0.029474
486.874803,0.039412
486.990120,0.035070
487.105436,0.033082
487.220753,0.032518
487.336069,0.032378
487.451386,0.030918
487.566702,0.031788
487.682018,0.036872
487.797335,0.035611
487.912651,0.036452
488.027968,0.034701
488.143284,0.033012
488.258600,0.039286
488.373917,0.042235
488.489233,0.042713
488.604550,0.044606
488.719866,0.052847
488.835183,0.058365
488.950499,0.057480
489.065815,0.056011
489.181132,0.061935
489.296448,0.055681
489.411765,0.056919
489.527081,0.055358
489.642398,0.060153
489.757714,0.057901
489.873030,0.053098
489.988347,0.051921
490.103663,0.059743
490.218980,0.056324
490.334296,0.056071
490.449613,0.057368
490.564929,0.062210
490.680245,0.059819
490.795562,0.050296
490.910878,0.053789
491.026195,0.053529
491.141511,0.053180
491.256828,0.049748
491.372144,0.047740
491.487460,0.051868
491.602777,0.047613
491.718093,0.043642
491.833410,0.043505
491.948726,0.046627
492.064043,0.046954
492.179359,0.037743
492.294675,0.033629
492.409992,0.033065
492.525308,0.033096
492.640625,0.039112
492.755941,0.038921
492.871257,0.043574
492.986574,0.039759
493.101890,0.040617
493.217207,0.042064
493.332523,0.043250
493.447840,0.042822
493.563156,0.039829
493.678472,0.043961
493.793789,0.044099
493.909105,0.041871
494.024422,0.046898
494.139738,0.045911
494.255055,0.043307
494.370371,0.042258
494.485687,0.040711
494.601004,0.039864
494.716320,0.031934
494.831637,0.031869
494.946953,0.029499
495.062270,0.025815
495.177586,0.026288
495.292902,0.025529
495.408219,0.022437
495.523535,0.019468
495.638852,0.011297
495.754168,0.012945
495.869485,0.013814
495.984801,0.012625
496.100117,0.011250
496.215434,0.008632
496.330750,0.006125
496.446067,0.004053
496.561383,0.002384
496.676699,0.003652
496.792016,0.004048
496.907332,0.000810
497.022649,0.003522
497.137965,0.008917
497.253282,0.008124
497.368598,0.006422
497.483914,0.014578
497.599231,0.017880
497.714547,0.018396
497.829864,0.020188
497.945180,0.017923
498.060497,0.024493
498.175813,0.029594
498.291129,0.029922
498.406446,0.035666
498.521762,0.036078
498.637079,0.038171
498.752395,0.039043
498.867712,0.042563
498.983028,0.043624
499.098344,0.046156
499.213661,0.048774
499.328977,0.052380
499.444294,0.051206
499.559610,0.048307
499.674927,0.047701
499.790243,0.048350
499.905559,0.046041
500.020876,0.043833
500.136192,0.043136
500.251509,0.044656
500.366825,0.041297
500.482141,0.037326
500.597458,0.040056
500.712774,0.037342
500.828091,0.034432
500.943407,0.033527
501.058724,0.033650
501.174040,0.031457
501.289356,0.027046
501.404673,0.023437
501.519989,0.029962
501.635306,0.029586
501.750622,0.025788
501.865939,0.024626
501.981255,0.026151
502.096571,0.027131
502.211888,0.025450
502.327204,0.023187
502.442521,0.022708
502.557837,0.021816
502.673154,0.019407
502.788470,0.019421
502.903786,0.021031
503.019103,0.019888
503.134419,0.019849
503.249736,0.020971
503.365052,0.020267
503.480369,0.019883
503.595685,0.018580
503.711001,0.016425
503.826318,0.021226
503.941634,0.018818
504.056951,0.015268
504.172267,0.018043
504.287583,0.018585
504.402900,0.015542
504.518216,0.013230
504.633533,0.009721
504.748849,0.011792
504.864166,0.009165
504.979482,0.007362
505.094798,0.007715
505.210115,0.007885
505.325431,0.008380
505.440748,0.009035
505.556064,0.009016
505.671381,0.007347
505.786697,0.006389
505.902013,0.005324
506.017330,0.004984
506.132646,0.006437
506.247963,0.006778
506.363279,0.007195
506.478596,0.009527
506.593912,0.012426
506.709228,0.013967
506.824545,0.013839
506.939861,0.014733
507.055178,0.016489
507.170494,0.017567
507.285811,0.017203
507.401127,0.017470
507.516443,0.018556
507.631760,0.018384
507.747076,0.018155
507.862393,0.019852
507.977709,0.021188
508.093026,0.022343
508.208342,0.022396
508.323658,0.023646
508.438975,0.024223
508.554291,0.023891
508.669608,0.025208
508.784924,0.025572
508.900240,0.026765
509.015557,0.025159
509.130873,0.022518
509.246190,0.020964
509.361506,0.020535
509.476823,0.020884
509.592139,0.019963
509.707455,0.018677
509.822772,0.020130
509.938088,0.019299
510.053405,0.017361
510.168721,0.015249
510.284038,0.016505
