Type: filter
Name: Chroma ET605/70m
Wavelength (nm), Transmission (0 to 1)
300.00,9.9999999392253E-9
301.00,9.9999999392253E-9
302.00,9.9999999392253E-9
303.00,9.9999999392253E-9
304.00,7.4581500086879E-8
305.00,6.1764197312186E-8
306.00,9.9999999392253E-9
307.00,3.3315001246592E-7
308.00,6.1526202443929E-7
309.00,9.9999999392253E-9
310.00,9.9999999392253E-9
311.00,9.9999999392253E-9
312.00,9.9999999392253E-9
313.00,9.9999999392253E-9
314.00,9.9999999392253E-9
315.00,2.4614499238851E-7
316.00,9.9999999392253E-9
317.00,4.3855899889422E-7
318.00,1.3457299985475E-7
319.00,5.0934602313646E-7
320.00,7.6365397339018E-10
321.00,2.0461199312649E-7
322.00,3.7787000906064E-7
323.00,4.7128699520727E-7
324.00,9.9999999392253E-9
325.00,4.8046198131146E-9
326.00,4.3161298890482E-7
327.00,8.6830901580015E-8
328.00,1.2535500104605E-7
329.00,3.4365899637123E-7
330.00,9.9999999392253E-9
331.00,7.5794197584855E-8
332.00,4.7650800638621E-7
333.00,2.6257100671501E-7
334.00,4.099759962628E-7
335.00,4.4651699226961E-7
336.00,2.8708299737445E-7
337.00,4.2136599631704E-7
338.00,9.9999999392253E-9
339.00,9.9999999392253E-9
340.00,5.3889300488663E-7
341.00,3.0148001428643E-8
342.00,9.9999999392253E-9
343.00,9.9999999392253E-9
344.00,1.0100399805424E-7
345.00,1.0143799755724E-7
346.00,5.7498499472786E-7
347.00,1.3005600294491E-6
348.00,1.4888599935148E-6
349.00,1.2706500456261E-6
350.00,1.3622200185637E-6
351.00,2.7382699840928E-7
352.00,5.1889202268285E-7
353.00,3.0095500846983E-7
354.00,9.7915699370787E-7
355.00,2.2832900867797E-6
356.00,3.7773600070068E-6
357.00,2.1223700059636E-6
358.00,7.6393200743041E-7
359.00,8.0922298195674E-8
360.00,4.492679863688E-7
361.00,3.834310007278E-7
362.00,5.3453499049283E-7
363.00,1.0871000313273E-6
364.00,4.8548298536844E-7
365.00,4.3968898921776E-7
366.00,7.8386399593455E-8
367.00,9.9999999392253E-9
368.00,1.7937499308118E-7
369.00,1.1378899955616E-7
370.00,7.4916499670508E-7
371.00,1.3829099998475E-6
372.00,5.0281602170799E-7
373.00,6.0417001179758E-8
374.00,4.0641300103061E-8
375.00,9.9999999392253E-9
376.00,1.1696199919697E-7
377.00,3.4337600141043E-7
378.00,6.6062102632714E-7
379.00,2.2298299882095E-6
380.00,9.1422600689839E-7
381.00,1.7031399579537E-7
382.00,3.0405399797928E-7
383.00,8.1198798795867E-8
384.00,1.1865900262364E-7
385.00,3.9855198252781E-8
386.00,4.2001400402114E-7
387.00,2.1794301119371E-6
388.00,1.4785799749006E-6
389.00,1.3661899345152E-7
390.00,2.0134299916208E-7
391.00,1.6878800579434E-7
392.00,4.3054900089601E-8
393.00,7.6694696815593E-8
394.00,4.7385898938046E-7
395.00,2.2846900264994E-6
396.00,1.1882300441357E-6
397.00,5.4560999274145E-8
398.00,7.7300100542743E-8
399.00,1.0485999979437E-7
400.00,2.3016700367862E-7
401.00,1.1784500202339E-6
402.00,6.3163798813548E-7
403.00,1.5788100427017E-7
404.00,9.9999999392253E-9
405.00,9.9999999392253E-9
406.00,9.1975998373073E-8
407.00,4.8853600276288E-8
408.00,1.5314600432248E-7
409.00,2.5075598841795E-7
410.00,3.329419939746E-8
411.00,1.192550058704E-7
412.00,9.6718601128032E-8
413.00,2.0517900622963E-7
414.00,8.2096498488227E-8
415.00,9.9999999392253E-9
416.00,1.2766499857264E-8
417.00,2.1317500653595E-8
418.00,9.9999999392253E-9
419.00,9.9999999392253E-9
420.00,9.9999999392253E-9
421.00,2.3475499322245E-9
422.00,9.9999999392253E-9
423.00,9.9999999392253E-9
424.00,8.6012397204627E-9
425.00,1.8050799965863E-8
426.00,5.0790699646086E-8
427.00,2.7534499125181E-8
428.00,4.7253201351793E-9
429.00,9.9999999392253E-9
430.00,9.9999999392253E-9
431.00,6.8508796857714E-8
432.00,2.1969000840727E-8
433.00,9.9999999392253E-9
434.00,2.932430076541E-9
435.00,8.916249782942E-8
436.00,1.1531000154719E-7
437.00,4.6504798234537E-8
438.00,3.0563800379468E-8
439.00,4.1625298763392E-8
440.00,3.3479398808822E-8
441.00,2.7166899840836E-9
442.00,6.921789719172E-8
443.00,2.0051599491921E-8
444.00,9.9999999392253E-9
445.00,6.0364598652995E-8
446.00,4.4739598692445E-9
447.00,9.9999999392253E-9
448.00,7.379190147816E-9
449.00,9.9999999392253E-9
450.00,4.5775500723266E-8
451.00,1.6406000113989E-8
452.00,7.7390602370997E-8
453.00,1.8616200136989E-8
454.00,4.3503000313194E-8
455.00,3.6106598599872E-8
456.00,1.0345900136599E-8
457.00,7.6729996578706E-8
458.00,3.7114300965868E-8
459.00,1.3778999630176E-7
460.00,4.9854399719607E-8
461.00,9.9999999392253E-9
462.00,1.95799998437E-8
463.00,2.0162499225762E-8
464.00,8.7247997271334E-8
465.00,4.8823000753373E-8
466.00,4.8062201329913E-8
467.00,7.92836019059E-9
468.00,1.0204399814029E-7
469.00,2.4438099544E-8
470.00,5.3915898412527E-9
471.00,1.2071899924138E-8
472.00,5.4396501525389E-8
473.00,2.6371399286518E-8
474.00,9.9999999392253E-9
475.00,3.4179699071046E-8
476.00,2.9923800326515E-8
477.00,9.9999999392253E-9
478.00,9.4883603196649E-8
479.00,9.9999999392253E-9
480.00,2.4736900527955E-8
481.00,1.8265399859274E-8
482.00,6.106329664135E-8
483.00,4.6360099759113E-8
484.00,8.2910503351741E-8
485.00,3.4077999089277E-8
486.00,2.5075900467186E-8
487.00,8.8282497756609E-8
488.00,1.5615100323885E-7
489.00,2.0679900458731E-8
490.00,9.6064496801773E-8
491.00,4.3146300754415E-8
492.00,9.9999999392253E-9
493.00,2.0319900428944E-8
494.00,4.5356198796753E-8
495.00,1.0227400082385E-7
496.00,1.5358699201329E-8
497.00,3.1726600013826E-8
498.00,1.003360026175E-7
499.00,1.8727800465967E-7
500.00,1.5813000686649E-7
501.00,4.9973898796907E-8
502.00,4.881929882572E-8
503.00,1.9243199744778E-7
504.00,2.2470399585472E-7
505.00,2.641779950352E-8
506.00,1.1156100043763E-8
507.00,1.1750000084021E-7
508.00,4.923600016582E-8
509.00,9.9999999392253E-9
510.00,7.9367502792138E-8
511.00,1.1433599844679E-8
512.00,7.3697798086414E-8
513.00,1.1981900627234E-7
514.00,4.7265199754065E-8
515.00,4.9456499340295E-8
516.00,1.4384499813502E-8
517.00,4.9952699754385E-8
518.00,1.8227799714055E-8
519.00,1.1384999609731E-8
520.00,5.7068998415843E-8
521.00,6.7748198162576E-9
522.00,9.9999999392253E-9
523.00,9.9999999392253E-9
524.00,9.9999999392253E-9
525.00,2.7983499961692E-8
526.00,9.4561897867607E-8
527.00,1.8293400572134E-8
528.00,1.7926799600332E-8
529.00,2.7999700336068E-8
530.00,2.9230699638561E-8
531.00,4.7177099560258E-8
532.00,2.9592200689876E-8
533.00,2.4172100765441E-8
534.00,1.1024999579945E-8
535.00,5.3844399161562E-8
536.00,7.5197696958185E-8
537.00,3.4728401487882E-8
538.00,3.9150599207005E-8
539.00,2.3177799235441E-8
540.00,3.2300999208701E-8
541.00,3.8568998661503E-8
542.00,8.8501501238625E-8
543.00,2.5085400423563E-8
544.00,8.0999797091863E-8
545.00,5.9186401557554E-8
546.00,8.8175099222099E-8
547.00,6.2445202786421E-8
548.00,2.63888999541E-8
549.00,2.0941600453739E-8
550.00,2.3589800335344E-8
551.00,3.8288998638336E-8
552.00,1.6197199670387E-7
553.00,9.2169301524336E-8
554.00,8.2982701599121E-8
555.00,9.2337700152711E-8
556.00,5.0260801742752E-8
557.00,5.967829963538E-8
558.00,9.7195702153385E-8
559.00,2.6154099330711E-8
560.00,1.2501500634698E-7
561.00,1.5156399513216E-7
562.00,8.2036400783636E-8
563.00,3.3634898954915E-7
564.00,8.4977398273622E-7
565.00,2.8965600904485E-6
566.00,1.1929299944313E-5
567.00,6.7717897763941E-5
568.00,0.00051265902584419
569.00,0.0058115101419389
570.00,0.097849801182747
571.00,0.59319597482681
572.00,0.93076801300049
573.00,0.9797859787941
574.00,0.96805799007416
575.00,0.9682440161705
576.00,0.9848809838295
577.00,0.98615598678589
578.00,0.97609597444534
579.00,0.96782702207565
580.00,0.97258901596069
581.00,0.98361998796463
582.00,0.9890810251236
583.00,0.98096400499344
584.00,0.96966302394867
585.00,0.96955901384354
586.00,0.97905498743057
587.00,0.98715102672577
588.00,0.98412799835205
589.00,0.9734799861908
590.00,0.96674197912216
591.00,0.9692639708519
592.00,0.9774050116539
593.00,0.98685300350189
594.00,0.98826599121094
595.00,0.98407202959061
596.00,0.97737902402878
597.00,0.97536700963974
598.00,0.97833698987961
599.00,0.98179697990417
600.00,0.98462498188019
601.00,0.98321497440338
602.00,0.98268800973892
603.00,0.98544299602509
604.00,0.98969900608063
605.00,0.99166399240494
606.00,0.98951900005341
607.00,0.98605698347092
608.00,0.97999799251556
609.00,0.98000699281693
610.00,0.98394000530243
611.00,0.99072700738907
612.00,0.99352598190308
613.00,0.98944997787476
614.00,0.98386698961258
615.00,0.98197501897812
616.00,0.98220199346542
617.00,0.98515200614929
618.00,0.98884499073029
619.00,0.98841601610184
620.00,0.98750698566437
621.00,0.98693400621414
622.00,0.98952901363373
623.00,0.9884369969368
624.00,0.98379397392273
625.00,0.98026102781296
626.00,0.98007798194885
627.00,0.98566800355911
628.00,0.98584097623825
629.00,0.9777410030365
630.00,0.95846700668335
631.00,0.9483950138092
632.00,0.95718801021576
633.00,0.97772300243378
634.00,0.9842129945755
635.00,0.98311597108841
636.00,0.98235499858856
637.00,0.94906502962112
638.00,0.92449599504471
639.00,0.38854798674583
640.00,0.030860999599099
641.00,0.011658700183034
642.00,0.0014716499717906
643.00,0.00027455200324766
644.00,6.5099899074994E-5
645.00,1.8438899132889E-5
646.00,5.9377898651292E-6
647.00,2.0604800283763E-6
648.00,8.2470597817519E-7
649.00,3.5695299516192E-7
650.00,2.2510299402256E-7
651.00,7.3187500504446E-8
652.00,3.2549401396409E-8
653.00,1.7553700715212E-8
654.00,9.9999999392253E-9
655.00,8.4124600618907E-9
656.00,9.9999999392253E-9
657.00,1.3980799851154E-9
658.00,9.9999999392253E-9
659.00,9.798859679222E-8
660.00,3.7388499407598E-8
661.00,1.2928699888448E-8
662.00,9.9999999392253E-9
663.00,9.9999999392253E-9
664.00,9.9999999392253E-9
665.00,9.9999999392253E-9
666.00,7.2207200219054E-9
667.00,1.4658300129256E-9
668.00,9.9999999392253E-9
669.00,8.21245027538E-9
670.00,9.9999999392253E-9
671.00,8.0065298391219E-8
672.00,1.4237899748082E-8
673.00,9.9999999392253E-9
674.00,9.9999999392253E-9
675.00,2.0839699743647E-8
676.00,1.2141500027596E-9
677.00,1.2210500699439E-7
678.00,4.4921200981207E-8
679.00,9.9999999392253E-9
680.00,9.9999999392253E-9
681.00,1.1217299800137E-7
682.00,9.7986099234504E-9
683.00,9.9999999392253E-9
684.00,3.0025500308284E-8
685.00,9.9999999392253E-9
686.00,9.7811799548708E-8
687.00,9.9999999392253E-9
688.00,9.9999999392253E-9
689.00,9.9999999392253E-9
690.00,1.4076499610383E-7
691.00,6.7084599209011E-8
692.00,9.9999999392253E-9
693.00,9.9999999392253E-9
694.00,1.4369899759004E-7
695.00,9.9999999392253E-9
696.00,1.9021799246843E-8
697.00,5.4407099270293E-8
698.00,1.1731999904896E-7
699.00,9.9999999392253E-9
700.00,9.9999999392253E-9
701.00,4.2454701087991E-8
702.00,8.5012800354889E-8
703.00,1.1216300066508E-7
704.00,9.9999999392253E-9
705.00,3.3764301576866E-8
706.00,9.9999999392253E-9
707.00,1.7974799959575E-7
708.00,1.5008799536531E-8
709.00,4.4908400553823E-8
710.00,2.8888100800373E-8
711.00,6.8122801621939E-8
712.00,9.9999999392253E-9
713.00,4.947010023848E-10
714.00,9.1714298378065E-8
715.00,7.2226198355452E-9
716.00,1.4007299853347E-7
717.00,3.9147700192643E-8
718.00,9.9999999392253E-9
719.00,1.5278299514421E-8
720.00,8.257359951358E-8
721.00,1.6656700552176E-7
